filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Crebillon_Nuit	0	LA NUIT ET LE MOMENT, OU LES MATINES DE CYTHÈRE.	0	0	10	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	1	DIALOGUE.	1	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	2	CIDALISE,	2	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	3	Voyant entrer Clitandre en robe de chambre.	2	1	7	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	4	Ah, bon Dieu !	3	0	3	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	5	Clitandre, quoi !	3	1	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	6	c'est vous ?	3	2	3	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	7	CLITANDRE.	4	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	8	Votre surprise	5	0	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	9	, Madame, a de quoi m'étonner ;	5	1	6	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	10	je vous croyais accoutumée à me voir vous faire ma cour, et je ne comprends pas ce que vous trouvez de si extraordinaire dans la visite que je vous fais.	5	2	30	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	11	CIDALISE.	6	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	12	C'est que je croyais avoir quelque raison de penser que si vous vouliez bien veiller aujourd'hui avec quelqu'un, ce ne serait pas avec moi, et que, dans les idées que j'avais, votre présence m'a étonnée.	7	0	39	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	13	CLITANDRE.	8	0	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Crebillon_Nuit	14	Cérémonie à part, ne produit-elle sur vous que cet effet ?	9	0	11	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
