filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Laclos_Liaisons	0	AVERTISSEMENT DE L'ÉDITEUR.	0	0	4	0	0.0	[]	0.0	0.018867924528301886	0.0	0.0	0.0
Laclos_Liaisons	1	Nous croyons devoir prévenir le Public que, malgré le titre de cet ouvrage et ce qu'en dit le rédacteur dans sa préface, nous ne garantissons pas l'authenticité de ce recueil, et que nous avons même de fortes raisons de penser que ce n'est qu'un roman.	1	0	49	1	0.0204081632653061	[['fort']]	0.02040816326530612	0.011494252873563218	0.02040816326530612	0.0204081632653061	0.0
Laclos_Liaisons	2	Il nous semble de plus que l'auteur, qui paraît pourtant avoir cherché la vraisemblance, l'a détruite lui-même, et bien mal-adroitement, par l'époque où il a placé les événements qu'il publie.	2	0	34	0	0.0	[]	0.0	0.009009009009009009	0.0	0.0	0.0
Laclos_Liaisons	3	En effet, plusieurs des personnages qu'il met en scène ont de si mauvaises mœurs, qu'il est impossible de supposer qu'ils aient vécu dans notre siècle ;	2	1	28	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Laclos_Liaisons	4	dans ce siècle de philosophie, où les lumières, répandues de toutes parts, ont rendu, comme chacun sait, tous les hommes si honnêtes et toutes les femmes si modestes et si réservées.	2	2	31	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Laclos_Liaisons	5	Notre avis est donc que si les aventures rapportées dans cet ouvrage ont un fonds de vérité, elles n'ont pu arriver que dans d'autres lieux ou dans d'autres temps,/ /et nous blâmons beaucoup l'auteur, qui, séduit apparemment par l'espoir d'intéresser davantage en se rapprochant plus de son siècle et de son pays, a osé faire paraître, sous notre costume et avec nos usages, des mœurs qui nous sont si étrangères.	3	0	76	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Laclos_Liaisons	6	Pour préserver au moins, autant qu'il est en nous, le lecteur trop crédule de toute surprise à ce sujet, nous appuierons notre opinion d'un raisonnement que nous lui proposons avec confiance, parce qu'il nous paraît victorieux et sans réplique ;	4	0	42	0	0.0	[]	0.0	0.0	0.023529411764705882	0.0	0.042766686606638904
Laclos_Liaisons	7	c'est que sans doute les mêmes causes ne manqueraient pas de produire les mêmes effets ;	4	1	16	0	0.0	[]	0.023529411764705882	0.023529411764705882	0.023529411764705882	0.0	0.042766686606638904
Laclos_Liaisons	8	que cependant nous ne voyons point aujourd'hui de demoiselle, avec soixante mille livres de rente, se faire religieuse, ni de présidente, jeune et jolie, mourir de chagrin.	4	2	27	2	0.074074074074074	[['joli'], ['mourir']]	0.046511627906976744	0.043478260869565216	0.023529411764705882	0.0	0.042766686606638904
Laclos_Liaisons	9	PRÉFACE DU RÉDACTEUR	5	0	3	0	0.0	[]	0.02631578947368421	0.046153846153846156	0.015151515151515152	0.0	0.013878113734089585
Laclos_Liaisons	10	Cet ouvrage, ou plutôt ce recueil, que le public trouvera peut-être encore trop volumineux, ne contient pourtant que le plus petit nombre des lettres qui composaient la totalité de la correspondance dont il est extrait.	5	1	35	1	0.0285714285714285	[['petit']]	0.012195121951219513	0.012195121951219513	0.015151515151515152	0.0	0.013878113734089585
Laclos_Liaisons	11	Chargé de la mettre en ordre par les personnes à qui elle était parvenue, et que je savais dans l'intention de la publier, je n'ai demandé, pour prix de mes soins, que la permission d'élaguer tout ce qui me paraîtrait inutile ;	5	2	44	0	0.0	[]	0.009345794392523364	0.009345794392523364	0.015151515151515152	0.0	0.013878113734089585
Laclos_Liaisons	12	et j'ai tâché de ne conserver en effet que les lettres qui m'ont paru nécessaires, soit à l'intelligence des événements soit au développement des caractères.	5	3	28	0	0.0	[]	0.013157894736842105	0.013157894736842105	0.015151515151515152	0.0	0.013878113734089585
Laclos_Liaisons	13	Si l'on ajoute à ce léger travail, celui de replacer par ordre les lettres que j'ai laissé subsister, ordre pour lequel j'ai même presque toujours suivi celui des dates, et enfin quelques notes courtes et rares, et qui, pour la plupart, n'ont d'autre objet que d'indiquer la source de quelques citations, ou de motiver quelques-uns des retranchements que je me suis permis, on saura toute la part que j'ai eue à cet ouvrage.	5	4	80	2	0.025	[['court'], ['rare']]	0.017241379310344827	0.017241379310344827	0.015151515151515152	0.0	0.013878113734089585
Laclos_Liaisons	14	Ma mission ne s'étendait pas plus loin .	5	5	8	0	0.0	[]	0.022727272727272728	0.017543859649122806	0.015151515151515152	0.0	0.013878113734089585
Laclos_Liaisons	15	J'avais proposé des changements plus considérables, et presque tous relatifs à la pureté de diction ou de style, contre laquelle on trouvera beaucoup de fautes.	6	0	26	0	0.0	[]	0.017857142857142856	0.015625	0.011363636363636364	0.0	0.019245008972987504
Laclos_Liaisons	16	J'aurais désiré aussi être autorisé à couper quelques lettres trop longues et dont plusieurs traitent séparément, et presque sans transition, d'objets tout-à-fait étrangers l'un à l'autre.	6	1	30	1	0.0333333333333333	[['long']]	0.011363636363636364	0.011363636363636364	0.011363636363636364	0.0	0.019245008972987504
Laclos_Liaisons	17	Ce travail, qui n'a pas été accepté, n'aurait pas suffi sans doute pour donner du mérite à l'ouvrage, mais en aurait au moins ôté une partie de ses défauts.	6	2	32	0	0.0	[]	0.016129032258064516	0.011363636363636364	0.011363636363636364	0.0	0.019245008972987504
Laclos_Liaisons	18	On m'a objecté que c'étaient les lettres mêmes qu'on voulait faire connaître, et non pas seulement un ouvrage fait d'après ces lettres ;	7	0	26	0	0.0	[]	0.0	0.0	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	19	qu'il serait autant contre la vraisemblance que contre la vérité, que de huit à dix personnes qui ont concouru à cette correspondance, toutes eussent écrit avec une égale pureté.	7	1	30	0	0.0	[]	0.007142857142857143	0.007142857142857143	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	20	Et sur ce que j'ai représenté que loin de-là, il n'y en avait au contraire aucune qui n'eût fait des fautes graves, et qu'on ne manquerait pas de critiquer, on m'a répondu que tout lecteur raisonnable s'attendrait sûrement à trouver des fautes dans un recueil de lettres de quelques particuliers, puisque dans tous ceux publiés jusqu'ici de différents auteurs estimés, et même de quelques académiciens, on n'en trouvait aucun totalement à l'abri de ce reproche.	7	2	84	1	0.0119047619047619	[['grave']]	0.007246376811594203	0.007246376811594203	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	21	Ces raisons ne m'ont pas persuadé, et je les ai trouvées, comme je les trouve encore, plus faciles à donner qu'à recevoir ;	7	3	24	0	0.0	[]	0.008333333333333333	0.008333333333333333	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	22	mais je n'étais pas le maître, et je me suis soumis.	7	4	12	0	0.0	[]	0.0	0.0	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	23	Seulement je me suis réservé de protester contre, et de déclarer que ce n'était pas mon avis ;	7	5	18	0	0.0	[]	0.0	0.0	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	24	ce que je fais en ce moment.	7	6	7	0	0.0	[]	0.0	0.0	0.004975124378109453	0.0	0.004499577059633655
Laclos_Liaisons	25	Quant au mérite que cet ouvrage peut avoir, peut-être ne m'appartient-il pas de m'en expliquer, mon opinion ne devant ni ne pouvant influer sur celle de personne.	8	0	30	0	0.0	[]	0.0	0.0	0.013888888888888888	0.0	0.024845199749997635
Laclos_Liaisons	26	Cependant	8	1	1	0	0.0	[]	0.02040816326530612	0.02040816326530612	0.013888888888888888	0.0	0.024845199749997635
Laclos_Liaisons	27	ceux qui, avant de commencer une lecture, sont bien aises de savoir à peu près sur quoi compter ;	8	2	18	1	0.0555555555555555	[['aiser']]	0.02631578947368421	0.02631578947368421	0.013888888888888888	0.0	0.024845199749997635
