filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Marmontel_Incas	0	PRÉFACE	0	0	1	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	1	Toutes les nations ont eu leurs brigands et leurs fanatiques, leurs temps de barbarie, leurs accès de fureur.	0	1	18	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	2	Les plus estimables sont celles qui s' en accusent.	0	2	9	0	0.0	[]	0.02702702702702703	0.02702702702702703	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	3	Les espagnols ont eu cette fierté, digne de leur caractère.	0	3	10	1	0.1	[['espagnol']]	0.022727272727272728	0.022727272727272728	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	4	Jamais l' histoire n' a rien tracé de plus touchant, de plus terrible, que les malheurs du nouveau monde, dans le livre de Las-Casas.	0	4	25	0	0.0	[]	0.039473684210526314	0.039473684210526314	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	5	Cet apôtre de l' Inde, ce vertueux prélat, ce témoin qu' a rendu célèbre sa sincérité courageuse, compare les indiens à des agneaux, et les espagnols à des tigres, à des loups dévorants, à des lions pressés d' une longue faim.	0	5	41	2	0.048780487804878	[['espagnol'], ['long']]	0.020833333333333332	0.020833333333333332	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	6	Tout ce qu' il dit dans son livre, il l' avait dit aux rois, au conseil de Castille, au milieu d' une cour vendue à ces brigands qu' il accusait.	0	6	30	0	0.0	[]	0.02564102564102564	0.02564102564102564	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	7	Jamais on n' a blâmé son zèle;	0	7	7	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	8	on l' a même honoré: preuve bien éclatante que les crimes qu' il dénonçoit, n' étaient ni permis par le prince, ni avoués par la nation.	0	8	26	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	9	On sait que la volonté d' Isabelle, de Ferdinand, de Ximenès, de Charles-Quint, fut constamment de ménager les indiens;	0	9	20	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	10	c' est ce qu' attestent toutes les ordonnances, tous les réglements faits pour eux.	0	10	14	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	11	Quant à ces crimes, dont l' Espagne s' est lavée, en les publiant elle-même et en les dévouant au blâme, onva voir que par-tout ailleurs les mêmes circonstances auraient trouvé des hommes capables des mêmes excès.	0	11	37	0	0.0	[]	0.014084507042253521	0.014084507042253521	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	12	Les peuples de la zone tempérée, transplantés entre les tropiques, ne peuvent, sous un ciel brûlant, soutenir de rudes travaux.	0	12	20	1	0.05	[['rude']]	0.010416666666666666	0.010416666666666666	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	13	Il fallait donc, ou renoncer à conquérir le nouveau monde, ou se borner à un commerce paisible avec les indiens, ou les contraindre par la force de travailler à la fouille des mines et à la culture des champs.	0	13	39	0	0.0	[]	0.012195121951219513	0.012195121951219513	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	14	Pour renoncer à la conquête, il eût fallu une sagesse que les peuples n' ont jamais eue, et que les rois ont rarement.	0	14	23	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	15	Se borner à un libre échange de secours mutuels eût été le plus juste: par de nouveaux besoins et de nouveaux plaisirs, l' indien serait devenu plus laborieux, plus actif, et la douceur eût obtenu de lui ce que n' a pu la violence.	0	15	44	0	0.0	[]	0.024390243902439025	0.024390243902439025	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	16	Mais le fort, à l' égard du faible, dédaigne ces ménagements: l' égalité le blesse;	0	16	15	2	0.1333333333333333	[['fort'], ['faible']]	0.029411764705882353	0.029411764705882353	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	17	il domine, il commande, il veut recevoir sans donner.	0	17	9	0	0.0	[]	0.08823529411764706	0.08823529411764706	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	18	Chacun, en abordant aux Indes, était pressé de s' enrichir;	0	18	10	1	0.1	[['presser']]	0.03333333333333333	0.03333333333333333	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	19	et l' échange était un moyen trop lent pour leur impatience.	0	19	11	0	0.0	[]	0.08571428571428572	0.08571428571428572	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	20	"L' équité naturelle avait beau leur crier: "" si vous ne pouvez pas vous"	0	20	14	2	0.1428571428571428	[['naturel'], ['beau']]	0.06976744186046512	0.06976744186046512	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	21	-mêmes tirer du sein d' une terre sauvage les productions, les métaux, les richesses qu' elle renferme, abandonnez	0	21	18	1	0.0555555555555555	[['sein']]	0.09090909090909091	0.09090909090909091	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	22	-la;	0	22	1	0	0.0	[]	0.038461538461538464	0.038461538461538464	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	23	soyez pauvres, et ne soyez pas inhumains.	0	23	7	0	0.0	[]	0.043478260869565216	0.043478260869565216	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	24	""" fainéants et avares, ils voulurent avoir, dans leur oisiveté superbe, des esclaves et des trésors."	0	24	15	1	0.0666666666666666	[['superbe']]	0.03125	0.03125	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	25	Les portugais avaient déjà trouvé l' affreuse ressource des negres;	0	25	10	0	0.0	[]	0.06451612903225806	0.06451612903225806	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	26	les espagnols ne l' avaient pas;	0	26	6	1	0.1666666666666666	[['espagnol']]	0.047619047619047616	0.047619047619047616	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	27	les indiens, naturellement faibles, accoutumés à vivre de peu, sans désirs, presque sans besoins, amollis dans l' oisiveté, regardaient comme intolérablesles travaux qu' on leur imposait;	0	27	26	1	0.0384615384615384	[['faible']]	0.047619047619047616	0.047619047619047616	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	28	leur patience se lassait et s' épuisait avec leur force;	0	28	10	0	0.0	[]	0.021739130434782608	0.021739130434782608	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	29	la fuite, leur seule défense, les dérobait à l' oppression;	0	29	10	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	30	il fallut donc les asservir.	0	30	5	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	31	Voilà tout naturellement les premiers pas de la tyrannie.	0	31	9	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	32	Il s' agit de voir à présent par quels degrés elle parvint à ces excès d' horreur qui ont fait frémir la nature; et pour remonter à la source, il faut se rappeler d' abord que l' ancien monde, encore plongé dans les ténèbres de l' ignorance et de la superstition, était si étonné de la découverte du nouveau, qu' il ne pouvait se persuader que celui-ci lui ressemblât.	0	32	69	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	33	On disputait dans les écoles si les indiens étaient des hommes ou des singes.	0	33	14	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	34	Il y eut une bulle de Rome pour décider la question.	0	34	11	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	35	Il faut se rappeler aussi que les castillans qui passèrent dans l' Inde avec Christophe Colomb, étaient la lie de la nation, le rebut de la populace.	0	35	27	0	0.0	[]	0.012345679012345678	0.012345679012345678	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	36	La misère, l' avidité, la dissolution, la débauche, un courage déterminé, mais sans frein comme sans pudeur, mêlé d' orgueil et de bassesse, formaient le caractère de cette soldatesque, indigne de porter les drapeaux et le nom d' un peuple noble et généreux.	0	36	43	1	0.0232558139534883	[['noble']]	0.043859649122807015	0.043859649122807015	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	37	à la tête de ces hommes perdus, marchaient des volontaires sans discipline et sans mœurs, qui ne connaissaient d' honneur que celui de la bravoure, de droit que celui de l' épée, d' objet digne de leurs travaux que le pillage et le butin;	0	37	44	4	0.0909090909090909	[['tête'], ['volontaire'], ['droit'], ['éper']]	0.045454545454545456	0.045454545454545456	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	38	et ce fut à ces hommes que l' amiral Colomb eut la malheureuse imprudence d' abandonner les peuples qui se livraient à lui.	0	38	23	0	0.0	[]	0.05	0.05	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	39	Les habitants de l' île Haïti avaient reçu les castillans comme des dieux.	0	39	13	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	40	Enchantés de les voir, empressés à leur plaire, ils venaient leur offrir leurs biens avec la plus naïve joie et un respect qui tenait du culte.	0	40	26	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	41	Il dépendait des castillans d' en être toujours adorés.	0	41	9	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	42	Mais Colomb voulut aller lui-même porter à la cour d' Espagne la nouvelle de ses succès.	0	42	16	0	0.0	[]	0.014084507042253521	0.014084507042253521	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	43	Il partit, et laissa dans l' île, au milieu des indiens, une troupe de scélérats, qui leur prirent de force leurs filles et leurs femmes, en abuserent à leurs yeux, et par toute sorte d' indignités, leur ayant donné le courage du désespoir, se firent massacrer.	0	43	46	1	0.0217391304347826	[['oeil']]	0.013888888888888888	0.013888888888888888	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	44	Colomb, à son retour, apprit leur mort: elle était juste;	0	44	10	0	0.0	[]	0.014925373134328358	0.014925373134328358	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	45	il aurait dû la pardonner, il la vengea par une perfidie.	0	45	11	0	0.0	[]	0.021739130434782608	0.021739130434782608	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	46	Il tendit un piège au cacique qui avait délivré l' île de ces brigands, le fit prendre par trahison, le fit embarquer pour l' Espagne.	0	46	25	1	0.04	[['tendre']]	0.024691358024691357	0.024691358024691357	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	47	Toute l' île se souleva; mais une multitude d' hommes nus, sans discipline et sans armes, ne put tenir contre des hommes vaillants, aguerris, bien armés: le plus grand nombre des insulaires fut égorgé, le reste prit la fuite, ou subit le joug des vainqueurs.	0	47	45	1	0.0222222222222222	[['grand']]	0.031578947368421054	0.031578947368421054	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	48	Ce fut là que Colomb apprit aux espagnols à faire poursuivre et dévorer les indiens par des chiens affamés, qu' on exerçat à cette chasse.	0	48	25	1	0.04	[['espagnol']]	0.03529411764705882	0.03529411764705882	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	49	Les indiens, assujettis, gémirent quelque temps sous les dures lois que les vainqueurs leur imposerent.	0	49	15	1	0.0666666666666666	[['dur']]	0.04081632653061224	0.04081632653061224	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	50	Enfin excédés, rebutés, ils se sauverent sur les montagnes.	0	50	9	0	0.0	[]	0.05263157894736842	0.05263157894736842	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	51	Les espagnols les poursuivirent, et en tuerent un grand nombre; mais ce massacre ne remédioit point à la nécessitépressante où l' on était réduit: plus de cultivateurs, et dès-lors plus de subsistance.	0	51	33	2	0.0606060606060606	[['espagnol'], ['grand']]	0.05263157894736842	0.05263157894736842	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	52	On distribua aux espagnols des terres, que les indiens furent chargés de cultiver pour eux.	0	52	15	1	0.0666666666666666	[['espagnol']]	0.057692307692307696	0.057692307692307696	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	53	La contrainte fut effroyable;	0	53	4	0	0.0	[]	0.043478260869565216	0.043478260869565216	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	54	Colomb voulut la modérer;	0	54	4	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	55	sa sévérité révolta une partie de sa troupe;	0	55	8	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	56	les coupables, selon l' usage, noircirent leur accusateur, et le perdirent à la cour.	0	56	14	0	0.0	[]	0.018518518518518517	0.018518518518518517	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	57	Celui qui vint prendre la place de Colomb, et qui le renvoya en Espagne chargé de fers, pour avoir voulu mettre un frein à la licence, se garda bien de l' imiter:	0	57	32	1	0.03125	[['de', 'fer']]	0.012658227848101266	0.012658227848101266	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	58	il vit que le plus sûr moyen de s' attacher des hommes ennemis de toute discipline, c' était de donner un champ libre au désordre et au brigandage, dont il partagerait le fruit.	0	58	33	0	0.0	[]	0.014285714285714285	0.014285714285714285	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	59	Ce fut là sa conduite.	0	59	5	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	60	De la corvée à la servitude le passage est facile: ce tyran le franchit.	0	60	14	0	0.0	[]	0.020833333333333332	0.020833333333333332	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	61	Les malheureux insulaires, dont on fit le dénombrement, furent divisés par classes, et distribués comme un bétail dans les possessions espagnoles, pour travailler aux mines et cultiver les champs.	0	61	29	1	0.0344827586206896	[['espagnol']]	0.034482758620689655	0.034482758620689655	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	62	Réduits au plus dur esclavage, ils y succomboient tous, et l' île allait être déserte.	0	62	15	1	0.0666666666666666	[['dur']]	0.024691358024691357	0.024691358024691357	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	63	La cour, informée de la dureté impitoyable du gouverneur, le rappela; et par un événement qu' on regarde comme une vengeance du ciel, à peine fut-il embarqué, qu' il périt à la vue de l' île.	0	63	37	0	0.0	[]	0.027777777777777776	0.027777777777777776	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	64	Vingt-un navires, chargés de l' énorme quantité d' or qu' il avait fait tirer des mines, furent abymés avec lui.	0	64	20	1	0.05	[['énorme']]	0.014492753623188406	0.014492753623188406	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	65	Jamais l' océan, dit l' histoire, n' avait englouti tant de richesses;	0	65	12	0	0.0	[]	0.02564102564102564	0.02564102564102564	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	66	j' ajouterai, ni un plus méchant homme.	0	66	7	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	67	Son successeur fut plus adroit, et ne fut pas moins inhumain.	0	67	11	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	68	La liberté avait été rendue aux insulaires;	0	68	7	0	0.0	[]	0.0	0.0	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	69	et dès-lors le travail des mines et leur produit avaient cessé.	0	69	12	0	0.0	[]	0.017241379310344827	0.017241379310344827	0.020923520923520924	0.0	0.03303360946439904
Marmontel_Incas	70	Le nouveau tyran écrivit à Isabelle, calomnia les indiens, leur fit un crime de s' enfuir à l' approche des espagnols, et d' aimer mieux être vagabonds que de vivre avec des chrétiens, pour se faire enseigner leur loi;	0	70	39	1	0.0256410256410256	[['espagnol']]	0.01639344262295082	0.01639344262295082	0.020923520923520924	0.0	0.03303360946439904
