filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Nerciat_Aphrodites	0	PRÉAMBULE NÉCESSAIRE.	0	0	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Nerciat_Aphrodites	1	L'Ordre ou la Fraternité des Aphrodites, aussi nommés Morosophes (*), se forma dès la Régence du fameux Philippe d'Orléans, tout ensemble homme d'Etat et homme de plaisir;	1	0	31	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Nerciat_Aphrodites	2	au surplus bien différent de son arrière-petit fils, qui s'est aussi fait une réputation dans l'une et l'autre carrière.	1	1	22	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Nerciat_Aphrodites	3	Soit qu'un inviolable secret eût constamment garanti les anciens Aphrodites de l'animadversion de l'autorité-publique ( si sévère comme on sait, contre le libertinage porté à certains excès ) ;	2	0	31	0	0.0	[]	0.012987012987012988	0.010101010101010102	0.018018018018018018	0.0	0.04332581971601083
Nerciat_Aphrodites	4	soit que dans le nombre de ces fidèles Associés, il y en eût plusieurs d'assez puissant pour rendre vaine la rigueur des Loix qui auraient pu les disperser et les punir, jamais, avant la Révolution, leur Société n'avait souffert d'échec de quelque conséquence ;	2	1	46	1	0.0217391304347826	[['puissant']]	0.01098901098901099	0.01098901098901099	0.018018018018018018	0.0	0.04332581971601083
Nerciat_Aphrodites	5	mais ce récent événement a frappé plus des trois quarts des Freres et Sœurs ;	2	2	14	0	0.0	[]	0.02857142857142857	0.02857142857142857	0.018018018018018018	0.0	0.04332581971601083
Nerciat_Aphrodites	6	les plus solides colonnes de l'Ordre ont été brisées;	2	3	10	1	0.1	[['solide']]	0.029411764705882353	0.029411764705882353	0.018018018018018018	0.0	0.04332581971601083
Nerciat_Aphrodites	7	le local même, qui était dans Paris, a été abandonné.	2	4	10	0	0.0	[]	0.05	0.027777777777777776	0.018018018018018018	0.0	0.04332581971601083
Nerciat_Aphrodites	8	Des débris de l'ancienne Institution, s'est formée celle dont ces feuilles donneront une idée.	3	0	16	0	0.0	[]	0.0	0.029850746268656716	0.0	0.0	0.0
Nerciat_Aphrodites	9	On y verra se développer progressivement le lubrique système et les capricieuses habitudes des Aphrodites, gens fort répréhensibles peut-être, mais qui du moins ne sont pas dangereux ; et qui, fort content de leur Constitution, ne songent nullement à constituer l'Univers.	4	0	41	2	0.048780487804878	[['fort'], ['fort']]	0.04878048780487805	0.034482758620689655	0.04878048780487805	0.048780487804878	0.0
Nerciat_Aphrodites	10	Ci	5	0	1	0	0.0	[]	0.0	0.031746031746031744	0.02	0.00675675675675675	0.02330072859249496
Nerciat_Aphrodites	11	-devant il n'y avait pas eu d'exemple qu'un seul statut, un seul usage des Aphrodites eût été divulgué ;	5	1	21	0	0.0	[]	0.0	0.0	0.02	0.00675675675675675	0.02330072859249496
Nerciat_Aphrodites	12	mais quand un nouvel ordre de choses existe ;	5	2	8	0	0.0	[]	0.009708737864077669	0.009708737864077669	0.02	0.00675675675675675	0.02330072859249496
Nerciat_Aphrodites	13	quand mille petites récréations ( criminelles du temps de l'ancien régime ) comme la calomnie, les délations, les exécutions impromptu et c. Sont sinon encour agées, du moins tolérées, qu'ont à craindre de se livrer sans beaucoup de mystère aux leurs, des citoyens infiniment actifs, qui, d'accord avec la Nation, reconnaissent la Liberté, l' Egalité pour bases de leur bonheur; qui, comme elle, méprisent toute distinction de naissance, de rang et de fortune;	5	3	74	1	0.0135135135135135	[['petit']]	0.02	0.02	0.02	0.00675675675675675	0.02330072859249496
Nerciat_Aphrodites	14	qui savent tirer la vraie quintesscence des droits de l'homme, si heur eusement dévoilés de nos jours ;	5	4	18	1	0.0555555555555555	[['droit']]	0.025	0.025	0.02	0.00675675675675675	0.02330072859249496
Nerciat_Aphrodites	15	et ne font rien, en un mot, qui n'ait pour but la paix, l' union, la concorde, suivies ( surtout pour eux ) du calme et de la tranquillité?	5	5	28	1	0.0357142857142857	[['calme']]	0.043478260869565216	0.02564102564102564	0.02	0.00675675675675675	0.02330072859249496
Nerciat_Aphrodites	16	C'est au peu d'intérêt qu'ont les Aphrodites modernes à cacher ce qui se passe dans leur Sanctuaire, que nous devons les Scènes fidèles dont sera composé ce joyeux Recueil.	6	0	32	0	0.0	[]	0.0	0.015625	0.0	0.0	0.0
Nerciat_Aphrodites	17	NOTE DE L'ÉDITEUR.	7	0	4	0	0.0	[]	0.0	0.009433962264150943	0.0	0.0	0.0
Nerciat_Aphrodites	18	-- Au trait, au coloris de ces Tableaux, et sur-tout à certains mots neufs (tels nommément que Boutejoye ), on a cru reconnaître l'Auteur des Aphrodites pour le même à qui l'on doit le Doctorat Impromptu, la Matinée Libertine, le Diableau corps, et d'autres folies du même genre.--Du moins, si ces Fragmens sont d'un Imitateur, on peut assurer qu'il a parfaitement saisi la manière du Modèle.	8	0	70	1	0.0142857142857142	[['corps']]	0.014285714285714285	0.013157894736842105	0.014285714285714285	0.0142857142857142	0.0
Nerciat_Aphrodites	19	LES APHRODITES.	9	0	2	0	0.0	[]	0.0	0.013333333333333334	0.0	0.0	0.0
Nerciat_Aphrodites	20	C'EST TOI ?	10	0	3	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Nerciat_Aphrodites	21	-- C'EST MOI.	10	1	3	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Nerciat_Aphrodites	22	PREMIER FRAGMENT	11	0	2	0	0.0	[]	0.0	0.03260869565217391	0.0	0.0	0.0
