filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Voltaire_Homme	0	AVERTISSEMENT DES ÉDITEURS DE L'ÉDITION DE KEHL.	0	0	8	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Homme	1	Après la paix de 1748, les esprits parurent se porter, en France, vers l'agriculture et l'économie politique, et on publia beaucoup d'ouvrages sur ces deux objets.	1	0	29	0	0.0	[]	0.0	0.0	0.014778325123152709	0.0096153846153846	0.014077903176229556
Voltaire_Homme	2	M. de Voltaire vit avec peine que, sur des matières qui touchaient de si près au bonheur des hommes, l'esprit de système vint se mêler aux observations et aux discussions utiles.	1	1	32	0	0.0	[]	0.0	0.0	0.014778325123152709	0.0096153846153846	0.014077903176229556
Voltaire_Homme	3	C'est dans un moment d'humeur contre ces systèmes qu'il s'amusa à faire ce roman.	1	2	18	0	0.0	[]	0.011904761904761904	0.011904761904761904	0.014778325123152709	0.0096153846153846	0.014077903176229556
Voltaire_Homme	4	On venait de proposer des moyens de s'enrichir par l'agriculture, dont les uns demandaient des avances supérieures aux moyens des cultivateurs les plus riches, tandis que les autres offraient des profits chimériques.	1	3	34	1	0.0294117647058823	[['riche']]	0.022222222222222223	0.022222222222222223	0.014778325123152709	0.0096153846153846	0.014077903176229556
Voltaire_Homme	5	On avait employé dans un grand nombre d'ouvrages des expressions bizarres, comme celle de *despotisme légal ,* pour exprimer le gouvernement d'un souverain absolu qui conformerait toutes ses volontés aux principes démontrés de l'économie politique ;	1	4	38	1	0.0263157894736842	[['grand']]	0.024193548387096774	0.024193548387096774	0.014778325123152709	0.0096153846153846	0.014077903176229556
Voltaire_Homme	6	comme celle qui faisait la puissance législative *copropriétaire de toutes les possessions ,* pour dire que chaque homme, étant intéressé aux lois qui lui assurent la libre jouissance de sa propriété, devait payer proportionnellement sur son revenu pour les dépenses que nécessite le maintien de ces lois et de la sûreté publique.	1	5	52	1	0.0192307692307692	[['maintien']]	0.022222222222222223	0.020202020202020204	0.014778325123152709	0.0096153846153846	0.014077903176229556
Voltaire_Homme	7	Ces expressions nuisirent à des vérités d'ailleurs utiles.	2	0	9	0	0.0	[]	0.0	0.010309278350515464	0.014598540145985401	0.0	0.014973442822512228
Voltaire_Homme	8	Ceux qui ont dit les premiers que les principes de l'administration des États étaient dictés par la raison et par la nature ; qu'ils devaient être les mêmes dans les monarchies et dans les républiques ;	2	1	36	0	0.0	[]	0.013333333333333334	0.013333333333333334	0.014598540145985401	0.0	0.014973442822512228
Voltaire_Homme	9	que c'était du rétablissement de ces principes que dépendaient la vraie richesse, la force, le bonheur des nations, et même la jouissance des droits des hommes les plus importants ;	2	2	30	1	0.0333333333333333	[['droit']]	0.016666666666666666	0.016666666666666666	0.014598540145985401	0.0	0.014973442822512228
Voltaire_Homme	10	que le droit de propriété pris dans toute son étendue, celui de faire de son industrie, de ses denrées, un usage absolument libre, étaient des droits aussi naturels, et surtout bien plus importants, pour les quatre-vingt-dix-neuf centièmes des hommes, que celui de faire partie pour un dix-millionième de la puissance législative ; ceux qui ont ajouté que la conservation de la sûreté, de la liberté personnelle, est moins liée qu'on ne croit avec la liberté de la constitution ; que, sur tous ces points, les lois qui sont conformes à la justice et à la raison sont les meilleures en politique, et même les seules bonnes dans toutes les formes de gouvernement ; qu'enfin, tant que les lois ou l'administration sont mauvaises, le gouvernement le plus à désirer est celui où l'on peut espérer la réforme de ces lois la plus prompte et la plus entière : tous ceux qui ont dit ces vérités ont été utiles aux hommes, en leur apprenant que le bonheur était plus près d'eux qu'ils ne pensaient ;	2	3	174	3	0.0172413793103448	[['droit'], ['droit'], ['naturel']]	0.017467248908296942	0.017467248908296942	0.014598540145985401	0.0	0.014973442822512228
Voltaire_Homme	11	et que ce n'est point en bouleversant le monde, mais en l'éclairant, qu'ils peuvent espérer de trouver le bien-être et la liberté.	2	4	25	0	0.0	[]	0.01507537688442211	0.011363636363636364	0.014598540145985401	0.0	0.014973442822512228
Voltaire_Homme	12	L'idée que la félicité humaine dépend d'une connaissance plus entière, plus parfaite de la vérité, et par conséquent des progrès de la raison, est la plus consolante qu'on puisse nous offrir : car les progrès de la raison sont dans l'homme la seule chose qui n'ait point de bornes, et la connaissance de la vérité, la seule qui puisse être éternelle.	3	0	65	0	0.0	[]	0.0	0.006896551724137931	0.0	0.0	0.0
Voltaire_Homme	13	L'impôt sur le produit des terres est le plus utile à celui qui lève l'impôt, le moins onéreux à celui qui le paye, le seul juste parce qu'il est le seul où chacun paye à mesure de ce qu'il possède, de l'intérêt qu'il a au maintien de la société.	4	0	55	1	0.0181818181818181	[['maintien']]	0.01818181818181818	0.013333333333333334	0.01818181818181818	0.0181818181818181	0.0
Voltaire_Homme	14	Cette vérité a été encore établie par les mêmes écrivains, et c'est une de celles qui ont sur le bonheur des hommes une influence plus puissante et plus directe.	5	0	30	1	0.0333333333333333	[['puissant']]	0.03333333333333333	0.02608695652173913	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	15	Mais si des hommes, d'ailleurs éclairés et de bonne foi, ont nié cette vérité, c'est en grande partie la faute de ceux qui ont cherché à la prouver.	5	1	30	1	0.0333333333333333	[['grand']]	0.024691358024691357	0.024691358024691357	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	16	Nous disons en partie, parce que nous connaissons peu de circonstances où la faute soit tout entière d'un seul côté.	5	2	21	0	0.0	[]	0.014285714285714285	0.014285714285714285	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	17	Si les partisans de cette opinion l'avaient développée d'une manière plus analytique et avec plus de clarté ;	5	3	19	0	0.0	[]	0.0	0.0	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	18	si ceux qui l'ont rejetée avaient voulu l'examiner avec plus de soin, les opinions auraient été bien moins partagées ;	5	4	21	0	0.0	[]	0.0	0.0	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	19	du moins les objections que les derniers ont faites semblent le prouver.	5	5	12	0	0.0	[]	0.008547008547008548	0.008547008547008548	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	20	Ils auraient senti que les impôts annuels, de quelque manière qu'ils saient imposés, sont levés sur le produit de la terre ; qu'un impôt territorial ne diffère d'un autre que parce qu'il est levé avec moins de frais, ne met aucune entrave dans le commerce, ne porte la mort dans aucune branche d'industrie, n'occasionne aucune vexation, parce qu'il peut être distribué avec égalité sur les différentes productions, proportionnellement au produit net que chaque terre rapporte à son propriétaire.	5	6	84	1	0.0119047619047619	[['frais']]	0.010416666666666666	0.006711409395973154	0.013824884792626729	0.0	0.015716347009725046
Voltaire_Homme	21	Nous avons combattu dans les notes quelques-unes des opinions de M. de Voltaire, qui sont contraires à ce principe, parce qu'elles ont pour objet des questions très-importantes au bonheur public, et que son ouvrage était destiné à être lu par les hommes de tous les états dans l'Europe entière.	6	0	53	0	0.0	[]	0.0	0.006289308176100629	0.0	0.0	0.0
Voltaire_Homme	22	Nous avons cru qu'il était de notre devoir d'exposer la vérité, ou du moins ce que nous croyons la vérité.	6	1	22	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Homme	23	Un vieillard, qui toujours plaint le présent et vante le passé, me disait : «	7	0	14	0	0.0	[]	0.03225806451612903	0.018867924528301886	0.014925373134328358	0.0	0.026306682088232818
Voltaire_Homme	24	Mon ami, la France n'est pas aussi riche qu'elle l'a été sous Henri IV.	7	1	17	1	0.0588235294117647	[['riche']]	0.03125	0.03125	0.014925373134328358	0.0	0.026306682088232818
Voltaire_Homme	25	Pourquoi ?	7	2	1	0	0.0	[]	0.034482758620689655	0.034482758620689655	0.014925373134328358	0.0	0.026306682088232818
Voltaire_Homme	26	C'est que les terres ne sont pas si bien cultivées ;	7	3	11	0	0.0	[]	0.0	0.0	0.014925373134328358	0.0	0.026306682088232818
Voltaire_Homme	27	c'est que les hommes manquent à la terre, et que le journalier ayant enchéri son travail, plusieurs colons laissent leurs héritages en friche.	7	4	24	0	0.0	[]	0.0	0.0	0.014925373134328358	0.0	0.026306682088232818
Voltaire_Homme	28	--- D'où vient cette disette de manœuvres ?	8	0	7	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Homme	29	---De ce que quiconque s'est senti un peu d'industrie a embrassé les métiers de brodeur, de ciseleur, d'horloger, d'ouvrier en soie, de procureur, ou de théologien.	9	0	30	0	0.0	[]	0.009615384615384616	0.009009009009009009	0.023809523809523808	0.00675675675675675	0.02573060440592627
Voltaire_Homme	30	C'est que la révocation de l'édit de Nantes a laissé un très-grand vide dans le royaume ; que les religieuses et les mendiants se sont multipliés, et qu'enfin chacun a fui, autant qu'il a pu, le travail pénible de la culture, pour laquelle Dieu nous a fait naître, et que nous avons rendue ignominieuse, tant nous sommes sensés « Une autre cause de notre pauvreté est dans nos besoins nouveaux.	9	1	74	1	0.0135135135135135	[['grand']]	0.014925373134328358	0.014925373134328358	0.023809523809523808	0.00675675675675675	0.02573060440592627
Voltaire_Homme	31	Il faut payer à nos voisins quatre millions d'un article, et cinq ou six d'un autre, pour mettre dans notre nez une poudre puante venue de l'Amérique ;	9	2	30	1	0.0333333333333333	[['nez']]	0.016129032258064516	0.016129032258064516	0.023809523809523808	0.00675675675675675	0.02573060440592627
