filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Voltaire_Princesse	0	CHAPITRE I .	0	0	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	1	DESCRIPTION DU PALAIS DU ROI DE BABYLONE, PÈRE DE LA BELLE BABYLONIENNE.	0	1	12	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	2	PORTRAIT DE CETTE INCOMPARABLE	0	2	4	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	3	BEAUTÉ.	0	3	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	4	ORACLE	0	4	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	5	QUI ORDONNE	0	5	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	6	SON MARIAGE, ET À QUELLES CONDITIONS.	0	6	6	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	7	TROIS ROIS SE PRÉSENTENT POUR L'OBTENIR.	0	7	7	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	8	ARRIVÉE D'UN QUATRIÈME PRÉTENDANT.	0	8	5	0	0.0	[]	0.0	0.02564102564102564	0.0	0.0	0.0
Voltaire_Princesse	9	Le vieux Bélus, roi de Babylone, se croyait le premier homme de la terre : car tous ses courtisans le lui disaient, et ses historiographes le lui prouvaient.	1	0	27	1	0.037037037037037	[['vieux']]	0.017241379310344827	0.015873015873015872	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	10	Ce qui pouvait excuser en lui ce ridicule, c'est qu'en effet ses prédécesseurs avaient bâti Babylone plus de trente mille ans avant lui, et qu'il l'avait embellie.	1	1	31	0	0.0	[]	0.011764705882352941	0.011764705882352941	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	11	On sait que son palais et son parc, situés à quelques parasanges de Babylone, s'étendaient entre l'Euphrate et le Tigre, qui baignaient ces rivages enchantés.	1	2	27	0	0.0	[]	0.013888888888888888	0.013888888888888888	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	12	Sa vaste maison, de trois mille pas de façade, s'élevait jusqu'aux nues.	1	3	14	1	0.0714285714285714	[['vaste']]	0.06666666666666667	0.06666666666666667	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	13	La plate-forme était entourée d'une balustrade de marbre blanc de cinquante pieds de hauteur, qui portait les statues colossales de tous les rois et de tous les grands hommes de l'empire.	1	4	34	4	0.1176470588235294	[['plate'], ['blanc'], ['pied'], ['grand']]	0.1	0.1	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	14	Cette plate	1	5	2	0	0.0	[]	0.06315789473684211	0.06315789473684211	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	15	-forme, composée de deux rangs de briques couvertes d'une épaisse surface de plomb d'une extrémité à l'autre, était chargée de douze pieds de terre, et sur cette terre on avait élevé des forêts d'oliviers, d'orangers, de citronniers, de palmiers, de girofliers, de cocotiers, de cannelliers, qui formaient des allées impénétrables aux rayons du soleil.	1	6	59	2	0.0338983050847457	[['extrémité'], ['pied']]	0.03278688524590164	0.0390625	0.041237113402061855	0.0338983050847457	0.04435792018960022
Voltaire_Princesse	16	Les eaux de l'Euphrate, élevées par des pompes dans cent colonnes creusées, venaient dans ces jardins remplir de vastes bassins de marbre, et, retombant ensuite par d'autres canaux, allaient former dans le parc des cascades de six mille pieds de longueur, et cent mille jets d'eau dont la hauteur pouvait à peine être aperçue : elles retournaient ensuite dans l'Euphrate, dont elles étaient parties.	2	0	67	3	0.044776119402985	[['creuser'], ['vaste'], ['pied']]	0.038461538461538464	0.03680981595092025	0.038461538461538464	0.035901573215006005	0.012550503578946354
Voltaire_Princesse	17	Les jardins de Sémiramis, qui étonnèrent l'Asie plusieurs siècles après, n'étaient qu'une faible imitation de ces antiques merveilles : car, du temps de Sémiramis, tout commençait à dégénérer chez les hommes et chez les femmes.	2	1	37	1	0.027027027027027	[['faible']]	0.038461538461538464	0.031007751937984496	0.038461538461538464	0.035901573215006005	0.012550503578946354
Voltaire_Princesse	18	Mais ce qu'il y avait de plus admirable à Babylone, ce qui éclipsait tout le reste, était la fille unique du roi, nommée Formosante.	3	0	25	0	0.0	[]	0.018518518518518517	0.02197802197802198	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	19	Ce fut d'après ses portraits et ses statues que dans la suite des siècles Praxitèle sculpta son Aphrodite, et celle qu'on nomma la Vénus aux belles fesses .	3	1	29	1	0.0344827586206896	[['beau']]	0.013333333333333334	0.013333333333333334	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	20	Quelle différence, ô ciel de l'original aux copies Aussi Bélus était plus fier de sa fille que de son royaume.	3	2	21	0	0.0	[]	0.016129032258064516	0.016129032258064516	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	21	Elle avait dix-huit ans : il lui fallait un époux digne d'elle ;	3	3	12	0	0.0	[]	0.0	0.0	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	22	mais où le trouver ?	3	4	4	0	0.0	[]	0.02857142857142857	0.02857142857142857	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	23	Un ancien oracle avait ordonné que Formosante ne pourrait appartenir qu'à celui qui tendrait l'arc de Nembrod.	3	5	19	1	0.0526315789473684	[['tendre']]	0.08108108108108109	0.08108108108108109	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	24	Ce Nembrod, le fort chasseur devant le Seigneur, avait laissé un arc de sept pieds babyloniques de haut, d'un bois d'ébène plus dur que le fer du mont Caucase, qu'on travaille dans les forges de Derbent ; et nul mortel, depuis Nembrod, n'avait pu bander cet arc merveilleux.	3	6	51	5	0.0980392156862745	[['fort'], ['pied'], ['haut'], ['ébène'], ['dur']]	0.08571428571428572	0.08	0.043478260869565216	0.0	0.03802066562631393
Voltaire_Princesse	25	Il était dit encore que le bras qui aurait tendu cet arc tuerait le lion le plus terrible et le plus dangereux qui serait lâché dans le cirque de Babylone.	4	0	30	2	0.0666666666666666	[['bras'], ['tendre']]	0.04081632653061224	0.07	0.05063291139240506	0.0666666666666666	0.03849001794597501
Voltaire_Princesse	26	Ce n'était pas tout : le bandeur de l'arc, le vainqueur du lion devait terrasser tous ses rivaux ;	4	1	19	0	0.0	[]	0.05063291139240506	0.05063291139240506	0.05063291139240506	0.0666666666666666	0.03849001794597501
Voltaire_Princesse	27	mais il devait surtout avoir beaucoup d'esprit, être le plus magnifique des hommes, le plus vertueux, et posséder la chose la plus rare qui fût dans l'univers entier.	4	2	30	2	0.0666666666666666	[['magnifique'], ['rare']]	0.04081632653061224	0.041666666666666664	0.05063291139240506	0.0666666666666666	0.03849001794597501
Voltaire_Princesse	28	Il se présenta trois rois qui osèrent disputer Formosante : le pharaon d'Égypte, le sha des Indes, et le grand kan des Scythes.	5	0	23	1	0.0434782608695652	[['grand']]	0.05660377358490566	0.060240963855421686	0.031496062992125984	0.030511060259344	0.02924884060869094
Voltaire_Princesse	29	Bélus assigna le jour, et le lieu du combat à l'extrémité de son parc, dans le vaste espace bordé par les eaux de l'Euphrate et du Tigre réunies.	5	1	30	2	0.0666666666666666	[['extrémité'], ['vaste']]	0.04285714285714286	0.04285714285714286	0.031496062992125984	0.030511060259344	0.02924884060869094
Voltaire_Princesse	30	On dressa autour de la lice un amphithéâtre de marbre qui pouvait contenir cinq cent mille spectateurs.	5	2	17	0	0.0	[]	0.028846153846153848	0.028846153846153848	0.031496062992125984	0.030511060259344	0.02924884060869094
Voltaire_Princesse	31	Vis-à-vis l'amphithéâtre était le trône du roi, qui devait paraître avec Formosante, accompagnée de toute la cour ; et à droite et à gauche entre le trône et l'amphithéâtre, étaient d'autres trônes et d'autres sièges pour les trois rois et pour tous les autres souverains qui seraient curieux de venir voir cette auguste cérémonie.	5	3	57	1	0.0175438596491228	[['siège']]	0.013513513513513514	0.02127659574468085	0.031496062992125984	0.030511060259344	0.02924884060869094
Voltaire_Princesse	32	Le roi d'Égypte arriva le premier, monté sur le bœuf Apis, et tenant en main le sistre d'Isis.	6	0	20	1	0.05	[['main']]	0.04	0.028037383177570093	0.04	0.04166666666666665	0.011785113019775818
Voltaire_Princesse	33	Il était suivi de deux mille prêtres vêtus de robes de lin plus blanches que la neige, de deux mille eunuques, de deux mille magiciens, et de deux mille guerriers.	6	1	30	1	0.0333333333333333	[['blanc']]	0.04	0.03125	0.04	0.04166666666666665	0.011785113019775818
Voltaire_Princesse	34	Le roi des Indes arriva bientôt après dans un char traîné par douze éléphants.	7	0	14	0	0.0	[]	0.0	0.01694915254237288	0.0	0.0	0.0
Voltaire_Princesse	35	Il avait une suite encore plus nombreuse et plus brillante que le pharaon d'Égypte.	7	1	15	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Princesse	36	Le dernier qui parut était le roi des Scythes.	8	0	9	0	0.0	[]	0.0	0.0	0.06818181818181818	0.0425531914893617	0.05904244796241496
Voltaire_Princesse	37	Il n'avait auprès de lui que des guerriers choisis, armés d'arcs et de flèches.	8	1	16	0	0.0	[]	0.06666666666666667	0.06666666666666667	0.06818181818181818	0.0425531914893617	0.05904244796241496
Voltaire_Princesse	38	Sa monture était un tigre superbe qu'il avait dompté, et qui était aussi haut que les plus beaux chevaux de Perse, La taille de ce monarque, imposante et majestueuse, effaçait celle de ses rivaux ;	8	2	35	4	0.1142857142857142	[['superbe'], ['haut'], ['taille'], ['majestueux']]	0.09210526315789473	0.09210526315789473	0.06818181818181818	0.0425531914893617	0.05904244796241496
Voltaire_Princesse	39	ses bras nus, aussi nerveux que blancs, semblaient déjà tendre l'arc de Nembrod, Les trois princes se prosternèrent d'abord devant Bélus et Formosante.	8	3	25	3	0.12	[['bras'], ['nerveux'], ['tendre']]	0.08411214953271028	0.08411214953271028	0.06818181818181818	0.0425531914893617	0.05904244796241496
Voltaire_Princesse	40	Le roi d'Égypte offrit à la princesse les deux plus beaux crocodiles du Nil, deux hippopotames, deux zèbres, deux rats d'Égypte, et deux momies, avec les livres du grand Hermès, qu'il croyait être ce qu'il y avait de plus rare sur la terre.	8	4	47	2	0.0425531914893617	[['grand'], ['rare']]	0.06944444444444445	0.06862745098039216	0.06818181818181818	0.0425531914893617	0.05904244796241496
Voltaire_Princesse	41	Le roi des Indes lui offrit cent éléphants qui portaient chacun une tour de bois doré, et mit à ses pieds le Veidam, écrit de la main de Xaca lui-même.	9	0	30	2	0.0666666666666666	[['pied'], ['main']]	0.06666666666666667	0.04950495049504951	0.06666666666666667	0.0666666666666666	0.0
Voltaire_Princesse	42	Le roi des Scythes, qui ne savait ni lire ni écrire, présenta cent chevaux de bataille couverts de housses de peaux de renards noirs.	10	0	24	1	0.0416666666666666	[['peau']]	0.041666666666666664	0.05555555555555555	0.041666666666666664	0.0416666666666666	0.0
Voltaire_Princesse	43	La princesse baissa les yeux devant ses amants, et s'inclina avec des grâces aussi modestes que nobles.	11	0	18	1	0.0555555555555555	[['oeil']]	0.05555555555555555	0.02857142857142857	0.05555555555555555	0.0555555555555555	0.0
Voltaire_Princesse	44	Bélus fit conduire ces monarques sur les trônes qui leur étaient préparés, « Que n'ai-je trois filles leur dit-il, je rendrais aujourd'hui six personnes heureuses.	12	0	28	0	0.0	[]	0.0	0.016129032258064516	0.011111111111111112	0.0	0.03402069087198857
Voltaire_Princesse	45	» Ensuite il fit tirer au sort à qui essayerait le premier l'arc de Nembrod.	12	1	16	0	0.0	[]	0.017857142857142856	0.017857142857142856	0.011111111111111112	0.0	0.03402069087198857
Voltaire_Princesse	46	On mit dans un casque d'or les noms des trois prétendants.	12	2	12	1	0.0833333333333333	[['de', 'or']]	0.027777777777777776	0.027777777777777776	0.011111111111111112	0.0	0.03402069087198857
Voltaire_Princesse	47	Celui du roi d'Égypte sortit le premier ;	12	3	8	0	0.0	[]	0.03571428571428571	0.03571428571428571	0.011111111111111112	0.0	0.03402069087198857
Voltaire_Princesse	48	ensuite parut le nom du roi des Indes.	12	4	8	0	0.0	[]	0.0	0.0	0.011111111111111112	0.0	0.03402069087198857
Voltaire_Princesse	49	Le roi scythe, en regardant l'arc et ses rivaux, ne se plaignit point d'être le troisième.	12	5	18	0	0.0	[]	0.0	0.0	0.011111111111111112	0.0	0.03402069087198857
