filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	1	0	0.0	0.0	0.0
	1	4	138	2	0.014492753623188406	0.0072463768115942	0.013353468833028941
	2	1	52	1	0.019230769230769232	0.0192307692307692	0.0
	3	26	556	16	0.02877697841726619	0.0	0.03918518618015148
	4	4	72	0	0.0	0.0	0.0
	5	18	475	12	0.02526315789473684	0.02128623188405795	0.03925736817776242
	6	21	443	1	0.002257336343115124	0.0	0.005742576058841901
	7	4	71	1	0.014084507042253521	0.0	0.01666666666666665
	8	10	152	2	0.013157894736842105	0.0	0.026266391487207733
	9	8	285	2	0.007017543859649123	0.0	0.009686394262829417
	10	4	185	0	0.0	0.0	0.0
	11	16	410	5	0.012195121951219513	0.0	0.014373133126120362
	12	27	549	10	0.018214936247723135	0.0	0.0405399483634604
	13	7	257	7	0.027237354085603113	0.0222222222222222	0.035732872101551905
	14	4	95	3	0.031578947368421054	0.0111111111111111	0.05610645733857779
	15	2	7	0	0.0	0.0	0.0
	16	1	3	0	0.0	0.0	0.0
	17	9	215	2	0.009302325581395349	0.0	0.022567364896949552
	18	5	125	2	0.016	0.0	0.012182636369503896
	19	10	277	4	0.01444043321299639	0.0	0.019541605750452638
	20	1	36	0	0.0	0.0	0.0
	21	8	203	7	0.034482758620689655	0.02633171912832925	0.037487580562295224
	22	1	30	0	0.0	0.0	0.0
	23	3	60	0	0.0	0.0	0.0
	24	2	82	3	0.036585365853658534	0.03767942583732055	0.02114553771490872
	25	5	69	5	0.07246376811594203	0.0	0.12422599874998833
	26	6	119	3	0.025210084033613446	0.0	0.03847509770980391
	27	8	174	2	0.011494252873563218	0.0	0.026427664696890295
	28	20	431	10	0.02320185614849188	0.0	0.028916227589420154
	29	4	141	6	0.0425531914893617	0.0244107744107744	0.04491176700703405
	30	6	123	4	0.032520325203252036	0.01388888888888885	0.05975625403272506
	31	3	114	0	0.0	0.0	0.0
	32	20	403	17	0.04218362282878412	0.01136363636363635	0.05191293853187912
	33	5	82	1	0.012195121951219513	0.0	0.023537557657892512
	34	13	291	4	0.013745704467353952	0.0	0.023642935487991432
	35	4	105	1	0.009523809523809525	0.0	0.0094339622641509
	36	3	96	5	0.052083333333333336	0.0491803278688524	0.032203381292589504
	37	11	405	25	0.06172839506172839	0.0666666666666666	0.03828938511686597
	38	7	153	6	0.0392156862745098	0.0	0.04160657301357042
