filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	14	0	0.0	0.0	0.0
	1	7	160	2	0.0125	0.0	0.014306661480516701
	2	3	75	1	0.013333333333333334	0.0	0.01374643498070537
	3	7	169	2	0.011834319526627219	0.0	0.014876956703317587
	4	1	4	0	0.0	0.0	0.0
	5	2	48	1	0.020833333333333332	0.0192307692307692	0.027196414661021018
	6	9	255	7	0.027450980392156862	0.0	0.06615097401705969
	7	5	139	2	0.014388489208633094	0.0	0.01687598473584744
	8	4	102	0	0.0	0.0	0.0
	9	2	3	0	0.0	0.0	0.0
	10	2	45	0	0.0	0.0	0.0
	11	49	893	14	0.015677491601343786	0.0	0.025923125964820434
	12	3	103	4	0.038834951456310676	0.05	0.029377880273866775
	13	25	424	9	0.02122641509433962	0.0	0.038973825531960486
	14	8	169	2	0.011834319526627219	0.0	0.016317626732796273
	15	8	246	4	0.016260162601626018	0.0061728395061728	0.01582686311833198
	16	7	139	0	0.0	0.0	0.0
	17	1	2	0	0.0	0.0	0.0
	18	2	53	0	0.0	0.0	0.0
	19	4	72	2	0.027777777777777776	0.0	0.022727272727272697
	20	1	3	0	0.0	0.0	0.0
	21	4	39	4	0.10256410256410256	0.10096153846153845	0.06385392976864086
	22	16	171	6	0.03508771929824561	0.0	0.06287734163196586
	23	2	30	0	0.0	0.0	0.0
	24	3	47	0	0.0	0.0	0.0
	25	5	87	1	0.011494252873563218	0.0	0.022360679774997897
	26	2	24	0	0.0	0.0	0.0
	27	15	144	1	0.006944444444444444	0.0	0.011736313170325492
	28	1	13	0	0.0	0.0	0.0
	29	1	42	1	0.023809523809523808	0.0238095238095238	0.0
	30	7	196	6	0.030612244897959183	0.024390243902439	0.04471876101892061
	31	6	144	2	0.013888888888888888	0.0	0.01363776602722203
	32	2	33	1	0.030303030303030304	0.02	0.0282842712474619
	33	14	251	4	0.01593625498007968	0.0	0.02283907014010019
	34	21	325	4	0.012307692307692308	0.0	0.020317191829503447
	35	12	161	0	0.0	0.0	0.0
	36	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	37	1	19	0	0.0	0.0	0.0
	38	25	382	4	0.010471204188481676	0.0	0.015149596194120183
	39	7	143	2	0.013986013986013986	0.0	0.01716360408834171
	40	25	201	2	0.009950248756218905	0.0	0.010342375188238167
	41	1	39	0	0.0	0.0	0.0
	42	23	388	4	0.010309278350515464	0.0	0.019483921965140327
	43	20	208	2	0.009615384615384616	0.0	0.03793606116668023
	44	5	36	0	0.0	0.0	0.0
	45	2	13	0	0.0	0.0	0.0
	46	3	47	1	0.02127659574468085	0.0	0.03396178054056622
	47	32	573	10	0.017452006980802792	0.0	0.027968211806282173
	48	5	35	1	0.02857142857142857	0.0	0.04969039949999532
	49	2	34	1	0.029411764705882353	0.01515151515151515	0.021427478217774167
	50	4	15	1	0.06666666666666667	0.0	0.05555555555555555
	51	29	414	7	0.016908212560386472	0.0	0.03371674696501675
	52	9	60	2	0.03333333333333333	0.0	0.11528443687566625
	53	18	306	6	0.0196078431372549	0.0	0.0782190351791383
	54	7	149	2	0.013422818791946308	0.0	0.02866760379329388
	55	29	371	5	0.013477088948787063	0.0	0.02973289964482292
	56	8	105	3	0.02857142857142857	0.0	0.1154991824091611
	57	13	218	1	0.0045871559633027525	0.0	0.004202274213827479
	58	13	330	2	0.006060606060606061	0.0	0.036746545987008196
	59	11	230	2	0.008695652173913044	0.0	0.015694434176578047
	60	2	79	3	0.0379746835443038	0.0371447028423772	0.013246832464089094
	61	16	174	0	0.0	0.0	0.0
	62	6	191	6	0.031413612565445025	0.01041666666666665	0.027377411096829743
	63	3	38	0	0.0	0.0	0.0
	64	6	94	2	0.02127659574468085	0.0	0.02206747516020879
	65	3	59	1	0.01694915254237288	0.0	0.030386856273138182
	66	2	16	0	0.0	0.0	0.0
	67	17	304	2	0.006578947368421052	0.0	0.023282573010130262
	68	6	64	2	0.03125	0.0	0.029890198027694805
	69	4	41	1	0.024390243902439025	0.0	0.04545454545454545
	70	6	79	2	0.02531645569620253	0.0	0.04302570246566998
	71	6	78	1	0.01282051282051282	0.0	0.017749925672341866
	72	5	52	1	0.019230769230769232	0.0	0.04969039949999532
	73	6	60	2	0.03333333333333333	0.0	0.10000577083995056
	74	1	31	0	0.0	0.0	0.0
	75	14	116	3	0.02586206896551724	0.0	0.13293920497086917
	76	13	161	1	0.006211180124223602	0.0	0.011094003924504582
	77	12	185	6	0.032432432432432434	0.0	0.025430280605264737
	78	9	107	1	0.009345794392523364	0.0	0.03333333333333334
	79	1	42	0	0.0	0.0	0.0
	80	2	35	0	0.0	0.0	0.0
	81	2	92	1	0.010869565217391304	0.0108695652173913	0.015371886547533636
	82	21	433	6	0.013856812933025405	0.0	0.04093449439573254
	83	3	78	1	0.01282051282051282	0.0	0.01649572197684641
	84	17	289	4	0.01384083044982699	0.0	0.032426765032661765
	85	2	71	0	0.0	0.0	0.0
	86	2	25	2	0.08	0.0769230769230769	0.1087856586440842
	87	4	29	0	0.0	0.0	0.0
	88	3	108	3	0.027777777777777776	0.0133333333333333	0.036580869846882656
	89	4	85	3	0.03529411764705882	0.01162790697674415	0.03775090331740383
	90	21	280	5	0.017857142857142856	0.0	0.026384659871478755
	91	2	40	0	0.0	0.0	0.0
	92	9	142	1	0.007042253521126761	0.0	0.006060606060606034
	93	8	61	0	0.0	0.0	0.0
	94	2	37	0	0.0	0.0	0.0
	95	21	377	8	0.021220159151193633	0.0	0.027335847725504733
	96	7	106	7	0.0660377358490566	0.0555555555555555	0.05313644330968247
	97	5	26	0	0.0	0.0	0.0
	98	5	102	2	0.0196078431372549	0.0	0.037722470589441316
	99	2	34	0	0.0	0.0	0.0
	100	4	82	1	0.012195121951219513	0.0	0.0096153846153846
	101	2	36	0	0.0	0.0	0.0
	102	7	94	2	0.02127659574468085	0.0	0.041733026675430614
	103	11	194	1	0.005154639175257732	0.0	0.012562972690740129
	104	3	46	1	0.021739130434782608	0.0	0.02510218561694024
	105	18	281	7	0.02491103202846975	0.0	0.05423670542638341
	106	12	227	1	0.004405286343612335	0.0	0.026243194054073903
	107	6	118	0	0.0	0.0	0.0
	108	19	241	7	0.029045643153526972	0.0	0.054927997838781974
	109	5	76	2	0.02631578947368421	0.0	0.02795084971874737
	110	21	192	3	0.015625	0.0	0.03758952850398932
	111	7	163	2	0.012269938650306749	0.0	0.015019516251188615
	112	6	111	1	0.009009009009009009	0.0	0.010206207261596576
