filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	4	52	1	0.019230769230769232	0.0	0.0192307692307692
	1	1	4	0	0.0	0.0	0.0
	2	4	67	0	0.0	0.0	0.0
	3	4	74	2	0.02702702702702703	0.0	0.0588235294117647
	4	5	112	0	0.0	0.0	0.0
	5	6	141	3	0.02127659574468085	0.0	0.02111629088606185
	6	2	11	0	0.0	0.0	0.0
	7	31	359	2	0.005571030640668524	0.0	0.014872935696809718
	8	25	354	7	0.01977401129943503	0.0	0.05863078243793116
	9	16	195	2	0.010256410256410256	0.0	0.017056372946977125
	10	1	2	0	0.0	0.0	0.0
	11	1	6	0	0.0	0.0	0.0
	12	10	118	3	0.025423728813559324	0.0	0.041672230457668685
	13	6	119	2	0.01680672268907563	0.0	0.017246760794940405
	14	9	137	3	0.021897810218978103	0.0	0.04145089845500634
	15	3	69	3	0.043478260869565216	0.0454545454545454	0.04012377543766166
	16	10	171	6	0.03508771929824561	0.0	0.04952222671915535
	17	2	45	1	0.022222222222222223	0.0125	0.01767766952966369
	18	5	67	0	0.0	0.0	0.0
	19	5	114	1	0.008771929824561403	0.0	0.022360679774997897
	20	16	267	2	0.00749063670411985	0.0	0.02817995887691333
	21	5	110	1	0.00909090909090909	0.0	0.013153341044116387
	22	5	148	4	0.02702702702702703	0.0	0.02789520997061702
	23	13	148	3	0.02027027027027027	0.0	0.034139437099945935
	24	3	23	0	0.0	0.0	0.0
	25	7	137	4	0.029197080291970802	0.0	0.05086200858804998
	26	1	30	1	0.03333333333333333	0.0333333333333333	0.0
	27	14	162	3	0.018518518518518517	0.0	0.03618338897011497
	28	43	453	15	0.033112582781456956	0.0	0.04792121299735973
	29	11	201	4	0.01990049751243781	0.0	0.024037485639713706
	30	1	2	0	0.0	0.0	0.0
	31	1	8	0	0.0	0.0	0.0
	32	2	33	0	0.0	0.0	0.0
	33	44	723	8	0.011065006915629323	0.0	0.027242637898058007
	34	5	96	3	0.03125	0.0	0.03006384407508043
	35	9	143	2	0.013986013986013986	0.0	0.030607621946863256
	36	9	99	0	0.0	0.0	0.0
	37	4	76	0	0.0	0.0	0.0
	38	21	239	5	0.02092050209205021	0.0	0.040656788232922875
	39	1	2	0	0.0	0.0	0.0
	40	1	8	0	0.0	0.0	0.0
	41	60	765	10	0.013071895424836602	0.0	0.0325685570056172
	42	2	2	0	0.0	0.0	0.0
	43	1	8	0	0.0	0.0	0.0
	44	5	50	0	0.0	0.0	0.0
	45	2	6	0	0.0	0.0	0.0
	46	2	35	0	0.0	0.0	0.0
	47	11	182	1	0.005494505494505495	0.0	0.00913670741144738
	48	7	101	1	0.009900990099009901	0.0	0.013998684185526921
	49	5	44	0	0.0	0.0	0.0
	50	1	2	0	0.0	0.0	0.0
	51	1	6	0	0.0	0.0	0.0
	52	1	1	0	0.0	0.0	0.0
	53	3	22	0	0.0	0.0	0.0
	54	82	1059	16	0.015108593012275733	0.0	0.0302682715859207
	55	64	856	14	0.016355140186915886	0.0	0.03087767507391262
	56	1	19	0	0.0	0.0	0.0
	57	17	168	1	0.005952380952380952	0.0	0.010545027175492733
	58	1	2	0	0.0	0.0	0.0
	59	1	19	0	0.0	0.0	0.0
	60	1	2	0	0.0	0.0	0.0
	61	1	8	0	0.0	0.0	0.0
	62	14	201	0	0.0	0.0	0.0
	63	6	110	4	0.03636363636363636	0.0384615384615384	0.034988901445578535
	64	4	56	0	0.0	0.0	0.0
	65	8	116	0	0.0	0.0	0.0
	66	5	23	0	0.0	0.0	0.0
	67	1	4	0	0.0	0.0	0.0
	68	1	2	0	0.0	0.0	0.0
	69	1	7	0	0.0	0.0	0.0
	70	10	130	1	0.007692307692307693	0.0	0.00854669637883345
	71	20	308	6	0.01948051948051948	0.0	0.06582375597123818
	72	22	396	7	0.017676767676767676	0.0	0.027552291167807587
	73	10	120	2	0.016666666666666666	0.0	0.03513641844631533
	74	14	161	3	0.018633540372670808	0.0	0.05610574321084518
	75	13	182	2	0.01098901098901099	0.0	0.039621442587516355
	76	1	2	0	0.0	0.0	0.0
	77	1	6	0	0.0	0.0	0.0
	78	19	192	2	0.010416666666666666	0.0	0.018952383545666873
