filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	3	9	0	0.0	0.0	0.0
	1	6	48	0	0.0	0.0	0.0
	2	1	31	1	0.03225806451612903	0.032258064516129	0.0
	3	15	134	3	0.022388059701492536	0.0	0.02230409379802667
	4	2	56	1	0.017857142857142856	0.0135135135135135	0.01911099408612289
	5	26	435	6	0.013793103448275862	0.0	0.018053010689232693
	6	2	40	0	0.0	0.0	0.0
	7	2	41	0	0.0	0.0	0.0
	8	3	26	1	0.038461538461538464	0.0	0.06415002990995841
	9	7	77	3	0.03896103896103896	0.0	0.2072508707494411
	10	9	199	9	0.04522613065326633	0.05	0.03328255972216135
	11	1	19	1	0.05263157894736842	0.0526315789473684	0.0
	12	3	71	4	0.056338028169014086	0.0	0.09237604307034013
	13	1	12	0	0.0	0.0	0.0
	14	3	75	0	0.0	0.0	0.0
	15	4	39	1	0.02564102564102564	0.0	0.0227272727272727
	16	9	143	2	0.013986013986013986	0.0	0.017837455620756802
	17	2	8	0	0.0	0.0	0.0
	18	4	47	1	0.02127659574468085	0.0	0.025
	19	3	30	2	0.06666666666666667	0.0	0.07698003589195009
	20	9	183	4	0.02185792349726776	0.0	0.06770209469084869
	21	4	66	8	0.12121212121212122	0.09232954545454544	0.17473500142049025
	22	1	21	0	0.0	0.0	0.0
	23	6	96	3	0.03125	0.0	0.03646426257602613
	24	5	51	1	0.0196078431372549	0.0	0.01788854381999832
	25	4	62	0	0.0	0.0	0.0
	26	1	11	0	0.0	0.0	0.0
	27	10	141	5	0.03546099290780142	0.0	0.15484938072123097
	28	2	51	0	0.0	0.0	0.0
	29	2	28	2	0.07142857142857142	0.0434782608695652	0.061487546190134544
	30	2	48	1	0.020833333333333332	0.0185185185185185	0.02618914004394618
	31	3	60	2	0.03333333333333333	0.04	0.05627679974288171
	32	13	283	3	0.01060070671378092	0.0	0.021628434832719354
	33	7	166	5	0.030120481927710843	0.0	0.03747952710702228
	34	4	55	0	0.0	0.0	0.0
	35	6	96	0	0.0	0.0	0.0
	36	2	7	0	0.0	0.0	0.0
	37	13	220	5	0.022727272727272728	0.0	0.03554508873012403
	38	5	85	4	0.047058823529411764	0.0	0.05569598871428122
	39	4	116	1	0.008620689655172414	0.0	0.011363636363636348
	40	12	177	3	0.01694915254237288	0.0	0.023905131116091265
	41	7	119	1	0.008403361344537815	0.0	0.01303325768997333
	42	3	56	2	0.03571428571428571	0.0416666666666666	0.03587924865084348
	43	6	114	1	0.008771929824561403	0.0	0.017749925672341866
	44	9	160	2	0.0125	0.0	0.03447131568330793
	45	6	131	2	0.015267175572519083	0.0	0.01743341834786269
	46	2	20	2	0.1	0.0625	0.08838834764831845
	47	15	255	8	0.03137254901960784	0.0	0.037000331630158555
	48	2	22	0	0.0	0.0	0.0
	49	5	77	2	0.025974025974025976	0.0	0.03938635256110909
	50	2	37	3	0.08108108108108109	0.09316770186335399	0.07027148136015375
	51	2	22	0	0.0	0.0	0.0
	52	7	122	0	0.0	0.0	0.0
	53	7	160	6	0.0375	0.0	0.031098823291441178
	54	3	54	3	0.05555555555555555	0.0714285714285714	0.04703416853952116
	55	2	7	0	0.0	0.0	0.0
	56	3	18	1	0.05555555555555555	0.0	0.05773502691896259
	57	1	11	1	0.09090909090909091	0.0909090909090909	0.0
	58	7	50	2	0.04	0.0	0.12422599874998833
	59	3	57	3	0.05263157894736842	0.0	0.0509426708108493
	60	7	78	3	0.038461538461538464	0.0	0.038425140386172486
	61	3	67	2	0.029850746268656716	0.0	0.044411559168432736
	62	4	65	1	0.015384615384615385	0.0	0.0357142857142857
	63	4	103	0	0.0	0.0	0.0
	64	8	125	6	0.048	0.00980392156862745	0.08369968828142531
	65	3	63	4	0.06349206349206349	0.1052631578947368	0.07405156241951955
	66	3	12	0	0.0	0.0	0.0
	67	9	111	6	0.05405405405405406	0.0	0.03910813448792765
	68	1	7	0	0.0	0.0	0.0
	69	22	505	6	0.011881188118811881	0.0	0.025278565363537057
	70	2	35	1	0.02857142857142857	0.0625	0.08838834764831845
	71	3	98	0	0.0	0.0	0.0
	72	9	179	1	0.00558659217877095	0.0	0.005464480874316934
	73	1	11	0	0.0	0.0	0.0
	74	7	100	3	0.03	0.0	0.042272110454565776
	75	5	76	3	0.039473684210526314	0.0434782608695652	0.03792201234293603
	76	8	44	1	0.022727272727272728	0.0	0.05892556509887894
	77	2	25	1	0.04	0.04545454545454545	0.06428243465332249
	78	1	1	0	0.0	0.0	0.0
	79	1	7	0	0.0	0.0	0.0
	80	1	24	0	0.0	0.0	0.0
	81	9	121	1	0.008264462809917356	0.0	0.08333333333333333
	82	1	19	0	0.0	0.0	0.0
	83	1	11	1	0.09090909090909091	0.0909090909090909	0.0
	84	15	265	3	0.011320754716981131	0.0	0.022739925559835318
	85	1	7	0	0.0	0.0	0.0
	86	19	376	12	0.031914893617021274	0.0222222222222222	0.06747764077031838
	87	6	104	4	0.038461538461538464	0.01666666666666665	0.05727497953228161
	88	3	19	0	0.0	0.0	0.0
	89	3	53	2	0.03773584905660377	0.0384615384615384	0.028454393668715324
	90	6	112	3	0.026785714285714284	0.0217391304347826	0.027199100708225912
