filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	3	61	2	0.03278688524590164	0.0	0.03724840446384678
	1	5	140	3	0.02142857142857143	0.0151515151515151	0.02385483409695983
	2	14	299	4	0.013377926421404682	0.0	0.026601271491740287
	3	4	67	0	0.0	0.0	0.0
	4	6	201	4	0.01990049751243781	0.0233062330623306	0.019009183404292362
	5	5	133	5	0.03759398496240601	0.0392156862745098	0.02973782185946151
	6	5	128	1	0.0078125	0.0	0.007213122508063831
	7	11	242	2	0.008264462809917356	0.0	0.019358576635120223
	8	4	83	1	0.012048192771084338	0.0	0.02941176470588235
	9	7	210	2	0.009523809523809525	0.0	0.009578982487707296
	10	5	122	1	0.00819672131147541	0.0	0.012086853932431285
	11	18	268	5	0.018656716417910446	0.0	0.028023769299001244
	12	2	55	0	0.0	0.0	0.0
	13	14	266	6	0.022556390977443608	0.0	0.04848106497846833
	14	3	108	2	0.018518518518518517	0.0129870129870129	0.029060749806285334
	15	12	234	2	0.008547008547008548	0.0	0.026577308098923863
	16	13	285	7	0.02456140350877193	0.0	0.030040252307926986
	17	11	273	6	0.02197802197802198	0.0	0.02014128803971717
	18	10	246	2	0.008130081300813009	0.0	0.012217641084364766
	19	8	202	4	0.019801980198019802	0.0	0.03439026049953273
	20	3	224	3	0.013392857142857142	0.0082644628099173	0.012736951169577092
	21	11	241	5	0.02074688796680498	0.0	0.03352049898999488
	22	1	8	0	0.0	0.0	0.0
	23	2	14	0	0.0	0.0	0.0
	24	3	15	0	0.0	0.0	0.0
	25	2	14	0	0.0	0.0	0.0
	26	4	39	0	0.0	0.0	0.0
	27	7	80	0	0.0	0.0	0.0
	28	5	69	1	0.014492753623188406	0.0	0.029814239699997167
	29	9	135	1	0.007407407407407408	0.0	0.01587301587301587
	30	6	69	0	0.0	0.0	0.0
	31	4	52	2	0.038461538461538464	0.01785714285714285	0.03660999909824298
	32	16	260	6	0.023076923076923078	0.0	0.024195265976223596
