filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	3	22	0	0.0	0.0	0.0
	1	3	33	1	0.030303030303030304	0.0	0.05248638810814779
	2	28	288	15	0.052083333333333336	0.0	0.04559558627345263
	3	10	74	2	0.02702702702702703	0.0	0.03052102134294461
	4	2	8	0	0.0	0.0	0.0
	5	2	11	0	0.0	0.0	0.0
	6	4	25	0	0.0	0.0	0.0
	7	6	46	1	0.021739130434782608	0.0	0.016329931618554522
	8	5	18	1	0.05555555555555555	0.0	0.055901699437494755
	9	6	51	5	0.09803921568627451	0.0	0.0677326910724588
	10	4	15	1	0.06666666666666667	0.0	0.05555555555555555
	11	8	48	3	0.0625	0.0	0.06424160744396208
	12	3	12	0	0.0	0.0	0.0
	13	2	13	0	0.0	0.0	0.0
	14	5	21	1	0.047619047619047616	0.0	0.026306682088232818
	15	4	33	2	0.06060606060606061	0.03125	0.03732598513993522
	16	2	11	0	0.0	0.0	0.0
	17	5	14	0	0.0	0.0	0.0
	18	2	22	0	0.0	0.0	0.0
	19	4	35	3	0.08571428571428572	0.1547619047619047	0.10395386426531535
	20	5	7	0	0.0	0.0	0.0
	21	5	62	1	0.016129032258064516	0.0	0.013153341044116387
	22	4	26	1	0.038461538461538464	0.0	0.05
	23	3	45	0	0.0	0.0	0.0
	24	6	54	4	0.07407407407407407	0.0	0.07994011504127749
	25	4	63	3	0.047619047619047616	0.03125	0.03883329866279728
	26	8	82	2	0.024390243902439025	0.0	0.02324215161778371
	27	3	20	1	0.05	0.0	0.08247860988423222
	28	3	20	0	0.0	0.0	0.0
	29	3	19	0	0.0	0.0	0.0
	30	1	23	2	0.08695652173913043	0.0869565217391304	0.0
	31	5	32	2	0.0625	0.0	0.03194382824999698
	32	2	5	0	0.0	0.0	0.0
	33	3	19	1	0.05263157894736842	0.0	0.048112522432468795
	34	2	24	1	0.041666666666666664	0.0217391304347826	0.030743773095067272
	35	4	20	1	0.05	0.0	0.02941176470588235
	36	4	18	0	0.0	0.0	0.0
	37	3	13	0	0.0	0.0	0.0
	38	6	63	3	0.047619047619047616	0.0	0.0389886101195471
	39	5	31	1	0.03225806451612903	0.0	0.016563466499998424
	40	6	120	5	0.041666666666666664	0.0378205128205128	0.027452131143174234
	41	2	18	0	0.0	0.0	0.0
	42	5	20	1	0.05	0.0	0.027950849718747377
	43	3	33	4	0.12121212121212122	0.0714285714285714	0.08361629962581535
	44	3	13	0	0.0	0.0	0.0
	45	7	53	2	0.03773584905660377	0.0	0.03075012447533319
	46	3	11	0	0.0	0.0	0.0
	47	3	22	1	0.045454545454545456	0.0	0.044411559168432736
	48	7	55	0	0.0	0.0	0.0
	49	3	14	1	0.07142857142857142	0.0	0.048112522432468795
	50	4	17	0	0.0	0.0	0.0
	51	5	7	1	0.14285714285714285	0.0	0.14907119849998599
	52	1	11	0	0.0	0.0	0.0
	53	3	19	0	0.0	0.0	0.0
	54	7	50	3	0.06	0.0	0.05399492471560387
	55	3	9	0	0.0	0.0	0.0
	56	4	10	0	0.0	0.0	0.0
	57	7	20	2	0.1	0.0	0.08219460068004698
	58	6	16	0	0.0	0.0	0.0
	59	3	11	0	0.0	0.0	0.0
	60	4	8	0	0.0	0.0	0.0
	61	2	10	1	0.1	0.05555555555555555	0.07856742013183861
	62	2	20	4	0.2	0.202020202020202	0.02856997095703223
	63	6	47	4	0.0851063829787234	0.0	0.05443310539518172
	64	5	12	0	0.0	0.0	0.0
	65	2	13	0	0.0	0.0	0.0
	66	6	9	0	0.0	0.0	0.0
	67	7	89	6	0.06741573033707865	0.0555555555555555	0.04874332411505299
	68	5	12	0	0.0	0.0	0.0
	69	5	18	0	0.0	0.0	0.0
	70	3	27	1	0.037037037037037035	0.0	0.02405626121623437
	71	7	11	0	0.0	0.0	0.0
	72	3	39	1	0.02564102564102564	0.0	0.01990862997205603
	73	5	34	1	0.029411764705882353	0.0	0.016563466499998427
	74	8	21	1	0.047619047619047616	0.0	0.027196414661021052
	75	6	31	1	0.03225806451612903	0.0	0.027216552697590837
	76	1	9	1	0.1111111111111111	0.1111111111111111	0.0
	77	6	23	0	0.0	0.0	0.0
	78	1	18	0	0.0	0.0	0.0
	79	6	23	0	0.0	0.0	0.0
	80	4	18	1	0.05555555555555555	0.0	0.05555555555555555
	81	3	10	1	0.1	0.0	0.07216878364870323
	82	2	2	0	0.0	0.0	0.0
	83	7	19	0	0.0	0.0	0.0
	84	2	27	1	0.037037037037037035	0.0357142857142857	0.05050762722761051
	85	4	10	1	0.1	0.0	0.0833333333333333
	86	6	58	1	0.017241379310344827	0.0	0.01275775907699572
	87	5	43	2	0.046511627906976744	0.0	0.042591770999995976
	88	4	50	4	0.08	0.0	0.0526315789473684
	89	5	7	0	0.0	0.0	0.0
	90	1	20	0	0.0	0.0	0.0
	91	5	36	0	0.0	0.0	0.0
	92	6	29	0	0.0	0.0	0.0
	93	7	90	3	0.03333333333333333	0.0	0.029764024647964973
	94	3	19	1	0.05263157894736842	0.0	0.05248638810814779
	95	9	79	2	0.02531645569620253	0.0	0.0226376980711648
	96	2	14	0	0.0	0.0	0.0
	97	6	27	0	0.0	0.0	0.0
	98	3	10	0	0.0	0.0	0.0
	99	1	6	0	0.0	0.0	0.0
	100	5	14	1	0.07142857142857142	0.0	0.07453559924999296
	101	1	15	3	0.2	0.2	0.0
	102	7	32	0	0.0	0.0	0.0
	103	5	10	0	0.0	0.0	0.0
	104	5	39	1	0.02564102564102564	0.0	0.014426245016127662
	105	7	68	3	0.04411764705882353	0.0	0.06334020275234802
	106	8	37	0	0.0	0.0	0.0
	107	5	29	0	0.0	0.0	0.0
	108	2	8	0	0.0	0.0	0.0
	109	1	3	0	0.0	0.0	0.0
	110	5	17	0	0.0	0.0	0.0
	111	3	12	0	0.0	0.0	0.0
	112	2	11	1	0.09090909090909091	0.05	0.07071067811865477
	113	2	14	0	0.0	0.0	0.0
	114	4	9	0	0.0	0.0	0.0
	115	4	9	0	0.0	0.0	0.0
	116	4	41	2	0.04878048780487805	0.0	0.0357142857142857
	117	2	19	2	0.10526315789473684	0.1	0.14142135623730953
	118	5	56	3	0.05357142857142857	0.0	0.036597058563064284
	119	4	19	0	0.0	0.0	0.0
	120	1	24	0	0.0	0.0	0.0
	121	28	572	12	0.02097902097902098	0.0	0.03706556158451946
	122	4	16	1	0.0625	0.0	0.08333333333333329
	123	2	3	0	0.0	0.0	0.0
	124	2	12	1	0.08333333333333333	0.125	0.1767766952966369
	125	5	16	0	0.0	0.0	0.0
	126	5	33	0	0.0	0.0	0.0
	127	1	10	0	0.0	0.0	0.0
	128	3	13	0	0.0	0.0	0.0
	129	4	19	0	0.0	0.0	0.0
	130	8	84	1	0.011904761904761904	0.0	0.018608073189119664
	131	2	25	0	0.0	0.0	0.0
	132	1	14	0	0.0	0.0	0.0
	133	5	11	1	0.09090909090909091	0.0	0.05590169943749475
	134	2	13	0	0.0	0.0	0.0
	135	4	18	1	0.05555555555555555	0.0	0.0333333333333333
	136	4	19	0	0.0	0.0	0.0
	137	2	8	0	0.0	0.0	0.0
	138	4	14	0	0.0	0.0	0.0
	139	8	34	0	0.0	0.0	0.0
	140	2	16	0	0.0	0.0	0.0
	141	2	14	0	0.0	0.0	0.0
	142	4	15	0	0.0	0.0	0.0
	143	6	21	0	0.0	0.0	0.0
	144	2	18	1	0.05555555555555555	0.05555555555555555	0.07856742013183861
	145	3	14	0	0.0	0.0	0.0
	146	4	10	1	0.1	0.0	0.08333333333333329
	147	4	23	1	0.043478260869565216	0.0	0.08333333333333329
	148	6	32	0	0.0	0.0	0.0
	149	3	12	0	0.0	0.0	0.0
	150	3	60	2	0.03333333333333333	0.0	0.042766686606638904
	151	5	40	0	0.0	0.0	0.0
	152	6	12	1	0.08333333333333333	0.0	0.05103103630798288
	153	2	3	0	0.0	0.0	0.0
	154	4	14	1	0.07142857142857142	0.0	0.08333333333333329
	155	3	26	1	0.038461538461538464	0.0	0.02749286996141074
	156	3	17	0	0.0	0.0	0.0
	157	2	9	1	0.1111111111111111	0.0625	0.08838834764831845
	158	4	27	0	0.0	0.0	0.0
	159	4	10	0	0.0	0.0	0.0
	160	4	27	1	0.037037037037037035	0.0	0.1
	161	2	12	1	0.08333333333333333	0.0833333333333333	0.11785113019775788
	162	2	11	0	0.0	0.0	0.0
	163	4	21	0	0.0	0.0	0.0
	164	1	14	0	0.0	0.0	0.0
	165	4	14	0	0.0	0.0	0.0
	166	5	44	1	0.022727272727272728	0.0	0.055901699437494755
	167	5	15	0	0.0	0.0	0.0
	168	7	19	0	0.0	0.0	0.0
	169	3	7	0	0.0	0.0	0.0
	170	1	19	1	0.05263157894736842	0.0526315789473684	0.0
	171	6	26	1	0.038461538461538464	0.0	0.06804138174397714
	172	1	13	0	0.0	0.0	0.0
	173	3	5	0	0.0	0.0	0.0
	174	2	7	0	0.0	0.0	0.0
	175	2	10	1	0.1	0.05555555555555555	0.07856742013183861
	176	1	13	0	0.0	0.0	0.0
	177	4	25	0	0.0	0.0	0.0
	178	3	23	0	0.0	0.0	0.0
	179	1	15	1	0.06666666666666667	0.0666666666666666	0.0
	180	8	50	0	0.0	0.0	0.0
	181	4	27	0	0.0	0.0	0.0
	182	2	7	0	0.0	0.0	0.0
	183	8	40	1	0.025	0.0	0.05892556509887894
	184	4	37	0	0.0	0.0	0.0
	185	2	19	0	0.0	0.0	0.0
	186	3	10	0	0.0	0.0	0.0
	187	1	11	0	0.0	0.0	0.0
	188	2	18	0	0.0	0.0	0.0
	189	8	64	1	0.015625	0.0	0.027196414661021052
	190	3	19	1	0.05263157894736842	0.0	0.19245008972987526
	191	6	12	0	0.0	0.0	0.0
	192	2	17	0	0.0	0.0	0.0
	193	7	45	1	0.022222222222222223	0.0	0.03149703941743559
	194	3	10	0	0.0	0.0	0.0
	195	1	17	0	0.0	0.0	0.0
	196	3	10	0	0.0	0.0	0.0
	197	2	11	0	0.0	0.0	0.0
	198	3	12	0	0.0	0.0	0.0
	199	2	21	0	0.0	0.0	0.0
	200	7	66	1	0.015151515151515152	0.0	0.017998308238534624
	201	3	12	0	0.0	0.0	0.0
	202	3	15	0	0.0	0.0	0.0
	203	2	12	0	0.0	0.0	0.0
	204	2	12	1	0.08333333333333333	0.04545454545454545	0.06428243465332249
	205	3	17	0	0.0	0.0	0.0
	206	3	13	0	0.0	0.0	0.0
	207	5	21	0	0.0	0.0	0.0
	208	4	33	1	0.030303030303030304	0.0	0.10000000000000002
	209	2	12	1	0.08333333333333333	0.0833333333333333	0.11785113019775788
	210	6	11	0	0.0	0.0	0.0
	211	3	17	1	0.058823529411764705	0.0	0.07216878364870323
	212	4	10	0	0.0	0.0	0.0
	213	3	30	2	0.06666666666666667	0.0	0.11547005383792518
	214	3	9	1	0.1111111111111111	0.0	0.19245008972987526
	215	5	16	0	0.0	0.0	0.0
	216	4	25	1	0.04	0.0	0.0357142857142857
	217	5	29	0	0.0	0.0	0.0
	218	4	10	0	0.0	0.0	0.0
	219	6	57	1	0.017543859649122806	0.0	0.017749925672341862
	220	3	9	0	0.0	0.0	0.0
	221	3	6	0	0.0	0.0	0.0
	222	2	14	1	0.07142857142857142	0.0714285714285714	0.10101525445522103
	223	5	22	1	0.045454545454545456	0.0	0.055901699437494755
	224	5	25	3	0.12	0.0	0.1082977149423218
	225	2	9	0	0.0	0.0	0.0
	226	6	50	0	0.0	0.0	0.0
	227	4	11	1	0.09090909090909091	0.0	0.0625
	228	2	8	0	0.0	0.0	0.0
	229	4	13	0	0.0	0.0	0.0
	230	1	11	0	0.0	0.0	0.0
	231	4	28	3	0.10714285714285714	0.05	0.08164965809277257
	232	2	13	1	0.07692307692307693	0.05	0.07071067811865477
	233	2	5	0	0.0	0.0	0.0
	234	2	8	0	0.0	0.0	0.0
