filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	97	1324	33	0.024924471299093656	0.0	0.04547963925763929
	1	25	403	11	0.02729528535980149	0.0	0.0509465807193453
	2	53	1082	28	0.025878003696857672	0.0	0.03190263948021281
	3	7	182	3	0.016483516483516484	0.0	0.023409474900807626
	4	29	540	10	0.018518518518518517	0.0	0.031125227662426043
	5	16	299	8	0.026755852842809364	0.0	0.026923711520559442
	6	77	1543	30	0.019442644199611146	0.0	0.04586604496798066
	7	5	107	0	0.0	0.0	0.0
	8	3	61	2	0.03278688524590164	0.0	0.030386856273138182
	9	7	130	7	0.05384615384615385	0.0	0.05224109194671979
	10	21	364	7	0.019230769230769232	0.0	0.02358621868556071
	11	15	234	7	0.029914529914529916	0.0	0.05679004559515215
	12	24	473	11	0.023255813953488372	0.0	0.03663096525517498
	13	2	27	0	0.0	0.0	0.0
	14	33	447	7	0.015659955257270694	0.0	0.034065733741295894
	15	19	370	8	0.021621621621621623	0.0	0.046337587107662996
	16	16	317	8	0.025236593059936908	0.0	0.027449605684924484
	17	26	393	9	0.022900763358778626	0.0	0.04778761914818615
	18	30	506	1	0.001976284584980237	0.0	0.0034447959591519728
	19	44	598	6	0.010033444816053512	0.0	0.02078163153157566
	20	5	71	1	0.014084507042253521	0.0	0.02032789070454352
	21	73	1080	25	0.023148148148148147	0.0	0.047258445442864075
	22	65	972	22	0.02263374485596708	0.0	0.047958726147665984
	23	31	601	12	0.019966722129783693	0.0	0.03390020688031525
	24	11	121	1	0.008264462809917356	0.0	0.014357683075131597
	25	109	2196	37	0.016848816029143898	0.0	0.031697127043911824
	26	60	1041	12	0.011527377521613832	0.0	0.02655237902127422
	27	44	669	9	0.013452914798206279	0.0	0.03215212184160738
	28	3	32	0	0.0	0.0	0.0
	29	32	558	8	0.014336917562724014	0.0	0.024540658115716967
	30	54	708	16	0.022598870056497175	0.0	0.039526005942962
	31	51	824	11	0.013349514563106795	0.0	0.022118034683386925
	32	64	1033	19	0.018393030009680542	0.0	0.039063029431161814
	33	128	2688	32	0.011904761904761904	0.0	0.028429523097421108
	34	1	15	0	0.0	0.0	0.0
	35	47	1084	17	0.015682656826568265	0.0	0.026659223919104625
	36	21	459	4	0.008714596949891068	0.0	0.014479235772884196
	37	13	258	3	0.011627906976744186	0.0	0.02037901805660592
	38	15	483	13	0.026915113871635612	0.0	0.034514368538182884
	39	24	388	6	0.015463917525773196	0.0	0.03332997124994995
	40	25	524	5	0.009541984732824428	0.0	0.01974657453999654
	41	26	541	13	0.024029574861367836	0.0	0.0396948903480095
	42	49	939	12	0.012779552715654952	0.0	0.020433250817909056
	43	10	140	1	0.007142857142857143	0.0	0.01505846504842085
	44	14	339	4	0.011799410029498525	0.0	0.03367997704724787
	45	8	107	1	0.009345794392523364	0.0	0.008222171874262154
	46	1	27	1	0.037037037037037035	0.037037037037037	0.0
	47	13	300	3	0.01	0.0	0.015505834684031735
	48	29	481	9	0.018711018711018712	0.0	0.02936539672330597
	49	10	108	4	0.037037037037037035	0.0	0.07010243827322878
	50	26	710	16	0.022535211267605635	0.0	0.02873718974016408
	51	40	837	12	0.014336917562724014	0.0	0.02441929389455274
	52	96	1604	26	0.016209476309226933	0.0	0.03169875334015656
	53	31	782	7	0.008951406649616368	0.0	0.016088477563023968
	54	6	87	2	0.022988505747126436	0.0	0.029369437977914296
	55	10	437	12	0.02745995423340961	0.02392894461859975	0.036623217743505646
	56	24	684	7	0.01023391812865497	0.0	0.01715554190236026
	57	22	477	3	0.006289308176100629	0.0	0.011789599842981396
	58	6	83	1	0.012048192771084338	0.0	0.018556740475630114
	59	20	633	8	0.01263823064770932	0.0	0.027045507617497147
	60	80	1866	41	0.02197213290460879	0.0	0.040156709988871
	61	44	968	12	0.012396694214876033	0.0	0.04784486566424772
	62	16	302	4	0.013245033112582781	0.0	0.02101333152606885
	63	44	1029	9	0.008746355685131196	0.0	0.02392882437850469
	64	45	1002	15	0.014970059880239521	0.0	0.0202708752673641
	65	80	1415	15	0.01060070671378092	0.0	0.024934342866151666
	66	2	51	0	0.0	0.0	0.0
	67	53	854	10	0.0117096018735363	0.0	0.019456221870176486
	68	49	1150	17	0.014782608695652174	0.0	0.02628487416066675
	69	28	800	6	0.0075	0.0	0.024150003078687622
	70	9	226	2	0.008849557522123894	0.0	0.02703218485753139
	71	34	580	8	0.013793103448275862	0.0	0.023490313649688233
	72	152	2745	38	0.013843351548269581	0.0	0.026482321441361433
	73	30	621	11	0.017713365539452495	0.0	0.024756267008803054
	74	6	132	0	0.0	0.0	0.0
	75	28	552	9	0.016304347826086956	0.0	0.021425467557475382
	76	34	844	16	0.018957345971563982	0.0	0.02365253139035237
	77	11	308	3	0.00974025974025974	0.0	0.014117184151015299
	78	37	605	7	0.011570247933884297	0.0	0.02515244651914302
	79	19	427	6	0.01405152224824356	0.0	0.011245060544699943
	80	27	511	4	0.007827788649706457	0.0	0.012875328891986388
	81	5	166	1	0.006024096385542169	0.0	0.012086853932431283
	82	2	9	0	0.0	0.0	0.0
	83	35	714	9	0.012605042016806723	0.0	0.027493281407662704
	84	5	228	1	0.0043859649122807015	0.0	0.007098628499999299
	85	24	514	15	0.029182879377431907	0.0	0.046486618261062845
	86	1	53	1	0.018867924528301886	0.0188679245283018	0.0
	87	2	51	2	0.0392156862745098	0.0399686520376175	0.007758224871952717
