filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	6	0	0.0	0.0	0.0
	1	3	45	1	0.022222222222222223	0.0	0.01862420223192339
	2	100	2059	21	0.010199125789218067	0.0	0.021732714133358894
	3	42	810	10	0.012345679012345678	0.0	0.03516063444843934
	4	1	10	0	0.0	0.0	0.0
	5	2	25	4	0.16	0.15000000000000002	0.07071067811865477
	6	1	15	1	0.06666666666666667	0.0666666666666666	0.0
	7	2	64	3	0.046875	0.0520833333333333	0.014731391274719785
	8	4	25	0	0.0	0.0	0.0
	9	1	29	3	0.10344827586206896	0.1034482758620689	0.0
	10	1	14	0	0.0	0.0	0.0
	11	3	16	0	0.0	0.0	0.0
	12	1	4	0	0.0	0.0	0.0
	13	4	33	1	0.030303030303030304	0.0	0.02
	14	3	50	1	0.02	0.0	0.01862420223192339
	15	2	85	3	0.03529411764705882	0.0192307692307692	0.027196414661021018
	16	1	46	3	0.06521739130434782	0.0652173913043478	0.0
	17	3	53	1	0.018867924528301886	0.0	0.01749546270271593
	18	2	29	0	0.0	0.0	0.0
	19	1	39	2	0.05128205128205128	0.0512820512820512	0.0
	20	2	32	0	0.0	0.0	0.0
	21	1	19	1	0.05263157894736842	0.0526315789473684	0.0
	22	3	43	2	0.046511627906976744	0.0416666666666666	0.02891202777036292
	23	3	48	1	0.020833333333333332	0.0	0.026243194054073868
	24	10	249	3	0.012048192771084338	0.0	0.01809344913249881
	25	3	25	0	0.0	0.0	0.0
	26	18	278	3	0.01079136690647482	0.0	0.01924377865408573
	27	11	172	3	0.01744186046511628	0.0	0.020830047669168072
	28	1	2	0	0.0	0.0	0.0
	29	100	1827	36	0.019704433497536946	0.0	0.062191304478945525
	30	186	3816	82	0.02148846960167715	0.0	0.035182600366585
	31	31	694	13	0.018731988472622477	0.0	0.02628957722583451
	32	2	11	0	0.0	0.0	0.0
	33	41	764	13	0.017015706806282723	0.0	0.026587282781475423
	34	47	990	11	0.011111111111111112	0.0	0.022953725582397323
	35	1	7	0	0.0	0.0	0.0
	36	78	1874	22	0.011739594450373533	0.0	0.022064357128027595
	37	1	13	0	0.0	0.0	0.0
	38	83	2009	48	0.023892483822797413	0.0	0.048538854520381786
	39	3	13	0	0.0	0.0	0.0
	40	4	61	0	0.0	0.0	0.0
	41	1	1	0	0.0	0.0	0.0
	42	2	34	0	0.0	0.0	0.0
	43	2	60	1	0.016666666666666666	0.0086206896551724	0.012191496227354248
	44	1	1	0	0.0	0.0	0.0
	45	2	42	1	0.023809523809523808	0.0238095238095238	0.03367175148507368
	46	9	91	0	0.0	0.0	0.0
	47	1	1	0	0.0	0.0	0.0
	48	3	61	1	0.01639344262295082	0.0	0.010691671651659726
	49	2	51	0	0.0	0.0	0.0
	50	1	1	0	0.0	0.0	0.0
	51	1	19	0	0.0	0.0	0.0
	52	1	49	1	0.02040816326530612	0.0204081632653061	0.0
	53	1	1	0	0.0	0.0	0.0
	54	2	10	1	0.1	0.1	0.14142135623730953
	55	2	35	1	0.02857142857142857	0.01515151515151515	0.021427478217774167
	56	1	1	0	0.0	0.0	0.0
	57	1	7	0	0.0	0.0	0.0
	58	4	54	0	0.0	0.0	0.0
	59	1	1	0	0.0	0.0	0.0
	60	2	30	0	0.0	0.0	0.0
	61	1	7	0	0.0	0.0	0.0
	62	1	5	0	0.0	0.0	0.0
	63	80	1657	40	0.024140012070006035	0.0	0.03417474044497944
	64	2	13	0	0.0	0.0	0.0
	65	18	415	3	0.007228915662650603	0.0	0.015200861043723417
	66	250	5227	85	0.0162617180026784	0.0	0.02718267882907561
	67	1	1	0	0.0	0.0	0.0
	68	7	195	5	0.02564102564102564	0.0192307692307692	0.04450976666753031
	69	1	1	0	0.0	0.0	0.0
	70	4	104	2	0.019230769230769232	0.0	0.027027027027027004
	71	1	1	0	0.0	0.0	0.0
