filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	78	2193	28	0.012767897856817145	0.0	0.02088379755354834
	1	65	1801	18	0.009994447529150472	0.0	0.019107459512791476
	2	102	1961	36	0.018357980622131564	0.0	0.023703772357438157
	3	154	3584	60	0.016741071428571428	0.0	0.02908730004254008
	4	140	2943	28	0.009514101257220523	0.0	0.019888062451217253
	5	110	2569	35	0.013623978201634877	0.0	0.024908017868046237
	6	136	3172	64	0.0201765447667087	0.0	0.027359341884706307
	7	230	3889	62	0.015942401645667268	0.0	0.04456501913016373
	8	123	2553	44	0.017234625930278104	0.0	0.02868401612034956
	9	147	2464	37	0.015016233766233766	0.0	0.033176583179431555
	10	187	4382	68	0.015518028297581013	0.0	0.02444592108213165
	11	191	3873	80	0.020655822359927703	0.0	0.02963595510472512
	12	150	3271	33	0.010088657902782024	0.0	0.03093872911604916
	13	136	3135	47	0.014992025518341308	0.0	0.022840952833647118
	14	96	1811	41	0.02263942573163998	0.0	0.03373006465528058
	15	103	2243	35	0.01560410164957646	0.0	0.025137829725290103
	16	157	2734	37	0.013533284564740308	0.0	0.024364202012655194
	17	98	1972	25	0.012677484787018255	0.0	0.027212250209429575
	18	116	2153	23	0.010682768230376219	0.0	0.030591223775100585
	19	87	2018	35	0.01734390485629336	0.0	0.02998520903877798
	20	31	522	6	0.011494252873563218	0.0	0.027104626786285467
	21	32	650	12	0.018461538461538463	0.0	0.04371612657039012
	22	80	1295	15	0.011583011583011582	0.0	0.02570306779501133
	23	108	2030	56	0.027586206896551724	0.0	0.044679182235865644
	24	24	498	6	0.012048192771084338	0.0	0.03544436206017343
	25	107	1703	52	0.030534351145038167	0.0	0.043364359871181625
	26	93	2287	65	0.028421512898994316	0.0	0.033091083837821
	27	55	953	12	0.012591815320041973	0.0	0.030163785074234124
	28	113	1774	29	0.016347237880496055	0.0	0.0370590019585669
	29	114	2201	37	0.016810540663334848	0.0	0.0404599012036501
	30	61	1365	24	0.017582417582417582	0.0	0.041761071005304545
	31	1	8	0	0.0	0.0	0.0
	32	78	1776	22	0.012387387387387387	0.0	0.028517347508607068
	33	165	3813	53	0.013899816417519015	0.0	0.027348026526315853
	34	130	3240	44	0.013580246913580247	0.0	0.02490141796160364
	35	65	1675	16	0.00955223880597015	0.0	0.019446542992630197
	36	2	6	0	0.0	0.0	0.0
	37	99	2360	21	0.008898305084745763	0.0	0.033073510902645945
	38	82	2054	31	0.015092502434274586	0.0	0.026494688040386297
	39	73	2232	29	0.012992831541218637	0.0	0.027388156985627254
	40	85	2154	20	0.009285051067780872	0.0	0.031759224987049944
	41	166	3732	46	0.01232583065380493	0.0	0.03221893377942176
	42	184	3713	65	0.017506059789927284	0.0	0.029999697689915544
	43	6	55	1	0.01818181818181818	0.0	0.015120307054217134
	44	146	3208	53	0.016521197007481298	0.0	0.029298202709277705
	45	168	2902	64	0.022053756030323914	0.0	0.029316821724267136
	46	24	513	5	0.009746588693957114	0.0	0.03481126147308229
	47	2	13	0	0.0	0.0	0.0
	48	4	71	2	0.028169014084507043	0.0	0.05000000000000001
	49	3	21	2	0.09523809523809523	0.0	0.07698003589195009
	50	9	196	3	0.015306122448979591	0.0	0.034864510220575996
	51	6	109	2	0.01834862385321101	0.0	0.025216372802090877
	52	6	89	1	0.011235955056179775	0.0	0.011033737580104397
	53	4	68	1	0.014705882352941176	0.0	0.0217391304347826
	54	2	15	1	0.06666666666666667	0.0357142857142857	0.05050762722761051
	55	2	17	0	0.0	0.0	0.0
	56	36	410	5	0.012195121951219513	0.0	0.03188489251169507
	57	2	30	0	0.0	0.0	0.0
	58	2	9	0	0.0	0.0	0.0
	59	7	166	2	0.012048192771084338	0.0	0.015819069325487715
	60	6	99	0	0.0	0.0	0.0
	61	8	72	0	0.0	0.0	0.0
	62	53	1173	20	0.017050298380221655	0.0	0.06059510953661579
	63	156	3034	64	0.02109426499670402	0.0	0.0460395225026426
	64	2	3	0	0.0	0.0	0.0
	65	3	13	0	0.0	0.0	0.0
	66	8	93	2	0.021505376344086023	0.0	0.1166872943966779
	67	1	1	0	0.0	0.0	0.0
	68	205	4087	83	0.02030829459261072	0.0	0.03326006863289248
	69	122	2597	41	0.015787447054293417	0.0	0.03411581298060699
	70	160	3912	62	0.015848670756646217	0.0	0.03286454391878092
	71	123	4505	77	0.01709211986681465	0.0	0.02790540767944154
	72	147	5016	81	0.016148325358851676	0.0	0.024870527613506204
	73	25	300	9	0.03	0.0	0.04425822336974918
	74	1	1	0	0.0	0.0	0.0
	75	13	173	16	0.09248554913294797	0.0769230769230769	0.10071151274720684
	76	1	1	0	0.0	0.0	0.0
	77	117	1749	38	0.02172670097198399	0.0	0.03805621208336978
	78	134	3788	78	0.020591341077085535	0.0	0.027090080380135106
