filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	10	72	1	0.013888888888888888	0.0	0.010904405724718532
	1	1	9	1	0.1111111111111111	0.1111111111111111	0.0
	2	2	15	0	0.0	0.0	0.0
	3	4	37	1	0.02702702702702703	0.0	0.0192307692307692
	4	9	68	0	0.0	0.0	0.0
	5	2	10	1	0.1	0.0625	0.08838834764831845
	6	4	58	1	0.017241379310344827	0.0	0.025000000000000005
	7	2	7	0	0.0	0.0	0.0
	8	4	15	0	0.0	0.0	0.0
	9	2	6	0	0.0	0.0	0.0
	10	2	11	0	0.0	0.0	0.0
	11	2	5	0	0.0	0.0	0.0
	12	2	5	0	0.0	0.0	0.0
	13	1	15	0	0.0	0.0	0.0
	14	1	12	0	0.0	0.0	0.0
	15	1	4	0	0.0	0.0	0.0
	16	13	192	2	0.010416666666666666	0.0	0.009270343034369712
	17	9	89	0	0.0	0.0	0.0
	18	5	81	0	0.0	0.0	0.0
	19	1	8	0	0.0	0.0	0.0
	20	9	97	1	0.010309278350515464	0.0	0.012345679012345668
	21	4	46	1	0.021739130434782608	0.0	0.01785714285714285
	22	34	460	13	0.02826086956521739	0.0	0.03982970235448956
	23	3	35	2	0.05714285714285714	0.0	0.03981725994411211
	24	3	40	1	0.025	0.0	0.03849001794597501
	25	2	12	1	0.08333333333333333	0.05	0.07071067811865477
	26	11	213	5	0.023474178403755867	0.0	0.018653666428243947
	27	4	11	0	0.0	0.0	0.0
	28	3	10	0	0.0	0.0	0.0
	29	1	14	0	0.0	0.0	0.0
	30	8	103	3	0.02912621359223301	0.0	0.04063483205772658
	31	1	21	1	0.047619047619047616	0.0476190476190476	0.0
	32	11	135	2	0.014814814814814815	0.0	0.02316835526171452
	33	1	36	4	0.1111111111111111	0.1111111111111111	0.0
	34	6	90	2	0.022222222222222223	0.0	0.06804138174397714
	35	14	236	6	0.025423728813559324	0.0	0.032720671237672305
	36	2	4	0	0.0	0.0	0.0
	37	1	3	0	0.0	0.0	0.0
	38	2	6	0	0.0	0.0	0.0
	39	1	6	0	0.0	0.0	0.0
	40	1	7	0	0.0	0.0	0.0
	41	1	21	1	0.047619047619047616	0.0476190476190476	0.0
	42	11	193	7	0.03626943005181347	0.0	0.07230429696842837
	43	2	12	0	0.0	0.0	0.0
	44	2	7	0	0.0	0.0	0.0
	45	1	9	0	0.0	0.0	0.0
	46	1	4	0	0.0	0.0	0.0
	47	2	3	0	0.0	0.0	0.0
	48	2	9	0	0.0	0.0	0.0
	49	1	6	0	0.0	0.0	0.0
	50	1	6	0	0.0	0.0	0.0
	51	3	6	0	0.0	0.0	0.0
	52	14	179	6	0.0335195530726257	0.0	0.042779358644976895
	53	1	5	0	0.0	0.0	0.0
	54	1	4	0	0.0	0.0	0.0
	55	2	5	0	0.0	0.0	0.0
	56	1	2	0	0.0	0.0	0.0
	57	2	9	0	0.0	0.0	0.0
	58	1	2	0	0.0	0.0	0.0
	59	1	8	0	0.0	0.0	0.0
	60	2	10	0	0.0	0.0	0.0
	61	2	14	0	0.0	0.0	0.0
	62	5	72	3	0.041666666666666664	0.0	0.023537557657892512
	63	3	60	3	0.05	0.048780487804878	0.06299993390174337
	64	1	9	0	0.0	0.0	0.0
	65	2	33	1	0.030303030303030304	0.05555555555555555	0.07856742013183861
	66	1	10	1	0.1	0.1	0.0
	67	2	9	0	0.0	0.0	0.0
	68	1	17	1	0.058823529411764705	0.0588235294117647	0.0
	69	1	53	1	0.018867924528301886	0.0188679245283018	0.0
	70	2	20	0	0.0	0.0	0.0
	71	5	19	0	0.0	0.0	0.0
	72	2	12	0	0.0	0.0	0.0
	73	3	33	2	0.06060606060606061	0.0	0.042766686606638904
	74	2	16	1	0.0625	0.0357142857142857	0.05050762722761051
	75	5	63	3	0.047619047619047616	0.0666666666666666	0.038615078147726536
	76	2	6	0	0.0	0.0	0.0
	77	5	71	7	0.09859154929577464	0.0714285714285714	0.068696526753511
	78	2	12	0	0.0	0.0	0.0
	79	2	37	0	0.0	0.0	0.0
	80	1	9	0	0.0	0.0	0.0
	81	23	448	7	0.015625	0.0	0.02262540750748306
	82	2	47	0	0.0	0.0	0.0
	83	2	27	0	0.0	0.0	0.0
	84	3	22	0	0.0	0.0	0.0
	85	3	26	1	0.038461538461538464	0.0	0.026243194054073868
	86	21	216	6	0.027777777777777776	0.0	0.0754299280550647
	87	2	4	0	0.0	0.0	0.0
	88	2	31	0	0.0	0.0	0.0
	89	1	4	1	0.25	0.25	0.0
	90	3	47	1	0.02127659574468085	0.0	0.036084391824351615
	91	1	5	0	0.0	0.0	0.0
	92	3	40	2	0.05	0.0526315789473684	0.03514615017851861
	93	1	11	0	0.0	0.0	0.0
	94	23	330	8	0.024242424242424242	0.0	0.027392195408145484
	95	5	100	0	0.0	0.0	0.0
	96	2	18	0	0.0	0.0	0.0
	97	3	55	1	0.01818181818181818	0.0	0.02510218561694024
	98	12	289	9	0.031141868512110725	0.01041666666666665	0.0597407164024872
	99	3	63	0	0.0	0.0	0.0
	100	2	22	0	0.0	0.0	0.0
	101	3	4	0	0.0	0.0	0.0
	102	1	6	0	0.0	0.0	0.0
	103	2	13	1	0.07692307692307693	0.0714285714285714	0.10101525445522103
	104	3	3	0	0.0	0.0	0.0
	105	2	14	1	0.07142857142857142	0.04166666666666665	0.05892556509887894
	106	4	20	0	0.0	0.0	0.0
	107	5	98	2	0.02040816326530612	0.0	0.028852490032255325
	108	2	5	0	0.0	0.0	0.0
	109	3	12	1	0.08333333333333333	0.0	0.05773502691896258
	110	5	9	0	0.0	0.0	0.0
	111	1	1	0	0.0	0.0	0.0
	112	1	8	0	0.0	0.0	0.0
	113	2	82	3	0.036585365853658534	0.04050711193568335	0.028424205799088192
	114	3	17	0	0.0	0.0	0.0
	115	5	78	2	0.02564102564102564	0.0	0.048205872758778856
	116	2	7	0	0.0	0.0	0.0
	117	4	27	0	0.0	0.0	0.0
	118	1	12	0	0.0	0.0	0.0
	119	14	210	3	0.014285714285714285	0.0	0.028410806262080666
	120	2	8	0	0.0	0.0	0.0
	121	6	74	1	0.013513513513513514	0.0	0.011033737580104395
	122	1	29	1	0.034482758620689655	0.0344827586206896	0.0
	123	1	21	1	0.047619047619047616	0.0476190476190476	0.0
	124	2	20	0	0.0	0.0	0.0
	125	1	8	1	0.125	0.125	0.0
	126	3	23	0	0.0	0.0	0.0
	127	2	14	0	0.0	0.0	0.0
	128	1	22	0	0.0	0.0	0.0
	129	1	2	0	0.0	0.0	0.0
	130	1	10	0	0.0	0.0	0.0
	131	1	2	0	0.0	0.0	0.0
	132	1	7	0	0.0	0.0	0.0
	133	1	2	0	0.0	0.0	0.0
	134	2	16	0	0.0	0.0	0.0
	135	2	27	0	0.0	0.0	0.0
	136	1	9	0	0.0	0.0	0.0
	137	4	33	1	0.030303030303030304	0.0	0.03846153846153845
	138	1	8	0	0.0	0.0	0.0
	139	11	106	4	0.03773584905660377	0.0	0.041410595724564875
	140	1	9	0	0.0	0.0	0.0
	141	1	6	0	0.0	0.0	0.0
	142	8	38	1	0.02631578947368421	0.0	0.04419417382415922
	143	1	7	0	0.0	0.0	0.0
	144	1	2	0	0.0	0.0	0.0
	145	1	4	1	0.25	0.25	0.0
	146	1	5	0	0.0	0.0	0.0
	147	1	4	0	0.0	0.0	0.0
	148	8	131	4	0.030534351145038167	0.0	0.03966652171046024
	149	2	4	0	0.0	0.0	0.0
	150	1	6	0	0.0	0.0	0.0
	151	2	23	0	0.0	0.0	0.0
	152	2	10	0	0.0	0.0	0.0
	153	2	33	0	0.0	0.0	0.0
	154	14	125	5	0.04	0.0	0.051936653364671875
	155	23	389	7	0.017994858611825194	0.0	0.018360281887252545
	156	10	361	7	0.019390581717451522	0.0	0.01429945422584063
	157	9	129	2	0.015503875968992248	0.0	0.037037037037037035
	158	27	457	6	0.01312910284463895	0.0	0.026938776433949704
	159	11	218	9	0.04128440366972477	0.0	0.05934222064367715
	160	14	196	8	0.04081632653061224	0.0	0.07902279898709151
	161	9	166	3	0.018072289156626505	0.0	0.020327286418192394
	162	2	7	0	0.0	0.0	0.0
	163	1	14	1	0.07142857142857142	0.0714285714285714	0.0
	164	2	2	0	0.0	0.0	0.0
	165	1	14	0	0.0	0.0	0.0
	166	32	493	4	0.008113590263691683	0.0	0.017212972778559855
	167	2	44	2	0.045454545454545456	0.027027027027027	0.03822198817224578
	168	2	26	0	0.0	0.0	0.0
	169	2	43	0	0.0	0.0	0.0
	170	2	11	0	0.0	0.0	0.0
	171	13	174	5	0.028735632183908046	0.0	0.049487696155547774
	172	1	6	0	0.0	0.0	0.0
	173	1	1	0	0.0	0.0	0.0
	174	4	28	0	0.0	0.0	0.0
	175	1	1	0	0.0	0.0	0.0
	176	1	10	0	0.0	0.0	0.0
	177	1	4	0	0.0	0.0	0.0
	178	1	7	0	0.0	0.0	0.0
	179	3	5	0	0.0	0.0	0.0
	180	23	421	11	0.026128266033254157	0.0	0.034492467518381864
	181	1	16	0	0.0	0.0	0.0
	182	1	2	0	0.0	0.0	0.0
	183	5	89	3	0.033707865168539325	0.0357142857142857	0.028749445424997265
	184	1	2	0	0.0	0.0	0.0
	185	1	3	1	0.3333333333333333	0.3333333333333333	0.0
	186	1	2	0	0.0	0.0	0.0
	187	1	5	0	0.0	0.0	0.0
	188	4	105	1	0.009523809523809525	0.0	0.00555555555555555
	189	1	5	0	0.0	0.0	0.0
	190	3	42	2	0.047619047619047616	0.0434782608695652	0.03203757098519455
	191	1	21	0	0.0	0.0	0.0
	192	1	4	0	0.0	0.0	0.0
	193	3	32	1	0.03125	0.0	0.036084391824351615
	194	4	62	1	0.016129032258064516	0.0	0.022727272727272697
	195	1	3	0	0.0	0.0	0.0
	196	1	7	0	0.0	0.0	0.0
	197	3	15	0	0.0	0.0	0.0
	198	2	6	0	0.0	0.0	0.0
	199	2	6	0	0.0	0.0	0.0
	200	1	10	0	0.0	0.0	0.0
	201	5	93	1	0.010752688172043012	0.0	0.015421158465515766
	202	2	7	0	0.0	0.0	0.0
