filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Doppet_Memoires	0	1	2	0	0.0	0.0	0.0
Doppet_Memoires	1	1	10	0	0.0	0.0	0.0
Doppet_Memoires	2	1	49	2	0.04081632653061224	0.0408163265306122	0.0
Doppet_Memoires	3	1	69	3	0.043478260869565216	0.0434782608695652	0.0
Doppet_Memoires	4	2	38	0	0.0	0.0	0.0
Doppet_Memoires	5	1	26	0	0.0	0.0	0.0
Doppet_Memoires	6	2	15	0	0.0	0.0	0.0
Doppet_Memoires	7	1	4	0	0.0	0.0	0.0
Doppet_Memoires	8	3	86	3	0.03488372093023256	0.032258064516129	0.035769987779400964
Doppet_Memoires	9	2	95	2	0.021052631578947368	0.02105496453900705	0.0003134338569089164
Doppet_Memoires	10	1	86	5	0.05813953488372093	0.0581395348837209	0.0
Doppet_Memoires	11	14	310	5	0.016129032258064516	0.0	0.0667807802416345
Doppet_Memoires	12	10	156	5	0.03205128205128205	0.0	0.021583545197397795
Doppet_Memoires	13	3	60	0	0.0	0.0	0.0
Doppet_Memoires	14	5	193	4	0.02072538860103627	0.0	0.016254011237061747
Doppet_Memoires	15	1	53	2	0.03773584905660377	0.0377358490566037	0.0
Doppet_Memoires	16	10	252	5	0.01984126984126984	0.0	0.021661911230073803
Doppet_Memoires	17	4	149	2	0.013422818791946308	0.0096153846153846	0.011329300825700184
Doppet_Memoires	18	8	184	3	0.016304347826086956	0.0	0.03257607569840429
Doppet_Memoires	19	1	47	2	0.0425531914893617	0.0425531914893617	0.0
Doppet_Memoires	20	3	102	3	0.029411764705882353	0.0158730158730158	0.027783643477069683
Doppet_Memoires	21	2	20	0	0.0	0.0	0.0
Doppet_Memoires	22	1	65	3	0.046153846153846156	0.0461538461538461	0.0
Doppet_Memoires	23	8	124	3	0.024193548387096774	0.0	0.021706108460003846
Doppet_Memoires	24	3	43	1	0.023255813953488372	0.0	0.05248638810814779
Doppet_Memoires	25	1	3	0	0.0	0.0	0.0
Doppet_Memoires	26	2	28	1	0.03571428571428571	0.0263157894736842	0.03721614637823933
Doppet_Memoires	27	3	63	4	0.06349206349206349	0.0476190476190476	0.05574419975054359
Doppet_Memoires	28	1	60	0	0.0	0.0	0.0
Doppet_Memoires	29	2	40	2	0.05	0.03448275862068965	0.04876598490941706
Doppet_Memoires	30	4	97	0	0.0	0.0	0.0
Doppet_Memoires	31	2	58	1	0.017241379310344827	0.01388888888888885	0.019641855032959597
Doppet_Memoires	32	3	86	1	0.011627906976744186	0.0	0.014803853056144227
Doppet_Memoires	33	2	7	0	0.0	0.0	0.0
Doppet_Memoires	34	10	344	6	0.01744186046511628	0.0	0.025282126355359154
