filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	20	251	5	0.0199203187250996	0.0	0.041097295959866886
	1	8	120	2	0.016666666666666666	0.0	0.028449299336265832
	2	1	29	0	0.0	0.0	0.0
	3	47	649	11	0.01694915254237288	0.0	0.03609463320759625
	4	26	443	10	0.022573363431151242	0.0	0.05389530285110635
	5	8	105	2	0.01904761904761905	0.0	0.05016484114533924
	6	30	361	5	0.013850415512465374	0.0	0.042344742060574286
	7	4	27	0	0.0	0.0	0.0
	8	3	46	1	0.021739130434782608	0.0	0.04123930494211611
	9	34	444	7	0.015765765765765764	0.0	0.02583382050457232
	10	28	290	1	0.0034482758620689655	0.0	0.011811389781538353
	11	4	49	0	0.0	0.0	0.0
	12	11	147	1	0.006802721088435374	0.0	0.012060453783110544
	13	15	193	4	0.02072538860103627	0.0	0.027010545179953962
	14	2	14	0	0.0	0.0	0.0
	15	15	154	6	0.03896103896103896	0.0	0.09277150857914732
	16	7	128	0	0.0	0.0	0.0
	17	12	150	3	0.02	0.0	0.026989860642156863
	18	22	301	6	0.019933554817275746	0.0	0.039280589844820614
	19	14	245	6	0.024489795918367346	0.0	0.04101871604862805
	20	17	188	3	0.015957446808510637	0.0	0.062178209890985374
	21	5	95	1	0.010526315789473684	0.0	0.009515182882977806
	22	21	255	4	0.01568627450980392	0.0	0.07396372399927957
	23	1	39	1	0.02564102564102564	0.0256410256410256	0.0
	24	7	88	2	0.022727272727272728	0.0	0.04446640858932084
	25	11	184	1	0.005434782608695652	0.0	0.00861460984507894
	26	2	47	0	0.0	0.0	0.0
	27	15	247	10	0.04048582995951417	0.0	0.07450363097299945
	28	14	180	2	0.011111111111111112	0.0	0.038768677220993635
	29	6	81	0	0.0	0.0	0.0
	30	10	151	5	0.033112582781456956	0.0	0.03041473949688653
	31	14	253	5	0.019762845849802372	0.0	0.036929737197835856
	32	6	94	2	0.02127659574468085	0.0	0.02206747516020879
	33	5	121	2	0.01652892561983471	0.0	0.05442522966550221
	34	2	16	0	0.0	0.0	0.0
	35	12	171	2	0.011695906432748537	0.0	0.05381099233077656
	36	7	95	0	0.0	0.0	0.0
	37	31	291	5	0.01718213058419244	0.0	0.04238561249708453
	38	3	15	0	0.0	0.0	0.0
	39	40	647	18	0.027820710973724884	0.0	0.03911930900540947
	40	35	453	4	0.008830022075055188	0.0	0.020312455365577235
	41	19	210	4	0.01904761904761905	0.0	0.03995295780124648
	42	15	139	1	0.007194244604316547	0.0	0.012909944487358056
