filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	1	0	0.0	0.0	0.0
	1	10	293	13	0.04436860068259386	0.0318181818181818	0.10142473503419679
	2	12	143	1	0.006993006993006993	0.0	0.01255109280847012
	3	6	122	3	0.02459016393442623	0.0	0.02365136760906138
	4	8	146	5	0.03424657534246575	0.0	0.03790974779267778
	5	2	79	4	0.05063291139240506	0.0741459627329192	0.07960441247829922
	6	5	98	1	0.01020408163265306	0.0	0.044721359549995794
	7	4	110	3	0.02727272727272727	0.01041666666666665	0.039436863512501884
	8	2	35	0	0.0	0.0	0.0
	9	3	4	0	0.0	0.0	0.0
	10	3	7	0	0.0	0.0	0.0
	11	1	3	0	0.0	0.0	0.0
	12	10	299	2	0.006688963210702341	0.0	0.016373556377601375
	13	4	101	2	0.019801980198019802	0.0	0.01515151515151515
	14	8	153	4	0.026143790849673203	0.00980392156862745	0.06096063094712205
	15	16	190	3	0.015789473684210527	0.0	0.0131578947368421
	16	21	306	4	0.013071895424836602	0.0	0.01921061214661363
	17	14	275	6	0.02181818181818182	0.0	0.031105727247848033
	18	18	308	10	0.032467532467532464	0.0	0.04713317860794525
	19	5	99	2	0.020202020202020204	0.0	0.027950849718747374
	20	1	63	0	0.0	0.0	0.0
	21	1	2	0	0.0	0.0	0.0
	22	1	2	0	0.0	0.0	0.0
	23	10	228	4	0.017543859649122806	0.0	0.017208145866138058
	24	13	195	6	0.03076923076923077	0.0	0.039875537236222516
	25	1	9	0	0.0	0.0	0.0
	26	13	285	4	0.014035087719298246	0.0	0.030428182167689766
	27	9	171	3	0.017543859649122806	0.0	0.024300867888487305
	28	6	70	3	0.04285714285714286	0.0	0.10029929448425268
	29	4	101	1	0.009900990099009901	0.0	0.0172413793103448
	30	10	199	1	0.005025125628140704	0.0	0.01860163329510811
	31	3	49	2	0.04081632653061224	0.05	0.03665429599604916
	32	13	206	10	0.04854368932038835	0.0	0.04765022139850418
	33	3	22	0	0.0	0.0	0.0
	34	4	45	2	0.044444444444444446	0.0	0.03703703703703699
	35	4	52	2	0.038461538461538464	0.0	0.024390243902439
	36	2	22	1	0.045454545454545456	0.0238095238095238	0.03367175148507368
	37	3	26	2	0.07692307692307693	0.0	0.05020437123388048
	38	5	72	2	0.027777777777777776	0.0	0.03312693299999685
	39	6	109	8	0.07339449541284404	0.0303030303030303	0.0694279275449259
	40	4	39	1	0.02564102564102564	0.0	0.04545454545454545
	41	24	215	8	0.037209302325581395	0.0	0.06119473376705921
	42	2	13	1	0.07692307692307693	0.05	0.07071067811865477
	43	1	2	0	0.0	0.0	0.0
	44	1	1	0	0.0	0.0	0.0
	45	2	15	0	0.0	0.0	0.0
	46	40	518	16	0.03088803088803089	0.0	0.04380993584204793
	47	6	89	3	0.033707865168539325	0.0	0.03116263053498175
	48	10	166	5	0.030120481927710843	0.0	0.03606907134239623
	49	8	203	6	0.029556650246305417	0.0231601731601731	0.04004672158307609
	50	10	131	1	0.007633587786259542	0.0	0.007027283689263059
	51	3	64	4	0.0625	0.0606060606060606	0.046288643383392315
	52	6	181	4	0.022099447513812154	0.0078125	0.029996837749355163
	53	5	118	5	0.0423728813559322	0.0	0.03912303982179756
	54	2	47	1	0.02127659574468085	0.0185185185185185	0.02618914004394618
	55	9	167	6	0.03592814371257485	0.0	0.02935476130185217
	56	6	113	0	0.0	0.0	0.0
	57	7	174	5	0.028735632183908046	0.0256410256410256	0.0234582637019093
	58	4	94	3	0.031914893617021274	0.0563186813186813	0.037087912087912074
	59	1	34	1	0.029411764705882353	0.0294117647058823	0.0
	60	1	2	0	0.0	0.0	0.0
	61	1	5	1	0.2	0.2	0.0
	62	5	51	2	0.0392156862745098	0.0	0.05449808549218999
	63	20	190	10	0.05263157894736842	0.0	0.048938974620109967
	64	4	32	0	0.0	0.0	0.0
	65	6	94	2	0.02127659574468085	0.0	0.019985028760319348
	66	1	42	1	0.023809523809523808	0.0238095238095238	0.0
	67	3	98	1	0.01020408163265306	0.0	0.019245008972987504
	68	4	89	2	0.02247191011235955	0.0217391304347826	0.026351805510057662
	69	7	139	3	0.02158273381294964	0.0	0.020549135082869183
	70	4	90	3	0.03333333333333333	0.01666666666666665	0.12047360245667467
	71	6	168	7	0.041666666666666664	0.03348214285714285	0.02140904920387383
	72	3	35	1	0.02857142857142857	0.0	0.03849001794597501
	73	7	119	3	0.025210084033613446	0.0	0.030432702316189515
	74	15	235	5	0.02127659574468085	0.0	0.02648915646951822
	75	2	23	2	0.08695652173913043	0.06666666666666665	0.09428090415820632
