filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	3	4	0	0.0	0.0	0.0
	1	4	85	2	0.023529411764705882	0.02	0.03463119587728895
	2	1	50	0	0.0	0.0	0.0
	3	4	83	1	0.012048192771084338	0.0	0.022727272727272697
	4	4	78	1	0.01282051282051282	0.0	0.01515151515151515
	5	6	96	2	0.020833333333333332	0.0	0.032659863237109045
	6	8	150	5	0.03333333333333333	0.0	0.06106098579810276
	7	1	36	1	0.027777777777777776	0.0277777777777777	0.0
	8	3	62	0	0.0	0.0	0.0
	9	6	122	3	0.02459016393442623	0.0	0.029346381433059777
	10	4	65	1	0.015384615384615385	0.0	0.0263157894736842
	11	2	48	1	0.020833333333333332	0.01162790697674415	0.01644434374852431
	12	2	53	5	0.09433962264150944	0.0543478260869565	0.07685943273766818
	13	13	179	3	0.01675977653631285	0.0	0.03997439842484262
	14	12	225	10	0.044444444444444446	0.0425724637681159	0.04931041149449561
	15	2	39	1	0.02564102564102564	0.0185185185185185	0.02618914004394618
	16	11	133	4	0.03007518796992481	0.0	0.0757084631462991
	17	4	100	5	0.05	0.0490430622009569	0.04844869337300279
	18	11	172	1	0.005813953488372093	0.0	0.007353935233603983
	19	3	59	3	0.05084745762711865	0.0	0.048112522432468795
	20	11	185	4	0.021621621621621623	0.0	0.04394610978646901
	21	9	172	1	0.005813953488372093	0.0	0.0303030303030303
	22	2	35	1	0.02857142857142857	0.0217391304347826	0.030743773095067272
	23	17	272	9	0.03308823529411765	0.0	0.042233621171886664
	24	5	119	2	0.01680672268907563	0.0	0.022786430054799477
	25	8	135	3	0.022222222222222223	0.0	0.03261384174305087
	26	4	78	2	0.02564102564102564	0.0192307692307692	0.022658601651400368
	27	3	118	1	0.00847457627118644	0.0	0.010691671651659726
	28	7	194	2	0.010309278350515464	0.0	0.015818529032309552
	29	5	77	0	0.0	0.0	0.0
	30	15	243	7	0.02880658436213992	0.0	0.026574913774831663
	31	2	3	0	0.0	0.0	0.0
	32	5	151	5	0.033112582781456956	0.0476190476190476	0.02256670527655214
	33	19	326	15	0.046012269938650305	0.0384615384615384	0.05964474223785063
	34	11	156	11	0.07051282051282051	0.0	0.05607404521133996
	35	4	103	4	0.038834951456310676	0.03743315508021385	0.029447847082082278
	36	4	99	3	0.030303030303030304	0.0161290322580645	0.025878581471813624
	37	6	104	4	0.038461538461538464	0.0217391304347826	0.04154507318191788
	38	10	240	6	0.025	0.0	0.03893755294225969
	39	13	233	9	0.03862660944206009	0.0256410256410256	0.05751038335077724
	40	12	139	4	0.02877697841726619	0.0	0.05042744840350643
	41	3	65	5	0.07692307692307693	0.037037037037037	0.2001125796505116
	42	3	74	0	0.0	0.0	0.0
	43	3	60	3	0.05	0.0	0.07872958216222166
	44	9	122	3	0.02459016393442623	0.0	0.01886792452830187
	45	1	37	3	0.08108108108108109	0.081081081081081	0.0
	46	12	150	1	0.006666666666666667	0.0	0.016037507477489586
	47	2	42	1	0.023809523809523808	0.01785714285714285	0.025253813613805257
	48	10	98	5	0.05102040816326531	0.0208333333333333	0.05282347030503098
	49	15	188	12	0.06382978723404255	0.0	0.06596116252411335
	50	8	92	1	0.010869565217391304	0.0	0.05892556509887894
	51	7	100	3	0.03	0.0	0.030297551284349866
	52	5	70	0	0.0	0.0	0.0
	53	13	186	5	0.026881720430107527	0.0	0.07846334373731806
	54	12	110	1	0.00909090909090909	0.0	0.024056261216234397
	55	2	14	0	0.0	0.0	0.0
	56	16	170	3	0.01764705882352941	0.0	0.029090051502331803
	57	4	36	0	0.0	0.0	0.0
	58	4	17	0	0.0	0.0	0.0
	59	10	84	3	0.03571428571428571	0.0	0.04991816116343027
	60	14	145	4	0.027586206896551724	0.0	0.08106220618350067
	61	2	147	4	0.027210884353741496	0.021505376344086	0.03041319488974395
	62	12	229	11	0.048034934497816595	0.0217391304347826	0.04254823383419012
	63	4	90	5	0.05555555555555555	0.0488215488215488	0.03245565373944163
	64	13	173	5	0.028901734104046242	0.0	0.038211776458833474
	65	5	58	3	0.05172413793103448	0.0357142857142857	0.0635674156036771
	66	7	89	2	0.02247191011235955	0.0	0.03278315801956011
	67	7	104	0	0.0	0.0	0.0
	68	12	142	4	0.028169014084507043	0.0	0.06131197981050806
	69	5	46	2	0.043478260869565216	0.0	0.04969039949999532
	70	2	40	5	0.125	0.1125356125356125	0.05036373085374269
	71	3	37	0	0.0	0.0	0.0
	72	2	66	3	0.045454545454545456	0.048872180451127796	0.03189955403849085
	73	2	56	1	0.017857142857142856	0.0096153846153846	0.013598207330510509
	74	4	55	4	0.07272727272727272	0.0303030303030303	0.06337126117720451
	75	9	137	3	0.021897810218978103	0.0	0.03674654598700818
	76	3	54	1	0.018518518518518517	0.0	0.05248638810814779
	77	2	72	4	0.05555555555555555	0.056648308418567994	0.011126778618199
	78	1	4	1	0.25	0.25	0.0
	79	1	2	0	0.0	0.0	0.0
	80	16	242	5	0.02066115702479339	0.0	0.03228605495710895
	81	4	72	0	0.0	0.0	0.0
	82	2	53	3	0.05660377358490566	0.06926406926406925	0.030610683168248814
	83	5	94	7	0.07446808510638298	0.0476190476190476	0.07782258186864813
	84	17	165	6	0.03636363636363636	0.0	0.03507148048186759
	85	5	108	2	0.018518518518518517	0.0	0.01686031611246672
	86	5	72	8	0.1111111111111111	0.0	0.10106846854459063
	87	3	46	2	0.043478260869565216	0.0714285714285714	0.04291345975772885
	88	4	61	1	0.01639344262295082	0.0	0.02
	89	5	45	0	0.0	0.0	0.0
	90	10	85	2	0.023529411764705882	0.0	0.016643566632465148
	91	8	102	0	0.0	0.0	0.0
	92	4	69	0	0.0	0.0	0.0
	93	3	46	2	0.043478260869565216	0.0	0.03299144395369288
	94	14	127	1	0.007874015748031496	0.0	0.02429647653749312
	95	20	323	14	0.043343653250773995	0.0	0.06007924088127195
	96	7	72	1	0.013888888888888888	0.0	0.01799830823853462
	97	13	127	0	0.0	0.0	0.0
	98	8	78	0	0.0	0.0	0.0
	99	4	35	0	0.0	0.0	0.0
	100	15	239	5	0.02092050209205021	0.0	0.027565993364043546
	101	8	108	3	0.027777777777777776	0.0	0.05011184806402693
	102	9	144	5	0.034722222222222224	0.0	0.03090531130534074
	103	2	73	2	0.0273972602739726	0.0185185185185185	0.02618914004394618
	104	5	48	1	0.020833333333333332	0.0	0.01442624501612766
	105	8	121	5	0.04132231404958678	0.0	0.05386165281791745
	106	3	80	0	0.0	0.0	0.0
	107	7	80	2	0.025	0.0	0.07457370121288245
	108	1	34	1	0.029411764705882353	0.0294117647058823	0.0
	109	7	152	7	0.046052631578947366	0.0454545454545454	0.02597020071629576
	110	12	194	7	0.03608247422680412	0.0	0.04738306127249138
	111	2	62	2	0.03225806451612903	0.0339912280701754	0.010854709360319771
	112	9	178	5	0.028089887640449437	0.0	0.05313406857254974
	113	7	76	1	0.013157894736842105	0.0	0.07559289460184546
	114	12	132	4	0.030303030303030304	0.0	0.05504545195790957
	115	13	203	5	0.024630541871921183	0.0	0.033110719394528886
	116	5	89	1	0.011235955056179775	0.0	0.06388765649999396
	117	1	29	0	0.0	0.0	0.0
	118	9	140	3	0.02142857142857143	0.0	0.051433003098201945
	119	9	128	3	0.0234375	0.0	0.02740107381211437
	120	5	95	2	0.021052631578947368	0.0	0.030978163576490674
	121	7	125	2	0.016	0.0	0.02271622666454135
	122	4	93	3	0.03225806451612903	0.01886792452830185	0.02356141308361181
	123	4	56	0	0.0	0.0	0.0
	124	1	4	1	0.25	0.25	0.0
	125	1	2	0	0.0	0.0	0.0
	126	8	157	4	0.025477707006369428	0.0	0.022863243405737126
	127	11	135	3	0.022222222222222223	0.0	0.04446968979975736
	128	6	106	2	0.018867924528301886	0.0	0.021216160460052338
	129	8	141	9	0.06382978723404255	0.0238095238095238	0.051874423885994767
	130	7	114	2	0.017543859649122806	0.0	0.02505106248113735
	131	7	121	4	0.03305785123966942	0.0	0.045432453329082724
	132	2	27	0	0.0	0.0	0.0
	133	9	77	2	0.025974025974025976	0.0	0.05555555555555553
	134	10	178	8	0.0449438202247191	0.0185185185185185	0.05718570034921776
	135	11	125	1	0.008	0.0	0.021536524612697387
	136	3	22	0	0.0	0.0	0.0
	137	9	119	4	0.03361344537815126	0.0	0.04550994714503167
	138	8	140	3	0.02142857142857143	0.0	0.02856552813859207
	139	15	159	4	0.025157232704402517	0.0	0.03662588933327543
	140	11	125	9	0.072	0.0454545454545454	0.0780566527237335
	141	9	59	2	0.03389830508474576	0.0	0.058204437914000984
	142	3	43	0	0.0	0.0	0.0
	143	6	64	0	0.0	0.0	0.0
	144	2	43	0	0.0	0.0	0.0
	145	8	112	4	0.03571428571428571	0.0131578947368421	0.06879660608228472
	146	7	65	1	0.015384615384615385	0.0	0.04724555912615341
	147	1	3	0	0.0	0.0	0.0
	148	2	20	1	0.05	0.05555555555555555	0.07856742013183861
	149	12	138	2	0.014492753623188406	0.0	0.04439868289343291
	150	6	86	2	0.023255813953488372	0.0	0.023671706456792656
	151	10	119	4	0.03361344537815126	0.0	0.07046513442746437
	152	7	147	4	0.027210884353741496	0.0344827586206896	0.04509149879350476
	153	6	87	1	0.011494252873563218	0.0	0.029160592175990204
	154	7	101	2	0.019801980198019802	0.0	0.02938643249543828
	155	10	118	7	0.059322033898305086	0.0	0.04360140685019244
	156	9	77	1	0.012987012987012988	0.0	0.02564102564102563
	157	2	49	3	0.061224489795918366	0.0357142857142857	0.05050762722761051
	158	2	36	2	0.05555555555555555	0.04166666666666665	0.05892556509887894
	159	1	40	0	0.0	0.0	0.0
	160	4	93	3	0.03225806451612903	0.0192307692307692	0.07903094875601249
	161	5	91	2	0.02197802197802198	0.0	0.028536973918697434
	162	8	89	6	0.06741573033707865	0.06719367588932805	0.07782262084958355
	163	5	34	1	0.029411764705882353	0.0	0.02129588549999799
	164	4	57	2	0.03508771929824561	0.0192307692307692	0.058947353069709996
	165	7	118	5	0.0423728813559322	0.0	0.04724555912615341
	166	3	52	0	0.0	0.0	0.0
	167	3	32	4	0.125	0.0909090909090909	0.08824879710863859
	168	3	44	3	0.06818181818181818	0.0	0.06415002990995841
	169	2	49	2	0.04081632653061224	0.1361111111111111	0.16106321127026918
	170	3	59	1	0.01694915254237288	0.0	0.05248638810814779
	171	5	120	3	0.025	0.0	0.03201473583613638
