filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Florian_Galatee	0	3	9	0	0.0	0.0	0.0
Florian_Galatee	1	6	98	3	0.030612244897959183	0.015625	0.07096993455035942
Florian_Galatee	2	1	3	0	0.0	0.0	0.0
Florian_Galatee	3	3	75	3	0.04	0.04	0.04167777629669121
Florian_Galatee	4	1	37	3	0.08108108108108109	0.081081081081081	0.0
Florian_Galatee	5	4	66	1	0.015151515151515152	0.0	0.0357142857142857
Florian_Galatee	6	2	34	0	0.0	0.0	0.0
Florian_Galatee	7	4	74	1	0.013513513513513514	0.0	0.01666666666666665
Florian_Galatee	8	3	59	1	0.01694915254237288	0.0	0.026243194054073868
Florian_Galatee	9	2	66	1	0.015151515151515152	0.0096153846153846	0.013598207330510509
Florian_Galatee	10	5	61	0	0.0	0.0	0.0
Florian_Galatee	11	5	114	2	0.017543859649122806	0.0	0.020516582691496945
Florian_Galatee	12	5	130	3	0.023076923076923078	0.0	0.024462134425165503
Florian_Galatee	13	4	67	1	0.014925373134328358	0.0	0.0192307692307692
Florian_Galatee	14	4	43	0	0.0	0.0	0.0
Florian_Galatee	15	9	137	4	0.029197080291970802	0.0	0.03458733643328062
Florian_Galatee	16	5	58	0	0.0	0.0	0.0
Florian_Galatee	17	2	51	0	0.0	0.0	0.0
Florian_Galatee	18	6	80	1	0.0125	0.0	0.017749925672341866
Florian_Galatee	19	4	79	0	0.0	0.0	0.0
Florian_Galatee	20	2	70	2	0.02857142857142857	0.0144927536231884	0.020495848730044848
Florian_Galatee	21	6	78	0	0.0	0.0	0.0
Florian_Galatee	22	4	45	0	0.0	0.0	0.0
Florian_Galatee	23	9	146	3	0.02054794520547945	0.0	0.021502232777235255
Florian_Galatee	24	3	48	2	0.041666666666666664	0.0	0.05020437123388048
Florian_Galatee	25	1	41	0	0.0	0.0	0.0
Florian_Galatee	26	2	28	1	0.03571428571428571	0.0217391304347826	0.030743773095067272
Florian_Galatee	27	2	49	0	0.0	0.0	0.0
Florian_Galatee	28	5	98	0	0.0	0.0	0.0
Florian_Galatee	29	2	25	0	0.0	0.0	0.0
Florian_Galatee	30	1	9	0	0.0	0.0	0.0
Florian_Galatee	31	1	37	2	0.05405405405405406	0.054054054054054	0.0
