filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	4	0	0.0	0.0	0.0
	1	6	87	2	0.022988505747126436	0.0	0.028155054514749166
	2	4	109	0	0.0	0.0	0.0
	3	2	107	1	0.009345794392523364	0.00980392156862745	0.01386483884679505
	4	3	80	0	0.0	0.0	0.0
	5	4	68	0	0.0	0.0	0.0
	6	1	13	0	0.0	0.0	0.0
	7	2	51	2	0.0392156862745098	0.03125	0.04419417382415922
	8	3	55	1	0.01818181818181818	0.0	0.044411559168432736
	9	2	55	0	0.0	0.0	0.0
	10	3	106	1	0.009433962264150943	0.0	0.013121597027036934
	11	4	73	2	0.0273972602739726	0.0	0.04
	12	1	46	0	0.0	0.0	0.0
	13	4	67	3	0.04477611940298507	0.0	0.0714285714285714
	14	7	148	1	0.006756756756756757	0.0	0.0060962011775681745
	15	3	144	1	0.006944444444444444	0.0	0.008247860988423174
	16	1	41	0	0.0	0.0	0.0
	17	3	163	0	0.0	0.0	0.0
	18	4	212	3	0.014150943396226415	0.0	0.0144230769230769
	19	3	128	1	0.0078125	0.0	0.018042195912175808
	20	3	96	1	0.010416666666666666	0.0	0.018042195912175808
	21	2	99	0	0.0	0.0	0.0
	22	1	7	0	0.0	0.0	0.0
	23	6	90	0	0.0	0.0	0.0
	24	9	249	6	0.024096385542168676	0.0	0.05069511720819269
	25	8	160	5	0.03125	0.0260133091349062	0.035315097352899526
	26	3	116	1	0.008620689655172414	0.0	0.015604061329449328
	27	8	180	2	0.011111111111111112	0.0	0.02209708691207961
	28	8	155	5	0.03225806451612903	0.0135135135135135	0.05784726609710999
	29	3	54	1	0.018518518518518517	0.0	0.03849001794597501
	30	5	120	7	0.058333333333333334	0.0416666666666666	0.049771701017970266
	31	14	361	6	0.01662049861495845	0.0	0.02969337759530276
	32	7	117	1	0.008547008547008548	0.0	0.03149703941743559
	33	4	117	1	0.008547008547008548	0.0	0.01666666666666665
	34	11	247	6	0.024291497975708502	0.0	0.030520132291264733
	35	4	115	6	0.05217391304347826	0.04488416988416985	0.03323547500742539
	36	10	171	1	0.005847953216374269	0.0	0.014373989364401707
	37	17	394	13	0.03299492385786802	0.0	0.05039404842758852
	38	12	323	8	0.02476780185758514	0.0119047619047619	0.03803049611261083
	39	8	107	1	0.009345794392523364	0.0	0.027196414661021052
	40	10	185	4	0.021621621621621623	0.0	0.025449550388763058
	41	26	359	4	0.011142061281337047	0.0	0.013468241735350259
	42	2	57	2	0.03508771929824561	0.03701298701298695	0.011938166435617048
	43	6	174	5	0.028735632183908046	0.0161290322580645	0.02535618908765605
	44	8	185	4	0.021621621621621623	0.0078125	0.03535014456460566
	45	4	115	1	0.008695652173913044	0.0	0.0333333333333333
	46	3	35	1	0.02857142857142857	0.0	0.06415002990995841
	47	14	273	5	0.018315018315018316	0.0	0.03342320987630235
	48	11	219	0	0.0	0.0	0.0
	49	11	209	5	0.023923444976076555	0.0	0.03295371026171338
	50	10	124	2	0.016129032258064516	0.0	0.04070604669259078
	51	3	72	0	0.0	0.0	0.0
	52	17	425	14	0.03294117647058824	0.0	0.036568070676660264
	53	12	77	1	0.012987012987012988	0.0	0.026243194054073903
	54	10	197	6	0.030456852791878174	0.03005226480836235	0.031456699110652075
	55	7	262	3	0.011450381679389313	0.0	0.019745953841316062
	56	9	96	1	0.010416666666666666	0.0	0.008547008547008532
	57	8	174	2	0.011494252873563218	0.0	0.021113952437237196
	58	19	317	7	0.022082018927444796	0.0	0.04385422516439045
	59	11	206	2	0.009708737864077669	0.0	0.01736627780139402
	60	9	218	2	0.009174311926605505	0.0	0.011250330289774296
	61	6	158	2	0.012658227848101266	0.0	0.013385189851274182
	62	17	295	2	0.006779661016949152	0.0	0.02554658323673351
	63	1	49	0	0.0	0.0	0.0
	64	15	238	2	0.008403361344537815	0.0	0.02335882960755782
	65	2	43	0	0.0	0.0	0.0
	66	5	68	0	0.0	0.0	0.0
	67	9	223	2	0.008968609865470852	0.0	0.011520383580110259
