filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Genlis_Adele	0	17	324	6	0.018518518518518517	0.0	0.02458740562182726
Genlis_Adele	1	1	58	1	0.017241379310344827	0.0172413793103448	0.0
Genlis_Adele	2	21	362	5	0.013812154696132596	0.0	0.022082804452274604
Genlis_Adele	3	1	30	1	0.03333333333333333	0.0333333333333333	0.0
Genlis_Adele	4	14	310	3	0.00967741935483871	0.0	0.016134917740717798
Genlis_Adele	5	8	147	4	0.027210884353741496	0.0	0.03935881490228487
Genlis_Adele	6	43	726	9	0.012396694214876033	0.0	0.03427085827941943
Genlis_Adele	7	51	1178	10	0.008488964346349746	0.0	0.014752368717807473
Genlis_Adele	8	25	407	3	0.007371007371007371	0.0	0.0160840469113271
Genlis_Adele	9	26	542	14	0.025830258302583026	0.0	0.03283107754685921
Genlis_Adele	10	39	823	11	0.013365735115431349	0.0	0.020195583434160794
Genlis_Adele	11	28	485	9	0.018556701030927835	0.0	0.0274967787185489
Genlis_Adele	12	16	260	3	0.011538461538461539	0.0	0.0350108807780265
Genlis_Adele	13	9	198	1	0.005050505050505051	0.0	0.007575757575757567
Genlis_Adele	14	10	212	2	0.009433962264150943	0.0	0.03554397959706689
Genlis_Adele	15	27	543	12	0.022099447513812154	0.0	0.033724487946926035
Genlis_Adele	16	4	69	0	0.0	0.0	0.0
Genlis_Adele	17	39	877	7	0.00798175598631699	0.0	0.016274451734201997
Genlis_Adele	18	4	51	0	0.0	0.0	0.0
Genlis_Adele	19	1	9	0	0.0	0.0	0.0
Genlis_Adele	20	41	1177	43	0.03653355989804588	0.0338983050847457	0.03664510391310213
Genlis_Adele	21	18	331	10	0.030211480362537766	0.0	0.05147040817350725
Genlis_Adele	22	4	85	4	0.047058823529411764	0.0238095238095238	0.04203714390113239
Genlis_Adele	23	2	30	0	0.0	0.0	0.0
Genlis_Adele	24	65	1177	13	0.011045029736618521	0.0	0.031032669910422868
Genlis_Adele	25	32	736	12	0.016304347826086956	0.0	0.030746440165744852
Genlis_Adele	26	24	516	11	0.02131782945736434	0.0	0.030416416360530746
Genlis_Adele	27	38	730	17	0.023287671232876714	0.0	0.031132316162835134
Genlis_Adele	28	55	1299	13	0.010007698229407237	0.0	0.016836207388569426
Genlis_Adele	29	24	640	14	0.021875	0.0	0.04033805055912769
Genlis_Adele	30	17	446	10	0.02242152466367713	0.0	0.025220597912718797
Genlis_Adele	31	40	721	31	0.04299583911234397	0.0	0.05374315836356474
Genlis_Adele	32	18	390	9	0.023076923076923078	0.0	0.033883750557795175
Genlis_Adele	33	8	202	2	0.009900990099009901	0.0	0.013135578755920167
Genlis_Adele	34	25	366	6	0.01639344262295082	0.0	0.03709266174839696
Genlis_Adele	35	28	736	18	0.024456521739130436	0.0	0.02119636690528733
