filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	2	0	0.0	0.0	0.0
	1	36	691	20	0.02894356005788712	0.0	0.03304957407301389
	2	30	517	9	0.017408123791102514	0.0	0.039408980771624705
	3	6	115	3	0.02608695652173913	0.0161290322580645	0.03586185446724487
	4	1	2	0	0.0	0.0	0.0
	5	33	561	14	0.024955436720142603	0.0	0.04354132945556145
	6	51	1161	42	0.03617571059431524	0.0	0.04445535703584849
	7	1	2	0	0.0	0.0	0.0
	8	14	302	4	0.013245033112582781	0.0	0.08967109418183555
	9	1	2	0	0.0	0.0	0.0
	10	20	435	9	0.020689655172413793	0.0	0.04776783573723314
	11	42	1157	17	0.014693171996542784	0.0	0.029692932054814675
	12	1	20	0	0.0	0.0	0.0
	13	1	2	0	0.0	0.0	0.0
	14	13	303	8	0.026402640264026403	0.0	0.1385093960766542
	15	26	513	25	0.04873294346978557	0.0	0.0814544194845533
	16	6	124	6	0.04838709677419355	0.06818181818181815	0.0888300454347841
	17	11	182	2	0.01098901098901099	0.0	0.01669544832776741
	18	1	2	0	0.0	0.0	0.0
	19	13	318	5	0.015723270440251572	0.0	0.021494437107019076
	20	43	762	23	0.030183727034120734	0.0	0.035960235464693666
	21	5	170	2	0.011764705882352941	0.0	0.014371549828007297
	22	1	2	0	0.0	0.0	0.0
	23	3	87	0	0.0	0.0	0.0
	24	47	607	19	0.03130148270181219	0.0	0.06042985454451648
	25	38	624	22	0.035256410256410256	0.0	0.042981220522263074
	26	1	2	0	0.0	0.0	0.0
	27	57	847	20	0.023612750885478158	0.0	0.040332712234097894
	28	1	2	0	0.0	0.0	0.0
	29	43	680	22	0.03235294117647059	0.0	0.06559787486525559
	30	1	2	0	0.0	0.0	0.0
	31	161	3476	86	0.02474108170310702	0.0	0.040271935321597965
	32	1	2	0	0.0	0.0	0.0
	33	15	348	11	0.031609195402298854	0.0	0.03113276697456919
	34	8	98	4	0.04081632653061224	0.02	0.0633232980934003
	35	33	331	18	0.054380664652567974	0.0	0.0575458788218082
	36	36	327	12	0.03669724770642202	0.0	0.07275765024688134
	37	103	1927	47	0.024390243902439025	0.0	0.03807841595791749
	38	88	1710	58	0.03391812865497076	0.0	0.041030944127898726
	39	25	419	15	0.03579952267303103	0.0	0.06757549957153314
	40	3	55	5	0.09090909090909091	0.2	0.1038025255314645
	41	1	2	0	0.0	0.0	0.0
	42	199	3376	85	0.025177725118483412	0.0	0.041130476199651225
	43	93	1601	33	0.02061211742660837	0.0	0.04225451881252794
	44	43	716	18	0.025139664804469275	0.0	0.04570599161296483
	45	156	2926	84	0.028708133971291867	0.0	0.04186312857580781
