filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	8	0	0.0	0.0	0.0
	1	2	2	0	0.0	0.0	0.0
	2	3	8	0	0.0	0.0	0.0
	3	2	6	0	0.0	0.0	0.0
	4	2	16	1	0.0625	0.0625	0.08838834764831845
	5	6	91	0	0.0	0.0	0.0
	6	15	312	2	0.00641025641025641	0.0	0.018442777839082925
	7	30	452	12	0.02654867256637168	0.0	0.046561160555279965
	8	2	71	0	0.0	0.0	0.0
	9	8	92	0	0.0	0.0	0.0
	10	2	95	2	0.021052631578947368	0.0213387241689128	0.0034942383616586464
	11	4	78	1	0.01282051282051282	0.0	0.0333333333333333
	12	4	84	1	0.011904761904761904	0.0	0.0096153846153846
	13	3	62	2	0.03225806451612903	0.0	0.02566001196398334
	14	1	2	0	0.0	0.0	0.0
	15	6	29	0	0.0	0.0	0.0
	16	1	7	0	0.0	0.0	0.0
	17	2	14	2	0.14285714285714285	0.14583333333333331	0.029462782549439435
	18	1	8	0	0.0	0.0	0.0
	19	1	5	0	0.0	0.0	0.0
	20	13	260	2	0.007692307692307693	0.0	0.014381116198431866
	21	47	576	24	0.041666666666666664	0.0	0.11079982852666202
	22	17	214	5	0.02336448598130841	0.0	0.03478845795309501
	23	3	91	3	0.03296703296703297	0.027027027027027	0.02113800033828989
	24	23	340	13	0.03823529411764706	0.0	0.05153966443540107
	25	1	2	0	0.0	0.0	0.0
	26	9	62	0	0.0	0.0	0.0
	27	47	702	23	0.03276353276353276	0.0	0.04029301757571029
	28	26	498	10	0.020080321285140562	0.0	0.03664171555357455
	29	38	556	17	0.030575539568345324	0.0	0.03962536089543171
	30	1	2	0	0.0	0.0	0.0
	31	6	41	0	0.0	0.0	0.0
	32	42	502	20	0.0398406374501992	0.0	0.048028300854301854
	33	1	38	0	0.0	0.0	0.0
	34	4	36	0	0.0	0.0	0.0
	35	26	313	6	0.019169329073482427	0.0	0.024761138035799417
	36	56	751	14	0.018641810918774968	0.0	0.04692129469731874
	37	2	2	0	0.0	0.0	0.0
	38	3	16	0	0.0	0.0	0.0
	39	2	17	0	0.0	0.0	0.0
	40	21	345	3	0.008695652173913044	0.0	0.04374205891430612
	41	30	437	5	0.011441647597254004	0.0	0.030524562482143518
	42	23	266	3	0.011278195488721804	0.0	0.02066009893165421
	43	9	95	0	0.0	0.0	0.0
	44	12	181	2	0.011049723756906077	0.0	0.023410412594687676
	45	1	2	0	0.0	0.0	0.0
	46	3	15	0	0.0	0.0	0.0
	47	4	33	0	0.0	0.0	0.0
	48	35	424	7	0.01650943396226415	0.0	0.02553468522745488
	49	34	455	7	0.015384615384615385	0.0	0.0448165695608706
	50	56	752	14	0.018617021276595744	0.0	0.02678897496547938
	51	4	69	0	0.0	0.0	0.0
	52	1	2	0	0.0	0.0	0.0
	53	8	42	0	0.0	0.0	0.0
	54	2	6	0	0.0	0.0	0.0
	55	53	768	8	0.010416666666666666	0.0	0.03275192588575271
	56	5	76	2	0.02631578947368421	0.0	0.050552502960343665
	57	10	119	2	0.01680672268907563	0.0	0.08432740427115679
	58	19	285	4	0.014035087719298246	0.0	0.02842129643697638
	59	3	56	0	0.0	0.0	0.0
	60	4	71	0	0.0	0.0	0.0
	61	12	169	4	0.023668639053254437	0.0	0.0427919441486608
	62	1	2	0	0.0	0.0	0.0
	63	6	41	1	0.024390243902439025	0.0	0.0583211843519804
	64	49	560	11	0.019642857142857142	0.0	0.04337125012939237
	65	5	56	1	0.017857142857142856	0.0	0.03726779962499648
	66	21	270	1	0.003703703703703704	0.0	0.015586992159713731
	67	10	92	1	0.010869565217391304	0.0	0.017568209223157646
	68	15	164	1	0.006097560975609756	0.0	0.019861453057473933
	69	9	98	0	0.0	0.0	0.0
	70	1	2	0	0.0	0.0	0.0
	71	2	17	0	0.0	0.0	0.0
	72	10	44	0	0.0	0.0	0.0
	73	7	76	0	0.0	0.0	0.0
	74	83	1108	23	0.02075812274368231	0.0	0.04064409335555986
	75	9	140	2	0.014285714285714285	0.0	0.03456115074033079
	76	16	223	2	0.008968609865470852	0.0	0.03264615367638673
	77	1	2	0	0.0	0.0	0.0
	78	4	45	0	0.0	0.0	0.0
	79	7	89	5	0.056179775280898875	0.0666666666666666	0.1157877162093503
	80	60	1061	10	0.00942507068803016	0.0	0.0679113701359287
	81	18	298	6	0.020134228187919462	0.0	0.0514418332545326
	82	1	2	0	0.0	0.0	0.0
	83	6	43	1	0.023255813953488372	0.0	0.06804138174397714
	84	20	298	4	0.013422818791946308	0.0	0.036125504351988254
	85	9	169	5	0.029585798816568046	0.0	0.031098707664388842
	86	70	861	11	0.012775842044134728	0.0	0.02282824763578647
	87	8	97	1	0.010309278350515464	0.0	0.04419417382415922
	88	47	696	11	0.015804597701149427	0.0	0.038866454449725155
	89	9	96	0	0.0	0.0	0.0
	90	1	1	0	0.0	0.0	0.0
	91	2	23	0	0.0	0.0	0.0
	92	13	168	2	0.011904761904761904	0.0	0.02311250817605121
	93	9	118	2	0.01694915254237288	0.0	0.04074074074074073
	94	31	440	4	0.00909090909090909	0.0	0.020435050538442405
	95	1	4	0	0.0	0.0	0.0
	96	1	2	0	0.0	0.0	0.0
	97	8	56	1	0.017857142857142856	0.0	0.02209708691207961
	98	33	545	13	0.023853211009174313	0.0	0.03501920426246858
	99	57	750	16	0.021333333333333333	0.0	0.0398641655491624
	100	1	2	0	0.0	0.0	0.0
	101	8	66	1	0.015151515151515152	0.0	0.011048543456039806
	102	51	686	17	0.02478134110787172	0.0	0.07507759268709144
	103	31	364	8	0.02197802197802198	0.0	0.035723622678801574
	104	12	170	1	0.0058823529411764705	0.0	0.016037507477489586
	105	1	2	0	0.0	0.0	0.0
	106	36	494	13	0.02631578947368421	0.0	0.041424877713413966
	107	154	2099	51	0.02429728442115293	0.0	0.03790833723934209
	108	30	447	12	0.026845637583892617	0.0	0.04489337248609832
	109	41	589	10	0.01697792869269949	0.0	0.033791550551401275
	110	3	45	3	0.06666666666666667	0.0	0.08247860988423222
	111	1	2	0	0.0	0.0	0.0
