filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	1	0	0.0	0.0	0.0
	1	3	124	2	0.016129032258064516	0.0	0.011320593513522074
	2	1	40	1	0.025	0.025	0.0
	3	5	127	7	0.05511811023622047	0.0555555555555555	0.055121545146591004
	4	3	46	0	0.0	0.0	0.0
	5	2	44	0	0.0	0.0	0.0
	6	4	66	1	0.015151515151515152	0.0	0.01785714285714285
	7	3	17	1	0.058823529411764705	0.0	0.044411559168432736
	8	1	4	0	0.0	0.0	0.0
	9	5	88	1	0.011363636363636364	0.0	0.01944406936956338
	10	5	104	6	0.057692307692307696	0.0	0.07302967433402212
	11	3	6	0	0.0	0.0	0.0
	12	1	3	0	0.0	0.0	0.0
	13	1	8	0	0.0	0.0	0.0
	14	1	2	0	0.0	0.0	0.0
	15	1	5	0	0.0	0.0	0.0
	16	1	9	0	0.0	0.0	0.0
	17	1	2	0	0.0	0.0	0.0
	18	1	5	0	0.0	0.0	0.0
	19	1	5	0	0.0	0.0	0.0
	20	1	2	0	0.0	0.0	0.0
	21	1	3	0	0.0	0.0	0.0
	22	2	2	0	0.0	0.0	0.0
	23	1	6	0	0.0	0.0	0.0
	24	1	2	0	0.0	0.0	0.0
	25	1	6	0	0.0	0.0	0.0
	26	1	2	0	0.0	0.0	0.0
	27	1	4	1	0.25	0.25	0.0
	28	1	14	0	0.0	0.0	0.0
	29	1	4	0	0.0	0.0	0.0
	30	1	2	0	0.0	0.0	0.0
	31	2	10	0	0.0	0.0	0.0
	32	1	43	0	0.0	0.0	0.0
	33	2	34	0	0.0	0.0	0.0
	34	1	21	0	0.0	0.0	0.0
	35	4	58	1	0.017241379310344827	0.0	0.0263157894736842
	36	5	106	0	0.0	0.0	0.0
	37	3	25	0	0.0	0.0	0.0
	38	2	7	0	0.0	0.0	0.0
	39	4	59	1	0.01694915254237288	0.0	0.01666666666666665
	40	1	44	0	0.0	0.0	0.0
	41	1	36	1	0.027777777777777776	0.0277777777777777	0.0
	42	1	26	1	0.038461538461538464	0.0384615384615384	0.0
	43	2	38	1	0.02631578947368421	0.01666666666666665	0.02357022603955156
	44	1	29	1	0.034482758620689655	0.0344827586206896	0.0
	45	3	102	2	0.0196078431372549	0.0	0.046188021535170064
	46	1	35	0	0.0	0.0	0.0
	47	2	44	0	0.0	0.0	0.0
	48	1	35	1	0.02857142857142857	0.0285714285714285	0.0
	49	1	1	0	0.0	0.0	0.0
	50	2	18	0	0.0	0.0	0.0
	51	2	7	0	0.0	0.0	0.0
	52	1	39	0	0.0	0.0	0.0
	53	2	47	0	0.0	0.0	0.0
	54	3	83	0	0.0	0.0	0.0
	55	3	108	2	0.018518518518518517	0.0181818181818181	0.017858126694660862
	56	2	19	1	0.05263157894736842	0.0333333333333333	0.04714045207910312
	57	4	83	1	0.012048192771084338	0.0	0.01515151515151515
	58	7	125	9	0.072	0.0416666666666666	0.04768608185692865
	59	2	86	9	0.10465116279069768	0.0958944281524926	0.044375616180035535
	60	5	97	2	0.020618556701030927	0.0	0.01863389981249822
	61	3	116	0	0.0	0.0	0.0
	62	6	131	0	0.0	0.0	0.0
	63	6	70	2	0.02857142857142857	0.0	0.05976143046671965
	64	6	102	2	0.0196078431372549	0.0	0.040824829046386304
	65	3	55	2	0.03636363636363636	0.0476190476190476	0.031233853751032173
	66	2	52	0	0.0	0.0	0.0
	67	2	104	1	0.009615384615384616	0.00675675675675675	0.009555497043061445
	68	7	152	6	0.039473684210526314	0.0	0.058407191159291105
	69	3	114	3	0.02631578947368421	0.0212765957446808	0.01963149911706841
	70	4	92	2	0.021739130434782608	0.0	0.0192307692307692
	71	3	86	0	0.0	0.0	0.0
	72	3	83	2	0.024096385542168676	0.0222222222222222	0.047392291743873154
	73	4	80	1	0.0125	0.0	0.0357142857142857
	74	1	35	2	0.05714285714285714	0.0571428571428571	0.0
	75	1	31	0	0.0	0.0	0.0
	76	8	164	22	0.13414634146341464	0.10416666666666666	0.11504041969582769
	77	2	40	3	0.075	0.1017316017316017	0.0581602980196727
	78	3	128	3	0.0234375	0.0277777777777777	0.018512105178579492
	79	3	57	1	0.017543859649122806	0.0	0.01990862997205603
	80	5	114	5	0.043859649122807015	0.0465116279069767	0.03665277493741896
	81	7	163	1	0.006134969325153374	0.0	0.008041797298068643
	82	3	53	1	0.018867924528301886	0.0	0.01990862997205603
	83	3	78	2	0.02564102564102564	0.0454545454545454	0.03615431404435077
	84	1	29	0	0.0	0.0	0.0
	85	5	156	6	0.038461538461538464	0.0384615384615384	0.023293200934177055
	86	2	68	1	0.014705882352941176	0.01020408163265305	0.014430750636460137
	87	4	66	2	0.030303030303030304	0.01785714285714285	0.03948362845661189
	88	3	81	1	0.012345679012345678	0.0	0.03207501495497917
	89	3	56	3	0.05357142857142857	0.0526315789473684	0.06715732032727761
	90	6	55	0	0.0	0.0	0.0
	91	4	47	2	0.0425531914893617	0.0357142857142857	0.05084322977157767
	92	2	58	1	0.017241379310344827	0.0128205128205128	0.018130943107347343
	93	11	77	1	0.012987012987012988	0.0	0.020100756305184216
	94	2	37	0	0.0	0.0	0.0
	95	3	78	0	0.0	0.0	0.0
	96	4	81	3	0.037037037037037035	0.0227272727272727	0.02723717630745416
	97	3	47	0	0.0	0.0	0.0
	98	1	17	0	0.0	0.0	0.0
	99	6	84	1	0.011904761904761904	0.0	0.021486752129676996
	100	22	305	4	0.013114754098360656	0.0	0.022376827327913733
	101	2	60	0	0.0	0.0	0.0
	102	8	153	2	0.013071895424836602	0.0	0.02379094611707318
	103	4	164	0	0.0	0.0	0.0
	104	3	150	3	0.02	0.0266666666666666	0.018567358121281817
	105	4	103	2	0.019417475728155338	0.0	0.0333333333333333
	106	2	50	2	0.04	0.04166666666666665	0.011785113019775818
	107	2	80	2	0.025	0.0238095238095238	0.03367175148507368
	108	5	142	5	0.035211267605633804	0.0333333333333333	0.024505881328832833
	109	6	128	4	0.03125	0.0185185185185185	0.04861478528148869
	110	5	100	2	0.02	0.0	0.027455598528275962
	111	4	73	2	0.0273972602739726	0.01470588235294115	0.02977335934621652
	112	3	54	2	0.037037037037037035	0.0	0.03207501495497917
	113	8	140	2	0.014285714285714285	0.0	0.03187943189610853
	114	6	90	2	0.022222222222222223	0.0	0.06136055050253623
	115	3	99	1	0.010101010101010102	0.0	0.03207501495497917
	116	8	144	1	0.006944444444444444	0.0	0.02209708691207961
	117	1	24	1	0.041666666666666664	0.0416666666666666	0.0
	118	2	122	1	0.00819672131147541	0.0079365079365079	0.011223917161691178
	119	3	43	1	0.023255813953488372	0.0	0.03396178054056622
	120	8	200	3	0.015	0.0	0.03837241089563761
	121	2	53	0	0.0	0.0	0.0
	122	6	107	0	0.0	0.0	0.0
	123	1	15	0	0.0	0.0	0.0
