filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	4	0	0.0	0.0	0.0
	1	3	96	0	0.0	0.0	0.0
	2	1	3	0	0.0	0.0	0.0
	3	1	2	0	0.0	0.0	0.0
	4	1	47	0	0.0	0.0	0.0
	5	2	71	0	0.0	0.0	0.0
	6	3	172	0	0.0	0.0	0.0
	7	2	114	1	0.008771929824561403	0.0045454545454545	0.006428243465332186
	8	2	97	0	0.0	0.0	0.0
	9	3	79	0	0.0	0.0	0.0
	10	1	54	1	0.018518518518518517	0.0185185185185185	0.0
	11	2	57	0	0.0	0.0	0.0
	12	3	12	0	0.0	0.0	0.0
	13	1	9	0	0.0	0.0	0.0
	14	3	118	2	0.01694915254237288	0.0	0.024568096561260667
	15	7	276	2	0.007246376811594203	0.0	0.009667199852679394
	16	5	58	2	0.034482758620689655	0.0	0.05590169943749474
	17	5	126	3	0.023809523809523808	0.0	0.028030992253482656
	18	5	173	1	0.005780346820809248	0.0	0.01720052290384451
	19	2	14	0	0.0	0.0	0.0
	20	5	68	1	0.014705882352941176	0.0	0.014907119849998582
	21	6	171	2	0.011695906432748537	0.0	0.013037630585196663
	22	4	79	0	0.0	0.0	0.0
	23	1	11	0	0.0	0.0	0.0
	24	3	68	1	0.014705882352941176	0.0	0.014803853056144227
	25	3	96	0	0.0	0.0	0.0
	26	2	57	2	0.03508771929824561	0.0208333333333333	0.029462782549439435
	27	8	128	2	0.015625	0.0	0.02946278254943947
	28	4	86	3	0.03488372093023256	0.0119047619047619	0.027042420694286997
	29	1	31	1	0.03225806451612903	0.032258064516129	0.0
	30	1	2	0	0.0	0.0	0.0
	31	1	7	0	0.0	0.0	0.0
	32	1	42	1	0.023809523809523808	0.0238095238095238	0.0
	33	2	50	0	0.0	0.0	0.0
	34	3	122	3	0.02459016393442623	0.0333333333333333	0.0333333333333333
	35	3	95	3	0.031578947368421054	0.0294117647058823	0.02779379264089991
	36	2	63	2	0.031746031746031744	0.0318181818181818	0.002142747821777394
	37	2	62	2	0.03225806451612903	0.0421195652173913	0.028822287276625586
	38	2	57	3	0.05263157894736842	0.0518518518518518	0.02095131203515694
	39	4	129	6	0.046511627906976744	0.0427272727272727	0.04004409830340093
	40	2	37	3	0.08108108108108109	0.0625	0.08838834764831845
	41	4	73	1	0.0136986301369863	0.0	0.025
	42	5	112	3	0.026785714285714284	0.0	0.054184680664113236
	43	4	172	3	0.01744186046511628	0.00769230769230765	0.013447964938085054
	44	1	27	1	0.037037037037037035	0.037037037037037	0.0
	45	3	90	0	0.0	0.0	0.0
	46	4	101	6	0.0594059405940594	0.0730397422126745	0.05340172695606941
	47	2	84	6	0.07142857142857142	0.0757211538461538	0.025496638744707308
	48	1	42	0	0.0	0.0	0.0
	49	3	122	1	0.00819672131147541	0.0	0.010128952091046061
	50	6	81	0	0.0	0.0	0.0
	51	10	168	5	0.02976190476190476	0.0094339622641509	0.030276329494926726
	52	3	72	3	0.041666666666666664	0.0588235294117647	0.050258845560691365
	53	2	83	3	0.03614457831325301	0.03125	0.04419417382415922
	54	1	4	0	0.0	0.0	0.0
	55	2	68	2	0.029411764705882353	0.0227272727272727	0.03214121732666121
	56	3	101	1	0.009900990099009901	0.0	0.01603750747748956
	57	5	167	1	0.005988023952095809	0.0	0.007453559924999269
	58	2	60	1	0.016666666666666666	0.01136363636363635	0.016070608663330606
	59	4	127	2	0.015748031496062992	0.0	0.02127659574468085
	60	2	68	1	0.014705882352941176	0.0128205128205128	0.018130943107347343
	61	1	37	0	0.0	0.0	0.0
	62	4	88	4	0.045454545454545456	0.02	0.03265986323710901
	63	3	104	3	0.028846153846153848	0.0	0.02664693550105962
	64	6	140	2	0.014285714285714285	0.0	0.017588140094394106
	65	4	105	2	0.01904761904761905	0.0064102564102564	0.12301180168202236
	66	5	175	0	0.0	0.0	0.0
	67	2	41	2	0.04878048780487805	0.04166666666666665	0.05892556509887894
	68	2	99	1	0.010101010101010102	0.00909090909090905	0.012856486930664443
	69	2	62	3	0.04838709677419355	0.047268907563025195	0.016340702926579884
	70	6	95	4	0.042105263157894736	0.0	0.043044296219996774
	71	2	63	1	0.015873015873015872	0.0121951219512195	0.01724650685820846
	72	1	2	0	0.0	0.0	0.0
	73	1	17	0	0.0	0.0	0.0
	74	4	133	2	0.015037593984962405	0.0096153846153846	0.019085347602195955
	75	3	71	0	0.0	0.0	0.0
	76	2	88	1	0.011363636363636364	0.01041666666666665	0.014731391274719717
	77	3	83	1	0.012048192771084338	0.0	0.04123930494211611
	78	3	88	1	0.011363636363636364	0.0	0.01862420223192339
	79	3	27	1	0.037037037037037035	0.0	0.044411559168432736
	80	2	26	0	0.0	0.0	0.0
	81	5	68	2	0.029411764705882353	0.0	0.02885249003225532
	82	5	93	2	0.021505376344086023	0.0	0.021133346084995286
	83	1	39	0	0.0	0.0	0.0
	84	1	17	1	0.058823529411764705	0.0588235294117647	0.0
	85	1	30	1	0.03333333333333333	0.0333333333333333	0.0
	86	2	19	0	0.0	0.0	0.0
	87	1	8	0	0.0	0.0	0.0
	88	3	85	0	0.0	0.0	0.0
	89	2	41	0	0.0	0.0	0.0
	90	3	79	0	0.0	0.0	0.0
	91	2	12	1	0.08333333333333333	0.04545454545454545	0.06428243465332249
	92	4	103	3	0.02912621359223301	0.0	0.06818181818181815
	93	1	42	1	0.023809523809523808	0.0238095238095238	0.0
	94	1	51	0	0.0	0.0	0.0
	95	1	28	0	0.0	0.0	0.0
	96	2	95	1	0.010526315789473684	0.01162790697674415	0.01644434374852431
	97	1	49	1	0.02040816326530612	0.0204081632653061	0.0
	98	3	69	0	0.0	0.0	0.0
	99	2	31	0	0.0	0.0	0.0
	100	1	11	0	0.0	0.0	0.0
	101	1	5	0	0.0	0.0	0.0
	102	3	101	2	0.019801980198019802	0.0196078431372549	0.022798520550148124
