filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	4	0	0.0	0.0	0.0
	1	1	49	1	0.02040816326530612	0.0204081632653061	0.0
	2	3	93	0	0.0	0.0	0.0
	3	1	76	0	0.0	0.0	0.0
	4	3	85	2	0.023529411764705882	0.0	0.042766686606638904
	5	6	198	3	0.015151515151515152	0.0	0.013878113734089585
	6	3	88	1	0.011363636363636364	0.0	0.019245008972987504
	7	7	201	1	0.004975124378109453	0.0	0.004499577059633655
	8	5	72	1	0.013888888888888888	0.0	0.024845199749997635
	9	3	87	0	0.0	0.0	0.0
	10	3	155	0	0.0	0.0	0.0
	11	3	100	2	0.02	0.037037037037037	0.022837420658871486
	12	11	303	0	0.0	0.0	0.0
	13	2	71	0	0.0	0.0	0.0
	14	1	45	1	0.022222222222222223	0.0222222222222222	0.0
	15	2	68	2	0.029411764705882353	0.03162790697674415	0.011839927498937593
	16	1	55	0	0.0	0.0	0.0
	17	2	74	0	0.0	0.0	0.0
	18	1	2	0	0.0	0.0	0.0
	19	3	8	0	0.0	0.0	0.0
	20	9	270	3	0.011111111111111112	0.0	0.011224164151768646
	21	5	112	0	0.0	0.0	0.0
	22	11	105	2	0.01904761904761905	0.0	0.052655713851353564
	23	22	238	3	0.012605042016806723	0.0	0.029825689225666235
	24	5	39	0	0.0	0.0	0.0
	25	1	1	0	0.0	0.0	0.0
	26	1	14	0	0.0	0.0	0.0
	27	2	5	0	0.0	0.0	0.0
	28	4	13	0	0.0	0.0	0.0
	29	12	187	2	0.0106951871657754	0.0	0.01871403362335672
	30	13	101	0	0.0	0.0	0.0
	31	8	174	2	0.011494252873563218	0.0	0.011573077270325005
	32	6	79	1	0.012658227848101266	0.0	0.03711348095126027
	33	7	92	3	0.03260869565217391	0.0	0.034821287251556025
	34	3	5	0	0.0	0.0	0.0
	35	4	7	0	0.0	0.0	0.0
	36	7	124	2	0.016129032258064516	0.0	0.023992630302227924
	37	7	93	0	0.0	0.0	0.0
	38	4	60	0	0.0	0.0	0.0
	39	4	28	0	0.0	0.0	0.0
	40	11	101	3	0.0297029702970297	0.0	0.06814702266121482
	41	3	5	0	0.0	0.0	0.0
	42	3	13	0	0.0	0.0	0.0
	43	15	244	3	0.012295081967213115	0.0	0.03842551516097262
	44	10	166	2	0.012048192771084338	0.0	0.02107133187204287
	45	3	38	0	0.0	0.0	0.0
	46	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	47	13	198	4	0.020202020202020204	0.0	0.020177670374547787
	48	12	159	3	0.018867924528301886	0.0	0.10056352068351009
	49	2	7	0	0.0	0.0	0.0
	50	2	10	0	0.0	0.0	0.0
	51	4	80	2	0.025	0.0208333333333333	0.02588886577519817
	52	10	177	8	0.04519774011299435	0.0	0.04317728834234689
	53	18	273	3	0.01098901098901099	0.0	0.017032895704113912
	54	6	104	2	0.019230769230769232	0.0	0.057143886957271774
	55	15	225	3	0.013333333333333334	0.0	0.024142991173438693
	56	3	5	0	0.0	0.0	0.0
	57	1	11	0	0.0	0.0	0.0
	58	28	439	18	0.04100227790432802	0.0	0.048809791538175405
	59	22	319	12	0.03761755485893417	0.0	0.06663665942437813
	60	11	131	3	0.022900763358778626	0.0	0.025671423349404983
	61	12	172	2	0.011627906976744186	0.0	0.05803247879456229
	62	1	1	0	0.0	0.0	0.0
	63	2	33	0	0.0	0.0	0.0
	64	2	7	0	0.0	0.0	0.0
	65	5	7	0	0.0	0.0	0.0
	66	25	360	3	0.008333333333333333	0.0	0.030883718889458203
	67	1	6	0	0.0	0.0	0.0
	68	2	10	0	0.0	0.0	0.0
	69	6	151	0	0.0	0.0	0.0
	70	9	142	5	0.035211267605633804	0.0	0.060229126392545344
	71	10	210	1	0.004761904761904762	0.0	0.010540925533894584
	72	2	7	0	0.0	0.0	0.0
	73	2	10	0	0.0	0.0	0.0
	74	2	73	1	0.0136986301369863	0.01515151515151515	0.021427478217774167
	75	12	252	3	0.011904761904761904	0.0	0.03344537846721969
	76	7	167	4	0.023952095808383235	0.0	0.0255439533005528
	77	7	164	2	0.012195121951219513	0.0	0.03726900685518826
	78	6	94	1	0.010638297872340425	0.0	0.10206207261596575
	79	1	19	0	0.0	0.0	0.0
	80	1	6	0	0.0	0.0	0.0
	81	2	10	0	0.0	0.0	0.0
	82	11	120	0	0.0	0.0	0.0
	83	17	283	3	0.01060070671378092	0.0	0.02269373086863126
	84	6	102	2	0.0196078431372549	0.0	0.038343618290918445
	85	11	125	1	0.008	0.0	0.06030226891555272
	86	24	286	8	0.027972027972027972	0.0	0.05608742403490587
	87	10	133	3	0.022556390977443608	0.0	0.027469208780611275
	88	25	330	8	0.024242424242424242	0.0	0.030514707115004168
	89	4	111	1	0.009009009009009009	0.0	0.014705882352941152
	90	14	199	3	0.01507537688442211	0.0	0.015474924111540722
	91	3	60	0	0.0	0.0	0.0
	92	1	6	0	0.0	0.0	0.0
	93	13	283	0	0.0	0.0	0.0
	94	16	315	0	0.0	0.0	0.0
	95	4	104	0	0.0	0.0	0.0
	96	7	155	2	0.012903225806451613	0.0	0.06224412259328359
	97	1	7	0	0.0	0.0	0.0
	98	1	6	0	0.0	0.0	0.0
	99	3	9	0	0.0	0.0	0.0
