filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	1	0	0.0	0.0	0.0
	1	13	239	3	0.012552301255230125	0.0	0.018518518518518497
	2	4	10	0	0.0	0.0	0.0
	3	15	246	3	0.012195121951219513	0.0	0.02182329819931398
	4	4	94	4	0.0425531914893617	0.04791666666666665	0.07203836105133819
	5	11	237	3	0.012658227848101266	0.0	0.019854134516910555
	6	5	100	3	0.03	0.0	0.03325123251351474
	7	2	51	1	0.0196078431372549	0.02941176470588235	0.041594516540385144
	8	10	228	9	0.039473684210526314	0.0	0.04658191147854945
	9	4	105	0	0.0	0.0	0.0
	10	4	75	1	0.013333333333333334	0.0	0.022727272727272697
	11	8	121	1	0.008264462809917356	0.0	0.02525381361380526
	12	10	137	1	0.0072992700729927005	0.0	0.01505846504842085
	13	13	169	6	0.03550295857988166	0.0	0.06005999921637168
	14	10	134	4	0.029850746268656716	0.0	0.05227020519590456
	15	13	273	4	0.014652014652014652	0.0	0.020874273642038643
	16	11	219	15	0.0684931506849315	0.037037037037037	0.07360288267276856
	17	3	59	4	0.06779661016949153	0.0714285714285714	0.02384112042184737
	18	29	402	10	0.024875621890547265	0.0	0.055275624204139305
	19	5	82	2	0.024390243902439025	0.0	0.022934030538459344
	20	16	251	5	0.0199203187250996	0.0	0.048037644947383246
	21	3	59	2	0.03389830508474576	0.0357142857142857	0.022535350578572488
	22	8	135	3	0.022222222222222223	0.0	0.0371088187972051
	23	13	259	5	0.019305019305019305	0.0	0.026161761023048923
	24	2	42	3	0.07142857142857142	0.04545454545454545	0.06428243465332249
	25	2	39	1	0.02564102564102564	0.02777777777777775	0.03928371006591926
	26	39	410	13	0.03170731707317073	0.0	0.05350325428798733
	27	1	29	0	0.0	0.0	0.0
	28	3	65	2	0.03076923076923077	0.0357142857142857	0.022535350578572488
	29	2	55	1	0.01818181818181818	0.0128205128205128	0.018130943107347343
	30	22	335	8	0.023880597014925373	0.0	0.04510278357898337
	31	3	71	1	0.014084507042253521	0.0	0.03207501495497917
	32	4	117	1	0.008547008547008548	0.0	0.03846153846153845
	33	10	111	4	0.036036036036036036	0.0	0.05754304262398015
	34	1	4	1	0.25	0.25	0.0
	35	3	8	0	0.0	0.0	0.0
	36	6	130	2	0.015384615384615385	0.0	0.05819504538445025
	37	3	85	3	0.03529411764705882	0.0333333333333333	0.03857533024409147
	38	10	119	4	0.03361344537815126	0.0	0.037063875152002185
	39	14	151	10	0.06622516556291391	0.0	0.05731174465316001
	40	7	139	9	0.06474820143884892	0.0476190476190476	0.05901162151078855
	41	10	148	3	0.02027027027027027	0.0	0.03427622049967598
	42	19	320	11	0.034375	0.0	0.03562728351827823
	43	4	101	0	0.0	0.0	0.0
	44	16	229	7	0.03056768558951965	0.0	0.05538701800753875
	45	7	147	4	0.027210884353741496	0.0303030303030303	0.054873397770590165
	46	18	173	3	0.017341040462427744	0.0	0.04643443443570376
	47	7	161	2	0.012422360248447204	0.0	0.012602965325564675
	48	7	127	1	0.007874015748031496	0.0	0.01643323795692292
	49	7	69	2	0.028985507246376812	0.0	0.06281933764157531
	50	10	197	10	0.050761421319796954	0.00980392156862745	0.0673986242622767
	51	4	119	3	0.025210084033613446	0.04259259259259255	0.037124868461892724
	52	12	154	4	0.025974025974025976	0.0	0.03196125082482652
	53	5	76	2	0.02631578947368421	0.0	0.03312693299999685
	54	13	127	0	0.0	0.0	0.0
	55	27	396	14	0.03535353535353535	0.0	0.04664587368697504
	56	22	269	14	0.05204460966542751	0.0	0.05554709729772365
	57	8	102	3	0.029411764705882353	0.0	0.05912149188783304
	58	17	153	5	0.032679738562091505	0.0	0.06413565543143673
	59	6	108	4	0.037037037037037035	0.0	0.04303314829119351
	60	10	209	9	0.0430622009569378	0.0	0.06615968845984975
	61	9	152	5	0.03289473684210526	0.02	0.0466010913437057
	62	9	128	3	0.0234375	0.0	0.025983731852596798
	63	17	213	16	0.07511737089201878	0.0555555555555555	0.0668575054718083
	64	36	634	9	0.014195583596214511	0.0	0.023505522041748342
	65	17	227	5	0.022026431718061675	0.0	0.035036327961883974
	66	18	250	9	0.036	0.0	0.06557146291116955
	67	49	665	14	0.021052631578947368	0.0	0.04259480111622704
	68	2	44	3	0.06818181818181818	0.1	0.14142135623730953
	69	14	262	7	0.026717557251908396	0.0	0.03626614158383708
	70	8	86	2	0.023255813953488372	0.0	0.039283710065919304
	71	9	131	5	0.03816793893129771	0.0	0.08417937871268423
	72	12	177	3	0.01694915254237288	0.0	0.02372133530218573
	73	5	93	4	0.043010752688172046	0.04	0.04235600647903787
	74	8	125	4	0.032	0.0192307692307692	0.027317792451492885
	75	7	131	3	0.022900763358778626	0.0	0.04611332875960663
	76	21	326	18	0.05521472392638037	0.03125	0.06105558311873341
	77	17	319	8	0.025078369905956112	0.0	0.03460344888893772
	78	14	134	4	0.029850746268656716	0.0	0.05115809225927737
	79	28	283	7	0.024734982332155476	0.0	0.08812740389738198
	80	5	72	3	0.041666666666666664	0.0555555555555555	0.04969039949999532
	81	7	113	2	0.017699115044247787	0.0	0.03154074969318604
	82	10	118	3	0.025423728813559324	0.0	0.033351817901215663
	83	6	92	1	0.010869565217391304	0.0	0.013608276348795417
	84	13	210	7	0.03333333333333333	0.0	0.04020231164101375
	85	4	57	2	0.03508771929824561	0.0	0.032258064516129
	86	14	107	0	0.0	0.0	0.0
	87	13	184	5	0.02717391304347826	0.0	0.0772305581233933
	88	18	286	7	0.024475524475524476	0.0	0.05336865585273695
	89	11	163	2	0.012269938650306749	0.0	0.015462120234757081
	90	9	131	3	0.022900763358778626	0.0	0.07114582486036498
	91	1	32	0	0.0	0.0	0.0
	92	8	165	3	0.01818181818181818	0.0	0.0157821700290519
	93	12	198	7	0.03535353535353535	0.0	0.034384626195970755
	94	29	436	6	0.013761467889908258	0.0	0.03006819891553374
	95	25	346	9	0.02601156069364162	0.0	0.033296396993003734
	96	1	4	1	0.25	0.25	0.0
	97	3	8	0	0.0	0.0	0.0
	98	23	356	6	0.016853932584269662	0.0	0.024364171582347244
	99	43	573	11	0.019197207678883072	0.0	0.02677184207781677
	100	3	24	2	0.08333333333333333	0.0	0.10497277621629558
	101	22	257	3	0.011673151750972763	0.0	0.01598535284350975
	102	38	405	9	0.022222222222222223	0.0	0.03467139954247911
	103	13	182	4	0.02197802197802198	0.0	0.02729225141335331
	104	20	276	4	0.014492753623188406	0.0	0.03365563084858464
	105	25	268	8	0.029850746268656716	0.0	0.0598472561318854
	106	13	153	5	0.032679738562091505	0.0	0.04984376938001867
	107	26	244	5	0.020491803278688523	0.0	0.024698210238174232
	108	26	305	8	0.02622950819672131	0.0	0.032426329250852176
	109	7	111	8	0.07207207207207207	0.0	0.07843980226495396
	110	9	158	1	0.006329113924050633	0.0	0.037037037037037035
	111	6	38	0	0.0	0.0	0.0
	112	6	95	1	0.010526315789473684	0.0	0.018556740475630114
	113	10	78	0	0.0	0.0	0.0
	114	20	218	4	0.01834862385321101	0.0	0.024685301258870904
	115	15	172	2	0.011627906976744186	0.0	0.04303314829119351
	116	13	247	8	0.032388663967611336	0.0	0.04426388862593025
	117	7	79	1	0.012658227848101266	0.0	0.03779644730092273
	118	33	495	7	0.014141414141414142	0.0	0.02584944766221643
	119	10	140	0	0.0	0.0	0.0
	120	23	352	5	0.014204545454545454	0.0	0.01985310377873817
	121	7	47	1	0.02127659574468085	0.0	0.01799830823853462
	122	3	29	1	0.034482758620689655	0.0	0.05248638810814779
	123	6	67	2	0.029850746268656716	0.0	0.032659863237109045
	124	68	856	12	0.014018691588785047	0.0	0.03546056056246828
	125	19	169	7	0.04142011834319527	0.0	0.06874760776457145
	126	14	199	3	0.01507537688442211	0.0	0.030583300742184665
	127	14	389	6	0.015424164524421594	0.0	0.022212021494435578
	128	1	4	1	0.25	0.25	0.0
	129	3	8	0	0.0	0.0	0.0
	130	13	292	3	0.010273972602739725	0.0	0.0279647351828834
	131	23	377	5	0.013262599469496022	0.0	0.04586779894076244
	132	34	425	15	0.03529411764705882	0.0	0.048087568288644904
	133	32	356	8	0.02247191011235955	0.0	0.0507698719879868
