filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	34	727	2	0.002751031636863824	0.0	0.03429791873678541
	1	1	4	0	0.0	0.0	0.0
	2	37	727	22	0.030261348005502064	0.0	0.03439655380862072
	3	1	4	0	0.0	0.0	0.0
	4	35	666	17	0.025525525525525526	0.0	0.037579817770312746
	5	1	4	0	0.0	0.0	0.0
	6	12	200	7	0.035	0.0	0.040159467390293684
	7	1	6	0	0.0	0.0	0.0
	8	54	1273	26	0.0204241948153967	0.0	0.03114653751746131
	9	1	5	0	0.0	0.0	0.0
	10	18	337	9	0.026706231454005934	0.0	0.030165448602291686
	11	1	5	0	0.0	0.0	0.0
	12	15	333	3	0.009009009009009009	0.0	0.014329976662962625
	13	2	6	0	0.0	0.0	0.0
	14	24	505	7	0.013861386138613862	0.0	0.06511932115460098
	15	1	6	0	0.0	0.0	0.0
	16	24	374	8	0.0213903743315508	0.0	0.02800976662613788
	17	1	5	0	0.0	0.0	0.0
	18	9	131	4	0.030534351145038167	0.0	0.04140353641842866
	19	1	5	0	0.0	0.0	0.0
	20	35	484	13	0.026859504132231406	0.0	0.03771890033397489
	21	1	5	0	0.0	0.0	0.0
	22	14	240	2	0.008333333333333333	0.0	0.012749327060424476
	23	1	5	0	0.0	0.0	0.0
	24	43	414	11	0.026570048309178744	0.0	0.0849999407870495
	25	6	76	0	0.0	0.0	0.0
	26	1	5	0	0.0	0.0	0.0
	27	51	723	23	0.0318118948824343	0.0	0.06364417678203647
	28	1	6	0	0.0	0.0	0.0
	29	65	1166	14	0.012006861063464836	0.0	0.021287231395403523
	30	1	6	0	0.0	0.0	0.0
	31	58	649	26	0.040061633281972264	0.0	0.08845646342875775
	32	1	5	0	0.0	0.0	0.0
	33	42	960	19	0.019791666666666666	0.0	0.03168422587548328
	34	1	5	0	0.0	0.0	0.0
	35	37	830	28	0.033734939759036145	0.0232558139534883	0.052066356318156475
	36	2	2	0	0.0	0.0	0.0
	37	3	46	1	0.021739130434782608	0.0	0.03207501495497917
	38	2	6	0	0.0	0.0	0.0
	39	28	413	5	0.012106537530266344	0.0	0.02453839926851528
	40	1	4	0	0.0	0.0	0.0
	41	57	1203	35	0.029093931837073983	0.0	0.03813306633294089
	42	1	4	0	0.0	0.0	0.0
	43	23	623	18	0.028892455858747994	0.0	0.03459580154418744
	44	1	4	0	0.0	0.0	0.0
	45	74	1141	31	0.02716914986853637	0.0	0.05180995467049903
	46	1	4	0	0.0	0.0	0.0
	47	37	726	16	0.02203856749311295	0.0	0.03708361407717662
	48	1	4	0	0.0	0.0	0.0
	49	78	1586	35	0.022068095838587643	0.0	0.04531052440478722
	50	1	4	0	0.0	0.0	0.0
	51	22	805	19	0.02360248447204969	0.01602564102564095	0.032820392878977644
	52	1	4	0	0.0	0.0	0.0
	53	57	1383	43	0.03109182935647144	0.0	0.04075783696081551
	54	1	4	0	0.0	0.0	0.0
	55	64	1409	17	0.0120652945351313	0.0	0.03360564924449424
	56	2	2	0	0.0	0.0	0.0
	57	13	214	3	0.014018691588785047	0.0	0.02575268994412906
	58	1	9	0	0.0	0.0	0.0
	59	24	498	7	0.014056224899598393	0.0	0.019805037638600868
	60	2	6	0	0.0	0.0	0.0
	61	73	1481	42	0.02835921674544227	0.0	0.04103341850230714
	62	1	4	0	0.0	0.0	0.0
	63	55	1265	44	0.034782608695652174	0.0	0.04406048681345405
	64	1	4	0	0.0	0.0	0.0
	65	17	229	2	0.008733624454148471	0.0	0.02717569774476883
	66	1	6	0	0.0	0.0	0.0
	67	46	704	17	0.024147727272727272	0.0	0.0700046891449708
	68	2	6	0	0.0	0.0	0.0
	69	36	741	16	0.021592442645074223	0.0	0.03145793834930099
	70	2	19	1	0.05263157894736842	0.03846153846153845	0.0543928293220421
	71	1	4	0	0.0	0.0	0.0
	72	69	1171	23	0.01964133219470538	0.0	0.02303251196397012
	73	1	4	0	0.0	0.0	0.0
	74	72	1224	23	0.018790849673202614	0.0	0.041136552852161494
	75	1	4	0	0.0	0.0	0.0
	76	35	681	16	0.023494860499265784	0.0	0.04235118781205871
	77	1	4	0	0.0	0.0	0.0
	78	17	263	6	0.022813688212927757	0.0	0.04488369078749886
	79	1	4	0	0.0	0.0	0.0
	80	31	492	5	0.01016260162601626	0.0	0.036666720989768926
	81	1	6	0	0.0	0.0	0.0
	82	22	318	10	0.031446540880503145	0.0	0.043240942490144665
	83	2	6	0	0.0	0.0	0.0
	84	26	461	7	0.015184381778741865	0.0	0.025740495460228465
	85	1	4	0	0.0	0.0	0.0
	86	136	2884	62	0.021497919556171984	0.0	0.03478370127790341
	87	1	4	0	0.0	0.0	0.0
	88	39	902	34	0.037694013303769404	0.0294117647058823	0.04183619135119103
	89	35	615	11	0.01788617886178862	0.0	0.03561605210232802
	90	1	4	0	0.0	0.0	0.0
	91	287	6021	129	0.02142501245640259	0.0	0.039001491987009126
	92	1	4	0	0.0	0.0	0.0
	93	49	933	21	0.022508038585209004	0.0	0.034554501827053954
	94	1	4	0	0.0	0.0	0.0
	95	121	1535	41	0.026710097719869708	0.0	0.04451382946978915
	96	1	4	0	0.0	0.0	0.0
	97	23	374	5	0.013368983957219251	0.0	0.03314371325107535
	98	1	4	0	0.0	0.0	0.0
	99	9	129	4	0.031007751937984496	0.0	0.026631510356206388
	100	1	6	0	0.0	0.0	0.0
	101	60	897	23	0.02564102564102564	0.0	0.034111408477117286
	102	1	5	0	0.0	0.0	0.0
	103	20	325	21	0.06461538461538462	0.0	0.04473364654607433
	104	1	5	0	0.0	0.0	0.0
	105	67	889	24	0.02699662542182227	0.0	0.05011151944102628
	106	1	5	0	0.0	0.0	0.0
	107	98	1417	45	0.03175723359209598	0.0	0.05190941335409658
	108	1	6	0	0.0	0.0	0.0
	109	26	434	9	0.020737327188940093	0.0	0.0533045743621058
	110	1	2	0	0.0	0.0	0.0
	111	5	49	1	0.02040816326530612	0.0	0.02129588549999799
	112	1	6	0	0.0	0.0	0.0
	113	50	752	16	0.02127659574468085	0.0	0.040678869395544076
	114	1	5	0	0.0	0.0	0.0
	115	55	720	27	0.0375	0.0	0.04890045966548522
	116	2	6	0	0.0	0.0	0.0
	117	42	1051	19	0.01807802093244529	0.0	0.026080041795861427
	118	1	6	0	0.0	0.0	0.0
	119	32	560	23	0.04107142857142857	0.0	0.049979564120992685
	120	2	6	0	0.0	0.0	0.0
	121	135	2702	58	0.02146558105107328	0.0	0.04798443399591395
	122	1	6	0	0.0	0.0	0.0
	123	48	880	25	0.028409090909090908	0.0	0.03980896666402306
	124	1	5	0	0.0	0.0	0.0
	125	38	665	16	0.02406015037593985	0.0	0.032422591798517746
	126	1	5	0	0.0	0.0	0.0
	127	35	795	21	0.026415094339622643	0.0	0.03415971296821482
	128	1	5	0	0.0	0.0	0.0
	129	28	406	9	0.022167487684729065	0.0	0.04318212958841718
	130	1	5	0	0.0	0.0	0.0
	131	39	550	7	0.012727272727272728	0.0	0.03862269929105666
	132	1	6	0	0.0	0.0	0.0
	133	15	284	1	0.0035211267605633804	0.0	0.008903409991281403
	134	3	11	0	0.0	0.0	0.0
	135	30	371	7	0.018867924528301886	0.0	0.03133453746999121
	136	1	4	0	0.0	0.0	0.0
	137	60	938	21	0.022388059701492536	0.0	0.03585773545976302
	138	3	24	0	0.0	0.0	0.0
	139	1	9	0	0.0	0.0	0.0
	140	40	733	19	0.02592087312414734	0.0	0.04014039029819994
	141	1	6	0	0.0	0.0	0.0
	142	33	511	13	0.025440313111545987	0.0	0.03844149765153045
	143	1	5	0	0.0	0.0	0.0
	144	23	330	12	0.03636363636363636	0.0	0.03883611781121858
	145	1	5	0	0.0	0.0	0.0
	146	40	469	10	0.021321961620469083	0.0	0.03726752854367657
	147	1	6	0	0.0	0.0	0.0
	148	50	798	10	0.012531328320802004	0.0	0.03315437032404298
	149	1	4	0	0.0	0.0	0.0
	150	38	507	9	0.01775147928994083	0.0	0.042283894840939876
	151	1	4	0	0.0	0.0	0.0
	152	38	481	11	0.02286902286902287	0.0	0.038152174225421887
	153	1	4	0	0.0	0.0	0.0
	154	49	641	13	0.0202808112324493	0.0	0.045994487472786894
	155	1	6	0	0.0	0.0	0.0
	156	28	546	12	0.02197802197802198	0.0	0.026620205142737104
	157	1	6	0	0.0	0.0	0.0
	158	26	448	9	0.020089285714285716	0.0	0.04258881668394209
	159	1	6	0	0.0	0.0	0.0
	160	67	925	25	0.02702702702702703	0.0	0.0769975252637279
	161	2	6	0	0.0	0.0	0.0
	162	209	3809	100	0.026253609871357313	0.0	0.04602809908057816
	163	1	4	0	0.0	0.0	0.0
	164	21	325	7	0.021538461538461538	0.0	0.020762088215548195
	165	1	6	0	0.0	0.0	0.0
	166	9	109	0	0.0	0.0	0.0
	167	30	486	3	0.006172839506172839	0.0	0.03062187837025315
