filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	2	14	1	0.07142857142857142	0.05555555555555555	0.07856742013183861
	1	4	106	2	0.018867924528301886	0.0	0.04545454545454545
	2	10	193	8	0.04145077720207254	0.01470588235294115	0.04329030592463094
	3	3	37	0	0.0	0.0	0.0
	4	32	394	7	0.017766497461928935	0.0	0.02492080752359477
	5	21	221	7	0.03167420814479638	0.0	0.04045688092865582
	6	11	125	5	0.04	0.0	0.059453421585984136
	7	2	87	1	0.011494252873563218	0.0108695652173913	0.015371886547533636
	8	7	57	1	0.017543859649122806	0.0	0.023622779563076703
	9	2	30	1	0.03333333333333333	0.0227272727272727	0.03214121732666121
	10	18	170	0	0.0	0.0	0.0
	11	8	146	1	0.00684931506849315	0.0	0.012191496227354248
	12	4	58	3	0.05172413793103448	0.0333333333333333	0.04655239847193094
	13	7	121	4	0.03305785123966942	0.0	0.05281653550550637
	14	21	261	7	0.02681992337164751	0.0	0.050827298945627576
	15	6	84	1	0.011904761904761904	0.0	0.020412414523193152
	16	1	34	3	0.08823529411764706	0.088235294117647	0.0
	17	3	85	5	0.058823529411764705	0.0	0.07596714068284546
	18	3	74	0	0.0	0.0	0.0
	19	10	103	0	0.0	0.0	0.0
	20	9	226	3	0.01327433628318584	0.0	0.024604489989874107
	21	8	113	1	0.008849557522123894	0.0	0.010101525445522083
	22	16	282	1	0.0035460992907801418	0.0	0.005208333333333325
	23	5	144	6	0.041666666666666664	0.0169491525423728	0.050988003166815406
	24	21	341	5	0.01466275659824047	0.0	0.01387701847379082
	25	16	173	2	0.011560693641618497	0.0	0.0162937601384817
	26	5	29	0	0.0	0.0	0.0
	27	25	340	11	0.03235294117647059	0.0	0.033823603630844974
	28	2	23	2	0.08695652173913043	0.05	0.07071067811865477
	29	10	171	4	0.023391812865497075	0.0	0.053322791385079685
	30	4	85	1	0.011764705882352941	0.0	0.0094339622641509
	31	8	90	1	0.011111111111111112	0.0	0.032141217326661246
	32	6	41	0	0.0	0.0	0.0
	33	17	175	1	0.005714285714285714	0.0	0.026948402781814772
	34	6	99	2	0.020202020202020204	0.0	0.022358463981525176
	35	1	13	0	0.0	0.0	0.0
	36	5	55	2	0.03636363636363636	0.0	0.03540440964374665
	37	1	24	0	0.0	0.0	0.0
	38	9	234	8	0.03418803418803419	0.0377358490566037	0.03269364285015122
	39	14	204	3	0.014705882352941176	0.0	0.011243068532220816
	40	1	21	0	0.0	0.0	0.0
	41	11	114	2	0.017543859649122806	0.0	0.019452344811468597
	42	18	268	3	0.011194029850746268	0.0	0.014675238145585674
	43	11	175	6	0.03428571428571429	0.0	0.03784986669190328
	44	6	215	7	0.03255813953488372	0.028292682926829252	0.02677443854588282
	45	21	274	3	0.010948905109489052	0.0	0.01125581125621357
	46	6	118	1	0.00847457627118644	0.0	0.00949414628985725
	47	7	111	1	0.009009009009009009	0.0	0.013498731178900967
	48	7	103	3	0.02912621359223301	0.0	0.057389598436358435
	49	16	215	3	0.013953488372093023	0.0	0.02853424275700741
	50	21	234	7	0.029914529914529916	0.0	0.028755900654602654
	51	2	23	0	0.0	0.0	0.0
	52	8	65	1	0.015384615384615385	0.0	0.02079725827019257
	53	12	125	1	0.008	0.0	0.010691671651659724
	54	1	5	0	0.0	0.0	0.0
	55	2	19	1	0.05263157894736842	0.125	0.1767766952966369
	56	8	82	4	0.04878048780487805	0.0	0.1026697201153847
	57	9	88	6	0.06818181818181818	0.0	0.08575776013887186
	58	7	123	2	0.016260162601626018	0.0	0.01629575324897073
	59	38	549	10	0.018214936247723135	0.0	0.060154303873316904
	60	6	96	3	0.03125	0.0	0.10206207261596575
	61	2	42	2	0.047619047619047616	0.04166666666666665	0.05892556509887894
	62	12	187	10	0.053475935828877004	0.0	0.0446462409115339
	63	16	142	5	0.035211267605633804	0.0	0.04468452895689035
	64	4	75	1	0.013333333333333334	0.0	0.0192307692307692
	65	10	239	2	0.008368200836820083	0.0	0.017741030352350636
	66	13	184	4	0.021739130434782608	0.0	0.04166503306678365
	67	11	130	2	0.015384615384615385	0.0	0.030208077160925686
	68	24	259	4	0.015444015444015444	0.0	0.026918654279692464
	69	5	89	1	0.011235955056179775	0.0	0.012777531299998767
	70	13	248	7	0.028225806451612902	0.0	0.03539962133441875
	71	4	63	2	0.031746031746031744	0.02	0.02358495283014149
	72	1	21	0	0.0	0.0	0.0
	73	4	64	0	0.0	0.0	0.0
	74	5	107	5	0.04672897196261682	0.0476190476190476	0.03152853627798297
	75	1	5	0	0.0	0.0	0.0
	76	32	244	6	0.02459016393442623	0.0	0.03744749526762568
	77	29	274	3	0.010948905109489052	0.0	0.03389412016385673
	78	14	189	4	0.021164021164021163	0.0	0.04812116447860602
	79	10	212	3	0.014150943396226415	0.0	0.012174972688450534
	80	3	67	0	0.0	0.0	0.0
	81	12	311	4	0.012861736334405145	0.0	0.03268938845289466
	82	23	392	12	0.030612244897959183	0.0	0.039454020873036
	83	25	545	8	0.014678899082568808	0.0	0.025514650027384796
	84	7	99	0	0.0	0.0	0.0
	85	9	220	4	0.01818181818181818	0.0	0.022045122145163586
	86	18	377	6	0.015915119363395226	0.0	0.03594200499855455
	87	9	137	1	0.0072992700729927005	0.0	0.023809523809523798
	88	8	225	8	0.035555555555555556	0.01833060556464805	0.040225321364298884
