filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	2	35	3	0.08571428571428572	0.1071428571428571	0.05050762722761051
	1	1	6	0	0.0	0.0	0.0
	2	1	3	0	0.0	0.0	0.0
	3	2	81	4	0.04938271604938271	0.052258064516128994	0.017335521087154016
	4	5	59	2	0.03389830508474576	0.0	0.061861785833075195
	5	1	43	4	0.09302325581395349	0.0930232558139534	0.0
	6	1	3	0	0.0	0.0	0.0
	7	1	11	0	0.0	0.0	0.0
	8	1	1	0	0.0	0.0	0.0
	9	5	38	1	0.02631578947368421	0.0	0.06388765649999396
	10	1	1	0	0.0	0.0	0.0
	11	2	14	0	0.0	0.0	0.0
	12	1	1	0	0.0	0.0	0.0
	13	4	43	0	0.0	0.0	0.0
	14	1	1	0	0.0	0.0	0.0
	15	5	49	0	0.0	0.0	0.0
	16	1	1	0	0.0	0.0	0.0
	17	3	28	1	0.03571428571428571	0.0	0.11547005383792518
	18	2	5	0	0.0	0.0	0.0
	19	2	12	0	0.0	0.0	0.0
	20	1	1	0	0.0	0.0	0.0
	21	5	34	0	0.0	0.0	0.0
	22	1	1	0	0.0	0.0	0.0
	23	2	8	0	0.0	0.0	0.0
	24	2	1	0	0.0	0.0	0.0
	25	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	26	1	1	0	0.0	0.0	0.0
	27	4	34	1	0.029411764705882353	0.0	0.25
	28	2	1	0	0.0	0.0	0.0
	29	1	7	0	0.0	0.0	0.0
	30	1	1	0	0.0	0.0	0.0
	31	2	10	0	0.0	0.0	0.0
	32	2	1	0	0.0	0.0	0.0
	33	2	9	0	0.0	0.0	0.0
	34	1	1	0	0.0	0.0	0.0
	35	7	72	6	0.08333333333333333	0.0	0.05349103803049103
	36	2	1	0	0.0	0.0	0.0
	37	5	31	0	0.0	0.0	0.0
	38	2	3	0	0.0	0.0	0.0
	39	1	10	0	0.0	0.0	0.0
	40	2	3	0	0.0	0.0	0.0
	41	1	10	0	0.0	0.0	0.0
	42	1	1	0	0.0	0.0	0.0
	43	1	16	0	0.0	0.0	0.0
	44	1	1	0	0.0	0.0	0.0
	45	1	16	1	0.0625	0.0625	0.0
	46	1	2	0	0.0	0.0	0.0
	47	3	39	3	0.07692307692307693	0.0	0.07216878364870323
	48	3	8	0	0.0	0.0	0.0
	49	4	39	0	0.0	0.0	0.0
	50	1	1	0	0.0	0.0	0.0
	51	2	26	0	0.0	0.0	0.0
	52	1	1	0	0.0	0.0	0.0
	53	3	2	0	0.0	0.0	0.0
