filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	4	10	0	0.0	0.0	0.0
	1	8	148	5	0.033783783783783786	0.0	0.03570151702230075
	2	4	53	2	0.03773584905660377	0.0172413793103448	0.03942650210923057
	3	9	175	8	0.045714285714285714	0.0434782608695652	0.04205368908344406
	4	8	131	3	0.022900763358778626	0.0	0.02038458657263629
	5	6	107	2	0.018691588785046728	0.0	0.036451860600544395
	6	5	74	2	0.02702702702702703	0.0	0.07240601069999317
	7	3	48	3	0.0625	0.0714285714285714	0.047864381791116836
	8	5	72	1	0.013888888888888888	0.0	0.013551927136362359
	9	1	2	0	0.0	0.0	0.0
	10	2	8	2	0.25	0.14285714285714285	0.20203050891044214
	11	9	81	3	0.037037037037037035	0.0	0.029530983162465704
	12	5	71	3	0.04225352112676056	0.0	0.05798894799865588
	13	5	92	2	0.021739130434782608	0.0	0.02839451399999731
	14	9	146	0	0.0	0.0	0.0
	15	3	93	4	0.043010752688172046	0.0512820512820512	0.0340766794716964
	16	3	28	0	0.0	0.0	0.0
	17	4	51	0	0.0	0.0	0.0
	18	5	88	2	0.022727272727272728	0.0	0.03693553920740494
	19	8	159	7	0.0440251572327044	0.039938556067588296	0.08618823755551913
	20	3	116	3	0.02586206896551724	0.0317460317460317	0.018803550945943746
	21	2	67	1	0.014925373134328358	0.00925925925925925	0.01309457002197309
	22	6	89	3	0.033707865168539325	0.0	0.05813458204571207
	23	3	37	0	0.0	0.0	0.0
	24	6	105	5	0.047619047619047616	0.048924731182795646	0.077256150159734
	25	10	138	2	0.014492753623188406	0.0	0.01904700071546166
	26	6	94	1	0.010638297872340425	0.0	0.031403714651066374
	27	1	2	0	0.0	0.0	0.0
	28	1	5	0	0.0	0.0	0.0
	29	13	167	18	0.10778443113772455	0.037037037037037	0.1477086222387806
	30	4	51	1	0.0196078431372549	0.0	0.0357142857142857
	31	7	99	3	0.030303030303030304	0.0	0.02305267170726577
	32	8	98	2	0.02040816326530612	0.0	0.06428243465332249
	33	3	58	5	0.08620689655172414	0.1153846153846153	0.06955940517375224
	34	4	58	0	0.0	0.0	0.0
	35	7	94	1	0.010638297872340425	0.0	0.05399492471560387
	36	6	106	2	0.018867924528301886	0.0	0.020068147315063938
	37	4	53	4	0.07547169811320754	0.07499999999999996	0.04251961443250678
	38	1	2	0	0.0	0.0	0.0
	39	1	6	0	0.0	0.0	0.0
	40	4	56	1	0.017857142857142856	0.0	0.0714285714285714
	41	4	121	3	0.024793388429752067	0.02948402948402945	0.03439617376892895
	42	3	44	6	0.13636363636363635	0.0588235294117647	0.1381212136902377
	43	5	114	4	0.03508771929824561	0.0	0.03949050935010963
	44	2	70	7	0.1	0.1394557823129251	0.13949725615244812
	45	3	70	4	0.05714285714285714	0.08	0.029701607553740246
	46	3	49	6	0.12244897959183673	0.1666666666666666	0.10088375937089987
	47	4	86	4	0.046511627906976744	0.0416666666666666	0.03717785824327135
	48	1	2	0	0.0	0.0	0.0
	49	1	2	0	0.0	0.0	0.0
	50	6	102	1	0.00980392156862745	0.0	0.018556740475630114
	51	2	51	2	0.0392156862745098	0.05161943319838055	0.03578475613292244
	52	3	29	0	0.0	0.0	0.0
	53	3	43	0	0.0	0.0	0.0
	54	3	139	8	0.05755395683453238	0.0612244897959183	0.021914929488029637
	55	2	2	0	0.0	0.0	0.0
	56	1	2	0	0.0	0.0	0.0
	57	6	156	3	0.019230769230769232	0.0	0.01860359508267152
	58	7	140	3	0.02142857142857143	0.0	0.03055851581235207
	59	5	68	0	0.0	0.0	0.0
	60	4	83	0	0.0	0.0	0.0
	61	2	28	1	0.03571428571428571	0.0217391304347826	0.030743773095067272
	62	14	171	4	0.023391812865497075	0.0	0.03723470700373745
	63	1	2	0	0.0	0.0	0.0
	64	1	3	0	0.0	0.0	0.0
	65	9	208	3	0.014423076923076924	0.0	0.02221811190163513
	66	6	91	3	0.03296703296703297	0.0	0.038298030355056
	67	6	96	2	0.020833333333333332	0.0	0.027949097219482882
	68	6	150	1	0.006666666666666667	0.0	0.00995727537716738
	69	6	125	5	0.04	0.0	0.030560816045489596
	70	1	2	0	0.0	0.0	0.0
	71	1	3	0	0.0	0.0	0.0
	72	17	197	3	0.015228426395939087	0.0	0.02579351051279816
	73	21	269	8	0.02973977695167286	0.0	0.03678623156868358
	74	1	2	0	0.0	0.0	0.0
	75	1	3	0	0.0	0.0	0.0
	76	3	53	4	0.07547169811320754	0.0714285714285714	0.05455447255899807
	77	9	146	6	0.0410958904109589	0.0	0.03947107653526594
	78	4	73	2	0.0273972602739726	0.0192307692307692	0.02512897936632277
	79	7	109	2	0.01834862385321101	0.0	0.046925223078328776
	80	7	113	5	0.04424778761061947	0.0	0.08434222258777868
	81	1	50	1	0.02	0.02	0.0
	82	3	127	1	0.007874015748031496	0.0	0.007308231255564845
	83	8	179	5	0.027932960893854747	0.0	0.0315989427567146
	84	2	24	1	0.041666666666666664	0.04545454545454545	0.06428243465332249
	85	6	78	3	0.038461538461538464	0.0	0.03602190798210554
	86	7	86	2	0.023255813953488372	0.0	0.030264464371485333
	87	4	87	3	0.034482758620689655	0.02941176470588235	0.03636713135488509
	88	2	75	1	0.013333333333333334	0.00909090909090905	0.012856486930664443
	89	16	238	3	0.012605042016806723	0.0	0.01797536000348272
	90	10	196	4	0.02040816326530612	0.0	0.03612443083727439
	91	6	92	1	0.010869565217391304	0.0	0.010206207261596576
	92	5	85	3	0.03529411764705882	0.05	0.030176690717358595
	93	15	227	8	0.03524229074889868	0.0	0.04913225230534098
	94	1	2	0	0.0	0.0	0.0
	95	1	2	0	0.0	0.0	0.0
	96	8	176	5	0.028409090909090908	0.0	0.03331273175827502
	97	12	191	4	0.020942408376963352	0.0	0.042205222682564554
	98	1	2	0	0.0	0.0	0.0
	99	1	4	0	0.0	0.0	0.0
	100	5	114	0	0.0	0.0	0.0
	101	9	242	5	0.02066115702479339	0.0	0.023565115341487714
	102	6	69	1	0.014492753623188406	0.0	0.0583211843519804
	103	4	111	2	0.018018018018018018	0.01470588235294115	0.01752761610341641
	104	13	200	3	0.015	0.0	0.029160592175990208
	105	2	5	0	0.0	0.0	0.0
	106	11	160	2	0.0125	0.0	0.018810873627015574
	107	23	335	6	0.01791044776119403	0.0	0.03260077937040873
	108	7	117	2	0.017094017094017096	0.0	0.02445213908350586
	109	2	7	0	0.0	0.0	0.0
	110	13	232	7	0.03017241379310345	0.0	0.03775912309694278
	111	5	116	2	0.017241379310344827	0.0	0.01686031611246672
	112	14	274	6	0.021897810218978103	0.0	0.023214266621096873
	113	10	221	4	0.01809954751131222	0.0	0.022188561597439104
	114	4	114	0	0.0	0.0	0.0
	115	5	134	3	0.022388059701492536	0.0	0.03626056179729385
	116	15	406	8	0.019704433497536946	0.0	0.031483480807579074
	117	4	138	2	0.014492753623188406	0.00980392156862745	0.016753903574528533
	118	8	187	4	0.0213903743315508	0.0	0.019529939651518342
	119	1	2	0	0.0	0.0	0.0
	120	1	4	0	0.0	0.0	0.0
	121	14	278	5	0.017985611510791366	0.0	0.024300442374089355
	122	3	68	0	0.0	0.0	0.0
	123	8	196	2	0.01020408163265306	0.0	0.015476346278357983
	124	1	39	0	0.0	0.0	0.0
	125	13	256	4	0.015625	0.0	0.04199473222523895
	126	13	332	5	0.015060240963855422	0.0	0.021803524208962637
	127	1	2	0	0.0	0.0	0.0
	128	1	5	0	0.0	0.0	0.0
	129	5	141	3	0.02127659574468085	0.0256410256410256	0.01948271054316907
	130	4	70	0	0.0	0.0	0.0
	131	4	147	4	0.027210884353741496	0.0086206896551724	0.022111861534450862
	132	1	2	0	0.0	0.0	0.0
	133	1	3	0	0.0	0.0	0.0
	134	5	112	4	0.03571428571428571	0.0	0.0277858768343007
	135	3	84	3	0.03571428571428571	0.0425531914893617	0.031924126914948295
	136	7	129	3	0.023255813953488372	0.0	0.023386184115048975
	137	3	88	4	0.045454545454545456	0.0491803278688524	0.029441181152109173
	138	10	193	3	0.015544041450777202	0.0	0.027623025722548687
	139	7	229	4	0.017467248908296942	0.0	0.0669991198748882
	140	4	80	1	0.0125	0.0	0.02941176470588235
	141	3	88	4	0.045454545454545456	0.03125	0.034946749422580276
	142	7	187	1	0.0053475935828877	0.0	0.015748519708717778
	143	7	121	3	0.024793388429752067	0.0	0.0406625030395222
	144	6	79	1	0.012658227848101266	0.0	0.017010345435994265
	145	1	2	0	0.0	0.0	0.0
	146	1	4	0	0.0	0.0	0.0
	147	5	104	3	0.028846153846153848	0.0	0.030984595136475668
	148	9	133	3	0.022556390977443608	0.0	0.029022501998233422
	149	4	92	1	0.010869565217391304	0.0	0.0192307692307692
	150	11	228	7	0.03070175438596491	0.0	0.04053760031769798
	151	5	94	1	0.010638297872340425	0.0	0.026306682088232818
	152	4	86	1	0.011627906976744186	0.0	0.0106382978723404
	153	8	202	5	0.024752475247524754	0.0	0.02488383895344985
	154	10	182	12	0.06593406593406594	0.0669642857142857	0.041938047782043554
	155	9	161	5	0.031055900621118012	0.0	0.06679866253369793
	156	13	212	11	0.05188679245283019	0.0588235294117647	0.05219324146150155
	157	26	444	11	0.024774774774774775	0.0	0.02806123858460972
	158	4	75	1	0.013333333333333334	0.0	0.0217391304347826
	159	8	102	5	0.049019607843137254	0.0	0.05803610169116095
	160	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	161	3	50	2	0.04	0.0	0.048112522432468795
	162	8	183	6	0.03278688524590164	0.0	0.10225111890648914
	163	3	125	3	0.024	0.0172413793103448	0.06353397527944467
	164	5	65	0	0.0	0.0	0.0
	165	7	150	5	0.03333333333333333	0.0	0.044525850470960374
	166	1	2	0	0.0	0.0	0.0
	167	1	7	0	0.0	0.0	0.0
	168	7	108	4	0.037037037037037035	0.0	0.038297724955034015
	169	3	85	1	0.011764705882352941	0.0	0.015193428136569093
	170	6	152	1	0.006578947368421052	0.0	0.01944039478399347
	171	5	127	5	0.03937007874015748	0.0416666666666666	0.036863110135864664
	172	9	216	2	0.009259259259259259	0.0	0.007104475976429119
	173	4	69	3	0.043478260869565216	0.0217391304347826	0.041627265554623386
	174	4	100	5	0.05	0.050125313283208	0.014385444448721538
	175	1	2	0	0.0	0.0	0.0
	176	1	4	0	0.0	0.0	0.0
	177	12	195	3	0.015384615384615385	0.0	0.09597493331650775
	178	7	145	4	0.027586206896551724	0.027027027027027	0.0326930511178844
	179	8	173	4	0.023121387283236993	0.0094339622641509	0.014934615255884017
	180	5	238	6	0.025210084033613446	0.0285714285714285	0.02155675943993021
	181	2	55	2	0.03636363636363636	0.03928571428571425	0.015152288168283212
	182	14	331	6	0.01812688821752266	0.0	0.022231813841037742
	183	3	133	0	0.0	0.0	0.0
	184	1	2	0	0.0	0.0	0.0
	185	1	2	0	0.0	0.0	0.0
	186	8	125	6	0.048	0.0385185185185185	0.06077789813699763
	187	4	91	3	0.03296703296703297	0.0208333333333333	0.028091147935284704
	188	12	149	6	0.040268456375838924	0.0	0.05641454388689002
	189	7	169	10	0.05917159763313609	0.0588235294117647	0.02772629728847609
	190	9	129	8	0.06201550387596899	0.0666666666666666	0.08612202797471438
	191	3	67	3	0.04477611940298507	0.0555555555555555	0.03254290860250109
	192	7	135	4	0.02962962962962963	0.0	0.03992428449441837
	193	10	156	1	0.00641025641025641	0.0	0.03513641844631532
	194	2	21	0	0.0	0.0	0.0
	195	15	240	18	0.075	0.032258064516129	0.11122929612123673
	196	5	122	7	0.05737704918032787	0.0	0.0593545211729778
	197	18	349	10	0.02865329512893983	0.0	0.0442017190724024
	198	8	68	1	0.014705882352941176	0.0	0.03535533905932738
	199	10	205	4	0.01951219512195122	0.0	0.03021684028055479
	200	4	56	0	0.0	0.0	0.0
	201	17	340	9	0.026470588235294117	0.0	0.035041431705725545
	202	5	127	4	0.031496062992125984	0.0303030303030303	0.029654469607451342
	203	27	621	17	0.027375201288244767	0.0	0.030953290449348175
	204	8	104	0	0.0	0.0	0.0
	205	1	2	0	0.0	0.0	0.0
	206	1	2	0	0.0	0.0	0.0
	207	18	341	5	0.01466275659824047	0.0	0.016282746019583284
	208	5	113	6	0.05309734513274336	0.0625	0.06140570948230133
	209	1	2	0	0.0	0.0	0.0
	210	1	4	0	0.0	0.0	0.0
	211	9	169	4	0.023668639053254437	0.0	0.029192822344045882
	212	15	287	9	0.0313588850174216	0.0	0.0649488988971908
	213	18	306	8	0.026143790849673203	0.0	0.031506962210892796
	214	8	115	3	0.02608695652173913	0.0	0.04197661943674856
	215	8	170	3	0.01764705882352941	0.0	0.03341046478049974
	216	6	110	1	0.00909090909090909	0.0	0.0226804605813257
	217	6	178	5	0.028089887640449437	0.0180722891566265	0.021962934384966774
	218	4	75	1	0.013333333333333334	0.0	0.0135135135135135
	219	7	119	2	0.01680672268907563	0.0	0.03290479359758696
	220	1	38	1	0.02631578947368421	0.0263157894736842	0.0
	221	10	160	1	0.00625	0.0	0.013176156917368226
	222	6	157	4	0.025477707006369428	0.01666666666666665	0.055341993148000604
	223	7	92	3	0.03260869565217391	0.0	0.03482128725155602
	224	1	2	0	0.0	0.0	0.0
	225	1	2	0	0.0	0.0	0.0
	226	4	64	0	0.0	0.0	0.0
	227	6	85	6	0.07058823529411765	0.047149122807017496	0.05918427363175477
	228	12	272	14	0.051470588235294115	0.05238095238095235	0.06495312061827059
	229	4	83	3	0.03614457831325301	0.02	0.02675036175537428
	230	5	93	9	0.0967741935483871	0.0666666666666666	0.056870292173462296
	231	4	51	6	0.11764705882352941	0.0714285714285714	0.0898789813722708
	232	8	169	2	0.011834319526627219	0.0	0.021780256349305686
	233	4	116	3	0.02586206896551724	0.0083333333333333	0.06909891362348307
	234	1	2	0	0.0	0.0	0.0
	235	4	78	3	0.038461538461538464	0.0227272727272727	0.02723717630745416
	236	47	823	20	0.024301336573511544	0.0	0.04143513500571238
	237	4	53	2	0.03773584905660377	0.03125	0.05983919423477113
	238	9	165	4	0.024242424242424242	0.0	0.03783555552093292
	239	9	143	7	0.04895104895104895	0.0	0.08309131025828688
	240	2	51	0	0.0	0.0	0.0
	241	4	60	1	0.016666666666666666	0.0	0.04545454545454545
	242	7	115	4	0.034782608695652174	0.0	0.04050243148300041
	243	4	69	0	0.0	0.0	0.0
	244	6	105	4	0.0380952380952381	0.0172413793103448	0.05974395380294716
	245	20	337	10	0.02967359050445104	0.0	0.031362449473686556
	246	1	2	0	0.0	0.0	0.0
	247	1	3	0	0.0	0.0	0.0
	248	12	217	0	0.0	0.0	0.0
	249	7	129	0	0.0	0.0	0.0
	250	3	58	2	0.034482758620689655	0.0384615384615384	0.027234056775452837
	251	14	179	4	0.0223463687150838	0.0	0.0325410024543655
	252	5	46	1	0.021739130434782608	0.0	0.055901699437494755
	253	1	2	0	0.0	0.0	0.0
	254	1	3	0	0.0	0.0	0.0
	255	19	291	8	0.027491408934707903	0.0	0.027440615006067134
	256	10	178	4	0.02247191011235955	0.0	0.03021065305779301
	257	4	70	5	0.07142857142857142	0.054093567251461944	0.0748993200863648
	258	7	90	0	0.0	0.0	0.0
	259	8	143	1	0.006993006993006993	0.0	0.01262690680690263
	260	17	213	7	0.03286384976525822	0.0	0.04274719715111279
	261	5	104	5	0.04807692307692308	0.032258064516129	0.04561112230727657
	262	6	100	4	0.04	0.032258064516129	0.058338526337076785
	263	24	411	8	0.019464720194647202	0.0	0.033590810460760276
	264	18	290	8	0.027586206896551724	0.0	0.042371198583632065
	265	1	2	0	0.0	0.0	0.0
	266	1	2	0	0.0	0.0	0.0
	267	9	152	4	0.02631578947368421	0.0	0.028105257696474335
	268	24	509	11	0.021611001964636542	0.0	0.038467252147303926
	269	6	96	3	0.03125	0.0	0.0470804817030673
	270	1	2	0	0.0	0.0	0.0
	271	1	2	0	0.0	0.0	0.0
	272	12	189	8	0.042328042328042326	0.0	0.05103663303414991
	273	8	126	2	0.015873015873015872	0.0	0.027948108251580315
	274	4	67	4	0.05970149253731343	0.06971153846153845	0.03735767699646208
	275	4	103	1	0.009708737864077669	0.0	0.0108695652173913
	276	7	128	8	0.0625	0.0526315789473684	0.047830560986871974
	277	4	69	1	0.014492753623188406	0.0	0.01666666666666665
	278	3	72	1	0.013888888888888888	0.0	0.030386856273138182
	279	2	10	0	0.0	0.0	0.0
	280	3	71	2	0.028169014084507043	0.03125	0.033355027662563375
	281	4	78	3	0.038461538461538464	0.0372413793103448	0.03748291823968934
	282	5	83	5	0.060240963855421686	0.0434782608695652	0.04964634902045837
	283	1	42	3	0.07142857142857142	0.0714285714285714	0.0
	284	1	27	0	0.0	0.0	0.0
	285	5	50	1	0.02	0.0	0.01944406936956338
	286	5	57	1	0.017543859649122806	0.0	0.024845199749997635
	287	5	73	1	0.0136986301369863	0.0	0.024845199749997635
	288	4	81	6	0.07407407407407407	0.0263157894736842	0.07603509337212072
	289	6	78	5	0.0641025641025641	0.0333333333333333	0.05577733510227169
	290	6	107	1	0.009345794392523364	0.0	0.0145802960879951
	291	3	35	2	0.05714285714285714	0.0833333333333333	0.050441879685449935
	292	8	121	7	0.05785123966942149	0.0490430622009569	0.05734868588161051
