filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	2	6	0	0.0	0.0	0.0
	1	4	60	1	0.016666666666666666	0.0	0.0217391304347826
	2	21	247	16	0.06477732793522267	0.037037037037037	0.0822313902288097
	3	10	199	14	0.07035175879396985	0.0392307692307692	0.09209968185107024
	4	31	339	6	0.017699115044247787	0.0	0.04738137367624596
	5	15	157	4	0.025477707006369428	0.0	0.0656129596277796
	6	8	69	0	0.0	0.0	0.0
	7	7	44	0	0.0	0.0	0.0
	8	5	82	8	0.0975609756097561	0.1071428571428571	0.06486238266366147
	9	4	94	2	0.02127659574468085	0.0	0.05555555555555555
	10	7	81	1	0.012345679012345678	0.0	0.01718020331860122
	11	23	326	14	0.04294478527607362	0.0	0.0560232644449793
	12	8	42	1	0.023809523809523808	0.0	0.08838834764831845
	13	2	18	0	0.0	0.0	0.0
	14	3	37	2	0.05405405405405406	0.04	0.05627679974288171
	15	19	207	3	0.014492753623188406	0.0	0.03066038158117241
	16	7	69	2	0.028985507246376812	0.0	0.06299407883487118
	17	6	46	0	0.0	0.0	0.0
	18	13	212	1	0.0047169811320754715	0.0	0.01155625408802559
	19	5	123	2	0.016260162601626018	0.0	0.03312693299999685
	20	7	69	0	0.0	0.0	0.0
	21	4	62	2	0.03225806451612903	0.01666666666666665	0.039381796885438386
	22	6	94	2	0.02127659574468085	0.0	0.026856249669569194
	23	12	127	0	0.0	0.0	0.0
	24	3	20	0	0.0	0.0	0.0
	25	6	146	4	0.0273972602739726	0.0	0.021668894013493274
	26	3	69	1	0.014492753623188406	0.0	0.023094010767585032
	27	6	111	3	0.02702702702702703	0.0	0.03408102912372115
	28	9	161	3	0.018633540372670808	0.0	0.04749099734420619
	29	2	70	0	0.0	0.0	0.0
	30	8	121	3	0.024793388429752067	0.0	0.07305782996968192
	31	6	29	0	0.0	0.0	0.0
	32	15	210	5	0.023809523809523808	0.0	0.04147319261179822
	33	5	107	13	0.12149532710280374	0.0714285714285714	0.07942525753155619
	34	9	86	5	0.05813953488372093	0.0	0.05410717708388456
	35	35	300	24	0.08	0.0	0.08004318803099542
	36	1	6	0	0.0	0.0	0.0
	37	17	175	1	0.005714285714285714	0.0	0.016169041669088845
	38	5	61	0	0.0	0.0	0.0
	39	7	58	1	0.017241379310344827	0.0	0.014537095115739484
	40	5	133	2	0.015037593984962405	0.0	0.022934030538459344
	41	15	289	12	0.04152249134948097	0.0	0.059206861890793674
	42	8	112	1	0.008928571428571428	0.0	0.03535533905932738
	43	4	92	16	0.17391304347826086	0.04545454545454545	0.09879394966473465
	44	16	301	9	0.029900332225913623	0.0	0.08249665154311278
	45	3	27	1	0.037037037037037035	0.0	0.03207501495497917
	46	11	113	4	0.035398230088495575	0.0	0.024976662348871026
	47	33	510	13	0.025490196078431372	0.0	0.030631699529643303
	48	17	221	5	0.02262443438914027	0.0	0.03310263527068029
	49	3	27	0	0.0	0.0	0.0
	50	38	414	32	0.07729468599033816	0.0	0.07317032250012984
	51	8	67	4	0.05970149253731343	0.0357142857142857	0.05297451843268235
	52	6	210	5	0.023809523809523808	0.01682194616977225	0.031185236862661513
	53	18	208	4	0.019230769230769232	0.0	0.04812493802292988
	54	9	158	12	0.0759493670886076	0.0	0.08962661559069988
	55	4	66	3	0.045454545454545456	0.0434782608695652	0.058021314731711654
	56	1	52	2	0.038461538461538464	0.0384615384615384	0.0
	57	13	158	10	0.06329113924050633	0.0	0.06587076545487693
	58	16	209	6	0.028708133971291867	0.0	0.0694161222639462
	59	4	38	2	0.05263157894736842	0.0333333333333333	0.043832593994609696
	60	22	246	14	0.056910569105691054	0.0	0.06361176151191462
	61	2	30	1	0.03333333333333333	0.0238095238095238	0.03367175148507368
