filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	2	0	0.0	0.0	0.0
	1	2	53	0	0.0	0.0	0.0
	2	5	111	2	0.018018018018018018	0.0	0.04332581971601083
	3	1	16	0	0.0	0.0	0.0
	4	1	41	2	0.04878048780487805	0.048780487804878	0.0
	5	6	150	3	0.02	0.00675675675675675	0.02330072859249496
	6	1	32	0	0.0	0.0	0.0
	7	1	4	0	0.0	0.0	0.0
	8	1	70	1	0.014285714285714285	0.0142857142857142	0.0
	9	1	2	0	0.0	0.0	0.0
	10	2	6	0	0.0	0.0	0.0
	11	1	2	0	0.0	0.0	0.0
	12	1	87	3	0.034482758620689655	0.0344827586206896	0.0
	13	1	7	0	0.0	0.0	0.0
	14	1	5	0	0.0	0.0	0.0
	15	1	5	0	0.0	0.0	0.0
	16	1	3	0	0.0	0.0	0.0
	17	1	2	0	0.0	0.0	0.0
	18	4	11	0	0.0	0.0	0.0
	19	1	2	0	0.0	0.0	0.0
	20	3	13	0	0.0	0.0	0.0
	21	1	3	0	0.0	0.0	0.0
	22	4	23	0	0.0	0.0	0.0
	23	4	42	2	0.047619047619047616	0.0333333333333333	0.03849001794597501
	24	3	41	1	0.024390243902439025	0.0	0.05248638810814779
	25	2	2	0	0.0	0.0	0.0
	26	1	20	1	0.05	0.05	0.0
	27	5	35	3	0.08571428571428572	0.0	0.07704317547696202
	28	1	2	0	0.0	0.0	0.0
	29	1	12	1	0.08333333333333333	0.0833333333333333	0.0
	30	2	2	0	0.0	0.0	0.0
	31	5	41	2	0.04878048780487805	0.0	0.04969039949999532
	32	1	25	0	0.0	0.0	0.0
	33	1	2	0	0.0	0.0	0.0
	34	2	20	0	0.0	0.0	0.0
	35	1	28	0	0.0	0.0	0.0
	36	2	28	0	0.0	0.0	0.0
	37	2	3	0	0.0	0.0	0.0
	38	1	20	1	0.05	0.05	0.0
	39	1	4	0	0.0	0.0	0.0
	40	1	7	0	0.0	0.0	0.0
	41	3	36	3	0.08333333333333333	0.0833333333333333	0.050441879685449935
	42	1	2	0	0.0	0.0	0.0
	43	4	16	0	0.0	0.0	0.0
	44	5	50	3	0.06	0.0	0.14433756729740643
	45	1	4	0	0.0	0.0	0.0
	46	1	31	0	0.0	0.0	0.0
	47	2	7	0	0.0	0.0	0.0
	48	2	10	0	0.0	0.0	0.0
	49	1	2	0	0.0	0.0	0.0
	50	1	17	0	0.0	0.0	0.0
	51	2	2	0	0.0	0.0	0.0
	52	3	27	1	0.037037037037037035	0.0	0.14433756729740646
	53	1	4	0	0.0	0.0	0.0
	54	1	4	0	0.0	0.0	0.0
	55	2	6	1	0.16666666666666666	0.1	0.14142135623730953
	56	5	26	0	0.0	0.0	0.0
	57	1	2	0	0.0	0.0	0.0
	58	3	29	0	0.0	0.0	0.0
	59	2	8	0	0.0	0.0	0.0
	60	11	81	4	0.04938271604938271	0.0	0.06826028412597993
	61	1	12	0	0.0	0.0	0.0
	62	3	43	3	0.06976744186046512	0.0588235294117647	0.055587585281799884
	63	14	234	11	0.04700854700854701	0.030834914611005647	0.05165742555087782
	64	1	4	0	0.0	0.0	0.0
	65	2	44	0	0.0	0.0	0.0
	66	2	2	0	0.0	0.0	0.0
	67	1	18	1	0.05555555555555555	0.0555555555555555	0.0
	68	1	2	0	0.0	0.0	0.0
	69	1	11	1	0.09090909090909091	0.0909090909090909	0.0
	70	2	2	0	0.0	0.0	0.0
	71	2	47	1	0.02127659574468085	0.0131578947368421	0.018608073189119664
	72	3	33	1	0.030303030303030304	0.0	0.048112522432468795
	73	1	6	0	0.0	0.0	0.0
	74	3	27	0	0.0	0.0	0.0
	75	1	4	0	0.0	0.0	0.0
	76	1	2	0	0.0	0.0	0.0
	77	2	2	0	0.0	0.0	0.0
	78	2	8	0	0.0	0.0	0.0
	79	1	4	0	0.0	0.0	0.0
	80	1	12	1	0.08333333333333333	0.0833333333333333	0.0
	81	2	5	0	0.0	0.0	0.0
	82	1	18	1	0.05555555555555555	0.0555555555555555	0.0
	83	1	12	1	0.08333333333333333	0.0833333333333333	0.0
	84	1	4	0	0.0	0.0	0.0
	85	1	9	0	0.0	0.0	0.0
	86	2	2	0	0.0	0.0	0.0
	87	4	18	1	0.05555555555555555	0.0	0.05000000000000001
	88	1	2	0	0.0	0.0	0.0
	89	2	16	0	0.0	0.0	0.0
	90	2	5	0	0.0	0.0	0.0
	91	3	39	0	0.0	0.0	0.0
	92	1	2	0	0.0	0.0	0.0
	93	1	10	0	0.0	0.0	0.0
	94	2	2	0	0.0	0.0	0.0
	95	3	33	1	0.030303030303030304	0.0	0.08247860988423222
	96	2	17	0	0.0	0.0	0.0
	97	1	2	0	0.0	0.0	0.0
	98	1	4	0	0.0	0.0	0.0
	99	2	8	0	0.0	0.0	0.0
	100	5	35	0	0.0	0.0	0.0
	101	1	2	0	0.0	0.0	0.0
	102	6	165	6	0.03636363636363636	0.0121951219512195	0.027243802467393895
	103	2	4	0	0.0	0.0	0.0
	104	1	2	0	0.0	0.0	0.0
	105	1	7	0	0.0	0.0	0.0
	106	1	6	0	0.0	0.0	0.0
	107	1	18	0	0.0	0.0	0.0
	108	1	24	0	0.0	0.0	0.0
	109	2	2	0	0.0	0.0	0.0
	110	2	16	0	0.0	0.0	0.0
	111	1	2	0	0.0	0.0	0.0
	112	3	65	1	0.015384615384615385	0.0	0.012284048280630304
	113	2	2	0	0.0	0.0	0.0
	114	1	9	0	0.0	0.0	0.0
	115	1	2	0	0.0	0.0	0.0
	116	2	36	1	0.027777777777777776	0.015625	0.02209708691207961
	117	2	2	0	0.0	0.0	0.0
	118	1	19	0	0.0	0.0	0.0
	119	1	4	0	0.0	0.0	0.0
	120	6	133	2	0.015037593984962405	0.0	0.015405595866560838
	121	2	2	0	0.0	0.0	0.0
	122	2	15	0	0.0	0.0	0.0
	123	1	3	0	0.0	0.0	0.0
	124	2	12	0	0.0	0.0	0.0
	125	2	3	0	0.0	0.0	0.0
	126	3	29	1	0.034482758620689655	0.0	0.026243194054073868
	127	1	5	0	0.0	0.0	0.0
	128	2	9	0	0.0	0.0	0.0
	129	7	42	0	0.0	0.0	0.0
	130	2	48	2	0.041666666666666664	0.02127659574468085	0.030089650263257342
	131	1	28	0	0.0	0.0	0.0
	132	1	2	0	0.0	0.0	0.0
	133	2	11	0	0.0	0.0	0.0
	134	1	4	0	0.0	0.0	0.0
	135	1	9	0	0.0	0.0	0.0
	136	3	18	0	0.0	0.0	0.0
	137	3	12	0	0.0	0.0	0.0
	138	2	3	0	0.0	0.0	0.0
	139	4	59	1	0.01694915254237288	0.0	0.0128205128205128
	140	1	2	0	0.0	0.0	0.0
	141	1	16	0	0.0	0.0	0.0
	142	2	2	0	0.0	0.0	0.0
	143	1	6	0	0.0	0.0	0.0
	144	1	2	0	0.0	0.0	0.0
	145	8	73	0	0.0	0.0	0.0
	146	2	2	0	0.0	0.0	0.0
	147	1	12	1	0.08333333333333333	0.0833333333333333	0.0
	148	1	2	0	0.0	0.0	0.0
	149	1	44	1	0.022727272727272728	0.0227272727272727	0.0
	150	2	2	0	0.0	0.0	0.0
	151	1	2	0	0.0	0.0	0.0
	152	1	2	0	0.0	0.0	0.0
	153	2	30	0	0.0	0.0	0.0
	154	1	18	0	0.0	0.0	0.0
	155	3	31	1	0.03225806451612903	0.0	0.03849001794597501
	156	1	2	0	0.0	0.0	0.0
	157	1	4	0	0.0	0.0	0.0
	158	2	3	0	0.0	0.0	0.0
	159	3	26	1	0.038461538461538464	0.0	0.05773502691896259
	160	1	2	0	0.0	0.0	0.0
	161	2	10	0	0.0	0.0	0.0
	162	2	3	0	0.0	0.0	0.0
	163	2	27	0	0.0	0.0	0.0
	164	1	4	0	0.0	0.0	0.0
	165	10	53	4	0.07547169811320754	0.0	0.11822573435186835
	166	2	2	0	0.0	0.0	0.0
	167	2	27	1	0.037037037037037035	0.25	0.3535533905932738
	168	1	5	0	0.0	0.0	0.0
	169	1	15	0	0.0	0.0	0.0
	170	2	2	0	0.0	0.0	0.0
	171	3	58	1	0.017241379310344827	0.0	0.048112522432468795
	172	1	4	0	0.0	0.0	0.0
	173	2	5	0	0.0	0.0	0.0
	174	5	38	0	0.0	0.0	0.0
	175	2	5	0	0.0	0.0	0.0
	176	7	81	0	0.0	0.0	0.0
	177	1	2	0	0.0	0.0	0.0
	178	1	2	0	0.0	0.0	0.0
	179	2	2	0	0.0	0.0	0.0
	180	1	4	0	0.0	0.0	0.0
	181	1	4	0	0.0	0.0	0.0
	182	2	7	0	0.0	0.0	0.0
	183	2	2	0	0.0	0.0	0.0
	184	3	27	1	0.037037037037037035	0.0	0.036084391824351615
	185	1	2	0	0.0	0.0	0.0
	186	2	46	1	0.021739130434782608	0.0192307692307692	0.027196414661021018
	187	2	2	0	0.0	0.0	0.0
	188	2	13	0	0.0	0.0	0.0
	189	1	2	0	0.0	0.0	0.0
	190	1	9	1	0.1111111111111111	0.1111111111111111	0.0
	191	2	35	1	0.02857142857142857	0.02777777777777775	0.03928371006591926
	192	7	85	2	0.023529411764705882	0.0	0.02405507122532491
	193	2	12	1	0.08333333333333333	0.04545454545454545	0.06428243465332249
	194	6	84	1	0.011904761904761904	0.0	0.02551551815399144
	195	4	66	1	0.015151515151515152	0.0	0.01666666666666665
	196	1	29	0	0.0	0.0	0.0
	197	2	5	0	0.0	0.0	0.0
	198	1	8	0	0.0	0.0	0.0
	199	2	4	0	0.0	0.0	0.0
	200	2	6	0	0.0	0.0	0.0
	201	2	2	0	0.0	0.0	0.0
	202	4	7	0	0.0	0.0	0.0
	203	1	2	0	0.0	0.0	0.0
	204	7	30	3	0.1	0.0	0.12198750911856666
	205	2	4	0	0.0	0.0	0.0
	206	1	38	2	0.05263157894736842	0.0526315789473684	0.0
	207	2	22	2	0.09090909090909091	0.0833333333333333	0.11785113019775788
	208	1	5	0	0.0	0.0	0.0
	209	1	5	0	0.0	0.0	0.0
	210	1	2	0	0.0	0.0	0.0
	211	2	33	2	0.06060606060606061	0.06818181818181815	0.03214121732666128
	212	1	5	0	0.0	0.0	0.0
	213	3	34	1	0.029411764705882353	0.0	0.021383343303319452
	214	2	3	0	0.0	0.0	0.0
	215	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	216	1	3	0	0.0	0.0	0.0
	217	4	39	2	0.05128205128205128	0.04166666666666665	0.11785113019775792
	218	4	96	6	0.0625	0.0577235772357723	0.035318952899947104
	219	3	61	0	0.0	0.0	0.0
	220	2	4	0	0.0	0.0	0.0
	221	1	11	0	0.0	0.0	0.0
	222	1	4	0	0.0	0.0	0.0
	223	2	12	0	0.0	0.0	0.0
	224	5	10	0	0.0	0.0	0.0
	225	1	3	0	0.0	0.0	0.0
