filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	1	0	0.0	0.0	0.0
	1	1	2	0	0.0	0.0	0.0
	2	2	2	0	0.0	0.0	0.0
	3	11	260	1	0.0038461538461538464	0.0	0.005482024446868405
	4	9	238	4	0.01680672268907563	0.0	0.11434096813381414
	5	24	349	8	0.022922636103151862	0.0	0.05335828675824838
	6	5	98	1	0.01020408163265306	0.0	0.027950849718747377
	7	36	485	15	0.030927835051546393	0.0	0.04938879244629266
	8	4	91	1	0.01098901098901099	0.0	0.01041666666666665
	9	12	162	2	0.012345679012345678	0.0	0.09590204384598472
	10	5	90	2	0.022222222222222223	0.0	0.02129588549999799
	11	17	216	8	0.037037037037037035	0.0	0.06821977676127118
	12	8	78	2	0.02564102564102564	0.0	0.023765004216402298
	13	4	6	0	0.0	0.0	0.0
	14	2	4	0	0.0	0.0	0.0
	15	63	931	27	0.02900107411385607	0.0	0.04141542061692484
	16	18	316	8	0.02531645569620253	0.0	0.11754176155755487
	17	7	141	1	0.0070921985815602835	0.0	0.013998684185526923
	18	15	253	14	0.05533596837944664	0.0	0.06260542727651085
	19	22	298	3	0.010067114093959731	0.0	0.01606470383743953
	20	10	145	3	0.020689655172413793	0.0	0.028581128923072532
	21	24	334	9	0.02694610778443114	0.0	0.050387367157153626
	22	20	300	7	0.023333333333333334	0.0	0.11200371524691737
	23	21	327	9	0.027522935779816515	0.0	0.04036128587933588
	24	23	375	10	0.02666666666666667	0.0	0.059325486736294696
	25	36	472	9	0.019067796610169493	0.0	0.042514940770673366
	26	16	240	0	0.0	0.0	0.0
	27	10	139	1	0.007194244604316547	0.0	0.02258769757263127
	28	14	202	4	0.019801980198019802	0.0	0.021666203483865075
	29	26	289	8	0.02768166089965398	0.0	0.053111157762729594
	30	8	98	3	0.030612244897959183	0.0	0.04000546834186423
	31	39	562	14	0.02491103202846975	0.0	0.04465618712195898
	32	22	451	2	0.004434589800443459	0.0	0.015474546199697752
	33	9	185	4	0.021621621621621623	0.0	0.019762519274861202
	34	14	189	3	0.015873015873015872	0.0	0.03555589733528611
	35	12	110	2	0.01818181818181818	0.0	0.03490168631942185
	36	26	326	6	0.018404907975460124	0.0	0.04822483046591661
	37	50	782	17	0.021739130434782608	0.0	0.05012311446603604
	38	16	293	2	0.006825938566552901	0.0	0.01970886601071736
	39	39	668	17	0.025449101796407185	0.0	0.0265429371905236
	40	16	242	3	0.012396694214876033	0.0	0.03520438487892873
	41	72	960	24	0.025	0.0	0.05379175071663144
	42	6	99	2	0.020202020202020204	0.0	0.018602182513228892
	43	28	459	10	0.02178649237472767	0.0	0.04510446971252681
	44	1	1	0	0.0	0.0	0.0
	45	1	2	0	0.0	0.0	0.0
	46	1	2	0	0.0	0.0	0.0
	47	22	404	6	0.01485148514851485	0.0	0.03658747001752266
	48	8	105	3	0.02857142857142857	0.0	0.07821588628740882
	49	30	413	17	0.04116222760290557	0.0	0.05799211389237965
	50	33	376	20	0.05319148936170213	0.0	0.09691543863980147
	51	51	638	8	0.012539184952978056	0.0	0.03802386104417466
	52	61	854	21	0.02459016393442623	0.0	0.08193545743307463
	53	39	667	8	0.01199400299850075	0.0	0.0267156119113755
	54	20	326	6	0.018404907975460124	0.0	0.02002062840616794
	55	5	42	0	0.0	0.0	0.0
	56	15	207	4	0.01932367149758454	0.0	0.05717181915052678
	57	45	545	7	0.012844036697247707	0.0	0.029206972402048344
	58	14	225	3	0.013333333333333334	0.0	0.025583446226793823
	59	21	208	7	0.03365384615384615	0.0	0.05445219649756803
	60	26	400	8	0.02	0.0	0.08195845873197903
	61	25	403	8	0.019851116625310174	0.0	0.03115393345367084
	62	26	283	13	0.045936395759717315	0.0	0.10239630845687649
	63	35	575	8	0.01391304347826087	0.0	0.030993913108608686
	64	51	601	30	0.04991680532445923	0.0	0.057018235529965454
	65	44	759	16	0.021080368906455864	0.0	0.04586590357388031
	66	32	410	17	0.041463414634146344	0.0	0.050244827042975095
	67	3	34	1	0.029411764705882353	0.0	0.02220577958421634
	68	91	1243	38	0.030571198712791632	0.0	0.06702052100014465
	69	23	451	12	0.026607538802660754	0.0	0.08263442985037793
	70	35	535	8	0.014953271028037384	0.0	0.028002850700617893
	71	8	93	4	0.043010752688172046	0.0	0.037465639661809824
	72	13	181	8	0.04419889502762431	0.0	0.03385673478096329
	73	21	299	11	0.03678929765886288	0.0	0.059473792269895916
	74	52	671	31	0.046199701937406856	0.0	0.0888789839738855
	75	1	1	0	0.0	0.0	0.0
	76	1	2	0	0.0	0.0	0.0
	77	1	2	0	0.0	0.0	0.0
	78	5	50	3	0.06	0.0666666666666666	0.10237541513265169
	79	83	1010	20	0.019801980198019802	0.0	0.03627356740165748
	80	39	436	8	0.01834862385321101	0.0	0.027072498202924445
	81	55	736	11	0.014945652173913044	0.0	0.040298474745273746
	82	24	236	9	0.038135593220338986	0.0	0.04607233695004251
	83	9	231	9	0.03896103896103896	0.0	0.05955314722862226
	84	54	802	18	0.022443890274314215	0.0	0.056532069426395104
	85	5	152	3	0.019736842105263157	0.0	0.01108794038429645
	86	31	440	10	0.022727272727272728	0.0	0.05526907030801051
	87	30	323	12	0.03715170278637771	0.0	0.061149369347029525
	88	10	142	3	0.02112676056338028	0.0	0.045076386062054455
	89	7	68	0	0.0	0.0	0.0
	90	76	713	22	0.030855539971949508	0.0	0.05379309668647584
	91	28	249	9	0.03614457831325301	0.0	0.05984229685248998
	92	10	114	3	0.02631578947368421	0.0	0.06493078923446535
	93	51	580	20	0.034482758620689655	0.0	0.043714386893389565
	94	13	115	4	0.034782608695652174	0.0	0.06103931529360644
	95	22	206	7	0.03398058252427184	0.0	0.08158061088923213
	96	25	269	11	0.040892193308550186	0.0	0.05065591283469613
	97	81	646	15	0.02321981424148607	0.0	0.0595556579540639
	98	35	572	28	0.04895104895104895	0.0357142857142857	0.06554688289080893
	99	4	86	1	0.011627906976744186	0.0	0.007575757575757551
	100	50	414	4	0.00966183574879227	0.0	0.03278472090051836
	101	11	216	4	0.018518518518518517	0.0	0.01804714414638899
	102	8	64	0	0.0	0.0	0.0
	103	24	203	4	0.019704433497536946	0.0	0.035425698662446437
	104	44	439	12	0.02733485193621868	0.0	0.053785331598686585
	105	16	267	4	0.0149812734082397	0.0	0.016155039763546358
	106	6	138	0	0.0	0.0	0.0
	107	75	1094	17	0.015539305301645339	0.0	0.03858315298481854
	108	20	273	0	0.0	0.0	0.0
	109	7	144	3	0.020833333333333332	0.0	0.03836931120005467
	110	27	351	7	0.019943019943019943	0.0	0.06171815397760276
	111	43	588	14	0.023809523809523808	0.0	0.03402104452190584
	112	62	556	15	0.02697841726618705	0.0	0.09867119864983939
	113	1	1	0	0.0	0.0	0.0
	114	1	2	0	0.0	0.0	0.0
	115	1	2	0	0.0	0.0	0.0
	116	30	453	14	0.03090507726269316	0.0	0.050592298419028105
	117	7	128	2	0.015625	0.0	0.05399492471560387
	118	12	162	1	0.006172839506172839	0.0	0.020619652471058052
	119	12	169	4	0.023668639053254437	0.0	0.038892480778413584
