filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	2	0	0.0	0.0	0.0
	1	3	66	1	0.015151515151515152	0.0	0.01862420223192339
	2	5	132	0	0.0	0.0	0.0
	3	14	227	5	0.022026431718061675	0.0	0.02490207734081568
	4	1	18	0	0.0	0.0	0.0
	5	4	116	5	0.04310344827586207	0.0458333333333333	0.03904296091069713
	6	31	440	13	0.029545454545454545	0.0	0.04794300065403223
	7	14	254	2	0.007874015748031496	0.0	0.020078215831879586
	8	3	35	0	0.0	0.0	0.0
	9	20	270	2	0.007407407407407408	0.0	0.020519567041703057
	10	3	51	0	0.0	0.0	0.0
	11	1	30	1	0.03333333333333333	0.0333333333333333	0.0
	12	2	40	1	0.025	0.0172413793103448	0.024382992454708496
	13	2	50	0	0.0	0.0	0.0
	14	14	195	9	0.046153846153846156	0.0192307692307692	0.048488452526237465
	15	11	210	5	0.023809523809523808	0.0	0.031810961156531745
	16	1	18	1	0.05555555555555555	0.0555555555555555	0.0
	17	5	118	2	0.01694915254237288	0.0	0.04851180332381383
	18	2	63	0	0.0	0.0	0.0
	19	1	22	0	0.0	0.0	0.0
	20	9	187	0	0.0	0.0	0.0
	21	1	10	0	0.0	0.0	0.0
	22	11	196	2	0.01020408163265306	0.0	0.016297910517716934
	23	3	48	1	0.020833333333333332	0.0	0.03207501495497917
	24	10	276	3	0.010869565217391304	0.0	0.02496534994869772
	25	3	93	2	0.021505376344086023	0.0232558139534883	0.013957525255837842
	26	2	83	1	0.012048192771084338	0.0192307692307692	0.027196414661021018
	27	2	42	1	0.023809523809523808	0.05	0.07071067811865477
	28	5	59	4	0.06779661016949153	0.0	0.049845711410427714
	29	2	38	1	0.02631578947368421	0.025	0.03535533905932738
	30	4	66	2	0.030303030303030304	0.0185185185185185	0.0523782800878924
	31	5	101	2	0.019801980198019802	0.0	0.03747855229271231
	32	6	104	4	0.038461538461538464	0.0263157894736842	0.03756835744669132
	33	1	27	0	0.0	0.0	0.0
	34	4	99	1	0.010101010101010102	0.0	0.0208333333333333
	35	23	316	6	0.0189873417721519	0.0	0.024321917661228716
	36	1	43	0	0.0	0.0	0.0
	37	1	12	0	0.0	0.0	0.0
	38	8	137	0	0.0	0.0	0.0
	39	9	86	0	0.0	0.0	0.0
	40	3	52	0	0.0	0.0	0.0
	41	7	143	0	0.0	0.0	0.0
	42	8	137	5	0.0364963503649635	0.01515151515151515	0.03113438059666464
	43	3	65	1	0.015384615384615385	0.0	0.01698089027028308
	44	1	39	0	0.0	0.0	0.0
	45	8	260	1	0.0038461538461538464	0.0	0.00841793787126842
	46	7	105	0	0.0	0.0	0.0
	47	9	233	4	0.017167381974248927	0.0	0.031139100857355686
	48	14	237	4	0.016877637130801686	0.0	0.020988268949925958
	49	5	74	1	0.013513513513513514	0.0	0.029814239699997167
	50	6	81	1	0.012345679012345678	0.0	0.05832118435198041
	51	1	12	1	0.08333333333333333	0.0833333333333333	0.0
	52	9	108	4	0.037037037037037035	0.0	0.04752636483041227
	53	6	76	1	0.013157894736842105	0.0	0.08164965809277261
	54	7	131	4	0.030534351145038167	0.0	0.032343095673458715
	55	1	12	1	0.08333333333333333	0.0833333333333333	0.0
	56	4	42	0	0.0	0.0	0.0
	57	6	52	1	0.019230769230769232	0.0	0.0291605921759902
	58	4	51	1	0.0196078431372549	0.0	0.02777777777777775
	59	2	26	1	0.038461538461538464	0.025	0.03535533905932738
	60	5	101	3	0.0297029702970297	0.0	0.029176188921790316
	61	2	21	0	0.0	0.0	0.0
	62	3	52	1	0.019230769230769232	0.0	0.03849001794597501
	63	4	36	0	0.0	0.0	0.0
