filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	2	4	0	0.0	0.0	0.0
	1	1	2	0	0.0	0.0	0.0
	2	9	134	6	0.04477611940298507	0.0555555555555555	0.05263127250883589
	3	8	105	0	0.0	0.0	0.0
	4	10	127	0	0.0	0.0	0.0
	5	5	96	0	0.0	0.0	0.0
	6	21	337	13	0.03857566765578635	0.0	0.03648742484264652
	7	17	191	9	0.04712041884816754	0.0	0.06809948651173718
	8	5	47	1	0.02127659574468085	0.0	0.044721359549995794
	9	9	84	2	0.023809523809523808	0.0	0.028890267989826697
	10	13	129	6	0.046511627906976744	0.0	0.07251261556977238
	11	4	60	1	0.016666666666666666	0.0	0.02941176470588235
	12	6	102	3	0.029411764705882353	0.01	0.03460478826417925
	13	11	121	3	0.024793388429752067	0.0	0.06296543865206106
	14	19	228	14	0.06140350877192982	0.0	0.08474526657876763
	15	36	513	17	0.03313840155945419	0.0	0.04165271372643383
	16	4	24	1	0.041666666666666664	0.0	0.02777777777777775
	17	41	441	16	0.036281179138321996	0.0	0.04210211432959594
	18	4	60	0	0.0	0.0	0.0
	19	7	125	1	0.008	0.0	0.009218645683151875
	20	27	341	5	0.01466275659824047	0.0	0.03073095937805916
	21	3	19	0	0.0	0.0	0.0
	22	9	146	1	0.00684931506849315	0.0	0.0185185185185185
	23	5	57	1	0.017543859649122806	0.0	0.023537557657892512
	24	14	197	2	0.01015228426395939	0.0	0.02187323939319713
	25	13	220	6	0.02727272727272727	0.0	0.039373018917840286
	26	2	29	1	0.034482758620689655	0.0227272727272727	0.03214121732666121
	27	1	2	0	0.0	0.0	0.0
	28	5	91	5	0.054945054945054944	0.0526315789473684	0.07674001231993592
	29	13	179	4	0.0223463687150838	0.0	0.02818072867579602
	30	5	113	3	0.02654867256637168	0.0	0.05590169943749475
	31	8	60	0	0.0	0.0	0.0
	32	7	94	2	0.02127659574468085	0.0	0.02382416460107913
	33	7	106	1	0.009433962264150943	0.0	0.029074190231479
	34	11	237	7	0.029535864978902954	0.0263157894736842	0.025469912462515114
	35	2	57	0	0.0	0.0	0.0
	36	3	54	1	0.018518518518518517	0.0	0.014803853056144225
	37	16	279	14	0.05017921146953405	0.0435185185185185	0.042071766409417545
	38	9	134	1	0.007462686567164179	0.0	0.013888888888888867
	39	5	67	2	0.029850746268656716	0.0	0.04643543905251678
	40	6	73	0	0.0	0.0	0.0
	41	4	96	6	0.0625	0.0703030303030303	0.03953205043274124
	42	5	62	2	0.03225806451612903	0.0	0.026082026547865043
	43	23	246	4	0.016260162601626018	0.0	0.03196335807837167
	44	14	197	4	0.02030456852791878	0.0	0.02928929347722076
	45	5	65	0	0.0	0.0	0.0
	46	8	132	2	0.015151515151515152	0.0	0.03668687504370268
	47	13	170	1	0.0058823529411764705	0.0	0.030816677568068284
	48	2	57	0	0.0	0.0	0.0
	49	13	135	4	0.02962962962962963	0.0	0.06336259112608869
	50	20	280	2	0.007142857142857143	0.0	0.010692432847693863
	51	12	146	2	0.0136986301369863	0.0	0.09704167940677624
	52	7	117	0	0.0	0.0	0.0
	53	12	151	1	0.006622516556291391	0.0	0.026243194054073903
	54	30	536	10	0.018656716417910446	0.0	0.038858796532484606
	55	11	89	3	0.033707865168539325	0.0	0.0511623751273234
	56	11	165	0	0.0	0.0	0.0
	57	19	268	3	0.011194029850746268	0.0	0.02310454992603529
	58	9	169	2	0.011834319526627219	0.0	0.008230452674897101
	59	11	189	5	0.026455026455026454	0.0	0.034465338685947894
	60	7	110	2	0.01818181818181818	0.0	0.037577842533393156
	61	6	76	2	0.02631578947368421	0.0	0.05229125165837972
	62	8	149	2	0.013422818791946308	0.0	0.02079725827019257
	63	18	432	12	0.027777777777777776	0.0	0.03882825165262068
	64	5	70	2	0.02857142857142857	0.0	0.047075115315785024
	65	11	228	4	0.017543859649122806	0.0	0.02303633336355243
	66	1	2	0	0.0	0.0	0.0
	67	8	125	4	0.032	0.0	0.046296046248112004
	68	2	33	2	0.06060606060606061	0.06547619047619045	0.025253813613805257
	69	11	231	16	0.06926406926406926	0.0434782608695652	0.09144895067015626
	70	10	147	9	0.061224489795918366	0.01428571428571425	0.17301773881329774
	71	13	111	2	0.018018018018018018	0.0	0.02104683233078136
	72	5	42	1	0.023809523809523808	0.0	0.11180339887498951
	73	4	50	0	0.0	0.0	0.0
	74	6	50	1	0.02	0.0	0.0291605921759902
	75	29	574	12	0.020905923344947737	0.0	0.051375750994260574
	76	4	111	3	0.02702702702702703	0.03818369453044375	0.03801911310985704
	77	5	104	4	0.038461538461538464	0.0476190476190476	0.06824502756134009
	78	2	38	3	0.07894736842105263	0.07670454545454544	0.020088260829163273
	79	5	58	1	0.017241379310344827	0.0	0.03194382824999698
	80	7	70	3	0.04285714285714286	0.0	0.06170115234243197
	81	5	66	3	0.045454545454545456	0.0	0.05160156871153356
	82	36	584	16	0.0273972602739726	0.0	0.04072482044126045
	83	2	44	3	0.06818181818181818	0.046875	0.06629126073623882
	84	14	231	10	0.04329004329004329	0.0185185185185185	0.042453439269909486
	85	20	316	6	0.0189873417721519	0.0	0.05077368086201425
	86	6	86	3	0.03488372093023256	0.0238095238095238	0.034007670258815875
	87	1	26	1	0.038461538461538464	0.0384615384615384	0.0
	88	8	65	1	0.015384615384615385	0.0	0.05892556509887894
	89	6	84	1	0.011904761904761904	0.0	0.015701857325533166
	90	7	102	1	0.00980392156862745	0.0	0.02099802627829038
	91	8	114	2	0.017543859649122806	0.0	0.023510962910611014
	92	15	125	1	0.008	0.0	0.01721325931647739
	93	11	220	5	0.022727272727272728	0.0	0.03505926707763947
	94	6	66	1	0.015151515151515152	0.0	0.017749925672341866
	95	12	151	6	0.039735099337748346	0.0	0.041567054816757765
	96	18	194	4	0.020618556701030927	0.0	0.04984573278221006
	97	5	67	2	0.029850746268656716	0.0	0.05794846582402355
	98	11	185	3	0.016216216216216217	0.0	0.03535169474255642
	99	5	81	0	0.0	0.0	0.0
	100	16	207	7	0.033816425120772944	0.0	0.043435716456568955
	101	34	370	2	0.005405405405405406	0.0	0.01218457855769831
	102	11	190	3	0.015789473684210527	0.0	0.019967402831616157
	103	29	411	6	0.014598540145985401	0.0	0.032148162455559154
	104	4	74	2	0.02702702702702703	0.01785714285714285	0.024542295390581302
	105	1	2	0	0.0	0.0	0.0
	106	3	40	1	0.025	0.0	0.05248638810814779
	107	15	138	3	0.021739130434782608	0.0	0.03061521232034903
	108	9	117	2	0.017094017094017096	0.0	0.028890267989826697
	109	10	129	2	0.015503875968992248	0.0	0.04779876799899996
	110	16	202	7	0.034653465346534656	0.0	0.07149627819626335
	111	5	68	1	0.014705882352941176	0.0	0.04969039949999532
	112	5	66	3	0.045454545454545456	0.0	0.07453559924999296
	113	1	33	1	0.030303030303030304	0.0303030303030303	0.0
	114	5	64	0	0.0	0.0	0.0
	115	6	102	2	0.0196078431372549	0.0	0.02394318429160718
	116	11	119	1	0.008403361344537815	0.0	0.0177359614457508
	117	9	148	5	0.033783783783783786	0.0	0.06747210678627039
	118	6	60	1	0.016666666666666666	0.0	0.021486752129676993
	119	7	111	3	0.02702702702702703	0.0	0.049701489869400234
	120	7	123	4	0.032520325203252036	0.0	0.043985523430567046
	121	5	104	3	0.028846153846153848	0.037037037037037	0.03739994834214605
	122	10	103	3	0.02912621359223301	0.0	0.03986940131225614
	123	10	168	2	0.011904761904761904	0.0	0.015340494053893115
	124	9	84	1	0.011904761904761904	0.0	0.08333333333333333
	125	15	141	2	0.014184397163120567	0.0	0.04752384553968176
	126	14	154	1	0.006493506493506494	0.0	0.019090088708030306
	127	5	72	3	0.041666666666666664	0.0	0.06269060814787869
	128	18	189	0	0.0	0.0	0.0
	129	12	150	1	0.006666666666666667	0.0	0.018042195912175804
	130	12	151	3	0.019867549668874173	0.0	0.06524284472552364
	131	8	65	3	0.046153846153846156	0.0	0.04145353653923844
	132	17	304	3	0.009868421052631578	0.0	0.02035040214675804
	133	7	111	4	0.036036036036036036	0.0333333333333333	0.04313488164425826
	134	6	67	0	0.0	0.0	0.0
	135	6	45	0	0.0	0.0	0.0
	136	26	440	6	0.013636363636363636	0.0	0.02810024080232123
	137	9	192	4	0.020833333333333332	0.0	0.0287937657127025
	138	7	114	0	0.0	0.0	0.0
