filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	2	0	0.0	0.0	0.0
	1	2	6	0	0.0	0.0	0.0
	2	1	5	0	0.0	0.0	0.0
	3	1	3	0	0.0	0.0	0.0
	4	8	416	7	0.016826923076923076	0.01961107448912325	0.023162883576694545
	5	1	81	0	0.0	0.0	0.0
	6	1	2	0	0.0	0.0	0.0
	7	2	4	0	0.0	0.0	0.0
	8	1	14	0	0.0	0.0	0.0
	9	1	2	0	0.0	0.0	0.0
	10	20	538	6	0.011152416356877323	0.0	0.01400625925260945
	11	62	1128	17	0.015070921985815602	0.0	0.03345586288492926
	12	1	8	0	0.0	0.0	0.0
	13	5	133	2	0.015037593984962405	0.0	0.017053132493661225
	14	16	237	8	0.03375527426160337	0.0	0.03172581860886217
	15	46	979	10	0.010214504596527068	0.0	0.02649168464024152
	16	2	32	2	0.0625	0.06926406926406925	0.030610683168248814
	17	1	2	0	0.0	0.0	0.0
	18	2	5	0	0.0	0.0	0.0
	19	1	17	0	0.0	0.0	0.0
	20	1	2	0	0.0	0.0	0.0
	21	8	306	3	0.00980392156862745	0.0	0.013190437287368802
	22	1	4	0	0.0	0.0	0.0
	23	3	19	0	0.0	0.0	0.0
	24	1	2	0	0.0	0.0	0.0
	25	1	31	1	0.03225806451612903	0.032258064516129	0.0
	26	1	2	0	0.0	0.0	0.0
	27	2	4	0	0.0	0.0	0.0
	28	1	16	0	0.0	0.0	0.0
	29	1	2	0	0.0	0.0	0.0
	30	40	691	16	0.023154848046309694	0.0	0.03665122074026051
	31	1	7	0	0.0	0.0	0.0
	32	1	45	0	0.0	0.0	0.0
	33	15	110	1	0.00909090909090909	0.0	0.04303314829119351
	34	5	39	1	0.02564102564102564	0.0	0.06388765649999396
	35	1	2	0	0.0	0.0	0.0
	36	4	47	1	0.02127659574468085	0.0	0.023809523809523798
	37	1	2	0	0.0	0.0	0.0
	38	2	5	0	0.0	0.0	0.0
	39	1	8	1	0.125	0.125	0.0
	40	1	3	0	0.0	0.0	0.0
	41	4	84	3	0.03571428571428571	0.0	0.03409090909090905
	42	24	488	8	0.01639344262295082	0.0	0.029959724465423918
	43	25	470	12	0.02553191489361702	0.0	0.03981517415456075
	44	1	2	0	0.0	0.0	0.0
	45	5	41	1	0.024390243902439025	0.0	0.02129588549999799
	46	1	2	0	0.0	0.0	0.0
	47	1	1	0	0.0	0.0	0.0
	48	1	9	0	0.0	0.0	0.0
	49	1	2	0	0.0	0.0	0.0
	50	48	1428	31	0.021708683473389355	0.0	0.0320537755020617
	51	1	6	0	0.0	0.0	0.0
	52	1	2	0	0.0	0.0	0.0
	53	1	5	0	0.0	0.0	0.0
	54	1	11	0	0.0	0.0	0.0
	55	1	2	0	0.0	0.0	0.0
	56	3	94	0	0.0	0.0	0.0
	57	7	106	3	0.02830188679245283	0.0	0.03348775591463712
	58	46	1182	19	0.016074450084602367	0.0	0.02981997078308064
	59	1	2	0	0.0	0.0	0.0
	60	1	2	0	0.0	0.0	0.0
	61	1	3	0	0.0	0.0	0.0
	62	1	31	1	0.03225806451612903	0.032258064516129	0.0
	63	1	2	0	0.0	0.0	0.0
	64	2	71	3	0.04225352112676056	0.042925278219395846	0.022483522454262255
	65	4	106	0	0.0	0.0	0.0
	66	27	581	9	0.01549053356282272	0.0	0.03079025475012882
	67	8	205	1	0.004878048780487805	0.0	0.016070608663330602
	68	38	715	12	0.016783216783216783	0.0	0.018292139416904923
	69	10	185	4	0.021621621621621623	0.0	0.017872537523584368
	70	10	252	2	0.007936507936507936	0.0	0.00890782439484049
	71	37	792	4	0.005050505050505051	0.0	0.019972670064987142
	72	24	395	11	0.027848101265822784	0.0	0.036782516110404846
	73	1	1	0	0.0	0.0	0.0
	74	7	47	0	0.0	0.0	0.0
	75	3	27	0	0.0	0.0	0.0
	76	1	2	0	0.0	0.0	0.0
	77	2	4	0	0.0	0.0	0.0
	78	1	19	0	0.0	0.0	0.0
	79	1	2	0	0.0	0.0	0.0
	80	6	83	3	0.03614457831325301	0.0	0.059101256743882676
	81	16	320	4	0.0125	0.0	0.018900559130503227
	82	24	274	4	0.014598540145985401	0.0	0.04135456908857383
	83	2	17	1	0.058823529411764705	0.04166666666666665	0.05892556509887894
	84	1	2	0	0.0	0.0	0.0
	85	1	3	0	0.0	0.0	0.0
	86	1	13	0	0.0	0.0	0.0
	87	1	2	0	0.0	0.0	0.0
	88	13	265	3	0.011320754716981131	0.0	0.01218472139165518
	89	30	540	14	0.025925925925925925	0.0	0.054149371613579377
	90	4	83	1	0.012048192771084338	0.0	0.0263157894736842
	91	1	10	0	0.0	0.0	0.0
	92	11	249	1	0.004016064257028112	0.0	0.007178841537565798
	93	27	559	12	0.02146690518783542	0.0	0.023983899105514
	94	3	40	0	0.0	0.0	0.0
	95	21	355	7	0.01971830985915493	0.0	0.056672938161069046
	96	1	19	0	0.0	0.0	0.0
	97	1	15	0	0.0	0.0	0.0
	98	1	8	0	0.0	0.0	0.0
	99	8	318	6	0.018867924528301886	0.0071428571428571	0.026005924816871816
	100	2	5	0	0.0	0.0	0.0
	101	1	12	0	0.0	0.0	0.0
	102	10	246	2	0.008130081300813009	0.0	0.010368123475961886
	103	1	17	0	0.0	0.0	0.0
	104	1	2	0	0.0	0.0	0.0
	105	1	4	0	0.0	0.0	0.0
	106	1	16	1	0.0625	0.0625	0.0
	107	1	2	0	0.0	0.0	0.0
	108	23	351	7	0.019943019943019943	0.0	0.026300972323422912
	109	13	145	3	0.020689655172413793	0.0	0.05547001962252289
	110	1	2	0	0.0	0.0	0.0
	111	1	7	0	0.0	0.0	0.0
	112	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	113	1	2	0	0.0	0.0	0.0
	114	4	80	2	0.025	0.01162790697674415	0.02629603674037157
	115	41	788	19	0.024111675126903553	0.0	0.03580657331259809
	116	1	4	0	0.0	0.0	0.0
	117	1	16	0	0.0	0.0	0.0
	118	23	723	20	0.027662517289073305	0.0208333333333333	0.029463759491749737
	119	18	340	4	0.011764705882352941	0.0	0.027982517948150543
	120	1	2	0	0.0	0.0	0.0
	121	1	3	0	0.0	0.0	0.0
	122	1	15	0	0.0	0.0	0.0
	123	1	2	0	0.0	0.0	0.0
	124	100	1766	28	0.015855039637599093	0.0	0.048276099620405015
	125	6	140	1	0.007142857142857143	0.0	0.017749925672341866
	126	1	2	0	0.0	0.0	0.0
	127	68	1381	26	0.01882693700217234	0.0	0.03246194898424874
	128	5	128	3	0.0234375	0.0	0.025313977103771177
	129	58	803	17	0.021170610211706103	0.0	0.031854499286721544
	130	2	30	0	0.0	0.0	0.0
	131	1	2	0	0.0	0.0	0.0
	132	1	4	0	0.0	0.0	0.0
	133	1	8	0	0.0	0.0	0.0
	134	1	2	0	0.0	0.0	0.0
	135	14	273	5	0.018315018315018316	0.0	0.017048717334232452
	136	73	1061	16	0.015080113100848256	0.0	0.029961016124104595
	137	7	56	1	0.017857142857142856	0.0	0.015748519708717778
	138	1	3	0	0.0	0.0	0.0
	139	12	232	7	0.03017241379310345	0.0	0.035058025198838064
	140	12	258	9	0.03488372093023256	0.0	0.0627444903807117
	141	2	4	0	0.0	0.0	0.0
	142	1	2	0	0.0	0.0	0.0
	143	1	3	0	0.0	0.0	0.0
	144	2	23	1	0.043478260869565216	0.0333333333333333	0.04714045207910312
