filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
Riccoboni_LettresAdelaide	0	22	240	2	0.008333333333333333	0.0	0.017858430090365442
Riccoboni_LettresAdelaide	1	39	339	9	0.02654867256637168	0.0	0.059365415515372236
Riccoboni_LettresAdelaide	2	49	610	11	0.018032786885245903	0.0	0.05017878289591174
Riccoboni_LettresAdelaide	3	16	220	4	0.01818181818181818	0.0	0.03761310512291658
Riccoboni_LettresAdelaide	4	37	667	10	0.014992503748125937	0.0	0.026343564404251833
Riccoboni_LettresAdelaide	5	3	21	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	6	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	7	9	74	4	0.05405405405405406	0.0	0.14180387735231062
Riccoboni_LettresAdelaide	8	5	36	1	0.027777777777777776	0.0	0.03726779962499648
Riccoboni_LettresAdelaide	9	13	177	6	0.03389830508474576	0.0	0.04331191814736311
Riccoboni_LettresAdelaide	10	6	114	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	11	11	83	1	0.012048192771084338	0.0	0.1507556722888818
Riccoboni_LettresAdelaide	12	27	321	4	0.012461059190031152	0.0	0.06683236347483046
Riccoboni_LettresAdelaide	13	19	379	17	0.044854881266490766	0.0	0.06315339809883928
Riccoboni_LettresAdelaide	14	1	2	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	15	3	52	2	0.038461538461538464	0.0	0.09622504486493759
Riccoboni_LettresAdelaide	16	1	3	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	17	1	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	18	2	2	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	19	2	6	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	20	1	6	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	21	10	85	1	0.011764705882352941	0.0	0.026352313834736484
Riccoboni_LettresAdelaide	22	6	92	2	0.021739130434782608	0.0	0.02333747218808563
Riccoboni_LettresAdelaide	23	1	2	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	24	41	662	6	0.00906344410876133	0.0	0.018608010075891333
Riccoboni_LettresAdelaide	25	31	366	7	0.01912568306010929	0.0	0.041072397033885655
Riccoboni_LettresAdelaide	26	5	74	1	0.013513513513513514	0.0	0.013551927136362359
Riccoboni_LettresAdelaide	27	22	242	4	0.01652892561983471	0.0	0.036486966380525905
Riccoboni_LettresAdelaide	28	35	411	5	0.012165450121654502	0.0	0.02471092769658619
Riccoboni_LettresAdelaide	29	3	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	30	28	219	6	0.0273972602739726	0.0	0.04447372344475071
Riccoboni_LettresAdelaide	31	3	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	32	1	20	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	33	28	347	3	0.008645533141210375	0.0	0.017020088628335716
Riccoboni_LettresAdelaide	34	1	5	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	35	2	6	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	36	2	8	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	37	2	7	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	38	12	64	1	0.015625	0.0	0.03608439182435161
Riccoboni_LettresAdelaide	39	2	17	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	40	40	470	13	0.027659574468085105	0.0	0.0471196099876061
Riccoboni_LettresAdelaide	41	6	48	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	42	1	9	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	43	2	25	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	44	115	2174	48	0.02207911683532659	0.0	0.04151526593026506
Riccoboni_LettresAdelaide	45	6	46	1	0.021739130434782608	0.0	0.0291605921759902
Riccoboni_LettresAdelaide	46	21	252	3	0.011904761904761904	0.0	0.018015356179195387
Riccoboni_LettresAdelaide	47	1	7	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	48	1	14	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	49	1	13	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	50	31	332	6	0.018072289156626505	0.0	0.02998746232801179
Riccoboni_LettresAdelaide	51	5	65	2	0.03076923076923077	0.0	0.08678277478854893
Riccoboni_LettresAdelaide	52	9	101	1	0.009900990099009901	0.0	0.01587301587301587
Riccoboni_LettresAdelaide	53	7	81	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	54	49	692	14	0.02023121387283237	0.0	0.03117369970316377
Riccoboni_LettresAdelaide	55	6	94	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	56	4	13	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	57	10	219	1	0.0045662100456621	0.0	0.04517539514526254
Riccoboni_LettresAdelaide	58	176	2485	46	0.01851106639839034	0.0	0.03415755534428236
Riccoboni_LettresAdelaide	59	20	401	7	0.017456359102244388	0.0	0.04132903929467248
Riccoboni_LettresAdelaide	60	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	61	7	108	3	0.027777777777777776	0.0	0.029074190231479006
Riccoboni_LettresAdelaide	62	1	10	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	63	24	217	1	0.004608294930875576	0.0	0.020412414523193152
Riccoboni_LettresAdelaide	64	6	56	1	0.017857142857142856	0.0	0.040824829046386304
Riccoboni_LettresAdelaide	65	195	2508	77	0.03070175438596491	0.0	0.05124733600414747
Riccoboni_LettresAdelaide	66	107	1464	35	0.02390710382513661	0.0	0.045953171664058975
Riccoboni_LettresAdelaide	67	1	9	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	68	150	2176	33	0.015165441176470588	0.0	0.0310841169349046
Riccoboni_LettresAdelaide	69	1	8	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	70	85	1377	24	0.017429193899782137	0.0	0.027407302768161612
Riccoboni_LettresAdelaide	71	93	1363	27	0.019809244314013204	0.0	0.029046795761270245
Riccoboni_LettresAdelaide	72	3	23	1	0.043478260869565216	0.0	0.03207501495497917
Riccoboni_LettresAdelaide	73	27	233	2	0.008583690987124463	0.0	0.02821280124317409
Riccoboni_LettresAdelaide	74	1	2	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	75	23	226	1	0.004424778761061947	0.0	0.016039570312082668
Riccoboni_LettresAdelaide	76	8	108	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	77	1	2	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	78	2	3	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	79	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	80	1	8	1	0.125	0.125	0.0
Riccoboni_LettresAdelaide	81	2	9	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	82	1	3	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	83	5	11	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	84	1	8	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	85	1	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	86	1	13	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	87	4	6	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	88	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	89	2	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	90	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	91	2	3	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	92	1	3	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	93	3	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	94	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	95	4	7	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	96	1	2	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	97	3	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	98	2	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	99	2	26	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	100	1	12	1	0.08333333333333333	0.0833333333333333	0.0
Riccoboni_LettresAdelaide	101	1	9	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	102	6	44	1	0.022727272727272728	0.0	0.02551551815399144
Riccoboni_LettresAdelaide	103	1	8	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	104	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	105	2	4	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	106	1	3	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	107	2	15	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	108	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	109	1	1	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	110	12	127	7	0.05511811023622047	0.02777777777777775	0.05353690192942367
Riccoboni_LettresAdelaide	111	1	6	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	112	1	8	0	0.0	0.0	0.0
Riccoboni_LettresAdelaide	113	2	1	0	0.0	0.0	0.0
