filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	15	269	4	0.01486988847583643	0.0	0.018294293686840636
	1	1	3	0	0.0	0.0	0.0
	2	9	124	1	0.008064516129032258	0.0	0.0128205128205128
	3	1	4	0	0.0	0.0	0.0
	4	8	95	1	0.010526315789473684	0.0	0.032141217326661246
	5	1	4	0	0.0	0.0	0.0
	6	4	75	0	0.0	0.0	0.0
	7	1	3	0	0.0	0.0	0.0
	8	10	163	2	0.012269938650306749	0.0	0.021994295969128577
	9	1	2	0	0.0	0.0	0.0
	10	14	241	2	0.008298755186721992	0.0	0.012726725805353535
	11	1	4	0	0.0	0.0	0.0
	12	16	193	1	0.0051813471502590676	0.0	0.03125
	13	2	2	0	0.0	0.0	0.0
	14	16	180	2	0.011111111111111112	0.0	0.021479315980594736
	15	1	4	0	0.0	0.0	0.0
	16	12	185	4	0.021621621621621623	0.0	0.01975824323978805
	17	1	2	0	0.0	0.0	0.0
	18	12	118	1	0.00847457627118644	0.0	0.016980890270283107
	19	1	3	0	0.0	0.0	0.0
	20	17	166	0	0.0	0.0	0.0
	21	2	11	0	0.0	0.0	0.0
	22	24	301	6	0.019933554817275746	0.0	0.01862020632950275
	23	1	3	0	0.0	0.0	0.0
	24	30	275	1	0.0036363636363636364	0.0	0.008298826628866147
	25	1	3	0	0.0	0.0	0.0
	26	22	383	5	0.013054830287206266	0.0	0.02609113663927035
	27	1	6	0	0.0	0.0	0.0
	28	15	357	6	0.01680672268907563	0.0	0.02302273770824535
	29	1	1	0	0.0	0.0	0.0
	30	11	155	2	0.012903225806451613	0.0	0.015115310038402142
	31	1	4	0	0.0	0.0	0.0
	32	19	117	0	0.0	0.0	0.0
	33	1	2	0	0.0	0.0	0.0
	34	25	228	7	0.03070175438596491	0.0	0.04718948873405951
	35	1	3	0	0.0	0.0	0.0
	36	30	371	11	0.029649595687331536	0.0	0.03747274003026036
	37	1	8	0	0.0	0.0	0.0
	38	24	250	7	0.028	0.0	0.05191709080652335
	39	1	3	0	0.0	0.0	0.0
	40	16	157	4	0.025477707006369428	0.0	0.02322264302910772
	41	2	8	0	0.0	0.0	0.0
	42	19	154	7	0.045454545454545456	0.0	0.05011051491061533
	43	1	4	0	0.0	0.0	0.0
	44	24	285	9	0.031578947368421054	0.0	0.044886454604456755
	45	1	3	0	0.0	0.0	0.0
	46	24	307	4	0.013029315960912053	0.0	0.03386388331210756
	47	2	6	0	0.0	0.0	0.0
	48	28	368	3	0.008152173913043478	0.0	0.032835908569212174
	49	1	1	0	0.0	0.0	0.0
	50	39	535	8	0.014953271028037384	0.0	0.032148294983574015
	51	2	3	0	0.0	0.0	0.0
	52	33	326	5	0.015337423312883436	0.0	0.028161962987974767
	53	2	4	0	0.0	0.0	0.0
	54	36	306	6	0.0196078431372549	0.0	0.049622721778542246
	55	1	1	0	0.0	0.0	0.0
	56	16	263	3	0.011406844106463879	0.0	0.018836548413376494
	57	1	6	0	0.0	0.0	0.0
	58	35	348	5	0.014367816091954023	0.0	0.04148748829311298
	59	1	3	0	0.0	0.0	0.0
	60	24	189	1	0.005291005291005291	0.0	0.009720197391996735
	61	1	1	0	0.0	0.0	0.0
	62	11	109	0	0.0	0.0	0.0
	63	1	3	0	0.0	0.0	0.0
	64	14	148	0	0.0	0.0	0.0
	65	1	3	0	0.0	0.0	0.0
	66	15	202	3	0.01485148514851485	0.0	0.022053597817637043
	67	1	1	0	0.0	0.0	0.0
	68	32	270	4	0.014814814814814815	0.0	0.03711799643782037
	69	1	6	0	0.0	0.0	0.0
	70	31	322	6	0.018633540372670808	0.0	0.05447979312346375
	71	1	3	0	0.0	0.0	0.0
	72	15	179	4	0.0223463687150838	0.0	0.03737629417659166
	73	1	2	0	0.0	0.0	0.0
	74	15	165	3	0.01818181818181818	0.0	0.03237936503419366
	75	1	5	0	0.0	0.0	0.0
	76	11	163	3	0.018404907975460124	0.0	0.022234844899878668
	77	2	2	0	0.0	0.0	0.0
	78	10	79	0	0.0	0.0	0.0
	79	1	1	0	0.0	0.0	0.0
	80	12	105	0	0.0	0.0	0.0
	81	1	4	0	0.0	0.0	0.0
	82	11	100	1	0.01	0.0	0.043073049225394774
	83	1	3	0	0.0	0.0	0.0
	84	25	183	4	0.02185792349726776	0.0	0.049452986763437755
	85	2	2	0	0.0	0.0	0.0
	86	35	399	9	0.022556390977443608	0.0	0.02601748883307269
	87	1	2	0	0.0	0.0	0.0
	88	7	135	7	0.05185185185185185	0.0	0.04746400787634747
	89	2	3	0	0.0	0.0	0.0
	90	23	259	6	0.023166023166023165	0.0	0.03269034885422088
	91	1	3	0	0.0	0.0	0.0
	92	26	346	6	0.017341040462427744	0.0	0.03880810739729104
	93	2	2	0	0.0	0.0	0.0
	94	9	83	1	0.012048192771084338	0.0	0.047619047619047596
	95	1	1	0	0.0	0.0	0.0
	96	17	138	6	0.043478260869565216	0.0	0.08481250498260733
	97	1	3	0	0.0	0.0	0.0
	98	28	286	0	0.0	0.0	0.0
	99	1	6	0	0.0	0.0	0.0
	100	23	203	2	0.009852216748768473	0.0	0.054193897077592965
	101	1	4	0	0.0	0.0	0.0
	102	15	242	6	0.024793388429752067	0.0	0.030292523997448258
	103	1	2	0	0.0	0.0	0.0
	104	24	277	3	0.010830324909747292	0.0	0.03903353790483906
	105	1	3	0	0.0	0.0	0.0
	106	28	376	8	0.02127659574468085	0.0	0.036639376490430246
	107	1	3	0	0.0	0.0	0.0
	108	9	85	1	0.011764705882352941	0.0	0.0175438596491228
	109	1	2	0	0.0	0.0	0.0
	110	16	188	2	0.010638297872340425	0.0	0.023679544860739057
	111	1	3	0	0.0	0.0	0.0
	112	15	189	7	0.037037037037037035	0.0	0.04490360256004497
	113	1	4	0	0.0	0.0	0.0
	114	5	87	2	0.022988505747126436	0.0	0.018684443937383628
	115	1	3	0	0.0	0.0	0.0
	116	24	215	3	0.013953488372093023	0.0	0.027569712725715886
	117	1	6	0	0.0	0.0	0.0
	118	21	291	5	0.01718213058419244	0.0	0.015791678351768403
	119	1	5	0	0.0	0.0	0.0
	120	4	55	0	0.0	0.0	0.0
	121	1	5	0	0.0	0.0	0.0
	122	17	278	7	0.025179856115107913	0.0	0.04710219736817544
	123	1	1	0	0.0	0.0	0.0
	124	20	248	6	0.024193548387096774	0.0	0.03853640442099889
	125	1	4	0	0.0	0.0	0.0
	126	20	187	6	0.03208556149732621	0.0	0.022997876375394216
	127	1	4	0	0.0	0.0	0.0
	128	23	277	2	0.007220216606498195	0.0	0.016711643756465482
	129	1	1	0	0.0	0.0	0.0
	130	20	378	4	0.010582010582010581	0.0	0.027642665337875415
	131	1	1	0	0.0	0.0	0.0
	132	35	356	14	0.03932584269662921	0.0	0.07725846029389617
	133	1	6	0	0.0	0.0	0.0
	134	64	680	18	0.026470588235294117	0.0	0.062701179124811
	135	2	9	0	0.0	0.0	0.0
