filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	10	170	4	0.023529411764705882	0.0	0.03315538116372312
	1	8	125	5	0.04	0.0227272727272727	0.032914986892911946
	2	8	130	7	0.05384615384615385	0.0192307692307692	0.05868801344900064
	3	4	109	1	0.009174311926605505	0.0	0.0079365079365079
	4	1	25	3	0.12	0.12	0.0
	5	5	80	1	0.0125	0.0	0.029814239699997167
	6	7	163	3	0.018404907975460124	0.0	0.02318443524259405
	7	6	89	4	0.0449438202247191	0.01666666666666665	0.0705954385732698
	8	6	93	1	0.010752688172043012	0.0	0.009720197391996735
	9	4	57	5	0.08771929824561403	0.05769230769230765	0.06950400141731229
	10	15	354	7	0.01977401129943503	0.0	0.028543291922670043
	11	5	37	1	0.02702702702702703	0.0	0.040655781409087086
	12	1	19	0	0.0	0.0	0.0
	13	2	4	0	0.0	0.0	0.0
	14	9	124	6	0.04838709677419355	0.0476190476190476	0.03485086391551933
	15	6	77	1	0.012987012987012988	0.0	0.05103103630798288
	16	4	78	0	0.0	0.0	0.0
	17	7	87	2	0.022988505747126436	0.0	0.017998308238534624
	18	9	198	8	0.04040404040404041	0.0263157894736842	0.0958978085970369
	19	3	47	1	0.02127659574468085	0.0	0.036084391824351615
	20	2	29	0	0.0	0.0	0.0
	21	3	59	0	0.0	0.0	0.0
	22	8	139	2	0.014388489208633094	0.0	0.01922517013566364
	23	8	85	4	0.047058823529411764	0.0	0.06639718083161116
	24	14	178	7	0.03932584269662921	0.0	0.0611655663456002
	25	8	182	5	0.027472527472527472	0.023513513513513502	0.035967100860842344
	26	11	187	2	0.0106951871657754	0.0	0.017063911535499778
	27	4	46	0	0.0	0.0	0.0
	28	2	4	0	0.0	0.0	0.0
	29	9	102	1	0.00980392156862745	0.0	0.013888888888888867
	30	5	100	1	0.01	0.0	0.016563466499998424
	31	12	147	4	0.027210884353741496	0.0	0.05262287477276631
	32	8	140	1	0.007142857142857143	0.0	0.012191496227354248
	33	7	139	3	0.02158273381294964	0.0	0.019538154279474883
	34	2	8	0	0.0	0.0	0.0
	35	3	78	3	0.038461538461538464	0.0571428571428571	0.03348715772297692
	36	3	47	1	0.02127659574468085	0.0	0.07216878364870323
	37	6	100	0	0.0	0.0	0.0
	38	4	86	1	0.011627906976744186	0.0	0.0192307692307692
