filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	11	110	3	0.02727272727272727	0.0	0.04691599550727523
	1	7	108	1	0.009259259259259259	0.0	0.015118578920369089
	2	4	74	3	0.04054054054054054	0.03846153846153845	0.05025795873264557
	3	9	93	3	0.03225806451612903	0.0	0.1160332660096305
	4	4	49	3	0.061224489795918366	0.0842391304347826	0.062203930120976074
	5	6	63	0	0.0	0.0	0.0
	6	6	60	1	0.016666666666666666	0.0	0.01944039478399347
	7	5	67	0	0.0	0.0	0.0
	8	2	52	0	0.0	0.0	0.0
	9	6	64	0	0.0	0.0	0.0
	10	1	10	0	0.0	0.0	0.0
	11	16	176	1	0.005681818181818182	0.0	0.08333333333333333
	12	9	134	1	0.007462686567164179	0.0	0.007092198581560267
	13	7	84	0	0.0	0.0	0.0
	14	2	33	1	0.030303030303030304	0.02777777777777775	0.03928371006591926
	15	5	74	0	0.0	0.0	0.0
	16	18	202	5	0.024752475247524754	0.0	0.06721036243804632
	17	5	57	0	0.0	0.0	0.0
	18	9	57	1	0.017543859649122806	0.0	0.0303030303030303
	19	7	72	0	0.0	0.0	0.0
	20	6	64	0	0.0	0.0	0.0
	21	3	21	0	0.0	0.0	0.0
	22	2	48	1	0.020833333333333332	0.01470588235294115	0.020797258270192538
	23	3	45	0	0.0	0.0	0.0
	24	6	61	0	0.0	0.0	0.0
	25	1	15	0	0.0	0.0	0.0
	26	4	66	3	0.045454545454545456	0.0	0.0375
	27	5	84	0	0.0	0.0	0.0
	28	6	98	2	0.02040816326530612	0.0	0.027216552697590834
	29	7	81	4	0.04938271604938271	0.0	0.06671068760417599
	30	19	271	3	0.01107011070110701	0.0	0.02855698053194725
	31	10	99	0	0.0	0.0	0.0
	32	4	43	0	0.0	0.0	0.0
	33	9	174	0	0.0	0.0	0.0
	34	11	200	3	0.015	0.0	0.032133765285237106
	35	7	57	2	0.03508771929824561	0.0	0.03914232650762363
	36	5	64	3	0.046875	0.0	0.04175663514678131
	37	12	139	9	0.06474820143884892	0.02127659574468085	0.08773121862935011
	38	5	66	2	0.030303030303030304	0.0	0.025276251480171822
	39	3	68	2	0.029411764705882353	0.0	0.048112522432468795
	40	2	55	3	0.05454545454545454	0.06428571428571425	0.050507627227610596
	41	3	62	3	0.04838709677419355	0.0	0.07530655685082072
	42	9	130	3	0.023076923076923078	0.0	0.044796302037878766
	43	6	150	6	0.04	0.01	0.04666435352337656
	44	10	143	7	0.04895104895104895	0.057189542483660094	0.03529451856407695
	45	6	111	3	0.02702702702702703	0.0	0.03517628018878826
	46	7	75	2	0.02666666666666667	0.0	0.025802806677791824
	47	9	116	0	0.0	0.0	0.0
	48	6	106	3	0.02830188679245283	0.0238095238095238	0.03652326124710918
	49	4	93	0	0.0	0.0	0.0
	50	6	112	0	0.0	0.0	0.0
	51	5	99	1	0.010101010101010102	0.0	0.011467015269229672
	52	7	124	1	0.008064516129032258	0.0	0.02223320429466042
	53	17	175	3	0.017142857142857144	0.0	0.06157402288398613
	54	21	228	1	0.0043859649122807015	0.0	0.021821789023599242
	55	8	148	4	0.02702702702702703	0.0106382978723404	0.028362711341477276
	56	9	82	2	0.024390243902439025	0.0	0.04063538566202164
	57	12	171	2	0.011695906432748537	0.0	0.07171539334827384
	58	18	123	4	0.032520325203252036	0.0	0.09762172819378394
	59	23	268	6	0.022388059701492536	0.0	0.037249034722583174
	60	5	115	2	0.017391304347826087	0.0	0.04067418796334448
	61	8	106	1	0.009433962264150943	0.0	0.04419417382415922
	62	13	156	0	0.0	0.0	0.0
	63	16	180	6	0.03333333333333333	0.0	0.07691373840600924
	64	9	115	1	0.008695652173913044	0.0	0.0114942528735632
	65	12	199	3	0.01507537688442211	0.0	0.032489026643470684
	66	14	141	3	0.02127659574468085	0.0	0.03492095081282329
	67	8	78	2	0.02564102564102564	0.0	0.03560846537586736
	68	14	108	1	0.009259259259259259	0.0	0.01113588507968433
	69	3	33	0	0.0	0.0	0.0
	70	4	75	0	0.0	0.0	0.0
	71	11	122	1	0.00819672131147541	0.0	0.05025189076296059
	72	6	83	0	0.0	0.0	0.0
	73	12	144	1	0.006944444444444444	0.0	0.028867513459481294
	74	3	54	1	0.018518518518518517	0.0	0.014803853056144225
	75	2	63	0	0.0	0.0	0.0
	76	6	125	1	0.008	0.0	0.06804138174397714
	77	6	101	0	0.0	0.0	0.0
	78	5	113	0	0.0	0.0	0.0
	79	5	38	0	0.0	0.0	0.0
	80	8	97	1	0.010309278350515464	0.0	0.02209708691207961
	81	3	36	1	0.027777777777777776	0.0	0.02510218561694024
	82	4	54	0	0.0	0.0	0.0
	83	10	152	1	0.006578947368421052	0.0	0.01505846504842085
	84	8	113	1	0.008849557522123894	0.0	0.01262690680690263
	85	6	83	1	0.012048192771084338	0.0	0.012371160317086755
	86	10	118	0	0.0	0.0	0.0
	87	6	67	1	0.014925373134328358	0.0	0.045360921162651446
	88	9	122	4	0.03278688524590164	0.0	0.03306285875857715
	89	2	23	0	0.0	0.0	0.0
	90	6	46	0	0.0	0.0	0.0
	91	11	185	1	0.005405405405405406	0.0	0.008375315127160077
	92	5	84	1	0.011904761904761904	0.0	0.02129588549999799
	93	8	101	2	0.019801980198019802	0.0	0.024800793638094808
	94	5	96	0	0.0	0.0	0.0
	95	9	117	1	0.008547008547008548	0.0	0.01666666666666667
	96	8	86	6	0.06976744186046512	0.08055555555555555	0.08924613320200038
	97	6	97	3	0.030927835051546393	0.0	0.1345059904489709
	98	22	326	4	0.012269938650306749	0.0	0.03134715137473524
	99	3	60	0	0.0	0.0	0.0
	100	11	150	1	0.006666666666666667	0.0	0.007353935233603985
	101	5	78	0	0.0	0.0	0.0
	102	7	121	0	0.0	0.0	0.0
	103	5	51	0	0.0	0.0	0.0
	104	11	129	0	0.0	0.0	0.0
	105	5	46	0	0.0	0.0	0.0
	106	11	188	3	0.015957446808510637	0.0	0.06086238409707427
	107	7	81	3	0.037037037037037035	0.0	0.04382840249625018
	108	2	46	1	0.021739130434782608	0.025	0.03535533905932738
	109	11	112	0	0.0	0.0	0.0
	110	16	152	1	0.006578947368421052	0.0	0.020833333333333325
	111	7	122	4	0.03278688524590164	0.0	0.08479179409654526
	112	5	50	1	0.02	0.0	0.027950849718747377
	113	10	158	1	0.006329113924050633	0.0	0.013749033305079907
	114	17	228	3	0.013157894736842105	0.0	0.01806974457529229
	115	6	69	1	0.014492753623188406	0.0	0.013169299692382664
	116	12	97	1	0.010309278350515464	0.0	0.07216878364870322
	117	5	73	1	0.0136986301369863	0.0	0.029814239699997164
	118	7	102	0	0.0	0.0	0.0
	119	10	139	5	0.03597122302158273	0.0	0.04444444444444443
	120	3	47	1	0.02127659574468085	0.0	0.028867513459481294
