filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	3	4	0	0.0	0.0	0.0
	1	6	46	0	0.0	0.0	0.0
	2	6	164	3	0.018292682926829267	0.0	0.02614562582918986
	3	8	182	1	0.005494505494505495	0.0	0.013598207330510509
	4	9	83	2	0.024096385542168676	0.0	0.018018018018018
	5	12	148	5	0.033783783783783786	0.0	0.09509009308802593
	6	11	148	1	0.006756756756756757	0.0	0.060302268915552716
	7	6	75	2	0.02666666666666667	0.0	0.030560816045489596
	8	6	95	8	0.08421052631578947	0.06719367588932805	0.09667663529123492
	9	8	112	1	0.008928571428571428	0.0	0.013094570021973092
	10	6	99	1	0.010101010101010102	0.0	0.020412414523193152
	11	8	196	6	0.030612244897959183	0.02	0.02886828112292491
	12	2	144	3	0.020833333333333332	0.0161290322580645	0.02280989616730796
	13	1	2	0	0.0	0.0	0.0
	14	5	96	1	0.010416666666666666	0.0	0.03194382824999698
	15	2	40	0	0.0	0.0	0.0
	16	11	151	0	0.0	0.0	0.0
	17	16	142	0	0.0	0.0	0.0
	18	3	60	4	0.06666666666666667	0.0714285714285714	0.011691209003952194
	19	3	58	0	0.0	0.0	0.0
	20	5	82	2	0.024390243902439025	0.0	0.03373958857600528
	21	1	2	0	0.0	0.0	0.0
	22	3	16	0	0.0	0.0	0.0
	23	14	151	7	0.046357615894039736	0.0	0.11391661920431279
	24	4	57	0	0.0	0.0	0.0
	25	5	150	3	0.02	0.0	0.0278923258009779
	26	8	170	5	0.029411764705882353	0.0	0.03892386111738806
	27	4	34	0	0.0	0.0	0.0
	28	3	40	1	0.025	0.0	0.036084391824351615
	29	1	1	0	0.0	0.0	0.0
	30	3	35	0	0.0	0.0	0.0
	31	3	33	0	0.0	0.0	0.0
	32	2	1	0	0.0	0.0	0.0
	33	4	31	0	0.0	0.0	0.0
	34	1	2	0	0.0	0.0	0.0
	35	1	2	0	0.0	0.0	0.0
	36	5	61	0	0.0	0.0	0.0
	37	12	135	2	0.014814814814814815	0.0	0.025360499245895684
	38	7	91	1	0.01098901098901099	0.0	0.017180203318601216
