filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	2	3	0	0.0	0.0	0.0
	1	2	28	0	0.0	0.0	0.0
	2	3	32	3	0.09375	0.1176470588235294	0.07625018257039885
	3	1	5	0	0.0	0.0	0.0
	4	1	22	0	0.0	0.0	0.0
	5	2	35	1	0.02857142857142857	0.0208333333333333	0.029462782549439435
	6	4	16	0	0.0	0.0	0.0
	7	1	2	0	0.0	0.0	0.0
	8	1	4	0	0.0	0.0	0.0
	9	1	2	0	0.0	0.0	0.0
	10	8	104	5	0.04807692307692308	0.0	0.06678779247276685
	11	3	87	2	0.022988505747126436	0.0	0.03849001794597501
	12	3	51	2	0.0392156862745098	0.0476190476190476	0.029048184880056314
	13	7	111	2	0.018018018018018018	0.0	0.01549711365268844
	14	3	61	1	0.01639344262295082	0.0	0.03207501495497917
	15	4	69	2	0.028985507246376812	0.0128205128205128	0.036261886214694734
	16	3	46	1	0.021739130434782608	0.0	0.02510218561694024
	17	1	19	2	0.10526315789473684	0.1052631578947368	0.0
	18	4	87	4	0.04597701149425287	0.02941176470588235	0.03636713135488509
	19	3	53	5	0.09433962264150944	0.1052631578947368	0.06719979581598491
	20	6	124	4	0.03225806451612903	0.01515151515151515	0.04841383540478035
	21	9	156	4	0.02564102564102564	0.0	0.031424324574090556
	22	6	69	3	0.043478260869565216	0.0	0.0801660326933043
	23	3	24	2	0.08333333333333333	0.0769230769230769	0.056908787337430704
	24	1	27	3	0.1111111111111111	0.1111111111111111	0.0
	25	6	85	4	0.047058823529411764	0.0333333333333333	0.044305337860837506
	26	10	203	11	0.054187192118226604	0.06369047619047616	0.05644825842782338
	27	19	311	11	0.03536977491961415	0.0	0.05280976853681573
	28	1	2	0	0.0	0.0	0.0
	29	11	198	11	0.05555555555555555	0.0666666666666666	0.050495112287726525
	30	10	154	2	0.012987012987012988	0.0	0.03788595227761944
	31	6	123	3	0.024390243902439025	0.01020408163265305	0.026807569857374203
	32	4	70	2	0.02857142857142857	0.0	0.024390243902439
	33	13	194	5	0.02577319587628866	0.0	0.034508007756141906
	34	12	202	11	0.054455445544554455	0.0345596432552954	0.09755203060569961
	35	2	24	2	0.08333333333333333	0.0526315789473684	0.07443229275647865
	36	12	154	7	0.045454545454545456	0.0	0.04381799989528513
	37	8	168	6	0.03571428571428571	0.0172413793103448	0.032761803089638254
	38	6	98	2	0.02040816326530612	0.0	0.017131274600992046
	39	10	118	9	0.07627118644067797	0.0263157894736842	0.053179363751807665
	40	11	226	9	0.03982300884955752	0.0344827586206896	0.03258003416755801
	41	15	211	8	0.037914691943127965	0.0	0.060064133938072674
	42	1	2	0	0.0	0.0	0.0
	43	3	51	1	0.0196078431372549	0.0	0.01990862997205603
	44	19	290	11	0.03793103448275862	0.0	0.06368153994010699
	45	8	107	2	0.018691588785046728	0.0	0.028098125925917018
	46	4	82	1	0.012195121951219513	0.0	0.0357142857142857
	47	4	74	0	0.0	0.0	0.0
	48	4	115	2	0.017391304347826087	0.0	0.023809523809523798
	49	7	110	8	0.07272727272727272	0.0666666666666666	0.05040141318296612
	50	8	170	7	0.041176470588235294	0.0	0.04995588883128957
	51	11	154	9	0.05844155844155844	0.05	0.07320569065536882
	52	3	16	0	0.0	0.0	0.0
	53	12	130	7	0.05384615384615385	0.0	0.049796958606714965
	54	5	58	1	0.017241379310344827	0.0	0.023537557657892512
	55	1	12	0	0.0	0.0	0.0
	56	4	52	2	0.038461538461538464	0.0185185185185185	0.042987021329305396
	57	7	66	3	0.045454545454545456	0.0	0.061500248950666386
	58	12	122	6	0.04918032786885246	0.0	0.09296674217563858
	59	47	813	21	0.025830258302583026	0.0	0.040062435733731985
	60	5	90	1	0.011111111111111112	0.0	0.03440104580768907
	61	17	218	2	0.009174311926605505	0.0	0.016726594830091927
	62	10	114	3	0.02631578947368421	0.0	0.057911699352952324
	63	7	134	2	0.014925373134328358	0.0	0.026997462357801934
	64	1	2	0	0.0	0.0	0.0
	65	5	143	7	0.04895104895104895	0.0277777777777777	0.037575954090560776
	66	4	83	2	0.024096385542168676	0.01666666666666665	0.020830867704194744
	67	3	65	3	0.046153846153846156	0.0	0.05248638810814779
	68	6	121	2	0.01652892561983471	0.0	0.031236638249564592
	69	20	306	15	0.049019607843137254	0.025657894736842102	0.055845697685009736
	70	5	130	2	0.015384615384615385	0.0	0.04540625942600566
	71	4	66	1	0.015151515151515152	0.0	0.0172413793103448
	72	2	4	0	0.0	0.0	0.0
	73	1	1	0	0.0	0.0	0.0
	74	1	4	0	0.0	0.0	0.0
	75	2	3	0	0.0	0.0	0.0
	76	1	3	0	0.0	0.0	0.0
	77	1	17	0	0.0	0.0	0.0
	78	1	1	0	0.0	0.0	0.0
	79	1	36	3	0.08333333333333333	0.0833333333333333	0.0
	80	1	1	0	0.0	0.0	0.0
	81	1	18	1	0.05555555555555555	0.0555555555555555	0.0
	82	1	1	0	0.0	0.0	0.0
	83	1	17	1	0.058823529411764705	0.0588235294117647	0.0
	84	1	1	0	0.0	0.0	0.0
	85	4	37	0	0.0	0.0	0.0
	86	1	1	0	0.0	0.0	0.0
	87	3	36	1	0.027777777777777776	0.0	0.021383343303319452
	88	1	1	0	0.0	0.0	0.0
	89	3	34	0	0.0	0.0	0.0
	90	1	1	0	0.0	0.0	0.0
	91	8	53	2	0.03773584905660377	0.0	0.04133465606349138
	92	1	1	0	0.0	0.0	0.0
	93	3	28	2	0.07142857142857142	0.0714285714285714	0.05150787536377127
	94	1	3	0	0.0	0.0	0.0
	95	1	18	2	0.1111111111111111	0.1111111111111111	0.0
	96	5	66	2	0.030303030303030304	0.0	0.027950849718747377
	97	2	10	0	0.0	0.0	0.0
	98	7	106	6	0.05660377358490566	0.0769230769230769	0.051557309702865685
	99	10	136	6	0.04411764705882353	0.0435185185185185	0.04515502967475439
	100	3	47	1	0.02127659574468085	0.0	0.03849001794597501
	101	13	224	5	0.022321428571428572	0.0	0.040091301308959444
	102	5	121	0	0.0	0.0	0.0
	103	12	145	4	0.027586206896551724	0.0	0.055285484650218424
	104	18	182	6	0.03296703296703297	0.0	0.04934468444714985
	105	1	2	0	0.0	0.0	0.0
	106	3	49	4	0.08163265306122448	0.0833333333333333	0.013138146082588164
	107	25	291	10	0.03436426116838488	0.0	0.03526014284856018
	108	3	70	3	0.04285714285714286	0.032258064516129	0.033339113847264436
	109	3	53	3	0.05660377358490566	0.0588235294117647	0.04805643037332499
	110	28	336	11	0.03273809523809524	0.0	0.03339747089280702
	111	19	162	8	0.04938271604938271	0.0	0.05475201435745365
	112	19	263	7	0.026615969581749048	0.0	0.035023255359393546
	113	3	36	1	0.027777777777777776	0.0	0.03396178054056622
	114	7	130	4	0.03076923076923077	0.0	0.07990899220962082
	115	23	308	15	0.048701298701298704	0.0	0.04681944640448102
	116	19	221	6	0.027149321266968326	0.0	0.03644307717949192
	117	4	49	1	0.02040816326530612	0.0	0.03846153846153845
	118	37	563	9	0.015985790408525755	0.0	0.02234327270129895
	119	6	70	1	0.014285714285714285	0.0	0.02551551815399144
	120	10	138	5	0.036231884057971016	0.0	0.03440024110420198
	121	1	2	0	0.0	0.0	0.0
	122	16	220	5	0.022727272727272728	0.0	0.029392965431052232
	123	12	134	8	0.05970149253731343	0.04545454545454545	0.06959913323044559
	124	18	222	6	0.02702702702702703	0.0	0.047410242019443445
	125	3	58	2	0.034482758620689655	0.0434782608695652	0.027181158454363842
	126	22	418	18	0.0430622009569378	0.0121951219512195	0.03898946758604947
	127	10	128	4	0.03125	0.0	0.038037057053076154
	128	17	180	4	0.022222222222222223	0.0	0.03924330053088614
	129	15	196	6	0.030612244897959183	0.0	0.03756231825164693
	130	21	284	9	0.03169014084507042	0.0	0.05871753874263671
	131	7	89	6	0.06741573033707865	0.0434782608695652	0.07936989727713023
	132	33	416	12	0.028846153846153848	0.0	0.08997053149640004
	133	9	158	7	0.04430379746835443	0.0454545454545454	0.02529237786253945
	134	1	1	0	0.0	0.0	0.0
