filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	52	2533	45	0.017765495459928938	0.0081079306722689	0.01861522090205794
	1	26	1025	11	0.010731707317073172	0.0	0.012402234618684444
	2	2	140	0	0.0	0.0	0.0
	3	14	733	40	0.054570259208731244	0.0114364710317959	0.06401694591794753
	4	11	390	9	0.023076923076923078	0.0	0.024886187171770255
	5	22	979	33	0.033707865168539325	0.01045688545688545	0.05611348805899383
	6	37	1821	59	0.032399780340472265	0.0153846153846153	0.06261966815613597
	7	4	166	30	0.18072289156626506	0.1203125	0.12817563387696138
	8	70	3057	179	0.058554138043833824	0.01402142161635825	0.07488234254049184
	9	14	779	7	0.008985879332477536	0.0	0.009078884747043226
	10	13	472	41	0.08686440677966102	0.0454545454545454	0.10418664553654854
	11	15	509	27	0.05304518664047151	0.0232558139534883	0.0647800793834924
	12	43	1720	32	0.018604651162790697	0.0	0.02343771250099607
	13	7	268	3	0.011194029850746268	0.0	0.015703903984000317
	14	1	79	0	0.0	0.0	0.0
	15	11	573	12	0.020942408376963352	0.0133333333333333	0.01623147442601683
	16	19	651	18	0.027649769585253458	0.0194174757281553	0.026259224654235927
	17	42	1610	88	0.0546583850931677	0.03708791208791205	0.05118723431585216
	18	4	200	5	0.025	0.025	0.016583123951777
	19	54	2299	67	0.029143105698129623	0.01909090909090905	0.034700666561607044
	20	1	1	0	0.0	0.0	0.0
	21	67	2915	82	0.028130360205831904	0.0208333333333333	0.029074931836460725
	22	27	1394	21	0.015064562410329985	0.0	0.01869866879276207
	23	14	739	15	0.02029769959404601	0.0052083333333333	0.019829561450752382
	24	1	9	0	0.0	0.0	0.0
	25	2	48	1	0.020833333333333332	0.025	0.03535533905932738
	26	2	75	7	0.09333333333333334	0.10192697768762675	0.022231551943998975
	27	7	166	8	0.04819277108433735	0.0425531914893617	0.06284272238623065
	28	9	170	9	0.052941176470588235	0.0	0.07912916077433563
	29	2	77	8	0.1038961038961039	0.12948717948717944	0.05257973501130734
	30	5	88	17	0.19318181818181818	0.0769230769230769	0.13211972336398206
	31	3	73	6	0.0821917808219178	0.0392156862745098	0.167477422613176
	32	3	125	8	0.064	0.0526315789473684	0.04214484007426775
	33	3	29	6	0.20689655172413793	0.2105263157894736	0.16857936029707102
	34	2	57	7	0.12280701754385964	0.11700767263427105	0.04249874516082827
	35	2	79	8	0.10126582278481013	0.09149184149184145	0.02060334444016744
	36	5	92	10	0.10869565217391304	0.1428571428571428	0.08087209399240441
	37	2	44	5	0.11363636363636363	0.06944444444444445	0.09820927516479827
	38	2	46	4	0.08695652173913043	0.0606060606060606	0.08570991287109667
	39	2	44	6	0.13636363636363635	0.14166666666666666	0.08249579113843057
	40	1	83	8	0.0963855421686747	0.0963855421686747	0.0
	41	1	4	0	0.0	0.0	0.0
	42	1	13	2	0.15384615384615385	0.1538461538461538	0.0
	43	1	14	0	0.0	0.0	0.0
	44	1	19	1	0.05263157894736842	0.0526315789473684	0.0
	45	1	12	0	0.0	0.0	0.0
	46	1	13	1	0.07692307692307693	0.0769230769230769	0.0
	47	1	19	1	0.05263157894736842	0.0526315789473684	0.0
	48	3	68	3	0.04411764705882353	0.027027027027027	0.04668304668304668
	49	1	4	0	0.0	0.0	0.0
	50	1	9	0	0.0	0.0	0.0
	51	1	12	0	0.0	0.0	0.0
	52	1	14	0	0.0	0.0	0.0
	53	1	15	0	0.0	0.0	0.0
	54	1	11	0	0.0	0.0	0.0
	55	1	16	1	0.0625	0.0625	0.0
	56	1	10	0	0.0	0.0	0.0
	57	1	12	0	0.0	0.0	0.0
	58	1	40	1	0.025	0.025	0.0
	59	1	2	0	0.0	0.0	0.0
	60	2	27	2	0.07407407407407407	0.04	0.0565685424949238
	61	2	18	2	0.1111111111111111	0.11688311688311684	0.036732819801898534
	62	4	46	7	0.15217391304347827	0.0769230769230769	0.09267200188974971
	63	2	39	4	0.10256410256410256	0.1154891304347826	0.10183874837741039
	64	1	31	2	0.06451612903225806	0.064516129032258	0.0
	65	1	4	1	0.25	0.25	0.0
	66	1	8	0	0.0	0.0	0.0
	67	2	35	1	0.02857142857142857	0.01470588235294115	0.020797258270192538
	68	2	14	0	0.0	0.0	0.0
	69	2	19	0	0.0	0.0	0.0
	70	3	24	2	0.08333333333333333	0.0769230769230769	0.05236045604272343
	71	1	10	0	0.0	0.0	0.0
	72	1	2	0	0.0	0.0	0.0
	73	1	37	1	0.02702702702702703	0.027027027027027	0.0
	74	1	2	0	0.0	0.0	0.0
	75	31	1425	59	0.041403508771929824	0.0317460317460317	0.03977408216597288
	76	129	5527	203	0.036728785959833546	0.0163934426229508	0.03612208799580298
	77	22	980	31	0.03163265306122449	0.0263157894736842	0.028167334095560454
	78	1	2	0	0.0	0.0	0.0
	79	124	5516	124	0.022480058013052938	0.0	0.027245707343789033
	80	33	1477	75	0.05077860528097495	0.0256410256410256	0.05920211752821502
	81	1	1	0	0.0	0.0	0.0
	82	5	249	5	0.020080321285140562	0.0169491525423728	0.020020080050306876
	83	1	7	0	0.0	0.0	0.0
	84	83	3389	128	0.03776925346709944	0.0	0.030705812328997793
	85	1	2	0	0.0	0.0	0.0
	86	80	3387	118	0.03483909064068497	0.0079365079365079	0.036620732566243305
	87	1	2	0	0.0	0.0	0.0
	88	64	3963	173	0.04365379762805955	0.02223320158102765	0.04249964665238852
	89	1	2	0	0.0	0.0	0.0
	90	101	4650	173	0.037204301075268814	0.0192307692307692	0.03943308120243266
	91	1	2	0	0.0	0.0	0.0
	92	49	2784	111	0.03987068965517242	0.03125	0.05943688672650593
	93	1	2	0	0.0	0.0	0.0
	94	106	4845	160	0.033023735810113516	0.0	0.03340898116674035
	95	1	2	0	0.0	0.0	0.0
	96	36	1864	55	0.029506437768240343	0.0125133935404867	0.030541675329593062
	97	1	2	0	0.0	0.0	0.0
	98	41	1643	65	0.03956177723676202	0.0172413793103448	0.050919228890686466
	99	51	2118	75	0.03541076487252125	0.025	0.046565224548701066
	100	1	2	0	0.0	0.0	0.0
	101	31	1745	70	0.04011461318051576	0.04	0.03778183050890756
	102	1	2	0	0.0	0.0	0.0
	103	137	5472	206	0.03764619883040936	0.0172413793103448	0.03948771594548122
	104	1	2	0	0.0	0.0	0.0
	105	53	3082	82	0.026606099935107073	0.0073529411764705	0.029755242840625782
	106	1	2	0	0.0	0.0	0.0
	107	54	2336	73	0.03125	0.013571954361428	0.03171672531692984
	108	1	2	0	0.0	0.0	0.0
	109	106	4627	131	0.028312081262156907	0.0045045045045045	0.04014931656216398
	110	1	2	0	0.0	0.0	0.0
	111	90	3835	139	0.03624511082138201	0.02128623188405795	0.03619628554555334
	112	1	2	0	0.0	0.0	0.0
	113	66	3956	123	0.03109201213346815	0.0230646871686108	0.035862765571848136
	114	2	3	0	0.0	0.0	0.0
	115	39	1792	55	0.030691964285714284	0.0	0.03298435068036704
	116	1	2	0	0.0	0.0	0.0
	117	28	1885	62	0.03289124668435013	0.01966205837173575	0.027751719285725836
	118	1	2	0	0.0	0.0	0.0
	119	33	2255	61	0.0270509977827051	0.0176991150442477	0.024627559545309374
	120	1	4	0	0.0	0.0	0.0
	121	89	4781	151	0.031583350763438614	0.0225988700564971	0.03358805955416129
	122	1	2	0	0.0	0.0	0.0
	123	13	515	18	0.03495145631067961	0.0	0.027693493202697102
	124	1	2	0	0.0	0.0	0.0
	125	46	2180	71	0.03256880733944954	0.01386514719848045	0.032721811613661826
	126	16	979	9	0.009193054136874362	0.0	0.028186716077294952
	127	1	2	0	0.0	0.0	0.0
	128	90	4130	107	0.025907990314769976	0.0	0.04072555781921039
	129	1	2	0	0.0	0.0	0.0
	130	58	2825	99	0.035044247787610616	0.023733583489681	0.03830106483071646
	131	1	2	0	0.0	0.0	0.0
	132	66	3145	82	0.026073131955484895	0.0171052631578947	0.0253585600477908
	133	1	2	0	0.0	0.0	0.0
	134	87	3860	109	0.028238341968911916	0.0	0.03062231391977509
	135	1	2	0	0.0	0.0	0.0
	136	63	2865	84	0.02931937172774869	0.0	0.03127014619952803
	137	1	2	0	0.0	0.0	0.0
	138	110	5501	148	0.026904199236502453	0.0	0.03535879911260383
	139	1	2	0	0.0	0.0	0.0
	140	65	3105	80	0.02576489533011272	0.0	0.02723793914750839
	141	1	2	0	0.0	0.0	0.0
	142	1	37	3	0.08108108108108109	0.081081081081081	0.0
	143	2	1	0	0.0	0.0	0.0
