filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	1	2	0	0.0	0.0	0.0
	1	1	9	0	0.0	0.0	0.0
	2	1	3	0	0.0	0.0	0.0
	3	12	254	6	0.023622047244094488	0.0	0.04304995483285795
	4	1	2	0	0.0	0.0	0.0
	5	1	9	0	0.0	0.0	0.0
	6	68	1379	34	0.024655547498187092	0.0	0.04495953592572717
	7	1	2	0	0.0	0.0	0.0
	8	1	7	0	0.0	0.0	0.0
	9	33	735	14	0.01904761904761905	0.0	0.033527789100134424
	10	10	203	3	0.014778325123152709	0.0	0.014627965586122189
	11	1	2	0	0.0	0.0	0.0
	12	1	9	0	0.0	0.0	0.0
	13	21	538	6	0.011152416356877323	0.0	0.034291588050692316
	14	2	2	0	0.0	0.0	0.0
	15	1	7	0	0.0	0.0	0.0
	16	27	599	7	0.011686143572621035	0.0	0.02338333153076633
	17	17	237	6	0.02531645569620253	0.0	0.06275214020773796
	18	1	2	0	0.0	0.0	0.0
	19	1	9	0	0.0	0.0	0.0
	20	22	508	8	0.015748031496062992	0.0	0.03174037706033172
	21	36	686	13	0.018950437317784258	0.0	0.036512241820135544
	22	9	101	0	0.0	0.0	0.0
	23	8	176	4	0.022727272727272728	0.0	0.0334708049586576
	24	12	219	1	0.0045662100456621	0.0	0.009954314986028015
	25	11	228	6	0.02631578947368421	0.0	0.0325178546685961
	26	1	2	0	0.0	0.0	0.0
	27	1	9	0	0.0	0.0	0.0
	28	15	278	8	0.02877697841726619	0.0	0.03909199799989541
	29	1	2	0	0.0	0.0	0.0
	30	1	7	0	0.0	0.0	0.0
	31	16	239	1	0.0041841004184100415	0.0	0.01785714285714285
	32	7	185	4	0.021621621621621623	0.0	0.02279663879787306
	33	17	348	3	0.008620689655172414	0.0	0.01786620302069635
	34	1	2	0	0.0	0.0	0.0
	35	1	9	0	0.0	0.0	0.0
	36	84	1851	30	0.01620745542949757	0.0	0.02803665810567284
	37	1	2	0	0.0	0.0	0.0
	38	1	9	0	0.0	0.0	0.0
	39	24	664	6	0.009036144578313253	0.0	0.01466666192529907
	40	7	173	6	0.03468208092485549	0.0303030303030303	0.031713983421840564
	41	1	6	0	0.0	0.0	0.0
	42	106	2698	44	0.01630837657524092	0.0	0.02692788150905767
	43	62	1406	26	0.01849217638691323	0.0	0.033474188048879916
	44	15	336	6	0.017857142857142856	0.0	0.02297749782423908
	45	16	109	4	0.03669724770642202	0.0	0.05683138974121579
	46	2	32	0	0.0	0.0	0.0
	47	37	788	13	0.01649746192893401	0.0	0.048190982307164655
	48	30	802	7	0.008728179551122194	0.0	0.01797717025491784
	49	8	280	2	0.007142857142857143	0.0	0.012684164770945914
	50	3	83	0	0.0	0.0	0.0
	51	3	81	0	0.0	0.0	0.0
	52	26	558	12	0.021505376344086023	0.0	0.05300097360253792
	53	43	1020	19	0.018627450980392157	0.0	0.02195493429654996
	54	30	785	15	0.01910828025477707	0.0	0.025005206297658504
	55	1	2	0	0.0	0.0	0.0
	56	1	9	0	0.0	0.0	0.0
	57	26	601	15	0.024958402662229616	0.0	0.03747526988763649
	58	3	52	1	0.019230769230769232	0.0	0.02886751345948129
	59	1	2	0	0.0	0.0	0.0
	60	1	7	0	0.0	0.0	0.0
	61	18	407	4	0.009828009828009828	0.0	0.02142378840978237
	62	1	2	0	0.0	0.0	0.0
	63	1	9	0	0.0	0.0	0.0
	64	27	685	9	0.013138686131386862	0.0	0.018924778752261395
	65	6	107	2	0.018691588785046728	0.0	0.03127686903582413
	66	1	2	0	0.0	0.0	0.0
	67	1	7	0	0.0	0.0	0.0
	68	9	122	2	0.01639344262295082	0.0	0.03703414340548162
	69	1	2	0	0.0	0.0	0.0
	70	1	9	0	0.0	0.0	0.0
	71	17	366	7	0.01912568306010929	0.0	0.03412165640141007
	72	10	220	6	0.02727272727272727	0.0	0.10444345941221866
	73	11	221	8	0.03619909502262444	0.0175438596491228	0.034775811294019326
	74	1	4	0	0.0	0.0	0.0
	75	1	2	0	0.0	0.0	0.0
	76	1	7	0	0.0	0.0	0.0
	77	16	370	4	0.010810810810810811	0.0	0.027911739156712204
	78	1	2	0	0.0	0.0	0.0
	79	1	9	0	0.0	0.0	0.0
	80	29	633	9	0.014218009478672985	0.0	0.03024870777884585
	81	1	2	0	0.0	0.0	0.0
	82	3	49	2	0.04081632653061224	0.0	0.042766686606638904
	83	1	2	0	0.0	0.0	0.0
	84	1	9	0	0.0	0.0	0.0
	85	82	1982	54	0.027245206861755803	0.0	0.03813796525432388
	86	1	40	3	0.075	0.075	0.0
	87	9	269	3	0.011152416356877323	0.0	0.020629639852355462
	88	5	80	0	0.0	0.0	0.0
	89	1	2	0	0.0	0.0	0.0
	90	1	9	0	0.0	0.0	0.0
	91	45	935	19	0.020320855614973262	0.0	0.03238706495831735
	92	11	234	2	0.008547008547008548	0.0	0.007011891734366574
	93	1	2	0	0.0	0.0	0.0
	94	1	7	0	0.0	0.0	0.0
	95	26	527	13	0.024667931688804556	0.0	0.03822295476415815
	96	5	37	3	0.08108108108108109	0.0	0.07892004626469847
	97	7	122	2	0.01639344262295082	0.0	0.03411100414998135
	98	1	2	0	0.0	0.0	0.0
	99	2	9	0	0.0	0.0	0.0
	100	17	332	12	0.03614457831325301	0.0	0.038161405770375106
	101	10	181	5	0.027624309392265192	0.0	0.044453819755148775
	102	2	50	4	0.08	0.0748663101604278	0.02268791811293735
	103	1	5	0	0.0	0.0	0.0
	104	5	93	3	0.03225806451612903	0.0	0.034792102187274916
	105	1	5	0	0.0	0.0	0.0
	106	1	28	0	0.0	0.0	0.0
	107	4	109	2	0.01834862385321101	0.0	0.025000000000000005
	108	3	53	2	0.03773584905660377	0.0	0.048112522432468795
	109	4	91	2	0.02197802197802198	0.0128205128205128	0.026430164266779847
