filename	paragraph nr	sentences	words	matches	paragraph density	paragraph density median	paragraph density std
	0	9	40	0	0.0	0.0	0.0
	1	7	194	8	0.041237113402061855	0.0338983050847457	0.04435792018960022
	2	2	104	4	0.038461538461538464	0.035901573215006005	0.012550503578946354
	3	7	161	7	0.043478260869565216	0.0	0.03802066562631393
	4	3	79	4	0.05063291139240506	0.0666666666666666	0.03849001794597501
	5	4	127	4	0.031496062992125984	0.030511060259344	0.02924884060869094
	6	2	50	2	0.04	0.04166666666666665	0.011785113019775818
	7	2	29	0	0.0	0.0	0.0
	8	5	132	9	0.06818181818181818	0.0425531914893617	0.05904244796241496
	9	1	30	2	0.06666666666666667	0.0666666666666666	0.0
	10	1	24	1	0.041666666666666664	0.0416666666666666	0.0
	11	1	18	1	0.05555555555555555	0.0555555555555555	0.0
	12	6	90	1	0.011111111111111112	0.0	0.03402069087198857
	13	5	142	1	0.007042253521126761	0.0	0.007845852552630837
	14	17	276	17	0.06159420289855073	0.0303030303030303	0.063429662411164
	15	14	41	1	0.024390243902439025	0.0	0.02969569354582493
	16	3	60	3	0.05	0.0434782608695652	0.04546886410207482
	17	8	166	3	0.018072289156626505	0.0	0.05090484911897324
	18	2	16	0	0.0	0.0	0.0
	19	2	37	2	0.05405405405405406	0.06166666666666665	0.030641293851417034
	20	4	71	2	0.028169014084507043	0.01666666666666665	0.03011840061416866
	21	11	208	6	0.028846153846153848	0.0	0.04746673476474277
	22	5	56	2	0.03571428571428571	0.0	0.027950849718747377
	23	1	29	1	0.034482758620689655	0.0344827586206896	0.0
	24	7	128	6	0.046875	0.0555555555555555	0.0537356459559806
	25	2	6	0	0.0	0.0	0.0
	26	2	70	3	0.04285714285714286	0.04700854700854695	0.012087295404898248
	27	7	166	7	0.04216867469879518	0.0333333333333333	0.03609870179413623
	28	7	124	3	0.024193548387096774	0.0	0.035131555480453616
	29	6	109	7	0.06422018348623854	0.0263157894736842	0.060710371274931514
	30	2	51	2	0.0392156862745098	0.0333333333333333	0.04714045207910312
	31	7	89	4	0.0449438202247191	0.0303030303030303	0.0419585661219587
	32	2	58	4	0.06896551724137931	0.08125	0.026516504294495535
	33	15	214	18	0.08411214953271028	0.037037037037037	0.0964926871342491
	34	6	99	4	0.04040404040404041	0.0	0.043759027558528764
	35	6	130	3	0.023076923076923078	0.0	0.024306958732859055
	36	12	198	12	0.06060606060606061	0.0506410256410256	0.0664036890399709
	37	3	52	4	0.07692307692307693	0.1	0.07330859199209833
	38	3	59	0	0.0	0.0	0.0
	39	1	2	0	0.0	0.0	0.0
	40	9	36	0	0.0	0.0	0.0
	41	4	49	1	0.02040816326530612	0.0	0.041666666666666644
	42	10	205	4	0.01951219512195122	0.0	0.025696650793715373
	43	5	124	4	0.03225806451612903	0.0454545454545454	0.034415302036301276
	44	13	198	5	0.025252525252525252	0.0	0.034362782861395505
	45	7	146	4	0.0273972602739726	0.0	0.04359303538050621
	46	7	100	0	0.0	0.0	0.0
	47	1	2	0	0.0	0.0	0.0
	48	12	48	2	0.041666666666666664	0.0	0.10118517089903728
	49	6	134	4	0.029850746268656716	0.0161290322580645	0.03809896718365191
	50	9	116	3	0.02586206896551724	0.0	0.03214121732666124
	51	13	206	6	0.02912621359223301	0.0	0.04570572104086144
	52	10	188	6	0.031914893617021274	0.01136363636363635	0.03362573105981806
	53	8	123	3	0.024390243902439025	0.0	0.022662004382500982
	54	2	20	0	0.0	0.0	0.0
	55	4	51	0	0.0	0.0	0.0
	56	3	52	2	0.038461538461538464	0.0	0.03724840446384678
	57	2	21	1	0.047619047619047616	0.05555555555555555	0.07856742013183861
	58	2	2	0	0.0	0.0	0.0
	59	11	46	0	0.0	0.0	0.0
	60	14	141	4	0.028368794326241134	0.0	0.042879606383445346
	61	7	61	7	0.11475409836065574	0.0909090909090909	0.08415198365669095
	62	9	197	3	0.015228426395939087	0.0	0.03725319433134734
	63	2	6	0	0.0	0.0	0.0
	64	4	119	1	0.008403361344537815	0.0	0.0185185185185185
	65	7	103	0	0.0	0.0	0.0
	66	6	89	0	0.0	0.0	0.0
	67	8	43	0	0.0	0.0	0.0
	68	25	516	8	0.015503875968992248	0.0	0.03428483067536934
	69	1	18	0	0.0	0.0	0.0
	70	4	71	2	0.028169014084507043	0.0131578947368421	0.03929051067361603
	71	4	44	0	0.0	0.0	0.0
	72	1	28	3	0.10714285714285714	0.1071428571428571	0.0
