sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	L'AUTEUR À DEUX LIBRAIRES B onjour, monsieur.	0	0	8	0	0.0	[]
1	Avez-vous lu mon manuscrit ?	0	1	5	0	0.0	[]
2	excellent !	0	2	1	0	0.0	[]
3	délicieux ! n'est-ce pas ?	0	3	5	1	0.2	[['délicieux']]
4	---Le manuscrit de qui ? de quoi ?	0	4	6	0	0.0	[]
5	monsieur, je ne vous comprens pas.---Parbleu, le trait est neuf !	0	5	10	0	0.0	[]
6	Vous me demandez, avant hier, trois jours pour lire ma Zoloé, et vous...---Parbleu, monsieur, j'ai bien le temps de lire vos productions !	0	6	24	0	0.0	[]
7	Tenez, le voilà ce répertoire de sornettes ;	0	7	7	0	0.0	[]
8	le ciel vous conduise.	0	8	4	0	0.0	[]
9	Monsieur, votre physionomie m'inspire de la confiance ;	1	0	8	0	0.0	[]
10	je ne doute pas que je ne trouve chez vous de quoi oublier le procédé indécent d'un de vos confrères.---Peut-être, De quoi s'agit-il en deux mots ?	1	1	30	0	0.0	[]
11	je n'ai qu'une minute.---Voici, monsieur, un manuscrit intéressant.	1	2	10	0	0.0	[]
12	Veuillez, je vous prie, en prendre lecture.	1	3	7	0	0.0	[]
13	Quant au prix qu'il mérite, c'est à votre délicatesse que je m'en rapporterai pour le fixer.	1	4	19	0	0.0	[]
14	Seulement, je stipulerai qu'il soit imprimé sur le champ.---Moi que j'achète, que j'imprime un manuscrit !	1	5	18	0	0.0	[]
15	si je faisais ce commerce, ma boutique ne serait bientôt plus qu'une loge banale de foire.	1	6	17	0	0.0	[]
16	Non, monsieur, non.	1	7	3	0	0.0	[]
17	Je n'achète point de manuscrits ;	1	8	6	0	0.0	[]
18	on me les donne, je prends mon temps pour les lire ; et moyennant mes corrections et améliorations, je consens quelquefois à leur accorder l'honneur de les faire imprimer.	1	9	29	0	0.0	[]
19	Je vous remercie, monsieur, de votre esprit ;	2	0	7	0	0.0	[]
20	et quant à l'honneur dont vous parlez, je me le procurerai moi	2	1	13	0	0.0	[]
21	-	2	2	0	0	0	[]
22	même, et n'en aurai d'obligation à personne.	2	3	9	0	0.0	[]
23	ARRÊT PROVISOIRE.	3	0	2	0	0.0	[]
24	Q u'avez-vous, ma chère Zoloé ?	4	0	7	0	0.0	[]
25	votre front sourcilleux n'annonce que la triste mélancolie.	4	1	9	2	0.2222222222222222	[['front'], ['triste']]
26	La fortune n'a-t-elle pas assez souri à vos vœux ?	4	2	12	0	0.0	[]
27	Que manque-t-il à votre gloire, à votre puissance ?	4	3	10	0	0.0	[]
28	votre immortel époux n'est-il pas le soleil de la patrie ?	4	4	12	0	0.0	[]
29	Au faîte des honneurs, se peut-il que jusqu'à vous s'élèvent de sombres nuages ?	4	5	16	1	0.0625	[['sombre']]
30	---Lauréda, ah !	4	6	2	0	0.0	[]
31	cruelle ! avec quelle inhumanité	4	7	4	0	0.0	[]
32	tu te joues de mon chagrin !	4	8	6	1	0.16666666666666666	[['joue']]
33	trêve à ton odieux persiflage, ou je ne te le pardonnerai jamais.---Soit.	4	9	12	1	0.08333333333333333	[['ton']]
34	Signons la paix ;	4	10	3	0	0.0	[]
35	et elle embrasse Zoloé.	4	11	4	0	0.0	[]
36	Pourrait-on, du moins, savoir, ma belle, à quoi attribuer cet air noir et soucieux que ma présence même n'a pu dissiper ?	5	0	23	2	0.08695652173913043	[['bel'], ['noir']]
37	Le voilà, répond Zoloé en montrant un mince volume ;	5	1	9	1	0.1111111111111111	[['mince']]
38	voilà le serpent qui m'a piqué au vif.	5	2	9	0	0.0	[]
39	Maudit soit le vil délateur qui a osé révéler aux yeux d'un vulgaire profane les secrets mystères de notre confédération !	5	3	21	1	0.047619047619047616	[['oeil']]
40	Lauréda, d'un leste coup-de-main, se saisit de la brochure.	6	0	10	0	0.0	[]
41	Est-il possible, Zoloé ?	6	1	3	0	0.0	[]
42	quoi !	6	2	1	0	0.0	[]
43	c'est cette production éphémère d'un auteur affamé qui a dérangé la paisible circulation de ton sang ! en vérité, tu me ferais pitié, si je n'avais envie de rire.	6	3	31	2	0.06451612903225806	[['affamé'], ['ton']]
44	Eh !	6	4	1	0	0.0	[]
45	bravons les sots caquets des prudes, les sarcasmes des dévots, les satyres des jaloux et les petites trahisons des papillons musqués ;	6	5	21	1	0.047619047619047616	[['petit']]
46	voltigeons de plaisirs en plaisirs, sans nous arrêter jamais.	6	6	9	0	0.0	[]
47	Ô ciel !	7	0	2	0	0.0	[]
48	en regardant sa montre, il est deux heures ;	7	1	8	0	0.0	[]
49	et la marquise n'arrive pas !	7	2	6	0	0.0	[]
50	Adieu donc, de la gaîté, ma reine.	7	3	7	0	0.0	[]
51	En ouvrant la porte, Volsange s'y présente ;	7	4	8	0	0.0	[]
52	Lauréda rentre avec elle.	7	5	4	0	0.0	[]
53	La cause du chagrin de Zoloé est remise en question et traitée de chimère.	7	6	14	0	0.0	[]
54	Bref, on arrête de parcourir le Livret , d'en rire, et de laisser l'Auteur s'en tirer, comme il pourra, avec le public.	8	0	24	0	0.0	[]
55	ZOLOÉ ET SES	9	0	3	0	0.0	[]
56	DEUX ACOLYTHES	9	1	2	0	0.0	[]
57	.	9	2	0	0	0	[]
58	Portraits.	10	0	1	0	0.0	[]
59	Z oloé sur les limites de la quarantaine n'en a pas moins la prétention de plaire comme à vingt cinq ans	11	0	22	0	0.0	[]
60	.	11	1	0	0	0	[]
61	Son crédit attire sur ses pas la foule des courtisans, et supplée, en quelque sorte, aux grâces de la jeunesse.	11	2	20	0	0.0	[]
62	À un esprit très-fin, un caractère souple ou fier selon les circonstances, un ton très-insinuant, une dissimulation hypocrite, consommée ;	11	3	21	3	0.14285714285714285	[['fin'], ['souple'], ['ton']]
63	à tout ce qui peut séduire et captiver, elle joint une ardeur pour les plaisirs cent fois plus vive que Lauréda, une avidité d'usurier pour l'argent qu'elle dissipe avec la promptitude d'un joueur, un luxe effréné qui engloutirait le revenu de dix provinces.	11	4	47	2	0.0425531914893617	[['joindre'], ['vif']]
64	Zoloé n'a jamais été belle ; mais à quinze ans, sa coqueterie déjà rafinée, cette fleur de jeunesse qui souvent sert de passeport à l'amour, de grandes richesses avaient attaché à son char un essaim d'adorateurs.	12	0	38	1	0.02631578947368421	[['grand']]
65	Loin de se disperser par son mariage avec le comte de Barmont, avantageusement connu à la cour, ils jurèrent tous de n'être pas malheureux ;	13	0	25	0	0.0	[]
66	et Zoloé, la sensible Zoloé ne put consentir à leur faire violer leur serment.	13	1	14	0	0.0	[]
67	De cette union sont nés un fils et une fille, aujourd'hui attachés à la fortune de leur illustre beau-père.	13	2	19	0	0.0	[]
68	Zoloé a l'Amérique pour origine.	14	0	6	0	0.0	[]
69	Ses possessions dans les colonies sont immenses.	14	1	7	0	0.0	[]
70	Mais les troubles qui ont désolé ces mines fécondes pour les Européens, l'ont sévrée du produit de ses riches domaines, qui eût été si nécessaire ici pour alimenter sa prodigue magnificence.	14	2	32	1	0.03125	[['riche']]
71	Lauréda justifie l'opinion que l'on a conçu de la nation espagnole : elle est tout feu et tout amour.	15	0	20	1	0.05	[['espagnol']]
72	Fille d'un comte de nouvelle date, mais extrêmement riche, sa fortune lui permet de satisfaire tous ses goûts et son penchant décidé pour la singuliarité.	15	1	26	1	0.038461538461538464	[['riche']]
73	Trois demeures dans différents quartiers les plus agréables de la capitale sont tour à tour les sanctuaires où elle va sacrifier sur l'autel du plaisir.	15	2	26	1	0.038461538461538464	[['agréable']]
74	Également éprise et des lubricités d'Ovide, et des fureurs de Sapho, elle a épuisé toutes les combinaisons de la volupté.	15	3	21	0	0.0	[]
75	Lauréda n'a conservé de sa première beauté qu'une taille avantageuse, de belles dents, un bras charmant : mais les ans, et plus encore la fatigue des jouissances outrées, ont fait, sur son teint et ses traits, des ravages cruels que l'art de la toilette, le savant mélange du blanc et du rouge ne peut réparer.	16	0	57	8	0.14035087719298245	[['taille'], ['beau'], ['dent'], ['bras'], ['charmer'], ['teint'], ['blanc'], ['rouge']]
76	Ce n'est guères que dans la liqueur des petits soupers que ses yeux lancent encore de ces éclairs qui embrâsent le cœur d'un amant.	16	1	26	2	0.07692307692307693	[['petit'], ['oeil']]
77	À son lever, Lauréda annonce trente ans ;	17	0	7	0	0.0	[]
78	dans l'éclat de sa parure, elle paraît en avoir dix de moins.	17	1	13	0	0.0	[]
79	Mais ce que le temps ne saurait lui ravir, c'est un excellent cœur, un zèle officieux qui se prête volontiers à obliger par son crédit et sa bourse même ;	17	2	30	0	0.0	[]
80	c'est infiniment d'amabilité envers tout le monde.	17	3	9	0	0.0	[]
