sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	PARTIE	0	0	1	0	0.0	[]
1	1 Quoi, monsieur!	0	1	3	0	0.0	[]
2	Il est encore un cœur ouvert aux cris des malheureux!	0	2	10	0	0.0	[]
3	Je n' ai point éprouvé le comble de l' infortune!	0	3	10	0	0.0	[]
4	Je suis dépouillé de mes biens, abandonné de mes sociétés, rejeté de mes parents, de l' univers entier;	0	4	18	0	0.0	[]
5	peut-être, quel trait pour une âme sensible!	0	5	7	0	0.0	[]
6	Ai-je perdu ma réputation: du-moins l' injustice et l' adversité aussi cruelle que l' iniquité même l' ont	0	6	20	0	0.0	[]
7	-elles noircie à bien des yeux: et il me reste un ami, et un ami à qui je dois plus que la vie, le seul homme qui daigne me plaindre, me secourir, m' aimer, tandis que ceux dont je tiens le jour, semblent vouloir me le ravir, et me persécuter, si j' ose le dire, avec plus de fureur dans unepersonne qui, devenue leur propre sang, m' est encore plus chère que moi	0	7	73	1	0.0136986301369863	[['oeil']]
8	-même!	0	8	1	0	0.0	[]
9	Il est juste, monsieur, que je satisfasse votre curiosité, ou plutôt que je cherche à mériter davantage vos sentiment, en vous faisant le détail de mes malheurs: vous exigez de moi cette marque d' amitié: ma réconnaissance aurait dû vous prévenir;	0	9	41	0	0.0	[]
10	hélas!	0	10	1	0	0.0	[]
11	C' est un bienfait de plus dont je vous suis redevable: les infortunés goûtent une espèce de plaisir à répandre leurs douleurs;	0	11	22	0	0.0	[]
12	il y a une sorte de volupté attachée aux larmes qu' on verse dans un sein compatissant;	0	12	17	1	0.058823529411764705	[['sein']]
13	la confidence ne fait bien sentir sa nécessité et ses charmes qu' aux malheureux, et c' est aujourd' hui l' unique satisfaction à laquelle il me soit permis de me livrer.	0	13	31	0	0.0	[]
14	Je ne vous entretiendrai point de ma famille: elle vous est connue.	0	14	12	0	0.0	[]
15	Mon père occupe à * une charge assez honorable pour flatter mon amour	0	15	12	0	0.0	[]
16	-propre	0	16	1	0	0.0	[]
17	, si je cédois aux mouvement d' un orgueil ridicule	0	17	9	0	0.0	[]
18	et déplacé	0	18	2	0	0.0	[]
19	.	0	19	0	0	0	[]
20	Je passe rapidement sur mes premières années.	0	20	7	0	0.0	[]
21	Nous naissons tous avec le même fond de vertus et de vices, du moins c' est la marche commune de la nature;	0	21	22	0	0.0	[]
22	les enfants se ressemblentà	0	22	4	0	0.0	[]
23	-peu	0	23	1	0	0.0	[]
24	-près;	0	24	1	0	0.0	[]
25	ce n' est que dans la suite de la vie, après ce long développement, le fruit tardif de l' éducation, que nous prenons des traits plus marqués, et qui nous sont propres.	0	25	32	1	0.03125	[['long']]
26	Vous savez que Paris est pour la province, ce qu' était autrefois Athènes pour les différentes contrées de la Grèce: c' est-là que se forment le corps, l' esprit, les mœurs;	0	26	31	1	0.03225806451612903	[['corps']]
27	il semble qu' on y respire un nouvel air, qu' on y puise une nouvelle vie, qu' on y soit agité par de nouveaux ressorts;	0	27	25	0	0.0	[]
28	c' est une terre féconde qui devient naturelle aux arbres qu' on y transplante, et où, loin de dégénérer, ils se fortifient.	0	28	22	1	0.045454545454545456	[['naturel']]
29	Dans un voyage que mes parents firent en cette ville, ils m' y conduisirent avec eux;	0	29	16	0	0.0	[]
30	je ne tardai point à être revêtu d' une charge, qui m' en faisait espérer une plus considérable;	0	30	18	0	0.0	[]
31	l' empressement que j' ai de vous offrir le tableau de mes disgracies, et peut-être le plaisir secret que je sens à m' en rappeler la cause, m' empêcheront de vous arrêter sur des détails qui ne feraient que nous intéresser peu l' un et l' autre.	0	31	47	0	0.0	[]
32	Me voici donc dans la capitale, abandonné à moi-même, à ce goût du plaisir, ordinaireaux jeunes gens, sans être cependant détourné des devoirs de ma charge, que l' inclination autant que la probité m' engageaient à remplir.	0	32	38	0	0.0	[]
33	Les belles-lettres, les spectacles, le jeu, les femmes, partageaient les moment dont je pouvais disposer:	0	33	15	0	0.0	[]
34	il est vrai que ces amusement laissaient dans mon cœur, un vide qui m' était insupportable; j' aurois voulu être moins indéterminé sur le choix;	0	34	25	0	0.0	[]
35	je cherchais à perdre une liberté qui ne répandait chez moi que l' ennui, la langueur, le dégoût;	0	35	18	0	0.0	[]
36	je désirais un plaisir qui tînt de l' occupation; et c' est-là l' espèce de tourment attaché aux âmes sensibles: il leur faut de ces passions décidées auxquelles leur avidité puisse toute entière se livrer, passions dont la jouissance, remplie à la vérité de douceurs et de charmes inconnus des cœurs vulgaires, est toujours rachetée par les suites les plus cruelles.	0	36	61	0	0.0	[]
37	Un goût particulier, ou peut-être ma destinée, (car je suis quelquefois tenté de croire qu' il est des ascendans qu' on ne peut surmonter) m' entraînait fort souvent à la comédie italienne;	0	37	33	1	0.030303030303030304	[['fort']]
38	il semblait que mon cœur m' y portât malgré moi-même.	0	38	11	0	0.0	[]
39	Je vis enfin Agathe, etdès le moment, je fus frappé de ces coups qui décident les grandes passions, et se font ressentir au plus profond de l' âme;	0	39	28	2	0.07142857142857142	[['grand'], ['profond']]
40	je fus enchanté, ravi, enlevé à moi	0	40	7	0	0.0	[]
41	-même; c' est alors que ce vide affreux fut comblé;	0	41	10	0	0.0	[]
42	je ne désirai, je n' aimai plus rien qu' Agathe;	0	42	10	0	0.0	[]
43	son image me suivit chez moi, par-tout, jusques dans mon sommeil;	0	43	12	0	0.0	[]
44	je la reportai le lendemain au même théâtre;	0	44	8	0	0.0	[]
45	j' y revis la maîtresse de mon cœur, car elle l' était déjà, et je ne me dissimulai plus que je l' aimais avec une ardeur inconcevable, quoique ce fût pour la seconde fois que je la visse, et qu' elle me fût d' ailleurs entièrement inconnue.	0	45	47	0	0.0	[]
46	De pareilles situations paraissent opposées à la vraisemblance, parce qu' il est très-peu d' âmes qui éprouvent véritablement le pouvoir des passions, et sur-tout celui de l' amour.	0	46	29	0	0.0	[]
47	La plupart des hommes pensent et sentent faiblement: guidés par le seul esprit de comparaison, ils jugent toujours des autres d' après eux-mêmes;	0	47	24	0	0.0	[]
48	ils se font le modèle dont ils n' envisagent que des copies;	0	48	12	0	0.0	[]
49	de cette façon de voir naissent tant d' idées absurdes et bizarres, tant de mauvaises conséquences émanées de fauxprincipes!	0	49	19	0	0.0	[]
50	Combien de gens ai-je entendu blâmer le personnage du chevalier Des Grieux, dans Manon L' Escaut!	0	50	17	0	0.0	[]
51	Ne cherchons point à nous regarder en autrui, et alors nous serons convaincus que la nature est aussi variée et inépuisable dans les caractères que dans les formes.	0	51	28	0	0.0	[]
52	Il y a peut-être une différence encore plus marquée dans les cœurs que dans les esprits.	0	52	16	0	0.0	[]
53	Il est nécessaire que je vous fasse le portrait de ma femme.	0	53	12	0	0.0	[]
54	Je vous l' avouerai, c' est-là où mon orgueil éclate, car je ne prétends point être tout-à-fait dépouillé d' amour-propre: il semble que je m' embellisse de ses charmes, que ses vertus saient les miennes;	0	54	36	0	0.0	[]
55	combien j' éprouve qu' on peut aimer plus que soi-même!	0	55	11	0	0.0	[]
56	Avec quel plaisir je vous tracerai ce tableau!	0	56	8	0	0.0	[]
57	Un mari, et un mari qui joint à ce titre les sentiment de l' amant le plus tendre, paraît un peintre suspect de flatterie;	0	57	24	3	0.125	[['joindre'], ['amer'], ['tendre']]
58	mais, j' ose vous l' assurer, je n' ai besoin que du seul talent de rendre la vérité au naturel.	0	58	20	0	0.0	[]
59	Agathe, à des traits assez réguliers, joint une taille tout-à-la fois noble et élégante;	0	59	14	3	0.21428571428571427	[['joindre'], ['taille'], ['noble']]
60	si on pouvait la regarder sans se troubler, on ne dirait point qu' elle est un modèle de beauté;	0	60	19	0	0.0	[]
61	mais qu' elle fait sentir vivement, qu' elle réunit toutes les grâces!	0	61	12	0	0.0	[]
62	Le charme respire dans toute sa personne;	0	62	7	0	0.0	[]
63	le moindre mouvement	0	63	3	0	0.0	[]
64	, la moindre parole, qui lui échappent, sont animés de cet intérêt si vif, si entraînant qu' on n' exprime point;	0	64	20	1	0.05	[['vif']]
65	son silence même vous parle, vous émeut; et quand ses beaux yeux noirs viennent à laisser tomber un regard, à le fixer...	0	65	22	4	0.18181818181818182	[['émouvoir'], ['oeil'], ['noir'], ['regard']]
66	oh!	0	66	1	0	0.0	[]
67	L' enchantement...	0	67	2	0	0.0	[]
68	il n' est pas possible, il n' est pas possible de vous en donner une idée;	0	68	16	0	0.0	[]
69	on aurait mille cœurs, que ce regard vous les ravirait tous;	0	69	11	1	0.09090909090909091	[['regard']]
70	et s' il arrive qu' une larme obscurcisse ces yeux enchanteurs... comment vous représenter leur empire, la passion, le feu dont ils m' ont enflammé pour la vie?	0	70	28	1	0.03571428571428571	[['oeil']]
71	Eh! Quelle douceur délicieuse ajoute encore à tant de charmes!	0	71	10	1	0.1	[['délicieux']]
72	La candeur de la plus belle âme est toute répandue sur sa physionomie;	0	72	13	1	0.07692307692307693	[['bel']]
73	son esprit ressemble à son cœur, et son cœur est parfait;	0	73	11	0	0.0	[]
74	il y règne, il y domine un caractère de tendresse qui rend ses vertus si touchantes, si séduisantes, qu' elles suffiraient pour la faire idolâtrer.	0	74	25	0	0.0	[]
75	Je ne vous dirai rien de sa famille: son origineest connue;	0	75	11	0	0.0	[]
76	sans doute que l' infortune de son père fut extrême, puisqu' elle put réduire un homme de naissance à monter sur le théâtre, et à y entraîner ses enfants.	0	76	29	0	0.0	[]
77	Je cherchais avidement les occasions de me déclarer à Mademoiselle : le hasard, dirai-je favorable, puisque j' enveloppe dans ma perte une épouse que j' adore, le hasard m' offrit ce moment si désiré: je le saisis;	0	77	37	0	0.0	[]
78	je m' expliquai avec ce trouble qui accompagne toujours l' aveu d' un amour sincère;	0	78	15	0	0.0	[]
79	je crus observer dans les yeux d' Agathe le même embarras;	0	79	11	1	0.09090909090909091	[['oeil']]
80	elle m' a avoué depuis que son cœur penchait déjà pour moi dès cet instant;	0	80	15	0	0.0	[]
81	on ne m' opposa que ces discours vagues et indécis, qui, sans donner lieu d' espérer, laissent du moins une incertitude consolante.	0	81	22	0	0.0	[]
82	Je voyais, je parlais tous les jours à la souveraine de mon cœur, et tous les jours, elle me devenait plus chère;	0	82	22	0	0.0	[]
83	les premiers symptômes d' une passion se décèlent aisément par l' extrême crainte que l' on a de réfléchir;	0	83	19	0	0.0	[]
84	on ressemble assez à ces malades qui fuient tout ce qui pourrait les éclairer sur le principe du mal dont ils sont affectés.	0	84	23	0	0.0	[]
85	Je fermois les yeuxsur le but où devait nécessairement me conduire une tendresse aussi vive;	0	85	15	0	0.0	[]
86	je la regardais comme un simple engagement de cœur;	0	86	9	0	0.0	[]
87	cependant, plus je m' attachois à Mademoiselle , plus je me trouvais timide et respectueux.	0	87	14	0	0.0	[]
88	Depuis que je me suis rendu compte de ces impressions qui me paraissaient si étranges, j' ai senti que cette timidité, cette appréhension de déplaire à ce qu' on aime, ce soin, que, malgré soi, on semble prendre de sa vertu,	0	88	41	0	0.0	[]
89	étaient les marques évidentes d' un amour que j' avais ignoré jusqu' alors, et que la société ne manque pas de tourner en ridicule;	0	89	24	0	0.0	[]
90	mais qu' est-ce que la société pour un amant véritable?	0	90	11	0	0.0	[]
91	Tout lui est étranger;	0	91	4	0	0.0	[]
92	rien n' existe à ses yeux, que l' objet de sa passion, et il ne peut même avoir le mérite de lui faire des sacrifices, parce qu' il n' en connaît point auquel il attache quelque valeur.	0	92	37	1	0.02702702702702703	[['oeil']]
93	J' avais trouvé les moyens de m' introduire chez Monsieur , le père d' Agathe.	0	93	14	0	0.0	[]
94	Un jour que j' entretenois sa charmante fille avec plus de vivacité qu' à l' ordinaire, elle me fit asseoir à ses côtés, et me demanda de lui prêter quelques moment d' attention.	0	94	33	0	0.0	[]
95	Voici à-peu-près cequ' elle me dit.	0	95	6	0	0.0	[]
96	Aurois-je pu oublier cette conversation, puisqu' elle acheva de lui soumettre	0	96	12	0	0.0	[]
97	une âme qu' elle avait déjà asservie?	0	97	7	0	0.0	[]
98	Vous avez cru sans doute, monsieur, que je connaissais tout le prix des sentiment que j' ai pu vous inspirer: vous ne vous êtes point trompé;	0	98	26	0	0.0	[]
99	je vous dirai plus: vous êtes le premier pour qui mon cœur s' est laissé prévenir;	0	99	16	0	0.0	[]
100	n' attendez pas que j' ajoute à cet aveu;	0	100	9	0	0.0	[]
101	apprenez que je suis moins jalouse de mériter votre amour que votre estime;	0	101	13	0	0.0	[]
102	daignez m' écouter.	0	102	3	0	0.0	[]
103	La mauvaise fortune de mon père nous a forcé de prendre l' état auquel le préjugé a le plus attaché d' humiliation.	0	103	22	0	0.0	[]
104	Il ne s' agit point ici d' examiner si ce préjugé n' est pas aussi barbare qu' absurde, si aux yeux de la raison, la profession de comédien est réellement méprisable, comment il se pourrait faire que l' organe des Corneilles, des Racines, des Molieres, des Marivaux, fût condamné à un juste avilissement;	0	104	53	1	0.018867924528301886	[['oeil']]
105	le théâtre ne pourrait-il pas devenir une école de mœurs?	0	105	11	0	0.0	[]
106	Et tandis que la nation élève en quelque sorte des autels et des statues aux sublimes auteurs de nos drames, cette même nation flétrira leurs interprètes d' un opprobreéternel, bizarre et odieuse inconséquence!	0	106	33	2	0.06060606060606061	[['sublime'], ['flétrir']]
107	Mais je ne prétends point, en ce moment, m' élever contre une injustice si révoltante;	0	107	15	0	0.0	[]
108	je fléchirai sous cette espèce de réprobation, contente de me plaindre en secret.	0	108	13	0	0.0	[]
109	Qu' il me suffise, monsieur, de vous dire que je me serais bien gardée de m' exposer aux suites cruelles de cette prévention tyrannique, si je n' avais eu à vivre que pour moi seule;	0	109	35	0	0.0	[]
110	j' aurois mieux aimé assurément mourir dans la dernière misère, que de monter jamais sur le théâtre: je n' ai vu que mon père, que ma famille, victimes de l' adversité: je me suis sacrifiée.	0	110	35	1	0.02857142857142857	[['mourir']]
111	Quand je suis abaissée aux yeux du public, j' ai recours à ma propre opinion: je rentre en mon cœur, et j' y trouve la consolation de n' avoir point à rougir devant moi;	0	111	34	2	0.058823529411764705	[['abaisser'], ['oeil']]
112	il me dédommage des jugement d' autrui.	0	112	7	0	0.0	[]
113	Croyez-moi, monsieur, peu de personnes ont la force de se contenter de leur estime, parce qu' il en est bien peu qui la méritent.	0	113	25	0	0.0	[]
114	Vous voyez avec quelle sincérité je vous parle;	0	114	8	0	0.0	[]
