sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	L'H É R O ÏS ME : DE : L 'AMOUR ET DE L'AMITIÉ.	0	0	14	0	0.0	[]
1	QUEL tableau plus intéressant å présenter que celui de l'homme vainqueur des passions!	1	0	14	0	0.0	[]
2	Qu'à ces traits, on s'applaudit d'être de l'espèce humaine !	1	1	13	0	0.0	[]
3	Telle est l'image que je tente d'esquisser : puisset-elle ine conserver cet accueil indulgent dont le public a jusqu'ici daigné honorer mes faibles essais !	1	2	27	1	0.037037037037037035	[['faible']]
4	Tous mes vœux seraient qu'elle fût pour la société une sorte de dédommagement de tant de scènes révoltantes de crimes qui se sont passées sous nos yeux , et qui ont excité, à de si justes titres, l'indignation : excès qui déshonoreraient notre nature , si l'abus pouvait jamais se confondre avec le bien, et lui ôter sa valeur et son mérite !	1	3	62	1	0.016129032258064516	[['oeil']]
5	Croyons, d'après l'Anecdote qu'on.	1	4	7	0	0.0	[]
6	va lire , qu'il est encore des âmes courageuses , capables des actions les plus héroïques, et les dignes copies , s'il en peut être , de l'éternel Modèle de 'perfections de qui nous tenons l'existence.	1	5	36	0	0.0	[]
7	'.	1	6	1	0	0.0	[]
8	lire , qe capab?	2	0	3	0	0.0	[]
9	et les Géminyile en avait reçu l'âme la plus sensible : cette sensibilité le dominait au point qu'il trouvait très-peu d'attachements qui pussent en être l'objet.	2	1	30	0	0.0	[]
10	Ce n'est point de lui qu'on eût dit qu'il avait le bandeau de l'amour : conséquemment la plupart des femmes lui paraissaient fort aimables , mais peu faites pour exciter de ces inclinations que les âmes impuissantes traitent de romanesques .	2	2	42	1	0.023809523809523808	[['fort']]
11	Aussi son cœur avait-il, en quelque sorte , un supplice continuel à endurer : s'il est permis de parler ainsi, il ne demandait pas mieux de nos productions de bel esprit, parce que cette sorte d'esprit factice s'acquiert par le travail , et que c'est la nature seule qui donne le sentiment, lequel élevé à un cer.	3	0	59	1	0.01694915254237288	[['bel']]
12	tain degré devient le génie, ce foyer du peu d'ouvrages qui commandent l'admiration, et excitent les sensations les plus paresseuses à éclater.	3	1	24	0	0.0	[]
13	Que de prétendus philosophes incapables de concevoir des vérités soit physiques soit morales , ont pris le parti de les traiter de nullités !	3	2	22	0	0.0	[]
14	Nous ne nous arrêterons qu'à une seule chose : il est beaucoup moins d'hommes sensibles que de prétendus esprits .	3	3	20	0	0.0	[]
15	Lorsque l'esprit est séparé du sentiment, ce n'est plus le talent: c'est le métier.	3	4	17	0	0.0	[]
16	J.J.	3	5	1	0	0.0	[]
17	Rousseau n'eût été qu'un froid barbouilleur de galimathias soi-disant philosophique, s'il n'avait pas uni a ses talents une âme prodigieusement sensible.	3	6	26	1	0.038461538461538464	[['froid']]
18	U que d'aimer.	4	0	4	0	0.0	[]
19	C 'est à l'amour seul qu'il appartient de remplir cette avidité de désirs auxquels nous sommes presque toujours en proie.	5	0	22	0	0.0	[]
20	Le véritable amant goûte , sans contredit , un bonheur bien plus grand que celui après lequel courent l'ambitieux, l'ayare , et qu'ils ne saisissent jamais..	5	1	26	1	0.038461538461538464	[['grand']]
21	Stéphanie Nelsan semblait être la femme que le ciel avait formée exprès pour inspirer à Géminyile une passion qui devait l'enflammer le reste de sa vie : à peine ses regards se furent-ils arrêtés sur cette jeune personne ( elle atteignait sa dix-huitième année ) qu'il fut frappé d'un trait que jusqu'alors il n'avait point ressenti.	6	0	59	1	0.01694915254237288	[['regard']]
22	Mademoiselle Nelsan, en effet, était de ces beautés rares dont on ne saurait exprimer le charme : il ne lui are échappait pas un mouvement qui ne fût animé de cette espèce de magie qu'on aurait de la peine à se figurer.	6	1	42	1	0.023809523809523808	[['rare']]
23	Il est possible de se faire une idée des grâces , des divers genres d'agrément, mais comment se représenter cet ensemble enchanteur qui se rend le maître de tout ce qui l'approche ?	6	2	33	0	0.0	[]
24	Cette femme était d'autant plus séduiduisante qu'elle paraissait n'avoir nulle coquetterie ;	6	3	14	0	0.0	[]
25	son âme pure et ingénue respirait sur son front: c '	6	4	10	2	0.2	[['pur'], ['front']]
26	était la vertu même qu'on voyait sous l'image de la beauté.	6	5	13	0	0.0	[]
27	:-Stéphanie inedémentoit point une annonce aussi attirante.	6	6	7	0	0.0	[]
28	Elle avait perdu les auteurs de ses jours à un âge où il n'est guères possible de ressentir cette perte dans toute son étendue : cependant elle ne cessait de leur donner des larmes;	6	7	34	0	0.0	[]
29	se trouvait-elle séule ,-ses premiers regards se portoient avec avidité sur les portraits de son père et de sa mère , elle les pressait contre son sein, leur 'prodiguait des bai-.. Sers mêlés de ces pleurs qui font les délices de la sensibilité.	6	8	43	3	0.06976744186046512	[['presser'], ['sein'], ['pleur']]
30	Mademoiselle Nelsan était sous la tutelle d'un oncle dur et avare , qui n'envisageait en toutes choses que les avantages de la fortune : voilà sur quel objet ses pensées, son âme entière s'attachaient : il n'y avait point d'accent, d'harmos nie qui flattât son oreille, comme le mot argent ;	7	0	53	2	0.03773584905660377	[['dur'], ['accent']]
31	c 'était dans le iņariage sur-tout que le bien lui paraissait la première qualité à rechercher, et.ce tableau assurés ment ne s'offrait point à sa nièce dans le choix d'un établissement dont elle attendait son bonheur, En effet, la fortune suffit-elle pour nous rendre heureux ?	7	1	48	0	0.0	[]
32	Qu'est-ce qu'une union dont le cour est sé.	7	2	11	0	0.0	[]
33	paré ?	7	3	1	0	0.0	[]
34	De là tanti de maris et de femmes qui sont si étrangers l'un à l'autre, et dont la plupart même éprouvent une aversiori réciproque!	7	4	26	0	0.0	[]
35	Nous venons de représenter Géminvile comme n'ayant point le bandeau de l'amour sur les yeux;	8	0	17	0	0.0	[]
36	il était bien moins clairvoyant sur la nature de ces liaisons qui usurpent trop légèrement le nom d'amitié : sa sensibilité, extrême l'égarait sur un objet si interest sant pour nos affections;	8	1	33	0	0.0	[]
37	il sem: bloit se refuser à l'évidence::de ces imperfections vicieuses , nous n'oserions dire criminelles , qui dans l'adolescence qu'il faut surveiller vos enfants avec un soin extrême, et sur-tout leur interdire , sans nulle complaisance, ces sociétés vicieuses dont tôt ou tard ils deviennent les victimes ou les complices.	8	2	51	0	0.0	[]
38	.. !	8	3	1	0	0.0	[]
39	rivojili Bw	9	0	2	0	0.0	[]
40	..)	9	1	1	0	0.0	[]
41	dégradent tant l'humanité !	10	0	4	0	0.0	[]
42	Il avait ! la faiblesse de juger la société d'après lui-même : et voilà d'où naissent ces erreurs si irréfléchies, si dangereuses, dont le peu de créatures estimables qui se rencontrent dans le monde, sont tôt ou tard les malheureuses victimes.	10	1	41	0	0.0	[]
43	Cependant dans le nombre de ces connaissances avec lesquelles Géminyile était lié, il ne faut pas confondre un jeune homme de son reuses es l'esprit ;	11	0	26	0	0.0	[]
44	qui dépensera des sommes exorbitantes pour acheter , sans l'aimer , la jouissance d'une femme à la mode , et verra mourir de misère, sans lui donner le moindre secours, un être malheureux qu'il ose appeler son ami , son cher ami : voilà l ' honnéte homme de société peint trait pour trait : on ne s'appesantirą, point sur ce portrait, cela nous meneroit trop loin, âge, dont l'âme réunissat toutes les précieuses qualités de la sienne: Dorneuil possédait sa franchise , son désintéressement, et sa délicatesse, ce qui caractérise en un mot l'être si rare , fait pour porter le nom d'ami dans toute sa dignité .	11	1	106	2	0.018867924528301886	[['mourir'], ['rare']]
