sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRE DE CLARICE a Lady Hariote.	0	0	6	0	0.0	[]
1	Perdre tout à la fois une tante que j'ai toujours regardée comme la meilleure des mères, et une amie qui devait essuyer mes larmes en y mêlant les siennes, c'en est plus que votre Clarice n'en peut supporter.	1	0	41	0	0.0	[]
2	Aussi suis-je dans un accablement qu'on pourrait prendre pour de l'insensibilité.	1	1	14	0	0.0	[]
3	J'ai passé les deux jours qui ont suivi la mort de cette tante chérie, dans un silence stupide, ouvrant de grands yeux sans rien voir, écoutant sans rien entendre, et dans une indifférence parfaite sur ce que j'allais devenir.	1	2	41	3	0.07317073170731707	[['stupide'], ['grand'], ['oeil']]
4	Vous le savez, mes Parents m'étaient inconnus, puisque je ne les ai vu depuis l'âge de trois ans, et que la haine de mon père pour sa respectable sœur, ne lui avait pas permis d'entretenir avec elle la moindre correspondance.	1	3	43	0	0.0	[]
5	Ma tante m'avait souvent répété que j'avais une mère digne de toute ma tendresse, et d'un sort plus heureux que celui qu'elle éprouvait;	1	4	27	0	0.0	[]
6	elle m'avait même avoué que sa belle-sœur ne subsistait que par ses bienfaits, et qu'elle était réduite à les lui faire tenir en secret, c'est-à-dire, sous un nom supposé.	1	5	34	0	0.0	[]
7	Ses discours avaient fait naître en moi un désir violent de connaître cette mère, et une frayeur encore plus vive de tomber au pouvoir de ce père qu'on me dépeignait si terrible.	1	6	33	1	0.030303030303030304	[['vif']]
8	Vous avez souvent été témoin de mes sentiments à cet égard, et il était naturel qu'ils se fissent sentir avec plus de force, au moment où mes désirs et mes craintes allaient se réaliser.	1	7	35	1	0.02857142857142857	[['naturel']]
9	La douleur eut la force de les absorber.	1	8	8	0	0.0	[]
10	Assise en silence	1	9	3	0	0.0	[]
11	auprès des précieux restes de ma tante bien-aimée, la confusion qui régnait dans le Château ne fut pas capable de me distraire;	1	10	22	0	0.0	[]
12	les gens de Justice, des amis, des parents éloignés le remplissaient : les premiers mettaient les scellés partout, se saisissaient des clefs, et donnaient les ordres nécessaires pour hâter l'arrivée de mon père et du Doyen de Colborn, auquel ma tante avait confié son testament.	1	11	45	0	0.0	[]
13	Les seconds s'efforçaient de rappeler mes esprits, et me faisaient, pour ainsi dire, une garde contre la malice des derniers, qui me regardaient avec une sorte de fureur, dans la crainte que ma tante ne m'eût avantagée à leurs dépens : car on ne pouvait se persuader qu'elle n'eût pas exclus mon père du nombre de ses successeurs.	1	12	61	0	0.0	[]
14	Milady Horton qui m'a toujours témoigné tant de bonté, fit d'inutiles efforts pour m'arracher d'un spectacle qui nourrissait mon désespoir;	1	13	24	0	0.0	[]
15	je jetais des cris perçants toutes les fois qu'on tentait de m'en éloigner.	1	14	15	0	0.0	[]
