sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	Conte arabe.	0	0	2	0	0.0	[]
1	Vathek, neuvième calife de la race des Abbassides, était fils de Motassem, et petit-fils d'Haroum Al	0	1	17	0	0.0	[]
2	-Rachid.	0	2	1	0	0.0	[]
3	Il monta sur le trône à la fleur de son âge.	0	3	11	0	0.0	[]
4	Les grandes qualités qu'il possédait déjà faisaient espérer à ses peuples que son règne serait long et heureux.	0	4	19	2	0.10526315789473684	[['grand'], ['long']]
5	Sa figure était agréable et majestueuse;	0	5	6	2	0.3333333333333333	[['figure'], ['agréable']]
6	mais, quand il était en colère, un de ses yeux devenait si terrible qu'on n'en pouvait pas soutenir les regards: le malheureux sur lequel il le fixait tombait à la renverse, et quelquefois même expirait à l'instant.	0	6	40	2	0.05	[['oeil'], ['regard']]
7	Aussi, dans la crainte de dépeupler ses états, et de faire un désert de son palais, ce prince ne se mettait en colère que très rarement.	0	7	26	0	0.0	[]
8	Il était fort adonné aux femmes et aux plaisirs de la table.	1	0	12	1	0.08333333333333333	[['fort']]
9	Sa générosité était sans bornes, et ses débauches sans retenues.	1	1	10	0	0.0	[]
10	Il ne croyait pas, comme Omar Ben Abdalaziz, qu'il fallût se faire un enfer de ce monde, pour avoir le paradis dans l'autre.	1	2	25	0	0.0	[]
11	Il surpassa en magnificence tous ses prédécesseurs.	1	3	7	0	0.0	[]
12	Le palais d'Alkorremi, bâti par son père Motassem sur la colline des chevaux pies, et qui commandait toute la ville de Samarah, ne lui parut pas assez vaste.	1	4	29	0	0.0	[]
13	Il y ajouta cinq ailes, ou plutôt cinq autres palais, et il destina chacun à la satisfaction d'un des sens.	1	5	21	0	0.0	[]
14	Dans le premier de ces palais, les tables étaient toujours couvertes de mets les plus exquis.	2	0	16	0	0.0	[]
15	On les renouvelait nuit et jour, à mesure qu'ils se refroidissaient.	2	1	12	0	0.0	[]
16	Les vins les plus délicats et les meilleures liqueurs coulaient à grands flots de cent fontaines qui ne tarissaient jamais.	2	2	20	2	0.1	[['délicat'], ['grand']]
17	Ce palais s'appelait le festin éternel ou l' insatiable .	2	3	10	0	0.0	[]
18	On nommait le second palais le temple de la mélodie ou le nectar de l'âme .	3	0	16	0	0.0	[]
19	Il était habité par les premiers musiciens et poètes de ce temps.	3	1	12	0	0.0	[]
20	Après qu'ils avaient exercé leurs talents dans ce lieu, ils se dispersaient par bandes et faisaient retentir tous ceux d'alentour de leurs chants.	3	2	25	0	0.0	[]
21	Le palais nommé délices des yeux , ou le support de la mémoire , était un enchantement continuel.	4	0	16	1	0.0625	[['oeil']]
22	Des raretés, rassemblées de tous les coins du monde, s'y trouvaient en profusion et dans le bel ordre.	4	1	19	1	0.05263157894736842	[['bel']]
23	On y voyait une galerie de tableaux du célèbre Mani, et des statues qui paraissaient animées.	4	2	16	0	0.0	[]
24	Là, une perspective bien ménagée charmait la vue;	4	3	8	1	0.125	[['charmer']]
25	ici, la magie de l'optique la trompait agréablement;	4	4	9	0	0.0	[]
26	autre part, on trouvait tous les trésors de la nature.	4	5	10	0	0.0	[]
27	En un mot, Vathek, le plus curieux des hommes, n'avait rien omis dans ce palais de ce qui pouvait contenter la curiosité de ceux qui le visitaient.	4	6	28	0	0.0	[]
28	Le palais des parfums , qu'on appelait aussi l' aiguillon de la volupté , était divisé en plusieurs salles.	5	0	18	0	0.0	[]
29	Des flambeaux et des lampes aromatiques y étaient allumés, même en plein jour.	5	1	13	1	0.07692307692307693	[['plein']]
30	Pour dissiper l'agréable ivresse que donnait ce lieu, on descendait dans un vaste jardin, où l'assemblage de toutes les fleurs faisait respirer un air suave et restaurant.	5	2	29	3	0.10344827586206896	[['agréable'], ['vaste'], ['suave']]
31	Dans le cinquième palais, nommé le réduit de la joie ou le dangereux , se trouvaient plusieurs troupes de jeunes filles.	6	0	20	0	0.0	[]
32	Elles étaient belles et prévenantes comme les houris, et jamais elle ne se lassaient de bien recevoir ceux que le calife voulait admettre en leur compagnie.	6	1	26	1	0.038461538461538464	[['bel']]
33	Malgré toutes les voluptés où Vathek se plongeait, ce prince n'en était pas moins aimé de ses peuples.	7	0	19	0	0.0	[]
34	On croyait qu'un souverain qui se livre au plaisir est pour le moins aussi propre à gouverner que celui qui s'en déclare l'ennemi.	7	1	26	0	0.0	[]
35	Mais son caractère ardent et inquiet ne lui permit pas d'en rester là.	7	2	14	0	0.0	[]
36	Du vivant de son père il avait tant étudié pour se désennuyer qu'il savait beaucoup;	7	3	16	0	0.0	[]
37	il voulut enfin tout savoir, même les sciences qui n'existent pas.	7	4	12	0	0.0	[]
38	Il aimait à disputer avec les savants;	7	5	7	0	0.0	[]
39	mais il ne fallait pas qu'ils poussassent trop loin la contradiction.	7	6	12	0	0.0	[]
40	Aux uns il fermait la bouche par des présents;	7	7	9	1	0.1111111111111111	[['bouche']]
41	ceux dont l'opiniâtreté résistait à sa libéralité étaient envoyés en prison pour calmer leur sang: remède qui souvent réussissait.	7	8	20	0	0.0	[]
42	Vathek voulut aussi se mêler des querelles théologiques, et ce ne fut pas pour le parti généralement regardé comme orthodoxe qu'il se déclara.	7	9	24	0	0.0	[]
43	Il mit par là tous les dévots contre lui: alors il les persécuta;	7	10	13	0	0.0	[]
44	car à quelque prix que ce fût, il voulait toujours avoir raison.	7	11	12	0	0.0	[]
45	Le grand prophète Mahomet, dont les califes sont les vicaires, était indigné dans le septième ciel de la conduite irréligieuse d'un de ses successeurs.	7	12	25	1	0.04	[['grand']]
46	Laissons	7	13	1	0	0.0	[]
47	-le faire, disait-il aux génies qui sont toujours prêts à recevoir ses ordres: voyons où ira sa folie et son impiété;	7	14	22	0	0.0	[]
48	s'il en fait trop, nous saurons bien le châtier.	7	15	10	0	0.0	[]
49	Aidez	7	16	1	0	0.0	[]
50	-lui à bâtir cette tour, qu'à l'imitation de Nimrod il a commencé d'élever;	7	17	16	0	0.0	[]
51	non comme ce grand guerrier pour se sauver d'un nouveau déluge, mais par l'insolente curiosité de pénétrer dans les secrets du ciel.	7	18	24	2	0.08333333333333333	[['grand'], ['pénétrer']]
52	Il a beau faire, il ne devinera jamais le sort qui l'attend!	7	19	13	1	0.07692307692307693	[['beau']]
53	Les génies obéirent;	8	0	3	0	0.0	[]
54	et, quand les ouvriers élevaient durant le jour la tour d'une coudée, ils y en ajoutaient deux pendant la nuit.	8	1	21	1	0.047619047619047616	[['pendant']]
55	La rapidité avec laquelle cet édifice fut construit flatta la vanité de Vathek.	8	2	13	0	0.0	[]
56	Il pensait que même la matière insensible se prêtait à ses desseins.	8	3	12	0	0.0	[]
57	Ce prince ne considérait pas, malgré toute sa science, que les succès de l'insensé et du méchant sont les premières verges dont ils sont frappés.	8	4	26	0	0.0	[]
58	Son orgueil parvint à son comble lorsqu'ayant monté, pour la première fois, les quinze cents degrés de sa tour, il regarda en bas.	9	0	24	0	0.0	[]
59	Les hommes lui paraissaient des fourmis, les montagnes des coquilles, et les villes des ruches d'abeilles.	9	1	17	0	0.0	[]
60	L'idée que cette élévation lui donna de sa propre grandeur acheva de lui tourner la tête.	9	2	17	0	0.0	[]
61	Il allait s'adorer lui-même, lorsqu'en levant les yeux il s'aperçut que les astres étaient aussi éloignés de lui qu'au niveau de la terre.	9	3	27	1	0.037037037037037035	[['oeil']]
62	Il se consola cependant du sentiment involontaire de sa petitesse, par l'idée de paraître grand aux yeux des autres;	9	4	20	3	0.15	[['consoler'], ['grand'], ['oeil']]
63	d'ailleurs il se flatta que les lumières de son esprit surpasseraient la portée de ses yeux, et qu'il ferait rendre compte aux étoiles des arrêts de sa destinée.	9	5	30	1	0.03333333333333333	[['oeil']]
64	Pour cet effet, il passait la plupart des nuits sur le sommet de sa tour, et, se croyant initié dans les mystères astrologiques, il s'imagina que les planètes lui annonçaient de merveilleuses aventures.	10	0	34	0	0.0	[]
65	Un homme extraordinaire devait venir d'un pays dont on n'avait jamais entendu parler, et en être le héraut.	10	1	20	0	0.0	[]
66	Alors, il redoubla d'attention pour les étrangers, et fit publier à son de trompe dans les rues de Samarah qu'aucun de ses sujets n'eût à retenir ni à loger les voyageurs, il voulait qu'on les amenât tous dans son palais.	10	2	44	0	0.0	[]
67	Quelque temps après cette proclamation, parut un homme dont la figure était si effroyable, que les gardes qui s'en emparèrent furent obligés de fermer les yeux en le conduisant au palais.	11	0	32	2	0.0625	[['figure'], ['oeil']]
68	Le calife lui-même parut étonné à son horrible aspect;	11	1	9	0	0.0	[]
69	mais la joie succéda bientôt à cet effroi involontaire.	11	2	9	0	0.0	[]
70	L'inconnu étala devant le prince des raretés telles qu'il n'en avait jamais vu, et dont il n'avait pas même conçu la possibilité.	11	3	26	0	0.0	[]
71	Rien, en effet, n'était plus extraordinaire que les marchandises de l'étranger.	12	0	13	0	0.0	[]
72	La plupart de ses bijoux étaient aussi bien travaillés que magnifiques.	12	1	11	0	0.0	[]
73	Ils avaient, outre cela, une vertu particulière, décrite sur un rouleau de parchemin attaché à chaque pièce.	12	2	17	0	0.0	[]
74	On voyait des pantoufles qui aidaient aux pieds à marcher;	12	3	10	1	0.1	[['pied']]
75	des couteaux qui coupaient sans le mouvement de la main;	12	4	10	0	0.0	[]
76	des sabres qui portaient le coup au moindre geste: le tout était enrichi de pierres précieuses que personne ne connaissait.	12	5	20	0	0.0	[]
77	Parmi toutes ces curiosités se trouvaient des sabres, dont les lames jetaient un feu éblouissant.	12	6	15	0	0.0	[]
78	Le calife voulut les avoir, et se promettait de déchiffrer à loisir des caractères inconnus qu'on y avait gravés.	12	7	20	0	0.0	[]
79	Sans demander au marchand quel en était le prix, il fit apporter devant lui tout l'or monnayé du trésor, et lui dit de prendre ce qu'il voudrait.	12	8	29	0	0.0	[]
80	Celui-ci prit peu de chose, et en gardant un profond silence.	12	9	12	1	0.08333333333333333	[['profond']]
81	Vathek ne douta point que le silence de l'inconnu ne fût causé par le respect que lui inspirait sa présence.	13	0	21	0	0.0	[]
82	Il le fit avancer avec bonté, et lui demanda d'un air affable qui il était, d'où il venait, et où il avait acquis de si belles choses?	13	1	29	1	0.034482758620689655	[['bel']]
83	L'homme, ou plutôt le monstre, au lieu de répondre à ces questions, frotta trois fois son front plus noir que l'ébène, frappa quatre fois sur son ventre dont la circonférence était énorme, ouvrit de gros yeux qui paraissaient deux charbons ardents, et se mit à rire avec un bruit affreux en montrant de larges dents couleur d'ambre rayée de vert.	13	2	63	10	0.15873015873015872	[['front'], ['noir'], ['ébène'], ['ventre'], ['énorme'], ['gros'], ['oeil'], ['large'], ['dent'], ['couleur']]
84	Le calife, un peu ému, répéta sa demande;	13	3	8	1	0.125	[['émouvoir']]
85	mais il ne reçut pas d'autre réponse.	13	4	8	0	0.0	[]
86	Alors, ce prince commença à s'impatienter et s'écria: sais-tu bien, malheureux, qui je suis?	13	5	17	0	0.0	[]
87	Et penses	13	6	2	0	0.0	[]
88	-tu de qui tu te joues?	13	7	6	0	0.0	[]
89	Et s'adressant à ses gardes, il leur demanda s'ils l'avaient entendu parler?	13	8	15	0	0.0	[]
90	Ils répondirent qu'il avait parlé, mais ce qu'il avait dit n'était pas grand'chose.	13	9	16	0	0.0	[]
91	Qu'il parle donc encore, reprit Vathek, qu'il parle comme il pourra, et qu'il me dise qui il est, d'où il vient, et d'où il a apporté les étranges curiosités qu'il m'a offertes?	13	10	39	0	0.0	[]
92	Je jure par l'âne de Balaam que, s'il se tait davantage, je le ferai repentir de son obstination.	13	11	20	0	0.0	[]
93	En disant ces mots, le calife ne put s'empêcher de lancer sur l'inconnu un de ses regards dangereux: celui-ci n'en perdit pas seulement contenance: l'œil terrible et meurtrier ne fit aucun effet sur lui.	13	12	38	1	0.02631578947368421	[['regard']]
94	On ne saurait exprimer l'étonnement des courtisans, quand ils s'aperçurent que l'incivil marchand soutenait une telle épreuve.	13	13	20	0	0.0	[]
95	Ils s'étaient jetés la face contre terre, et y seraient restés, si le calife ne leur eût dit d'un ton furieux: levez-vous, poltrons, et saisissez ce misérable!	13	14	30	3	0.1	[['face'], ['ton'], ['furieux']]
96	Qu'il soit traîné en prison et gardé à vue par mes meilleurs soldats!	13	15	14	0	0.0	[]
97	Il peut emporter avec lui l'argent que je viens de lui donner;	13	16	13	0	0.0	[]
98	qu'il le garde, mais qu'il parle.	13	17	8	0	0.0	[]
99	À ces mots, on tomba de tous côtés sur l'étranger;	13	18	11	0	0.0	[]
100	on le garrotta de fortes chaînes, et on le conduisit dans la prison de la grande tour.	13	19	17	2	0.11764705882352941	[['fort'], ['grand']]
101	Sept enceintes de barreaux de fer, garnis de pointes aussi longues et aussi acérées que des broches, l'environnaient de tous côtés.	13	20	22	2	0.09090909090909091	[['de', 'fer'], ['long']]
102	Le calife demeura cependant dans la plus violente agitation.	13	21	9	0	0.0	[]
103	Il ne parlait point;	13	22	4	0	0.0	[]
104	à peine voulut-il se mettre à table, et il ne mangea que de trente-deux plats sur les trois cents qu'on lui servait tous les jours.	13	23	27	1	0.037037037037037035	[['plat']]
105	Cette diète, à laquelle il n'était pas accoutumé, l'aurait seule empêché de dormir.	13	24	15	0	0.0	[]
106	Quel effet ne dût-elle pas avoir, étant jointe à l'inquiétude qui le possédait!	13	25	15	1	0.06666666666666667	[['joindre']]
107	Aussi, dès qu'il fut jour, il courut à la prison pour faire de nouveaux efforts auprès de l'opiniâtre inconnu.	13	26	21	0	0.0	[]
108	Mais sa rage ne saurait se décrire quand il vit qu'il n'y était plus, que les grilles de fer étaient brisées, et les gardes sans vie.	13	27	28	1	0.03571428571428571	[['de', 'fer']]
109	Le plus étrange délire s'empara de lui.	13	28	8	0	0.0	[]
110	Il se mit à donner de grands coups de pied aux cadavres qui l'entouraient, et continua tout le jour à les frapper de la même manière.	13	29	27	3	0.1111111111111111	[['grand'], ['pied'], ['cadavre']]
111	Ses courtisans et ses visirs firent	13	30	6	0	0.0	[]
112	tout ce qu'ils purent pour le calmer	13	31	8	0	0.0	[]
113	;	13	32	0	0	0	[]
114	mais voyant qu'ils n'en pouvaient pas venir à bout, ils s'écrièrent tous ensemble: le calife est devenu fou!	13	33	21	0	0.0	[]
115	Le calife est devenu fou!	13	34	5	0	0.0	[]
116	Ce cri fut bientôt répété dans toutes les rues de Samarah.	14	0	11	0	0.0	[]
117	Il parvint enfin aux oreilles de la princesse Carathis, mère de Vathek.	14	1	12	0	0.0	[]
118	Elle accourut toute alarmée, pour essayer le pouvoir qu'elle avait sur l'esprit de son fils.	14	2	17	0	0.0	[]
119	Ses pleurs et ses embrassements réussirent à fixer le calife dans une même place; et cédant bientôt à ses instances, il se laissa ramener dans son palais.	14	3	27	1	0.037037037037037035	[['pleur']]
120	Carathis n'eut garde d'abandonner son fils à lui-même.	15	0	10	0	0.0	[]
121	Après qu'elle l'eût fait mettre au lit, elle s'assit auprès et tâcha par ses discours de le consoler et de le tranquilliser.	15	1	25	1	0.04	[['consoler']]
122	Personne ne pouvait mieux y parvenir.	15	2	6	0	0.0	[]
123	Vathek l'aimait et la respectait, comme une mère, mais encore comme une femme douée d'un génie supérieur.	15	3	19	0	0.0	[]
124	Elle était grecque et lui avait fait adopter tous les systèmes et les sciences de ce peuple, en honneur parmi les bons musulmans.	15	4	23	0	0.0	[]
125	L'astrologie judiciaire était une de ces sciences, et Carathis la possédait parfaitement.	15	5	13	0	0.0	[]
126	Son premier soin fut donc de faire ressouvenir à son fils de ce que les étoiles lui avaient promis, et elle proposa de les consulter encore.	15	6	26	0	0.0	[]
127	Hélas!Lui dit le calife, dès qu'il put parler, je suis un insensé, non d'avoir donné quarante mille coups de pied à mes gardes, qui se sont sottement laissé mourir, mais parce que je n'ai pas réfléchi que cet homme extraordinaire était celui que les planètes m'avaient annoncé.	15	7	51	2	0.0392156862745098	[['pied'], ['mourir']]
128	Au lieu de le maltraiter, j'aurais dû essayer de le gagner par la douceur et les caresses.	15	8	18	0	0.0	[]
129	Le passé ne peut se rappeler, répondit Carathis;	15	9	8	0	0.0	[]
130	il faut songer à l'avenir.	15	10	6	0	0.0	[]
