sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	ÉLISABETH.	0	0	1	0	0.0	[]
1	LETTRE I. D'ELISABETH,	0	1	4	0	0.0	[]
2	sà Madame d'ALBI.	0	2	4	0	0.0	[]
3	Dans quel lieu es-tu donc, chère Henriette, depuis huit jours que j'attends de tes nouvelles?	1	0	17	0	0.0	[]
4	que me présage ce silence?	1	1	5	0	0.0	[]
5	serais-tu malade?	1	2	3	0	0.0	[]
6	Ah Dieu!	1	3	2	0	0.0	[]
7	ce chagrin viendrait-il troubler ma joie? que dis-je, ma joie?	1	4	12	0	0.0	[]
8	ce mot ne rend point e que j'éprouve.	1	5	9	0	0.0	[]
9	Tu sais combien ta présence me fut toujours chère: mais qu'elle me devient nécessaire en ce moment Enfin, pour la première fois, j'ai un important secret à te confier.	2	0	31	1	0.03225806451612903	[['ton']]
10	Je t'avoue que j'en suis si fort affectée, que je crains sans cesse qu'il ne m'échappe.	3	0	20	1	0.05	[['fort']]
11	Reviens donc;	3	1	2	0	0.0	[]
12	hâte	3	2	1	0	0.0	[]
13	-toi de préserver ton amie de quelqu'imprudence: viens partager combler son bonheur!..... Je ne puis y suffire toute seule.	3	3	21	1	0.047619047619047616	[['ton']]
14	Depuis trois jours le sourire ne m'a point abandonnée.	3	4	10	0	0.0	[]
15	Je me refuse au sommeil, crainte de perdre le sentiment de ma situation: tout ce qui m'environne me semble embelli.	3	5	21	0	0.0	[]
16	Il n'est point d'objet qui ne soit paré des riantes couleurs de mon imagination;	3	6	16	1	0.0625	[['couleur']]
17	les choses, les hommes, tout me paraît perfectionné.	3	7	8	0	0.0	[]
18	Il n'y a pas jusqu'à la maussade humeur de mon oncle, qui ne me semble agréable;	3	8	18	0	0.0	[]
19	toi	3	9	1	0	0.0	[]
20	-	3	10	0	0	0	[]
21	même, chère Henriette, te l'avouerai-je?	3	11	7	0	0.0	[]
22	le croiras-tu?	3	12	3	0	0.0	[]
23	je t'aime quatre fois davantage;	3	13	6	0	0.0	[]
24	...	3	14	0	0	0	[]
25	oui, si tu étais-là, je te donnerais mille baisers: mais cet excès de tendresse ne t'explique rien.	4	0	19	0	0.0	[]
26	La mienne pour toi a toujours été si vive depuis que je t'ai connue, depuis cet instant heureux où l'amitié donna la vie à mon cœur, que je n'ai respiré que pour t'aimer.	4	1	37	1	0.02702702702702703	[['vif']]
27	Un sertiment si vif n'aurait-il pas dû captiver toutes les puissances de mon âme?	5	0	16	1	0.0625	[['vif']]
28	devais-je attendre si tard pour te donner un rival?	5	1	10	0	0.0	[]
29	car tu sals (il est inutile de te le rappeler,) que j'ai vingt-quatre ans, quoique ma bien bonne amie, je te défie d'oublier cette date.	5	2	28	0	0.0	[]
30	Ne me trouves	5	3	3	0	0.0	[]
31	-	5	4	0	0	0	[]
32	tu pas ridicule	5	5	3	0	0.0	[]
33	d'aimer à mon âge pour la première fois de ma vie?	5	6	12	0	0.0	[]
34	Cependant ne te presse pas trop de me condamner;	5	7	9	0	0.0	[]
35	je suis pas encore sûre que ce soit de l'amour;	5	8	11	0	0.0	[]
36	au moins puis-je en douter, si j'en juge par ce que j'ai lu entendu dire jusqu'à présent: toi	5	9	22	0	0.0	[]
37	-même qui l'as éprouvé, ne m'as-tu pas dit cent fois, que les premiers effets de ce sentiment sont de rendre triste, rêveur;	5	10	25	1	0.04	[['triste']]
38	moi au contraire j'ai une gaieté continue;	5	11	8	0	0.0	[]
39	je ne réfléchis plus malgré l'extrême penchant que tu me connais aux réflexions.	5	12	14	0	0.0	[]
40	Mon cœur palpite de plaisir dans l'absence en présence de l'objet.	5	13	13	0	0.0	[]
41	Si je pense encore quelquefois, ce n'est que pour me rendre compte de mon bonheur.	5	14	16	0	0.0	[]
42	Enfin tu ne voudras pas me croire: mais en vérité je ne trouve point de différence entre ce que j'éprouve pour ce nouvel objet, ce que j'ai senti pour toi, excepté que les premiers jours nos regards n'osoient suis pas encore sûre que ce soit de l'amour;	5	15	51	1	0.0196078431372549	[['regard']]
43	au moins puis-je en douter, si j'en juge par ce que j'ai lu entendu dire jusqu'à présent: toi	5	16	22	0	0.0	[]
44	-même qui l'as éprouvé, ne m'as-tu pas dit cent fois, que les premiers effets de ce sentiment sont de rendre triste, rêveur;	5	17	25	1	0.04	[['triste']]
45	moi au contraire j'ai une gaieté continue;	5	18	8	0	0.0	[]
46	je ne réfléchis plus malgré l'extrême penchant que tu me connais aux réflexions.	5	19	14	0	0.0	[]
47	Mon cœur palpite de plaisir dans l'absence en présence de l'objet.	5	20	13	0	0.0	[]
48	Si je pense encore quelquefois, ce n'est que pour me rendre compte de mon bonheur.	5	21	16	0	0.0	[]
49	Enfin tu ne voudras pas me croire: mais en vérité je ne trouve point de différence entre ce que j'éprouve pour ce nouvel objet, ce que j'ai senti pour toi, excepté que les premiers jours nos regards n'osoient se porter l'un sur l'autre.	5	22	48	1	0.020833333333333332	[['regard']]
50	Maintenant il ne nous est plus possible de les détourner.	5	23	10	0	0.0	[]
51	Mais l'absence, qui, dit-on, est le plus grand des maux pour les amants, ne m'a causé nul chagrin;	5	24	21	1	0.047619047619047616	[['grand']]
52	quoiqu'en huit jours il y en ait eu quatre où des espaces immenses nous ont séparés.	5	25	17	0	0.0	[]
53	Cependant	6	0	1	0	0.0	[]
54	tu sçais comme je pleurais chaque fois que je te voyais partir, combien tes plus courtes absences m'ont coûté de larmes...Tiens, Henriette, songe à tout cela tu conclueras sûrement que ce n'est que de l'amitié.	6	1	39	0	0.0	[]
55	Au reste, quelle que soit la nature du sentiment qui m'anime, il me cause tant de plaisir, que je me félicite de l'éprouver.	7	0	25	0	0.0	[]
56	Il ne manque à mon bonheur, pour être parfait, que de t'avoir auprès de moi.	7	1	16	0	0.0	[]
57	Quand finira donc ce malheureux service?	8	0	6	0	0.0	[]
58	En vain ma vive impatience compte recompte les jours;	8	1	9	1	0.1111111111111111	[['vif']]
59	son calcul semble éloigner ce terme au lieu de l'abréger......	8	2	11	0	0.0	[]
60	Abandonneras	9	0	1	0	0.0	[]
61	-	9	1	0	0	0	[]
62	tu ton amie	9	2	3	1	0.3333333333333333	[['ton']]
63	dans un moment, où sa sécurité n'est peut-être qu'une erreur dont les suites lui seront funestes	9	3	18	0	0.0	[]
64	?	9	4	0	0	0	[]
65	Ton grave	9	5	2	1	0.5	[['ton']]
66	mari ne pourrait-il remplir les devoirs de sa charge, sans t'obliger d'habiter un pays où il n'y a que des corps sans âme, par rapport à toi;tu ne dois vivre qu'à demi, avec des personnes pour qui l'existence d'un ccœur sincere est un être de raison.	9	6	53	1	0.018867924528301886	[['corps']]
67	Persuade donc à ton tranquille mari, que malgré son amour pour l'ordre, il serait convenable de te laisser à Paris pendant son séjour à Versailles: mais je le connais;	10	0	30	2	0.06666666666666667	[['ton'], ['pendant']]
68	il est homme à passer huit jours à examiner la proposition, quinze à prendre une résolution, trente à la communiquer;	10	1	20	0	0.0	[]
69	desorte que j'aurois le temps de mourir de joie ou de douleur avant qu'il eût pris un parti.	10	2	20	1	0.05	[['mourir']]
70	Ainsi il ne me reste d'espoir qu'en ton amitié;	10	3	11	1	0.09090909090909091	[['ton']]
71	si elle était aussi vive que la mienne, il n'est point de sacrifice que tu ne me fisses.	10	4	19	1	0.05263157894736842	[['vif']]
72	J'ai éprouvé cent fois qu'on est trop heureux, lorsque l'on n'a que des obstacles à vaincre pour obliger ses amis.	10	5	24	0	0.0	[]
73	Fais donc un miracle en faveur de ton Elisabeth, détermine à l'instant monsieur d'AIbi, fais le consentir à ton départ, viens, non pour pénétrer le secret de mon ccœur puisque tu le sçais; mais pour m'éclairer sur sa véritable situation, car je m'y perds moi	10	6	49	3	0.061224489795918366	[['ton'], ['ton'], ['pénétrer']]
74	-même crains de m'égarer.	10	7	5	0	0.0	[]
75	Ton expérience l'intime connaissance que tu as de mon âme, te mettront à portée de me donner de salutaires conseils.	10	8	21	1	0.047619047619047616	[['ton']]
76	Tu vois que la raison, d'accord avec l'amitié, te fait un devoir de se courir ton amie.	11	0	19	1	0.05263157894736842	[['ton']]
77	Je vis hier, pour la première fois, depuis que je suis sortie de mon tombeau, c'est-à-dire, du couvent, je vis monseigneur mon grandissime cousin, décoré, je pourrais dire chargé, des marques distinctives de sa nouvelle dignité;	12	0	39	0	0.0	[]
78	car il avait l'air d'en bien sentir le poids.) Tout cela surmonté d'un superbe maintien d'un haut ton de cérémonie.	12	1	25	4	0.16	[['superbe'], ['maintien'], ['haut'], ['ton']]
79	A toutes les phrases, toutes les questions,-..	12	2	7	0	0.0	[]
80	.. Madeautant de fois moiselle... je répondais affectueusement, mon cousin, mon cher cousin ......	13	0	12	0	0.0	[]
81	Je m'aperçu que je mettais sa dignité à la torture par la familiarité de mon style;	14	0	17	0	0.0	[]
82	car il devint plus précieux, quelle qu'ambition que je lui connoisse, je crois qu'en ce moment il ne m'aurait pas appelé(e) sa cousine pour la tiare.	14	1	29	0	0.0	[]
83	Par ses discours je vis que sa grandeur avait beaucoup de regrets de ne pouvoir me nommer madame l'abbesse, comme on se l'était promis dès mon enfance.	14	2	29	0	0.0	[]
84	Ne trouves	15	0	2	0	0.0	[]
85	-	15	1	0	0	0	[]
86	tu pas, ma chère, que cet homme tiens bien de la famille à tous égards?	15	2	15	0	0.0	[]
87	Je me souviens, que jamais mes parents ne m'ont donné le doux nom de leur fille, pas même celui d'Elisabeth.	15	3	22	1	0.045454545454545456	[['dou']]
88	ils parlaient de moi présente ou absente	16	0	7	0	0.0	[]
89	, ils disoient toujours mademoiselle de Chamdermant.	16	1	6	0	0.0	[]
90	Il me semble que des personnes, si attachées à un vain extérieur d'étiquette de grandeur, doivent avoir le cœur fermé à tous sentiments d'amour.	16	2	26	0	0.0	[]
91	Je demande pardon de la réflexion à mes chers parents, mais la violence qu'ils ne craignaient pas de faire à mon inclination, en me forçant d'être religieuse, est une triste preuve de ce que je dis.	16	3	38	1	0.02631578947368421	[['triste']]
92	Mais je dois respecter leur volonté non examiner si elle était juste;	16	4	12	0	0.0	[]
93	ainsi point de récrimination, puisque j'ai le bonheur d'être libre, oui, très-libre;	16	5	15	0	0.0	[]
94	car mon oncle ne se propose pas, je crois, de me marier contre mon gré.	16	6	15	0	0.0	[]
95	Adieu, chère aimable Henriette;	16	7	4	0	0.0	[]
