sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	PREMIÈRE PARTIE Emilie avait seize ans et demi quand elle émigra avec son père et sa mère, gens de mérite, d'honneur, de naissance, et qui avaient été assez riches pour espérer de marier très bien leur fille.	0	0	38	1	0.02631578947368421	[['riche']]
1	Elle était fille unique, elle avait de la beauté et de l'esprit, on lui avait prodigué toute espèce d'instruction, et cependant elle n'avait qu'un amour-propre et des prétentions supportables: elle parlait avec assez de simplicité;	0	1	40	0	0.0	[]
2	elle avait quelques égards pour des étrangers qui l'accueillaient.	0	2	10	0	0.0	[]
3	Son père et sa mère espéraient, ainsi que tant d'autres, une contre-révolution prochaine, uniquement parce qu'ils la désiraient, et cet espoir les avait empêchés de vendre, lorsqu'il en était encore temps, un château en province et un hôtel qu'ils avaient à Paris.	1	0	46	0	0.0	[]
4	Sans prévoyance d'abord, bientôt sans argent, le chagrin triompha de leur raison, altéra leur santé, et les conduisit au tombeau presque en même temps.	1	1	25	0	0.0	[]
5	-Vivez pour moi, s'écriait la malheureuse Emilie, en considérant l'étendue de la perte dont elle était menacée: ranimez votre entourage, rappelez votre vie que je vois s'échapper.	2	0	30	1	0.03333333333333333	[['menacer']]
6	-C'est ma femme, c'est ma fille dont l'infortune me donne la mort, disait son père affaibli.	3	0	19	0	0.0	[]
7	-Je ne puis survivre à mon époux, ni supporter la misère de mon enfant, disait sa mourante mère.	4	0	18	0	0.0	[]
8	Emilie les pleura amèrement et au milieu d'un pays étranger, elle se crut sans ami et sans ressource.	5	0	19	0	0.0	[]
9	Dès qu'elle fut un peu calmée, une jeune Alsacienne restée seule d'un nombreux domestique et qui servait Emilie avec autant d'adresse que d'attachement, lui dit: -Vous croyez n'avoir plus rien quand vous n'avez que votre Joséphine;	6	0	42	0	0.0	[]
10	mais vous vous trompez, Mademoiselle, et Joséphine le prouvera.	6	1	9	0	0.0	[]
11	C'est demain qu'il nous faut payer notre logement, et peut-être ne l'auriez-vous pu sans vous gêner; mais la chose est faite.	6	2	25	0	0.0	[]
12	Quel meilleur parti pouvais-je tirer de mes épargnes!	6	3	9	0	0.0	[]
13	Et ne croyez pas que j'aie donné tout ce que je possédais.	6	4	13	0	0.0	[]
14	Il me reste de quoi payer pendant six mois, au moins, une habitation plus petite, mais plus gaie, que je suis d'avis que nous prenions à la campagne: voici le printemps, et la ville où nous sommes, outre qu'elle vous rappellera longtemps de fort tristes souvenirs, me paraît un assez lugubre séjour.	6	5	54	4	0.07407407407407407	[['pendant'], ['petit'], ['fort'], ['triste']]
15	Emilie regarda Joséphine avec quelque surprise, pleura, et supprimant les objections et les réflexions que sa fierté lui suggérait, supprimant jusqu'aux remerciements qu'elle sentait bien ne pouvoir être proportionnés à un dévouement si généreux, elle lui dit: -Pardon, Joséphine, si je n'ai ni deviné, ni étudié ton excellent cœur.	7	0	52	1	0.019230769230769232	[['ton']]
16	Nous demeurerons où tu voudras.	7	1	5	0	0.0	[]
17	Je m'en remets à ton discernement et à ton zèle.	7	2	11	2	0.18181818181818182	[['ton'], ['ton']]
18	Joséphine, fière et reconnaissante de voir ses bienfaits agréés	8	0	9	0	0.0	[]
19	, baisa la main de sa maîtresse,	8	1	6	1	0.16666666666666666	[['main']]
20	puis la quitta pour s'occuper de leurs nouveaux arrangements.	8	2	10	0	0.0	[]
