sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	Le colporteur, histoire morale et critique.	0	0	6	0	0.0	[]
1	Ah!	1	0	1	0	0.0	[]
2	C' est vous, chevalier, dit la Marquise De Sarmé, en voyant entrer un de ces merveilleux qui ont l' agréable talent de tromper, de ruiner et de déshonorer toutes les femmes?	1	1	31	1	0.03225806451612903	[['agréable']]
3	Vous êtes aujourd' hui d' un brillant , d' un lumineux , d' une santé...	1	2	13	0	0.0	[]
4	en vérité	2	0	2	0	0.0	[]
5	, plus je vous considerer, et plus j' ai envie de parler que vous n' avez plus de petite maison .	2	1	19	1	0.05263157894736842	[['petit']]
6	Eh, d' où vient ce propos, marquise?	2	2	7	0	0.0	[]
7	J' ai toujours la même, celle que vous trouviez autrefois si délicieuse .	2	3	12	0	0.0	[]
8	Parlez plus bas, chevalier, reprit Madame De Sarmé, je serais perdue si mes femmes vous entendaient.	2	4	16	1	0.0625	[['bas']]
9	Est	2	5	1	0	0.0	[]
10	-ce que vous en auriez changé, madame?	2	6	7	0	0.0	[]
11	Poursuivez, monsieur,voilà une impertinence aussi	2	7	6	0	0.0	[]
12	-bien conditionnée...	2	8	2	0	0.0	[]
13	ah, point d' humeur, marquise, ou je me retire.	2	9	9	0	0.0	[]
14	Oh, retirez-vous, chevalier, retirez-vous, ma toilette n' en sera pas plus solitaire, et le petit abbé que j' attends m' amusera du moins sans me faire rougir.	2	10	29	1	0.034482758620689655	[['petit']]
15	Ah, ma foi, dit le chevalier, si l' abbé vient, je lui cède le pas par respect pour son caractère.	2	11	20	0	0.0	[]
16	Vous êtes fou avec votre caractère,	2	12	6	0	0.0	[]
17	reprit la marquise, l' abbé n' en a point.	2	13	9	0	0.0	[]
18	Je vous demande pardon, madame, poursuivit le chevalier, il en a un assurément, et un de ces caractères avec lesquels on vole à la fortune, en obligeant beaucoup d' honnêtes gens.	2	14	31	0	0.0	[]
19	Je ne vous entends point, répliqua Madame De Sarmé.	2	15	9	0	0.0	[]
20	Ce que je dis est pourtant très-clair;	2	16	8	0	0.0	[]
21	et votre petit abbé a le talent respectable de faire des mariages de l' instant, qui lui valent beaucoup d' argent et de considération.	2	17	24	1	0.041666666666666664	[['petit']]
22	Quoi!	2	18	1	0	0.0	[]
23	S' écria la marquise, l' abbé serait un... ah, cela n' est pas possible.	2	19	14	0	0.0	[]
24	Oh, très-possible, madame;	2	20	4	0	0.0	[]
25	et puisque vous voulez que je vous parle vrai, je vous dirai à l' oreille que je ne dois qu' à ses soins l' honneur de vous avoir été quelque chose... ah, le petit maussade, dit Madame De Sarmé, je ne veux le voir de mes jours;	2	21	47	1	0.02127659574468085	[['petit']]
