sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRE PREMIÈRE.	0	0	2	0	0.0	[]
1	CLAIRE D'ALBE À ÉLISE DE BIRÉ.	1	0	7	0	0.0	[]
2	Non, mon Élise, non, tu ne doutes pas de la peine que j'ai éprouvée en te quittant ;	2	0	18	0	0.0	[]
3	tu l'as vue : elle a été telle, que M. d'Albe proposait de me laisser avec toi, et que j'ai été près d'y consentir.	2	1	27	0	0.0	[]
4	Mais alors le charme de notre amitié n'eût-il pas été détruit ?	2	2	13	0	0.0	[]
5	aurions-nous pu être contentes d'être ensemble, en ne l'étant pas de nous-mêmes ? aurais	2	3	17	0	0.0	[]
6	-tu osé parler de vertu, sans craindre de me faire rougir, et remplir des devoirs qui eussent été un reproche tacite pour celle qui abandonnait son époux, et séparait un père de ses enfants ?	2	4	34	0	0.0	[]
7	Élise, j'ai dû te quitter, et je ne puis m'en repentir ;	2	5	13	0	0.0	[]
8	si c'est un sacrifice, la reconnaissance de M. d'Albe m'en a dédommagée, et les sept années que j'ai passées dans le monde depuis mon mariage ne m'avaient pas obtenu autant de confiance de sa part, que la certitude que je ne te préfère pas à lui.	2	6	51	0	0.0	[]
9	Tu le sais, cousine, depuis mon union avec M. d'Albe, il n'a été jaloux que de mon amitié pour toi ;	2	7	22	0	0.0	[]
10	il était donc essentiel de le rassurer sur ce point, et c'est à quoi j'ai parfaitement réussi.	2	8	19	0	0.0	[]
11	Élise, gronde-moi, si tu veux ;	2	9	6	0	0.0	[]
12	mais, malgré ton absence, je suis heureuse, oui, je suis heureuse de la satisfaction de M. d'Albe ;	2	10	18	1	0.05555555555555555	[['ton']]
13	«	2	11	1	0	0.0	[]
14	Enfin, me disait-il ce matin, j'ai acquis la plus entière sécurité sur votre attachement : il a fallu long-temps, sans doute ;	2	12	23	1	0.043478260869565216	[['long']]
15	mais pouvez-vous vous en étonner, et la disproportion de nos âges ne vous rendra-t-elle pas indulgente là-dessus ?	2	13	21	0	0.0	[]
16	Vous êtes belle et aimable ;	2	14	5	1	0.2	[['bel']]
17	je vous ai vue dans le tourbillon du monde et des plaisirs, recherchée, adulée ;	2	15	14	0	0.0	[]
18	trop sage pour qu'on osât vous adresser des vœux, trop simple pour être flattée des hommages, votre esprit n'a point été éveillé à la coquetterie, ni votre cœur à l'intérêt ;	2	16	33	0	0.0	[]
19	et, dans tous les moment, j'ai reconnu en vous le désirs sincère de glisser dans le monde sans y être aperçue : c'était là votre première épreuve ;	2	17	28	0	0.0	[]
20	avec des principes comme les vôtres, ce n'était pas la plus difficile.	2	18	13	0	0.0	[]
21	Mais bientôt je vous réunis à votre amie ;	2	19	8	0	0.0	[]
22	je vous donne l'espérance de vivre avec elle.	2	20	9	0	0.0	[]
23	Déjà vos plans sont formés ;	2	21	5	0	0.0	[]
24	vous confondez vos enfants, le soin de les élever double de charme en vous en occupant ensemble, et c'est du sein de cette jouissance que je vous arrache pour vous mener dans un pays nouveau, dans une terre éloignée ;	2	22	40	2	0.05	[['double'], ['sein']]
25	vous voilà seule, à vingt-deux ans, sans autre compagnie que deux enfants en bas âge et un mari de soixante.	2	23	20	1	0.05	[['bas']]
26	Eh bien !	2	24	2	0	0.0	[]
27	je vous retrouve la même, toujours tendre, toujours empressée ;	2	25	9	1	0.1111111111111111	[['tendre']]
28	vous êtes la première à remarquer les agrément de ce séjour ;	2	26	11	0	0.0	[]
29	vous cherchez à jouir de ce que je vous donne, pour me faire oublier ce que je vous ôte ;	2	27	19	0	0.0	[]
30	mais le mérite unique, inappréciable, de votre complaisance, c'est d'être si naturelle et si abandonnée, que j'ignore moi	2	28	21	1	0.047619047619047616	[['naturel']]
31	-même si le lieu que je préfère n'est pas celui qui vous plaît toujours davantage : c'était ma seconde épreuve ; après celle-ci il ne m'en reste plus à faire.	2	29	31	0	0.0	[]
32	Peut-être étais-je né soupçonneux, et vous aviez dans vos charmes tout ce qu'il fallait pour accroître cette disposition ;	2	30	21	0	0.0	[]
