sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	NOTICE	0	0	1	0	0.0	[]
1	PRÉLIMINAIRE	0	1	1	0	0.0	[]
2	La chronologie n'est point une science à dédaigner, et quand on ne consulte pas avec soin les registres où elle inscrit au jour le jour les événements que l'histoire brouille souvent à distance, on risque de fausser, par une seule inadvertance, le caractère d'un homme et parfois celui de toute une époque.	0	2	55	0	0.0	[]
3	Ce n'est point le lieu, dans ces courtes Notices , d'entamer une discussion à ce sujet, mais nous ne pouvons nous dispenser cependant de réagir contre une opinion qui pourrait prendre quelque consistance si l'on s'attachait à la valeur de l'homme qui l'a exprimée, il y a quelque temps, dans une collection destinée à avoir beaucoup de lecteurs, celle des Chefs	0	3	66	0	0.0	[]
4	-d'œuvre des Conteurs français (Charpentier, 3 vol.	0	4	8	0	0.0	[]
5	in-18, 1874).	0	5	3	0	0.0	[]
6	Dans son Introduction aux Conteurs français du xviiie siècle , M. Ch.	1	0	11	0	0.0	[]
7	Louandre écrit : «	1	1	3	0	0.0	[]
8	La croisade philosophique ne commence que vers 1750.	1	2	8	0	0.0	[]
9	Diderot ouvre le feu par la Religieuse , et fait revivre toutes les accusations des réformés : le célibat, le renoncement, l'ensevelissement dans les cloîtres sont en contradiction avec les instincts les plus profonds de l'âme humaine.	1	3	37	1	0.02702702702702703	[['profond']]
10	Ils conduisent au désespoir, à la révolte désordonnée des sens ;	1	4	10	0	0.0	[]
11	ils violent la loi naturelle, et, bien loin de faire des saints, ils ne font que des victimes.	1	5	18	1	0.05555555555555555	[['naturel']]
12	Cette thèse, développée avec une verve éclatante, laissa dans les esprits une impression profonde, et si l'on veut prendre la peine de comparer la Religieuse et les discussions qui ont provoqué le décret de l'Assemblée nationale , portant suppression des ordres religieux, on pourra se convaincre que les législateurs ont en grande partie reproduit les arguments du romancier.	1	6	59	2	0.03389830508474576	[['profond'], ['grand']]
13	» La Religieuse ne fut publiée qu'en l'an V (1796) de la République française, et quoiqu'elle fût alors composée depuis trente-cinq ans, elle s'était si peu répandue hors des sociétés du baron d'Holbach et de Mme d'Épinay, que Grimm lui-même, en 1770, n'en parlait que comme d'une ébauche inachevée et très-probablement perdue.	1	7	61	0	0.0	[]
14	Voilà donc toute la fable de l'influence du roman sur les législateurs de 1790 à vau	1	8	17	0	0.0	[]
15	-l'eau.	1	9	2	0	0.0	[]
16	Nous ne faisons pas cette rectification pour diminuer l'influence qu'a pu exercer Diderot sur la Révolution.	2	0	18	0	0.0	[]
17	C'est, outre la préoccupation de l'exactitude, parce que cette influence n'est pas, selon nous, celle qu'on lui attribue trop généralement, par souvenir de l'identification, tentée à un moment par La Harpe, de ses doctrines et de celles de Babeuf.	2	1	44	0	0.0	[]
18	À qui devons-nous connaissance de ce merveilleux ouvrage ?	3	0	9	0	0.0	[]
19	nous ne le savons : c'est le libraire Buisson qui l'imprima ; mais d'où lui venait la copie, il ne le dit pas.	3	1	24	0	0.0	[]
20	Il y joignit l'extrait de la Correspondance de Grimm, qu'on a toujours placé depuis à la suite du roman, avec raison, quoi qu'en ait pu penser Naigeon, auquel nous répondrons à ce sujet.	3	2	36	1	0.027777777777777776	[['joindre']]
21	Ce qui est vrai, c'est que l'effet produit avec ou sans l'addition de Grimm fut prodigieux ; que les éditions se multiplièrent dans tous les formats, et que, malgré deux condamnations, en 1824 et en 1826, sous un régime ouvertement clérical, elles n'ont pas cessé de se renouveler.	4	0	51	0	0.0	[]
22	Nous citerons, outre celles de Buisson, in-8° de 411 pages, 1796, et, même date, 2 volumes in-18, avec figures, celles de Berlin (Paris), 1797, in-12 ;	4	1	27	1	0.037037037037037035	[['figure']]
23	Maradan, 1798, in-12, frontispice ;	4	2	4	0	0.0	[]
24	1799, in-8°, portrait et figures gravés par Dupréel ;	4	3	9	1	0.1111111111111111	[['figure']]
25	1804, 2 vol.	4	4	3	0	0.0	[]
26	in-8° avec figures de Le Barbier (les mêmes que celles de l'édition de 1799) ;	4	5	17	1	0.058823529411764705	[['figure']]
27	Taillard, 1822, in-18 ;	4	6	3	0	0.0	[]
28	Pigoreau, 1822, in-12 ;	4	7	3	0	0.0	[]
29	Ladrange	4	8	1	0	0.0	[]
30	-Lheureux, 1822, in-12, portrait et une figure, gravés par Couché fils ;	4	9	11	1	0.09090909090909091	[['figure']]
31	Ladrange, 1830, in-18 ;	4	10	3	0	0.0	[]
32	Hiard, 1831, in-18 ;	4	11	3	0	0.0	[]
33	1832, in-18, figures ;	4	12	3	0	0.0	[]
34	1832, in-8°, figures ;	4	13	4	0	0.0	[]
35	Rignoux, 1833, in-18 ;	4	14	3	0	0.0	[]
36	Chassaignon, 1833, in-18, figures ;	4	15	4	0	0.0	[]
37	1834, in-18 ;	4	16	2	0	0.0	[]
38	1841, in-18, figures ;	4	17	3	0	0.0	[]
39	Bry, 1849, in-4°, figures...;	4	18	6	1	0.16666666666666666	[['figure']]
40	enfin celle : France et Belgique (Bruxelles), 1871, in-12, portrait d'après Garand, gravé à l'eau-forte par Rajon.	4	19	20	0	0.0	[]
41	La Religieuse a été traduite en allemand , en anglais et en espagnol.	5	0	12	0	0.0	[]
42	Cette nomenclature prouve au moins une chose : c'est que, si tous les livres ont leur destin, celui des chefs-d'œuvre, malgré toutes les persécutions, est de ne pas périr.	6	0	31	1	0.03225806451612903	[['chef']]
43	Nous appelons la Religieuse un chef-d'œuvre, et c'est un chef-d'œuvre tel, qu'il ne peut être touché sans perdre une partie de sa valeur et sans devenir même dangereux .	7	0	34	2	0.058823529411764705	[['chef'], ['chef']]
44	Comment eût-on voulu que Diderot s'arrêtât en chemin ?	8	0	10	0	0.0	[]
45	Que voulait-il peindre ?	8	1	4	0	0.0	[]
46	La vie des cloîtres.	8	2	4	0	0.0	[]
47	Et il aurait laissé de côté une des formes de la maladie hystérique qui en résulte si souvent, pour ne pas dire toujours ?	8	3	23	0	0.0	[]
48	Les cruautés, on peut les nier : elles se passent à huis clos et ne transpirent que rarement (voir cependant Louis Blanc, Histoire de la Révolution , t. III, p. 338, renvoyant au Mémoire de M. Tilliard avec les notes de la sœur Marie Lemonnier, mémoire dont les journaux ont publié des extraits vers 1845) ;	8	4	54	1	0.018518518518518517	[['blanc']]
49	mais la maladie parle, et toujours haut, et elle réclame l'intervention d'un homme, qui n'est plus le prêtre, mais le médecin.	8	5	24	1	0.041666666666666664	[['haut']]
50	Si discret que soit celui-ci, avec quelque soin qu'on le choisisse, il ne peut pas toujours trahir la science, sa véritable maîtresse, et il parle.	8	6	26	0	0.0	[]
