sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	I.	0	0	1	0	0.0	[]
1	JUGEMENT DU VOYAGE DE BOUGAINVILLE.	1	0	5	0	0.0	[]
2	A .	2	0	1	0	0.0	[]
3	Cette superbe voûte étoilée, sous laquelle nous revînmes hier, et qui semblait nous garantir un beau jour, ne nous a pas tenu parole.	2	1	23	2	0.08695652173913043	[['superbe'], ['beau']]
4	B .	3	0	1	0	0.0	[]
5	Qu'en savez-vous ?	3	1	4	0	0.0	[]
6	A .	4	0	1	0	0.0	[]
7	Le brouillard est si épais qu'il nous dérobe la vue des arbres voisins.	4	1	14	0	0.0	[]
8	B .	5	0	1	0	0.0	[]
9	Il est vrai ;	5	1	3	0	0.0	[]
10	mais si ce brouillard, qui ne reste dans la partie inférieure de l'atmosphère que parce qu'elle est suffisamment chargée d'humidité, retombe sur la terre ?	5	2	27	0	0.0	[]
11	A .	6	0	1	0	0.0	[]
12	Mais si au contraire il traverse l'éponge, s'élève et gagne la région supérieure où l'air est moins dense, et peut, comme disent les chimistes, n'être pas saturé ?	6	1	31	0	0.0	[]
13	B .	7	0	1	0	0.0	[]
14	Il faut attendre.	7	1	3	0	0.0	[]
15	A .	8	0	1	0	0.0	[]
16	En attendant, que faites-vous ?	8	1	5	0	0.0	[]
17	B .	9	0	1	0	0.0	[]
18	Je lis.	9	1	2	0	0.0	[]
19	A .	10	0	1	0	0.0	[]
20	Toujours ce voyage de Bougainville ?	10	1	5	0	0.0	[]
21	B .	11	0	1	0	0.0	[]
22	Toujours.	11	1	1	0	0.0	[]
23	A .	12	0	1	0	0.0	[]
24	Je n'entends rien à cet homme-là.	12	1	7	0	0.0	[]
25	L'étude des mathématiques, qui suppose une vie sédentaire, a rempli le temps de ses jeunes années ;	12	2	17	0	0.0	[]
26	et voilà qu'il passe subitement d'une condition méditative et retirée au métier actif, pénible, errant et dissipé de voyageur.	12	3	21	0	0.0	[]
27	B .	13	0	1	0	0.0	[]
28	Nullement.	13	1	1	0	0.0	[]
29	Si le vaisseau n'est qu'une maison flottante, et si vous considérez le navigateur qui traverse des espaces immenses, resserré et immobile dans une enceinte assez étroite, vous le verrez faisant le tour du globe sur une planche, comme vous et moi le tour de l'univers sur votre parquet.	13	2	51	0	0.0	[]
30	A .	14	0	1	0	0.0	[]
31	Une autre bizarrerie apparente, c'est la contradiction du caractère de l'homme et de son entreprise.	14	1	17	0	0.0	[]
32	Bougainville a le goût des amusements de la société ;	14	2	9	0	0.0	[]
33	il aime les femmes, les spectacles, les repas délicats ;	14	3	9	0	0.0	[]
34	il se prête au tourbillon du monde d'aussi bonne grâce qu'aux inconstances de l'élément sur lequel il a été ballotté.	14	4	23	0	0.0	[]
35	Il est aimable et gai : c'est un véritable Français lesté, d'un bord, d'un traité de calcul différentiel et intégral, et de l'autre, d'un voyage autour du globe.	14	5	32	0	0.0	[]
36	B .	15	0	1	0	0.0	[]
37	Il fait comme tout le monde : il se dissipe après s'être appliqué, et s'applique après s'être dissipé.	15	1	20	0	0.0	[]
38	A .	16	0	1	0	0.0	[]
39	Que pensez-vous de son Voyage ?	16	1	6	0	0.0	[]
40	B .	17	0	1	0	0.0	[]
41	Autant que j'en puis juger sur une lecture assez superficielle, j'en rapporterais l'avantage à trois points principaux : une meilleure connaissance de notre vieux domicile et de ses habitants ;	17	1	31	1	0.03225806451612903	[['vieux']]
42	plus de sûreté sur des mers qu'il a parcourues la sonde à la main, et plus de correction dans nos cartes géographiques.	17	2	23	1	0.043478260869565216	[['main']]
43	Bougainville est parti avec les lumières nécessaires et les qualités propres à ces vues : de la philosophie, du courage, de la véracité ;	17	3	22	0	0.0	[]
44	un coup d'œil prompt qui saisit les choses et abrège le temps des observations ;	17	4	15	0	0.0	[]
45	de la circonspection, de la patience ;	17	5	6	0	0.0	[]
46	le désir de voir, de s'éclairer et de s'instruire ;	17	6	11	0	0.0	[]
47	la science du calcul, des mécaniques, de la géométrie, de l'astronomie ; et une teinture suffisante d'histoire naturelle.	17	7	19	0	0.0	[]
48	A .	18	0	1	0	0.0	[]
49	Et son style ?	18	1	3	0	0.0	[]
50	B .	19	0	1	0	0.0	[]
51	Sans apprêt ;	19	1	2	0	0.0	[]
52	le ton de la chose, de la simplicité et de la clarté, surtout quand on possède la langue des marins.	19	2	20	1	0.05	[['ton']]
53	A .	20	0	1	0	0.0	[]
54	Sa course a été longue ?	20	1	5	0	0.0	[]
55	B .	21	0	1	0	0.0	[]
56	Je l'ai tracée sur ce globe.	21	1	7	0	0.0	[]
57	Voyez-vous cette ligne de points rouges ?	21	2	7	0	0.0	[]
58	A .	22	0	1	0	0.0	[]
59	Qui part de Nantes ?	22	1	4	0	0.0	[]
60	B .	23	0	1	0	0.0	[]
61	Et court jusqu'au détroit de Magellan, entre dans la mer Pacifique, serpente entre ces îles formant l'archipel immense qui s'étend des Philippines à la Nouvelle	23	1	28	1	0.03571428571428571	[['court']]
62	-Hollande, rase Madagascar, le cap de Bonne-Espérance, se prolonge dans l'Atlantique, suit les côtes d'Afrique, et rejoint l'une de ses extrémités à celle d'où le navigateur s'est embarqué.	23	2	33	1	0.030303030303030304	[['extrémité']]
63	A .	24	0	1	0	0.0	[]
64	Il a beaucoup souffert ?	24	1	4	0	0.0	[]
65	B .	25	0	1	0	0.0	[]
66	Tout navigateur s'expose, et consent de s'exposer aux périls de l'air, du feu, de la terre et de l'eau : mais qu'après avoir erré des mois entiers entre la mer et le ciel, entre la mort et la vie ;	25	1	43	0	0.0	[]
67	après avoir été battu des tempêtes, menacé de périr par naufrage, par maladie, par disette d'eau et de pain, un infortuné vienne, son bâtiment fracassé, tomber, expirant de fatigue et de misère, aux pieds d'un monstre d'airain qui lui refuse ou lui fait attendre impitoyablement les secours les plus urgents, c'est une dureté !	25	2	57	2	0.03508771929824561	[['menacer'], ['pied']]
68	...	25	3	0	0	0	[]
69	A .	26	0	1	0	0.0	[]
70	Un crime digne de châtiment.	26	1	5	0	0.0	[]
71	B .	27	0	1	0	0.0	[]
72	Une de ces calamités sur laquelle le voyageur n'a pas compté.	27	1	12	0	0.0	[]
73	A .	28	0	1	0	0.0	[]
74	Et n'a pas dû compter.	28	1	6	0	0.0	[]
75	Je croyais que les puissances européennes n'envoyaient, pour commandants dans leurs possessions d'outre-mer, que des âmes honnêtes, des hommes bienfaisants, des sujets remplis d'humanité, et capables de compatir...	28	2	31	0	0.0	[]
76	B .	29	0	1	0	0.0	[]
77	C'est bien là ce qui les soucie !	29	1	8	0	0.0	[]
78	A .	30	0	1	0	0.0	[]
79	Il y a des choses singulières dans ce voyage de Bougainville.	30	1	11	0	0.0	[]
80	B .	31	0	1	0	0.0	[]
81	Beaucoup.	31	1	1	0	0.0	[]
82	A .	32	0	1	0	0.0	[]
83	N'assure-t-il pas que les animaux sauvages s'approchent de l'homme, et que les oiseaux viennent se poser sur lui, lorsqu'ils ignorent le danger de cette familiarité ?	32	1	31	0	0.0	[]
84	B .	33	0	1	0	0.0	[]
85	D'autres l'avaient dit avant lui.	33	1	7	0	0.0	[]
86	A .	34	0	1	0	0.0	[]
87	Comment explique-t-il le séjour de certains animaux dans des îles séparées de tout continent par des intervalles de mer effrayants ?	34	1	22	0	0.0	[]
88	Qui est-ce qui a porté là le loup, le renard, le chien, le cerf, le serpent ?	34	2	17	0	0.0	[]
89	B .	35	0	1	0	0.0	[]
90	Il n'explique rien ;	35	1	4	0	0.0	[]
91	il atteste le fait.	35	2	4	0	0.0	[]
92	A .	36	0	1	0	0.0	[]
93	Et vous, comment l'expliquez-vous ?	36	1	6	0	0.0	[]
94	B .	37	0	1	0	0.0	[]
95	Qui sait l'histoire primitive de notre globe ?	37	1	8	0	0.0	[]
96	Combien d'espaces de terre, maintenant isolés, étaient autrefois continus ?	37	2	10	0	0.0	[]
97	Le seul phénomène sur lequel on pourrait former quelque conjecture, c'est la direction de la masse des eaux qui les a séparés.	37	3	23	0	0.0	[]
98	A .	38	0	1	0	0.0	[]
99	Comment cela ?	38	1	2	0	0.0	[]
100	B .	39	0	1	0	0.0	[]
101	Par la forme générale des arrachements.	39	1	6	0	0.0	[]
102	Quelque jour nous nous amuserons de cette recherche, si cela vous convient.	39	2	12	0	0.0	[]
103	Pour ce moment, voyez-vous cette île qu'on appelle des Lanciers ?	39	3	12	0	0.0	[]
104	À l'inspection du lieu qu'elle occupe sur le globe, il n'est personne qui ne se demande qui est-ce qui a placé là des hommes ?	39	4	28	0	0.0	[]
105	quelle communication les liait autrefois avec le reste de leur espèce ? que deviennent-ils en se multipliant sur un espace qui n'a pas plus d'une lieue de diamètre ?	39	5	30	0	0.0	[]
106	A .	40	0	1	0	0.0	[]
107	Ils s'exterminent et se mangent ;	40	1	6	0	0.0	[]
108	et de là peut-être une première époque très	40	2	8	0	0.0	[]
109	-	40	3	0	0	0	[]
110	ancienne et très	40	4	3	0	0.0	[]
