sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	PARTIE 1 LETTRE	0	0	3	0	0.0	[]
1	1	0	1	1	0	0.0	[]
2	Le chevalier, au Baron De *.	0	2	6	0	0.0	[]
3	Que je vous porte envie, mon cher baron!	0	3	8	0	0.0	[]
4	Quoique vous soyez encore dans l'âge où l'on ne renonce à rien, vous avez quitté Paris, pour vivre dans vos terres: vous préférez à son tumulte la douceur d'une retraite philosophique et tranquille.	0	4	36	0	0.0	[]
5	C'est là que votre âme s'élève, qu'elle se fortifie contre les besoins factices qui désolent les sociétés.	0	5	20	0	0.0	[]
6	Car tout me prouve que l'homme social est puni par les goûts même dont il avait espéré ses plaisirs.	0	6	20	0	0.0	[]
7	Vous voilà hors de la tourmente.	0	7	6	0	0.0	[]
8	Vous n'avez point de liens (j'en excepte ceux de l'amitié) qui mettent votre repos à la merci des autres.	0	8	22	0	0.0	[]
9	Une fortune considérable ne vous rend dépendant des hommes que par le bien que vous aimez à leur faire.	0	9	19	0	0.0	[]
10	Vos vassaux sont heureux.	0	10	4	0	0.0	[]
11	Vous animez le travail: l'industrie naît de l'encouragement que vous lui donnez.	0	11	14	0	0.0	[]
12	La fertilité des campagnes est le luxe de votre domaine; et votre bonheur est, pour ainsi dire, réfléchi dans tous les êtres qui vous environnent.	0	12	25	0	0.0	[]
13	Quelle riante perspective!	0	13	3	0	0.0	[]
14	Mais plus mes yeux m'y portent, plus les circonstances m'en écartent.	0	14	13	1	0.07692307692307693	[['oeil']]
15	Le calme n'a jamais été si loin de moi.	0	15	10	1	0.1	[['calme']]
16	Qu'allez-vous penser en lisant ma lettre!	0	16	8	0	0.0	[]
17	Est-ce là le ton de mon âge?	0	17	8	1	0.125	[['ton']]
18	Que voulez-vous?	0	18	3	0	0.0	[]
19	Mon style prend la teinte de mon âme: cette âme, si ardente, est triste, mélancolique, et n'en est pas moins agitée.	0	19	22	2	0.09090909090909091	[['triste'], ['mélancolique']]
20	Il y a six ans que je suis entré dans le monde.	1	0	12	0	0.0	[]
21	L'ardeur de m'avancer, un goût vif pour le plaisir, l'effervescence de la jeunesse, une imagination brûlante, m'ont jusqu'ici répandu hors de moi.	1	1	27	1	0.037037037037037035	[['vif']]
22	Dans l'âge où j'ai paru, tout plaît, tout enivre;	1	2	11	0	0.0	[]
23	les souvenirs du passé sont doux, le présent transporte;	1	3	9	0	0.0	[]
24	on voit l'avenir en beau;	1	4	6	0	0.0	[]
25	la tête fermente, le cœur s'allume, on vit dans un monde enchanté.	1	5	13	1	0.07692307692307693	[['tête']]
26	Heureux temps où l'on jouit pour jouir encore, où les lueurs d'une raison momentanée ne montrent que les agrément de la vie, sans en éclairer les écueils!	1	6	29	0	0.0	[]
27	Mon ami, je sors des jardins d'Armide, le désert était au bout.	1	7	13	0	0.0	[]
28	Ne croyez point, encore une fois, que cet état soit un état de langueur: c'est au contraire l'inquiétude vague d'une âme avertie d'un plaisir nouveau.	2	0	29	0	0.0	[]
29	Je n'ai point à me plaindre de la fortune.	3	0	10	0	0.0	[]
30	J'ai un régiment;	3	1	4	0	0.0	[]
31	je plais à une des femmes de la cour dont on vante le plus l'esprit et la figure: son crédit augmente de jour en jour;	3	2	26	1	0.038461538461538464	[['figure']]
32	ma position fait des jaloux, et ne me rend point heureux.	3	3	11	0	0.0	[]
33	Vous l'avouerai-je?	3	4	4	0	0.0	[]
34	C'est cette même femme dont le zèle m'a été si utile, et qui d'ailleurs possède tous les charmes, toutes les séductions, c'est elle en partie qui est la cause de mon chagrin.	3	5	36	0	0.0	[]
35	Vous l'avez rencontrée quelquefois: il est impossible de réunir plus d'avantages extérieurs et de moyens d'être aimable.	3	6	20	0	0.0	[]
36	Elle a, pour plaire, des secrets qui ne sont qu'à elle.	3	7	12	0	0.0	[]
37	Elle est belle, et l'on serait tenté de l'en dispenser.	3	8	12	1	0.08333333333333333	[['bel']]
38	Elle a tant de grâce, que sa beauté lui devient presque'inutile.	3	9	12	0	0.0	[]
39	Mais, hélas!	3	10	2	0	0.0	[]
40	Tout cela n'est que la magie du moment;	3	11	9	0	0.0	[]
41	le caractère est celle de tous les jours.	3	12	8	0	0.0	[]
42	Le sien est léger, superficiel, altier.	3	13	6	0	0.0	[]
43	Sa tête la trompe sur les mouvement de son cœur: Dieu sait ce qui résulte de ce faux calcul.	3	14	19	2	0.10526315789473684	[['tête'], ['faux']]
44	Elle est jalouse avec hauteur, exigeante sans tendresse, capricieuse à un excès que je peindrois mal;	3	15	16	0	0.0	[]
45	et le caprice est presque toujours chez les femmes en proportion de leur froideur.	3	16	14	0	0.0	[]
46	Il est en elles, je l'imagine au moins, une espèce de révolte contre la nature;	3	17	16	0	0.0	[]
47	elles se vengent de n'être pas sensibles, et nous punissent de ne pas réussir à leur créer un cœur.	3	18	20	0	0.0	[]
48	La Marquise D'Ercy joint à tous ces défauts une ambition démesurée, qui la subordonne en quelque sorte à toutes les variations du crédit.	3	19	24	2	0.08333333333333333	[['joindre'], ['démesuré']]
