sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	PRÉFACE.	0	0	1	0	0.0	[]
1	Je m'étais décidé à passer une partie de l'été dernier à S.-O., village à une lieue de Paris, où j'avais, depuis quatre ans, une petite habitation champêtre.	1	0	30	1	0.03333333333333333	[['petit']]
2	J'y faisais ma Cœlina, ou l' Enfant du Mystère, roman en six volumes, qui a paru cet hiver, et pour lequel le Public a daigné montrer autant d'indulgence que pour mes premiers ouvrages: j'y vivais heureux, tranquille, près d'une compagne estimable que je chéris, et dans le sein d'une société agréable d'amis francs, bons, sincères, aimant les arts, artistes eux	1	1	66	2	0.030303030303030304	[['sein'], ['agréable']]
3	-	1	2	0	0	0	[]
4	mêmes.	1	3	1	0	0.0	[]
5	Quel agréable séjour!	1	4	3	1	0.3333333333333333	[['agréable']]
6	je ne me le rappellerai jamais, que des larmes de sensibilité ne viennent humecter mes paupières: mes yeux verront sans cesse ces bords fleuris de la Seine, ces points de vue étendus, variés, entrecoupés par des montagnes, des coteaux boisés, des villages, des hameaux qui paraissent offrir des bouquets de chaumières au milieu d'une plaine cultivée, et présentent aux regards surpris mille nuances diverses de verdure et de légumes nourriciers.	1	5	71	3	0.04225352112676056	[['paupière'], ['oeil'], ['regard']]
7	Je me transporterai toujours en idée dans ce parc champêtre ensemble, et soumis aux nivellemens de l'art;	1	6	18	0	0.0	[]
8	dans ce parc, asile d'un philosophe, d'un ami de la nature, où l'ombre de La Fontaine souriait sans doute à Mancini - Nivernois, composant, écrivant ses fables dans un bosquet de jeunes châtaigniers.	1	7	35	0	0.0	[]
9	Je mesurerai, avec l'œil pensif du publiciste, la hauteur des arbres touffus qui décorent le parc de Necker, de ce financier Genevois à qui l'Europe doit tant de grands changement;	1	8	32	3	0.09375	[['pensif'], ['touffu'], ['grand']]
10	je penserai souvent, en un mot, aux soirées délicieuses que je passais dans mon petit jardin, assis sur un gazon, au clair de la lune, et voyageant avec ma Cœlina dans les glaciers brumeux de la Savoie.	1	9	37	3	0.08108108108108109	[['délicieux'], ['petit'], ['clair']]
11	Qu'elles sont touchantes	2	0	4	0	0.0	[]
12	les occupations de l'homme de lettres!	2	1	7	0	0.0	[]
13	comme elles agrandissent son être!	2	2	5	0	0.0	[]
14	comme elles l'élèvent au-dessus de cette terre qu'il habite!	2	3	11	0	0.0	[]
15	Sa pensée mesure les cieux et la terre;	2	4	8	0	0.0	[]
16	elle le fait errer dans les diverses contrées habitées ou non de ce globe immense: avec elle, sans quitter son manoir agreste, il gravit les sommités du Mont-Blanc;	2	5	28	0	0.0	[]
17	il visite tous les peuples;	2	6	5	0	0.0	[]
18	il converse avec le pêcheur Indien dans son humble case, où il foule aux pieds les tapis luxueux des despotes de l'Asie.	2	7	23	1	0.043478260869565216	[['pied']]
19	Libre de son essor, il le dirige où il lui plaît, et il quitte à son gré les empires où il ne se trouve pas bien.	2	8	26	0	0.0	[]
20	Oh! combien il a vu de choses, quand il quitte son jardin pour s'asseoir à la table frugale de sa compagne!	2	9	22	0	0.0	[]
21	comme il a voyagé!	2	10	4	0	0.0	[]
22	...	2	11	0	0	0	[]
