sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRE 1	0	0	2	0	0.0	[]
1	Le baron D'Almane au vicomte de Limours, le 2 février à trois heures du matin.	0	1	16	0	0.0	[]
2	Quand vous recevrez ce billet, mon cher vicomte, je serai déjà à vingt lieues de Paris.	0	2	16	0	0.0	[]
3	Je pars dans l'instant avec ma femme et mes deux enfants, et je pars pour quatre ans.	0	3	18	0	0.0	[]
4	Je n'ai eu ni la force de vous détailler moi	0	4	11	0	0.0	[]
5	-même mes projets, ni celle de vous dire adieu;	0	5	9	0	0.0	[]
6	et craignant les oppositions et les instances de votre amitié, je vous ai soigneusement caché mon secret et mes desseins.	0	6	20	0	0.0	[]
7	Le parti que je prends aujourd'hui, après une longue et mûre réflexion, n'est que le résultat de cette tendresse si vive que vous me connaissez pour mes enfants: j'attends d'eux le bonheur de ma vie, et je me consacre entièrement à leur éducation.	0	7	46	2	0.043478260869565216	[['long'], ['vif']]
8	J'aurai l'air peut-être, aux yeux du monde, de faire un sacrifice éclatant et pénible;	0	8	16	1	0.0625	[['oeil']]
9	on m'accusera aussi sans doute de singularité et de bizarrerie, et je ne suis que conséquent.	0	9	17	0	0.0	[]
10	Je ne puis dans cette lettre vous développer toutes mes idées;	0	10	11	0	0.0	[]
11	elles ont trop d'abondance et d'étendue.	0	11	8	0	0.0	[]
12	Quand je serai arrivé à B je vous écrirai avec le détail que vous êtes en droit d'attendre de ma confiance et de ma tendre amitié.	0	12	27	2	0.07407407407407407	[['droit'], ['tendre']]
13	Soyez bien sûr, mon cher vicomte, que je ne perdrai point de vue le projet si doux que nous avons formé, et qui doit resserrer encore les nœuds qui nous unissent.	0	13	31	1	0.03225806451612903	[['dou']]
14	En dérobant l'enfance de mon fils aux exemples du vice, en devenant son gouverneur et son ami, n'est-ce pas travailler pour vous ainsi que pour moi, puisque la vertu seule peut le rendre digne du bonheur que vous lui destinez?	0	14	43	0	0.0	[]
15	Adieu, mon cher vicomte;	0	15	4	0	0.0	[]
16	donnez-moi de vos nouvelles, ne vous pressez point de me juger, et sur-tout ne me condamnez pas avant de connaître toutes les raisons qui peuvent motiver ma conduite.	0	16	29	0	0.0	[]
17	Ma femme écrit à la vôtre une longue lettre, mais comme elle connaît la vicomtesse, elle craint sa vivacité, et vous demande en grâce d'en modérer les effets autant qu'il vous sera possible, nous ne redoutons que la première réponse, car nous sommes bien sûrs que les réflexions et le temps ne peuvent que nous justifier.	1	0	58	1	0.017241379310344827	[['long']]
18	LETTRE 2	2	0	2	0	0.0	[]
19	La baronne D'Almane à la vicomtesse de Limours, le 7 février.	2	1	12	0	0.0	[]
20	Nous sommes arrivés hier à B ma chère amie, tous en bonne santé;	2	2	13	0	0.0	[]
21	mon fils et ma fille ont parfaitement soutenu le voyage;	2	3	10	0	0.0	[]
22	à sept ans et à six, on dort dans une voiture aussi-bien que dans son lit: aussi sont-ils beaucoup moins fatigués que je ne le suis moi	2	4	29	1	0.034482758620689655	[['fatiguer']]
23	-même.	2	5	1	0	0.0	[]
24	Cette terre est charmante, je n'en connais encore ni les promenades ni les environs;	2	6	15	0	0.0	[]
25	mais la vue délicieuse qu'on découvre du château, suffit pour en donner une idée.	2	7	15	1	0.06666666666666667	[['délicieux']]
26	Ici, tout est simple;	2	8	4	0	0.0	[]
27	j'ai laissé le faste et la magnificence dans cette grande et désagréable maison que j'occupais à Paris, et qui me déplaisait tant, et je me trouve enfin logée suivant mon goût et mes désirs.	2	9	36	1	0.027777777777777776	[['grand']]
28	Ma petite Adèleest, ainsi que moi, charmée de ce pays et de notre habitation;	2	10	14	1	0.07142857142857142	[['petit']]
29	elle dit qu'elle aime bien mieux des tableaux instructifs que des tentures de damas, et que le soleil de Languedoc vaut beaucoup mieux que celui de Paris .	2	11	28	0	0.0	[]
30	Comme je suppose que ma chère amie est un peu fâchée contre moi, toute réflexion faite, je garde mes détails et mes descriptions pour l'heureux instant du raccommodement.	2	12	29	0	0.0	[]
31	Ah!	2	13	1	0	0.0	[]
32	Quand vous aurez lu dans mon cœur, j'ose croire que loin de me condamner, vous m'approuverez sur tous les points.	2	14	22	0	0.0	[]
33	Songez que s'il est permis de bouder son amie, lorsqu'elle peut, dans l'espace de dix minutes, venir chercher son pardon, on n'a plus ce droit quand on est à deux cent lieues d'elle.	2	15	38	1	0.02631578947368421	[['droit']]
34	D'ailleurs, quel est mon tort?	2	16	6	0	0.0	[]
35	Celui de vous avoir caché un secret qui n'était pas absolument le mien?	2	17	14	0	0.0	[]
36	M D'Almane m'avait positivement ôté la liberté de vous le confier; mais souvenez-vous du dernier soupé que nous avons fait ensemble, en vérité vous auriez pu deviner à ma tristesse, à mon attendrissement, ce qu'il m'était impossible de vous dire.	2	18	45	0	0.0	[]
37	Adieu, ma chère amie;	2	19	4	0	0.0	[]
38	j'attends de vos nouvelles avec une impatience inexprimable, car je ne puis être heureuse en pensant que peut-être vous êtes mécontente de moi.	2	20	24	0	0.0	[]
39	J'embrasse Flore et l'aimable petite Constance de toute mon âme, et je prie la première de vous entretenir quelquefois de la meilleure amie que vous ayez au monde.	3	0	30	1	0.03333333333333333	[['petit']]
40	LETTRE 3	4	0	2	0	0.0	[]
41	La comtesse d'Ostalis à la baronne.	4	1	7	0	0.0	[]
42	Le jour même de votre départ, ma chère tante, j'ai été, ainsi que vous me l'aviez ordonné, chez Madame De Limours; elle m'avait fait fermer sa porte le matin, mais elle me reçut le soir.	4	2	38	0	0.0	[]
43	Je lui trouvai un peu d'humeur et beaucoup de chagrin;	4	3	11	0	0.0	[]
44	elle pleura en me voyant, ensuite se répandit en plaintes contre vous, et me traita avec une froideur dont je pénétrai facilement le motif, et qui ne venait en effet que d'un mouvement de jalousie causé par l'idée que j'étais depuis long-temps dans la confidence du secret que vous aviez été forcée de lui cacher.	4	4	59	2	0.03389830508474576	[['pénétrer'], ['long']]
45	J'aurois pu lui dire: ma tante, ma bienfaitrice, ma mère, celle à qui je dois mon éducation, mon établissement, monexistence, pourrait-elle avoir quelque réserve avec son enfant, et pouvait-elle craindre de sa part les objections et les oppositions qu'elle devait redouter de la vôtre?	4	5	48	0	0.0	[]
46	Mais je me suis heureusement rappelé une de vos maximes, qui défend d'employer la raison pour combattre l'humeur, et j'ai pris le parti du silence.	4	6	28	0	0.0	[]
47	J'ai dîné hier chez elle, et je l'ai retrouvée à-peu-près dans la même situation.	4	7	16	0	0.0	[]
48	Elle avait assez de monde;	4	8	5	0	0.0	[]
49	j'ai vu plusieurs personnes chercher à l'aigrir encore contre vous, ma chère tante, en répétant avec affectation qu'il était incroyable, inconcevable que vous ne l'eussiez pas mise dans votre confidence: de manière que, dans cet instant, son amour-propre est trop blessé pour que vos lettres aient pu produire tout l'effet que vous en attendiez;	4	9	60	0	0.0	[]
50	mais son cœur est si bon, elle vous aime si véritablement, elle a naturellement tant	4	10	15	0	0.0	[]
51	de franchise	4	11	2	0	0.0	[]
52	,	4	12	0	0	0	[]
53	et elle est si légère, qu'il est impossible qu'elle puisse conserver long-temps toutes ces fâcheuses impressions.	4	13	19	1	0.05263157894736842	[['long']]
54	M D'Ostalis	5	0	3	0	0.0	[]
55	n'ira à son régiment que le premier de juin;	5	1	10	0	0.0	[]
56	et moi je partirai le même jour pour le Languedoc.	5	2	10	0	0.0	[]
57	Quel sera mon bonheur, ma chère tante, de me retrouver dans vos bras, après une absence de quatre mois et demi, de revoir mon oncle, et l'aimable Théodore, et la charmante petite Adèle; et qu'il me sera cruel de me séparer encore de ces objets si chers à mon cœur!	5	3	52	2	0.038461538461538464	[['bras'], ['petit']]
58	Adieu, ma chère tante;	5	4	4	0	0.0	[]
59	n'oubliez pas votre fille aînée, votre enfant d'adoption, qui, dans tous les instants de sa vie, pense à vous et vous chérit autant qu'elle vous respecte et vous admire.	5	5	32	0	0.0	[]
60	Mes deux petites jumelles sont toujours en parfaite santé;	5	6	9	1	0.1111111111111111	[['petit']]
61	elles commencent à prononcer quelques mots français  et anglais , et elles me procurent déjà les plaisirs les plus doux que je puisse goûter en votre absence.	5	7	27	1	0.037037037037037035	[['prononcer']]
62	LETTRE 4 La vicomtesse à la baronne.	6	0	7	0	0.0	[]
63	Il ne faut pas, dites-vous, bouder son amie, lorsqu'elle est à deux cent lieues;	6	1	16	0	0.0	[]
64	mais faut-il aussi lui pardonner de manquer à tous les devoirs de l'amitié?	6	2	15	0	0.0	[]
65	Si vous savez une maxime qui prescrive cela, vous auriez bien fait de la citer, car celle-là seule pouvait appuyer votre raisonnement.	6	3	23	0	0.0	[]
66	Il s'agit bien de bouder .	6	4	6	0	0.0	[]
67	Je ne vous boude pas;	6	5	5	0	0.0	[]
68	mais je suis outrée et blessée jusqu'au fond de l'âme.	6	6	12	0	0.0	[]
69	Vous n'avez point de parente plus près, pas même Madame D'Ostalis, puisque je suis votre cousine germaine, et qu'elle n'est que votre nièce au millième degré;	6	7	30	0	0.0	[]
70	vous n'aviez point d'amie plus tendre et plus ancienne;	6	8	11	1	0.09090909090909091	[['tendre']]
71	et, dans la seule occasion de votre vie où vous pouviez me donner une véritable preuve de confiance, vous me traitez comme une étrangère! ...	6	9	25	0	0.0	[]
72	En effet, il y a bien de quoi bouder un peu, il faut en convenir.	6	10	15	0	0.0	[]
73	Ce n'était pas entièrement votre secret;	6	11	7	0	0.0	[]
74	vous partez pour quatre ans, et c'est le secret d'un autre!	6	12	13	0	0.0	[]
75	Mais, mon dieu, quelle esclave êtes-vous donc?	6	13	8	0	0.0	[]
76	M D'Almane vous avait ôté le droit de le confier, c'est-à	6	14	14	1	0.07142857142857142	[['droit']]
77	-dire, défendu .	6	15	2	0	0.0	[]
78	Vous êtes assurément une femme bien soumise, et lui un despote bien impérieux.	6	16	13	0	0.0	[]
79	Pour moi, maintenant je puis aussi recevoir les secrets de M De Limours, sans être seulement tentée de vous en faire part; mais dans le temps où j'étais persuadée que vous m'aimiez, j'aurois trahi pour vous tous les maris du monde;	6	17	44	0	0.0	[]
80	enfin, j'avais tort, vous me le prouvez, et je me corrigerai.	6	18	12	0	0.0	[]
81	Vous prétendez que j'aurois dû deviner ce que vous n'osiez me confier, parce que vous aviez été triste à souper;	6	19	22	1	0.045454545454545456	[['triste']]
82	comme je ne vous ai jamais vu une gaieté bien remarquable, et que la distraction vous rend assez souvent sérieuse, j'avoue que je n'ai pas été frappée de cette prétendue tristesse;	6	20	33	0	0.0	[]
83	au reste, c'était la veille de votre départ;	6	21	9	0	0.0	[]
84	et quand j'aurois pénétré quelques heures plus tôt un projet médité depuis deux ans, en vérité, je n'en aurois pas été plus satisfaite de vous.	6	22	27	1	0.037037037037037035	[['pénétrer']]
85	Je sais que vous attachez très-peu de prix à l'opinion publique dans les choses qui n'intéressent point l'honneur, et c'est un bonheur pour vous dans cette circonstance;	6	23	32	0	0.0	[]
86	car vous êtes universellement blâmée.	6	24	5	0	0.0	[]
87	On trouve qu'il est bizarre d'aller élever ses enfants au fond duLanguedoc, sur-tout quand on possède une terre charmante à six lieues de Paris, où vous auriez pu vivre dans la retraite, sans être forcée d'abandonner vos amis, et sans être privée des maîtres qui vous manqueront où vous êtes.	6	25	53	0	0.0	[]
88	Les uns disent que vous n'avez préféré le parti que vous avez pris, que par amour-propre, afin d'avoir l'air de faire un sacrifice plus éclatant;	6	26	29	0	0.0	[]
89	d'autres assurent, (et c'est le plus grand nombre) que vous êtes ruinés, et que l'arrangement seul de vos affaires vous a fait quitter Paris.	6	27	28	1	0.03571428571428571	[['grand']]
90	On débite encore beaucoup d'autres conjectures, mais si absurdes qu'elles ne méritent pas d'être rapportées.	6	28	18	0	0.0	[]
91	Que puis-je répondre à tout cela, si ce n'est que le soleil de Languedoc est plus beau que celui deParis et de ses environs ?	6	29	26	1	0.038461538461538464	[['beau']]
92	Car voilà jusqu'ici la seule raison que vous m'ayez donnée;	6	30	12	0	0.0	[]
93	si vous en avez d'autres, je vous demande en grâce de m'en instruire:	6	31	15	0	0.0	[]
94	il sera toujours cruel pour moi d'être forcée à garder le silence quand je vous entendrai accuser d'inconséquence et de bizarrerie.	6	32	23	0	0.0	[]
95	Adieu...	6	33	1	0	0.0	[]
96	ce n'est pas adieu jusqu'à ce soir, jusqu'à demain, c'est adieu pour quatre ans, pour ma vie peut-être! ...	6	34	23	0	0.0	[]
97	Voilà une pensée qui n'est pas gaie! ...	6	35	9	0	0.0	[]
98	Comment une seule idée mélancolique peut-elle ainsi tout-à-coup amollir le cœur?	6	36	12	1	0.08333333333333333	[['mélancolique']]
99	... Mes yeux se remplissent de larmes... je ne suis presque plus en colère contre vous;	6	37	15	1	0.06666666666666667	[['oeil']]
100	mais je suis triste à mourir.	6	38	6	1	0.16666666666666666	[['triste']]
101	Écrivez-moi, écrivez-moi promptement et avec détail.	6	39	8	0	0.0	[]
102	Vous voyez de quelle rancune je suis capable.	6	40	8	0	0.0	[]
103	Que je suis faible!	6	41	4	0	0.0	[]
