sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	LETTRES PARISIENNES.	0	0	2	0	0.0	[]
1	LETTRE PREMIÉRE.	1	0	2	0	0.0	[]
2	Le Désir du Bonheur en général.	2	0	6	0	0.0	[]
3	L'Amitie dont vous m'honorez, Monsieur, l'intérêt particulier que vous avez toujours pris aux premiers événements de ma vie, vous donnent sur moi des droits, contre lesquels je n'ai garde de réclamer: une conconfiance entière sera la moindre preuve de ma reconnaissance: je ne consulterai qu'elle seule toutes les fois que je vous ferai part de la situation de mon âme: je me montrerai tel que je suis, il ne tiendra qu'à vous de me voir à découvert: pas la moindre gaze d'Italie: mon cœur peut-il en souffrir, lorsqu'il commerce avec l'amitié?	3	0	101	1	0.009900990099009901	[['droit']]
4	Délivré enfin de cet amas de Livres, sous la poussière desquels je suis resté si long	4	0	16	0	0.0	[]
5	-temps enseveli, débarrassé de tous les exercices qui forment la Jeunesse, je commence à sentir, pour la première fois, que je respire.	4	1	22	0	0.0	[]
6	Quelle joie de ne plus apercevoir cette troupe de Pédans, dont l'air sombre farouche ne seconde que trop la répugnance naturelle des enfants pour l'étude!	4	2	27	4	0.14814814814814814	[['sombre'], ['farouche'], ['naturel'], ['de', 'enfant']]
7	Je travaille à me défaire de ces manières gênées que l'Ecole inspire; , grâce à mon envie de paraître avec agrément dans le Monde, je ne sens bien-tôt plus le Collége.	4	3	32	1	0.03125	[['défaire']]
8	Me voilà donc libre enfin, je n'ai plus de chaînes à redouter que celles que je voudrai bien m'imposer: elles seront légères, sans doute, puisque les plaisirs en formeront le tissu.	5	0	33	0	0.0	[]
9	Mon cœur, semblable à une jeune plante qui, nouvellement retirée de dessus la couche où elle était étouffée placée dans un vaste parterre étend ses tendres rameaux, s'élargit, pour ainsi dire, se déploie: séduit par les avantages de la liberté, il en goûte, avec volupté, les délicieuses prémices.	5	1	49	2	0.04081632653061224	[['vaste'], ['tendre']]
10	Tout me devient nouveau, depuis que je commence à m'entretenir avec moi-même: il faut ou que je renaisse, ou que la Nature ait changé pour moi: la Ville me paraît mille fois plus étendue plus décorée;	6	0	38	0	0.0	[]
11	les promenades me semblent plus brillantes plus animées.	6	1	8	0	0.0	[]
12	Tout rit dans le Monde, depuis que je le vois avec les yeux de la liberté;	6	2	16	1	0.0625	[['oeil']]
