sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	J'Avois revu ma patrie, j'avais retrouvé parmi des bois et des rochers, cette profondeur de sentiment, ce calme de l'âme que l'on doit au silence de la retraite; et malgré l'indulgence du public pour mes faibles essais, j'avais abandonné une carrière si difficile à parcourir, où j'avais à peine fait quelques pas, et dont le but glorieux me paraissait si éloigné.	0	0	68	2	0.029411764705882353	[['calme'], ['faible']]
1	Dégoûté des voluptés tristes de notre capitale, libre des tourments de l'ambition et des anxiétés de l'amour-propre, j'avais refermé les livres de nos maîtres, où je puisai l'amour des beaux-arts, que je dévorais autrefois;	0	1	40	2	0.05	[['triste'], ['beau']]
2	mais qui depuis quel-que temps faisaient naître dans mon âme, à côté d'une continuelle admiration, la méfiance de mes forces, et le désespoir de ne pouvoir jamais égaler ces fameux modèles.	0	2	33	0	0.0	[]
3	Occupé de la seule étude de moi	1	0	7	0	0.0	[]
4	-même, je cherchais à devenir homme sous les yeux de la nature, et ne songeais plus qu'à m'assimiler aux bons humains qui peuplent les campagnes de ma province.	1	1	30	1	0.03333333333333333	[['oeil']]
5	Un incident me ramène à Paris, et la maudite influence du sol me remet la plume à la main.	1	2	19	0	0.0	[]
6	Des idées tristes ont fermenté dans ma tête, et dans l'essor impétueux d'une imagination presque toujours abandonnée à elle-même, j'ai écrit l'anecdote qu'on va lire.	1	3	30	2	0.06666666666666667	[['triste'], ['tête']]
7	Nos frivolistes plaisant, nos chercheurs d'étincelles, vont crier encore: à l'homme noir, à l'esprit vaporeux;	2	0	18	1	0.05555555555555555	[['noir']]
8	mais comme je ne prétends point les faire tomber en sincope, ni même altérer en rien les vibrations douces et réglées de leurs fibres délicates, je les préviens que je n'écris que pour ceux qui n'aiment pas toujours à rire, et les avertis de se borner au coup d'œil rapide de cet avant-propos, et de laisserlà mon livre, si le hasard le met dans leurs mains.	2	1	69	2	0.028985507246376812	[['douce'], ['délicat']]
9	Si d'après cet avis ils ont le courage de me lire, et l'injustice de me critiquer(*), je leur répondrai: Messieurs les agréables, vous ne connaissez point le cœur humain;	3	0	33	1	0.030303030303030304	[['agréable']]
10	car proscrire tous les goûts qui ne sont pas les vôtres, c'est voir avec des yeux bien vulgaires, ou du moins bien prévenus.	3	1	24	1	0.041666666666666664	[['oeil']]
11	Si je préfère la marguerite que vous n'aimez pas, à la tubereuse que vous aimez;	3	2	16	0	0.0	[]
12	si votre voisin, après une lecture réfléchie d'un morceau d'Young, part la nuit, en poste, pour aller rêver seul dans la forêt de Fontainebleau;	3	3	26	0	0.0	[]
13	quand, au sortir d'un souper délicieux, vous descendez avec un groupe de nymphes, dans les jardins du PalaisRoyal, il est absurde de le trouver mauvais, et de vous en fâcher.	3	4	31	1	0.03225806451612903	[['délicieux']]
14	Eh!	4	0	1	0	0.0	[]
15	Messieurs, soyez tolérans;	4	1	3	0	0.0	[]
16	il est si beau de l'être.	4	2	7	1	0.14285714285714285	[['beau']]
17	Je vous laisse vos goûts, laissez-moi les miens;	4	3	9	0	0.0	[]
18	laissez-moi préférer les musettes de mon village à l'orchestre de l'opéra.	4	4	14	0	0.0	[]
19	Pardonnez-moi même la fantaisie, bizarre peut-être, mais innocente, de me faire imprimer; et songez bien qu'il me serait aussi difficile de m'amuser des sales poésies de Grecourt et des plates farces de Vadé, qu'il vous serait mal-aisé de renoncer à rire, et de méditer Pascal.	4	5	49	2	0.04081632653061224	[['sale'], ['plate']]
20	Si je voulais justifier mon genre, je pourrais entrer dans des discussions raisonnées;	5	0	13	0	0.0	[]
21	dire qu'un écrivain qui se pique d'être original, ne doit avoir qu'une sorte de pinceaux.	5	1	18	0	0.0	[]
22	Je pourrais prouver par des exemples que les âmes humaines ont besoin de secousses, que la douleur et la pitié les dispose, les amène par degré, à cette philosophie de l'homme réfléchissant, qui l'éclaire et le guide dans le chaos des événements de la vie; que l'Héloïse de Jean-Jacques a guéri plus d'un cœur, de passions terrestres, pour l'élever aux transports sacrés du véritable amour, qu'enfin le Télémaque, les chef	5	2	76	0	0.0	[]
23	-d'œuvres de Richardson,	5	3	4	0	0.0	[]
24	les Tombeaux d'Hervey et les Nuits d'Young, ont corrigé plus d'un libertin.	5	4	15	0	0.0	[]
25	Mais lorsqu'on disserte, on veut être savant; quand l'esprit cherche à briller, le cœur devient froid;	5	5	18	1	0.05555555555555555	[['briller']]
26	l'auteur se perd dans ses citations;	5	6	7	0	0.0	[]
27	on le voit s'épuiser en efforts pour prouver qu'il est érudit;	5	7	13	0	0.0	[]
28	quand on a cru qu'il prouverait autre chose, il s'éloigne de ce qui devait être son but, et personne n'est persuadé.	5	8	24	0	0.0	[]
29	Ces avertissement sans fin mis à la tête de la plupart de nos livres d'agrément, qui par eux-mêmes n'exigent aucun éclaircissement préliminaire, sont presque toujours des hors-d'œuvre indécent, où l'on voità travers les expressions rebattues de modestie et d'insuffisance, que l'auteur premier juge et premier prôneur de son ouvrage, n'est occupé qu'à indiquer son mérite, de peur sans doute, que le public n'ait pas l'esprit de l'apercevoir.	6	0	78	2	0.02564102564102564	[['fin'], ['tête']]
30	Des sentiment vrais, des tableaux vigoureusement touchés, et d'un ton de couleur piquante, cet ensemble heureux qui intéresse;	7	0	19	2	0.10526315789473684	[['ton'], ['couleur']]
31	un bon livre enfin, porte avec lui son éloge, et n'a pas besoin de préface.	7	1	16	0	0.0	[]
32	Au surplus, si quelques lecteurs partisans des discours préliminaires ne se contentent pas de celui-ci, auquel je ne mets point de titre, de peur d'effaroucher la multitude, je les renvoye à des préfaces très-bien faites de M. d'Arnaud, dans lesqu	8	0	43	0	0.0	[]
33	-elles il a dit sur le genre, plus éloquemment que je ne le pourrais dire, tout ce qu'il y a de plus propre, non-seulement à le justifier chez les hommes raisonnables, mais encore à le faire chérir de nos petites-maitresses les plus évaporées.	8	1	44	0	0.0	[]
34	LA COMTESSE D'ALIBRE OU LE CRI DU SENTIMENT, ANECDOTE FRANÇOISE.	9	0	11	0	0.0	[]
35	„	10	0	1	0	0.0	[]
36	JE ne vous envie plus, fantômes de “l'orgueil, que j'ai vainement et follement “poursuivis;	10	1	18	0	0.0	[]
37	dignités illusoires, faux biens, “idoles et tyrans de mes semblables;	10	2	11	1	0.09090909090909091	[['faux']]
38	non, je “ne vous envie plus.	10	3	7	0	0.0	[]
39	Vous êtes le partage de “l'intrigue rampante, et du vice adroit;	10	4	13	0	0.0	[]
40	pourriez-vous être la récompense de la vertu?	10	5	8	0	0.0	[]
